Year,SeriesCode,Страна ,Type of renewable technology,Value
2016,EG_EGY_RNEW,Azerbaijan,BIOENERGY,3.814
2016,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,110.763
2016,EG_EGY_RNEW,Azerbaijan,WIND,1.574
2017,EG_EGY_RNEW,Azerbaijan,WIND,1.559
2017,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,109.854
2017,EG_EGY_RNEW,Azerbaijan,BIOENERGY,4.274
2017,EG_EGY_RNEW,Azerbaijan,ALL,118.507
2017,EG_EGY_RNEW,Azerbaijan,SOLAR,2.82
2018,EG_EGY_RNEW,Azerbaijan,ALL,125.757
2018,EG_EGY_RNEW,Azerbaijan,BIOENERGY,4.437
2018,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,111.381
2018,EG_EGY_RNEW,Azerbaijan,WIND,6.501
2018,EG_EGY_RNEW,Azerbaijan,SOLAR,3.438
2019,EG_EGY_RNEW,Azerbaijan,WIND,6.45
2019,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,111.876
2019,EG_EGY_RNEW,Azerbaijan,BIOENERGY,4.403
2019,EG_EGY_RNEW,Azerbaijan,ALL,125.963
2019,EG_EGY_RNEW,Azerbaijan,SOLAR,3.235
2020,EG_EGY_RNEW,Azerbaijan,BIOENERGY,4.38
2020,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,111.756
2020,EG_EGY_RNEW,Azerbaijan,WIND,6.417
2020,EG_EGY_RNEW,Azerbaijan,SOLAR,3.413
2020,EG_EGY_RNEW,Azerbaijan,ALL,125.966
2021,EG_EGY_RNEW,Azerbaijan,WIND,6.506
2021,EG_EGY_RNEW,Azerbaijan,HYDROPOWER,111.743
2021,EG_EGY_RNEW,Azerbaijan,BIOENERGY,4.368
2021,EG_EGY_RNEW,Azerbaijan,ALL,126.505
2021,EG_EGY_RNEW,Azerbaijan,SOLAR,3.888
2000,EG_EGY_RNEW,Armenia,ALL,323.242
2000,EG_EGY_RNEW,Armenia,WIND,0.0
2000,EG_EGY_RNEW,Armenia,SOLAR,0.0
2000,EG_EGY_RNEW,Armenia,HYDROPOWER,323.242
2000,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2001,EG_EGY_RNEW,Armenia,ALL,323.159
2001,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2001,EG_EGY_RNEW,Armenia,HYDROPOWER,323.159
2001,EG_EGY_RNEW,Armenia,SOLAR,0.0
2001,EG_EGY_RNEW,Armenia,WIND,0.0
2002,EG_EGY_RNEW,Armenia,WIND,0.0
2002,EG_EGY_RNEW,Armenia,SOLAR,0.0
2002,EG_EGY_RNEW,Armenia,HYDROPOWER,375.358
2002,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2002,EG_EGY_RNEW,Armenia,ALL,375.358
2003,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2003,EG_EGY_RNEW,Armenia,HYDROPOWER,379.3
2003,EG_EGY_RNEW,Armenia,SOLAR,0.0
2003,EG_EGY_RNEW,Armenia,WIND,0.0
2003,EG_EGY_RNEW,Armenia,ALL,379.3
2004,EG_EGY_RNEW,Armenia,WIND,0.0
2004,EG_EGY_RNEW,Armenia,SOLAR,0.0
2004,EG_EGY_RNEW,Armenia,HYDROPOWER,333.916
2004,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2004,EG_EGY_RNEW,Armenia,ALL,333.916
2005,EG_EGY_RNEW,Armenia,SOLAR,0.0
2005,EG_EGY_RNEW,Armenia,WIND,0.866
2005,EG_EGY_RNEW,Armenia,ALL,337.794
2005,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2005,EG_EGY_RNEW,Armenia,HYDROPOWER,336.927
2006,EG_EGY_RNEW,Armenia,WIND,0.872
2006,EG_EGY_RNEW,Armenia,SOLAR,0.0
2006,EG_EGY_RNEW,Armenia,HYDROPOWER,348.886
2006,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2006,EG_EGY_RNEW,Armenia,ALL,349.759
2007,EG_EGY_RNEW,Armenia,ALL,355.792
2007,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2007,EG_EGY_RNEW,Armenia,HYDROPOWER,354.914
2007,EG_EGY_RNEW,Armenia,SOLAR,0.0
2007,EG_EGY_RNEW,Armenia,WIND,0.879
2008,EG_EGY_RNEW,Armenia,WIND,0.885
2008,EG_EGY_RNEW,Armenia,SOLAR,0.0
2008,EG_EGY_RNEW,Armenia,HYDROPOWER,361.799
2008,EG_EGY_RNEW,Armenia,BIOENERGY,0.436
2008,EG_EGY_RNEW,Armenia,ALL,363.12
2009,EG_EGY_RNEW,Armenia,ALL,370.354
2009,EG_EGY_RNEW,Armenia,BIOENERGY,0.439
2009,EG_EGY_RNEW,Armenia,HYDROPOWER,369.025
2009,EG_EGY_RNEW,Armenia,SOLAR,0.0
2009,EG_EGY_RNEW,Armenia,WIND,0.891
2010,EG_EGY_RNEW,Armenia,HYDROPOWER,381.225
2010,EG_EGY_RNEW,Armenia,BIOENERGY,0.441
2010,EG_EGY_RNEW,Armenia,ALL,382.562
2010,EG_EGY_RNEW,Armenia,WIND,0.896
2010,EG_EGY_RNEW,Armenia,SOLAR,0.0
2011,EG_EGY_RNEW,Armenia,ALL,393.393
2011,EG_EGY_RNEW,Armenia,BIOENERGY,0.444
2011,EG_EGY_RNEW,Armenia,HYDROPOWER,392.048
2011,EG_EGY_RNEW,Armenia,SOLAR,0.0
2011,EG_EGY_RNEW,Armenia,WIND,0.901
2012,EG_EGY_RNEW,Armenia,ALL,429.979
2012,EG_EGY_RNEW,Armenia,WIND,0.906
2012,EG_EGY_RNEW,Armenia,SOLAR,0.0
2012,EG_EGY_RNEW,Armenia,HYDROPOWER,428.627
2012,EG_EGY_RNEW,Armenia,BIOENERGY,0.446
2013,EG_EGY_RNEW,Armenia,ALL,445.18
2013,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2013,EG_EGY_RNEW,Armenia,HYDROPOWER,444.271
2013,EG_EGY_RNEW,Armenia,SOLAR,0.0
2013,EG_EGY_RNEW,Armenia,WIND,0.91
2014,EG_EGY_RNEW,Armenia,WIND,0.914
2014,EG_EGY_RNEW,Armenia,SOLAR,0.0
2014,EG_EGY_RNEW,Armenia,HYDROPOWER,449.18
2014,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2014,EG_EGY_RNEW,Armenia,ALL,450.094
2015,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2015,EG_EGY_RNEW,Armenia,HYDROPOWER,446.989
2015,EG_EGY_RNEW,Armenia,SOLAR,0.0
2015,EG_EGY_RNEW,Armenia,WIND,0.903
2015,EG_EGY_RNEW,Armenia,ALL,447.892
2016,EG_EGY_RNEW,Armenia,WIND,1.021
2016,EG_EGY_RNEW,Armenia,SOLAR,0.349
2016,EG_EGY_RNEW,Armenia,HYDROPOWER,457.668
2016,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2016,EG_EGY_RNEW,Armenia,ALL,459.037
2017,EG_EGY_RNEW,Armenia,SOLAR,0.842
2017,EG_EGY_RNEW,Armenia,WIND,1.026
2017,EG_EGY_RNEW,Armenia,ALL,467.097
2017,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2017,EG_EGY_RNEW,Armenia,HYDROPOWER,465.23
2018,EG_EGY_RNEW,Armenia,WIND,1.031
2018,EG_EGY_RNEW,Armenia,SOLAR,6.106
2018,EG_EGY_RNEW,Armenia,HYDROPOWER,471.135
