Year,SeriesCode,Страна ,Age,Disability status,Population Group,Sex,Type of occupation,Value
2022,SG_DMK_JDC_LWR,Czechia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.45
2022,SG_DMK_JDC_LWR,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.32
2019,SG_DMK_JDC_LWR,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.3
2019,SG_DMK_JDC_LWR,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.87
2020,SG_DMK_JDC_LWR,Denmark,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.04
2020,SG_DMK_JDC_LWR,Denmark,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.54
2020,SG_DMK_JDC_LWR,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.71
2020,SG_DMK_JDC_LWR,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.27
2020,SG_DMK_JDC_LWR,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.78
2020,SG_DMK_JDC_LWR,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.43
2021,SG_DMK_JDC_LWR,Estonia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.62
2021,SG_DMK_JDC_LWR,Estonia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.2
2021,SG_DMK_JDC_LWR,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.79
2021,SG_DMK_JDC_LWR,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.46
2020,SG_DMK_JDC_LWR,Finland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.23
2020,SG_DMK_JDC_LWR,Finland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.81
2019,SG_DMK_JDC_LWR,Germany,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.97
2020,SG_DMK_JDC_LWR,Greece,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.49
2021,SG_DMK_JDC_LWR,Israel,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.09
2021,SG_DMK_JDC_LWR,Israel,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.29
2022,SG_DMK_JDC_LWR,Israel,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,0.35
2022,SG_DMK_JDC_LWR,Israel,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.25
2022,SG_DMK_JDC_LWR,Israel,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.11
2022,SG_DMK_JDC_LWR,Israel,ALLAGE,_T,POP_A,BOTHSEX,REGISTRARS,0.48
2022,SG_DMK_JDC_LWR,Israel,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.36
2022,SG_DMK_JDC_LWR,Israel,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.39
2021,SG_DMK_JDC_LWR,Казахстан,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.03
2021,SG_DMK_JDC_LWR,Казахстан,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.42
2022,SG_DMK_JDC_LWR,Казахстан,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.44
