Year,SeriesCode,GeoAreaName,Age,Sex,Value
2008,SE_ADT_EDUCTRN,Albania,15-64,FEMALE,13.5
2008,SE_ADT_EDUCTRN,Albania,15-64,MALE,14.0
2008,SE_ADT_EDUCTRN,Albania,15-64,BOTHSEX,13.7
2008,SE_ADT_EDUCTRN,Albania,55-64,MALE,1.2
2008,SE_ADT_EDUCTRN,Albania,15-24,BOTHSEX,48.9
2009,SE_ADT_EDUCTRN,Albania,55-64,BOTHSEX,0.5
2009,SE_ADT_EDUCTRN,Albania,15-24,FEMALE,44.8
2009,SE_ADT_EDUCTRN,Albania,55-64,FEMALE,0.4
2009,SE_ADT_EDUCTRN,Albania,15-64,BOTHSEX,14.4
2009,SE_ADT_EDUCTRN,Albania,15-24,BOTHSEX,46.3
2009,SE_ADT_EDUCTRN,Austria,15-64,MALE,22.0
2009,SE_ADT_EDUCTRN,Austria,25-54,MALE,14.7
2009,SE_ADT_EDUCTRN,Austria,55-64,BOTHSEX,6.3
2009,SE_ADT_EDUCTRN,Austria,15-24,FEMALE,64.7
2009,SE_ADT_EDUCTRN,Austria,15-64,BOTHSEX,22.9
2009,SE_ADT_EDUCTRN,Austria,55-64,FEMALE,6.9
2009,SE_ADT_EDUCTRN,Austria,15-24,MALE,64.0
2015,SE_ADT_EDUCTRN,Croatia,15-64,BOTHSEX,14.0
2015,SE_ADT_EDUCTRN,Croatia,25-54,FEMALE,4.9
2015,SE_ADT_EDUCTRN,Croatia,15-24,BOTHSEX,65.7
2016,SE_ADT_EDUCTRN,Croatia,15-24,FEMALE,67.5
2016,SE_ADT_EDUCTRN,Croatia,25-54,MALE,4.1
2016,SE_ADT_EDUCTRN,Croatia,25-54,BOTHSEX,4.0
2016,SE_ADT_EDUCTRN,Croatia,55-64,BOTHSEX,0.3
2016,SE_ADT_EDUCTRN,Croatia,55-64,FEMALE,0.3
2016,SE_ADT_EDUCTRN,Croatia,15-64,MALE,12.4
2016,SE_ADT_EDUCTRN,Croatia,15-64,FEMALE,13.8
2016,SE_ADT_EDUCTRN,Croatia,55-64,MALE,0.2
2016,SE_ADT_EDUCTRN,Croatia,15-24,BOTHSEX,61.6
2016,SE_ADT_EDUCTRN,Croatia,25-54,FEMALE,3.9
2016,SE_ADT_EDUCTRN,Croatia,15-64,BOTHSEX,13.1
2009,SE_ADT_EDUCTRN,Austria,25-54,FEMALE,17.0
2009,SE_ADT_EDUCTRN,Austria,25-54,BOTHSEX,15.9
2010,SE_ADT_EDUCTRN,Austria,25-54,BOTHSEX,15.7
2010,SE_ADT_EDUCTRN,Austria,15-24,MALE,64.2
2010,SE_ADT_EDUCTRN,Austria,25-54,FEMALE,16.7
2010,SE_ADT_EDUCTRN,Austria,55-64,FEMALE,7.9
2010,SE_ADT_EDUCTRN,Austria,15-24,FEMALE,66.4
2009,SE_ADT_EDUCTRN,Albania,55-64,MALE,0.6
2009,SE_ADT_EDUCTRN,Albania,25-54,MALE,2.0
2009,SE_ADT_EDUCTRN,Albania,15-64,MALE,15.0
2009,SE_ADT_EDUCTRN,Albania,15-64,FEMALE,13.9
2009,SE_ADT_EDUCTRN,Albania,15-24,MALE,48.0
2009,SE_ADT_EDUCTRN,Albania,25-54,FEMALE,1.6
2009,SE_ADT_EDUCTRN,Albania,25-54,BOTHSEX,1.8
2010,SE_ADT_EDUCTRN,Austria,55-64,BOTHSEX,6.7
2010,SE_ADT_EDUCTRN,Austria,25-54,MALE,14.7
2010,SE_ADT_EDUCTRN,Austria,15-64,BOTHSEX,22.9
2010,SE_ADT_EDUCTRN,Austria,15-64,MALE,21.9
2010,SE_ADT_EDUCTRN,Austria,15-64,FEMALE,24.0
2010,SE_ADT_EDUCTRN,Austria,15-24,BOTHSEX,65.3
2010,SE_ADT_EDUCTRN,Austria,55-64,MALE,5.4
2011,SE_ADT_EDUCTRN,Austria,55-64,BOTHSEX,6.4
2011,SE_ADT_EDUCTRN,Austria,15-64,MALE,21.3
2011,SE_ADT_EDUCTRN,Austria,15-64,BOTHSEX,22.6
