Year,SeriesCode,Country,Mode of transportation,Value
2019,IS_RDP_PFVOL,Israel,AIR,24249665850
2020,IS_RDP_PFVOL,Israel,AIR,4151661320
2021,IS_RDP_PFVOL,Israel,AIR,7253778000
2017,IS_RDP_PFVOL,Italy,AIR,44754917982
2018,IS_RDP_PFVOL,Italy,AIR,48434788720
2019,IS_RDP_PFVOL,Italy,AIR,52030486700
2020,IS_RDP_PFVOL,Italy,AIR,11395718560
2021,IS_RDP_PFVOL,Italy,AIR,2491316119
2017,IS_RDP_PFVOL,Japan,AIR,191538000000
2018,IS_RDP_PFVOL,Japan,AIR,197830304000
2019,IS_RDP_PFVOL,Japan,AIR,204188216000
2020,IS_RDP_PFVOL,Japan,AIR,66232880000
2021,IS_RDP_PFVOL,Japan,AIR,51369192000
2017,IS_RDP_PFVOL,Kazakhstan,AIR,12597236900
2018,IS_RDP_PFVOL,Kazakhstan,AIR,12380575170
2019,IS_RDP_PFVOL,Kazakhstan,AIR,13094629480
2020,IS_RDP_PFVOL,Kazakhstan,AIR,7388985253
2021,IS_RDP_PFVOL,Kazakhstan,AIR,12413392752
2017,IS_RDP_PFVOL,Republic of Korea,AIR,164423634857
2018,IS_RDP_PFVOL,Republic of Korea,AIR,178239190029
2019,IS_RDP_PFVOL,Republic of Korea,AIR,189826294057
2020,IS_RDP_PFVOL,Republic of Korea,AIR,41114601240
2021,IS_RDP_PFVOL,Republic of Korea,AIR,22638082478
2017,IS_RDP_PFVOL,Kyrgyzstan,AIR,2175846635
2018,IS_RDP_PFVOL,Kyrgyzstan,AIR,2354224057
2019,IS_RDP_PFVOL,Kyrgyzstan,AIR,1577657068
2020,IS_RDP_PFVOL,Kyrgyzstan,AIR,316409391
2021,IS_RDP_PFVOL,Kyrgyzstan,AIR,208159376
2017,IS_RDP_PFVOL,Latvia,AIR,3609580000
2018,IS_RDP_PFVOL,Latvia,AIR,4481595876
2019,IS_RDP_PFVOL,Latvia,AIR,5498051296
2020,IS_RDP_PFVOL,Latvia,AIR,1411755516
2021,IS_RDP_PFVOL,Latvia,AIR,2088015000
2017,IS_RDP_PFVOL,Lithuania,AIR,2056396100
2018,IS_RDP_PFVOL,Lithuania,AIR,4275850
2019,IS_RDP_PFVOL,Lithuania,AIR,48133857
2020,IS_RDP_PFVOL,Lithuania,AIR,21614057
2021,IS_RDP_PFVOL,Lithuania,AIR,1648063
2017,IS_RDP_PFVOL,Luxembourg,AIR,2273948660
2018,IS_RDP_PFVOL,Luxembourg,AIR,2491474760
2019,IS_RDP_PFVOL,Luxembourg,AIR,2562183890
2020,IS_RDP_PFVOL,Luxembourg,AIR,1008437424
2021,IS_RDP_PFVOL,Luxembourg,AIR,1718190120
2017,IS_RDP_PFVOL,Malta,AIR,2264761320
2018,IS_RDP_PFVOL,Malta,AIR,3336934950
2019,IS_RDP_PFVOL,Malta,AIR,3372514772
2020,IS_RDP_PFVOL,Malta,AIR,816241451
2021,IS_RDP_PFVOL,Malta,AIR,909973030
2017,IS_RDP_PFVOL,Mexico,AIR,89317274586
2018,IS_RDP_PFVOL,Mexico,AIR,100042370910
2019,IS_RDP_PFVOL,Mexico,AIR,109055863031
2020,IS_RDP_PFVOL,Mexico,AIR,50925892104
2021,IS_RDP_PFVOL,Mexico,AIR,78477070304
2017,IS_RDP_PFVOL,Moldova,AIR,1635861320
2018,IS_RDP_PFVOL,Moldova,AIR,2170504350
2019,IS_RDP_PFVOL,Moldova,AIR,2154714934
2020,IS_RDP_PFVOL,Moldova,AIR,508564071
2021,IS_RDP_PFVOL,Moldova,AIR,877213080
2017,IS_RDP_PFVOL,Montenegro,AIR,459742047
2018,IS_RDP_PFVOL,Montenegro,AIR,517555678
2019,IS_RDP_PFVOL,Montenegro,AIR,493880260
2021,IS_RDP_PFVOL,Montenegro,AIR,1013964
2017,IS_RDP_PFVOL,Netherlands (Kingdom of the),AIR,121960943820
2018,IS_RDP_PFVOL,Netherlands (Kingdom of the),AIR,128231715278
2019,IS_RDP_PFVOL,Netherlands (Kingdom of the),AIR,131170822289
2020,IS_RDP_PFVOL,Netherlands (Kingdom of the),AIR,41585407586
2021,IS_RDP_PFVOL,Netherlands (Kingdom of the),AIR,52169341612
2017,IS_RDP_PFVOL,New Zealand,AIR,34537326874
2018,IS_RDP_PFVOL,New Zealand,AIR,36747994705
2019,IS_RDP_PFVOL,New Zealand,AIR,38452327990
2020,IS_RDP_PFVOL,New Zealand,AIR,11842560166
2021,IS_RDP_PFVOL,New Zealand,AIR,5796256151
2017,IS_RDP_PFVOL,Norway,AIR,48469471075
2018,IS_RDP_PFVOL,Norway,AIR,42484517671
2019,IS_RDP_PFVOL,Norway,AIR,46397817345
2020,IS_RDP_PFVOL,Norway,AIR,7140559828
2021,IS_RDP_PFVOL,Norway,AIR,11213020428
2017,IS_RDP_PFVOL,Poland,AIR,12061468914
2018,IS_RDP_PFVOL,Poland,AIR,15971565000
2019,IS_RDP_PFVOL,Poland,AIR,19025492000
2020,IS_RDP_PFVOL,Poland,AIR,4466307450
2021,IS_RDP_PFVOL,Poland,AIR,6374610310
2017,IS_RDP_PFVOL,Portugal,AIR,37561715310
2018,IS_RDP_PFVOL,Portugal,AIR,44673579320
2019,IS_RDP_PFVOL,Portugal,AIR,48224052283
2020,IS_RDP_PFVOL,Portugal,AIR,13744302288
2021,IS_RDP_PFVOL,Portugal,AIR,17709432848
2017,IS_RDP_PFVOL,Romania,AIR,5775399380
2018,IS_RDP_PFVOL,Romania,AIR,6337992270
2019,IS_RDP_PFVOL,Romania,AIR,7330047070
2020,IS_RDP_PFVOL,Romania,AIR,2148500140
2021,IS_RDP_PFVOL,Romania,AIR,2371897730
2017,IS_RDP_PFVOL,Serbia,AIR,2932721000
2018,IS_RDP_PFVOL,Serbia,AIR,2622036000
