Year,SeriesCode,Страна ,Activity,Sex,Value
2013,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,64.91
2013,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,90.15
2013,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,63.09
2014,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,63.24
2014,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,88.27
2014,SL_ISV_IFEM,Colombia,NONAGR,MALE,55.97
2014,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,63.43
2014,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,88.4
2014,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,58.52
2014,SL_ISV_IFEM,Colombia,TOTAL,MALE,63.56
2014,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,61.46
2014,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,89.05
2015,SL_ISV_IFEM,Colombia,NONAGR,MALE,55.97
2015,SL_ISV_IFEM,Colombia,TOTAL,MALE,63.53
2015,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,63.21
2015,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,60.9
2015,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,88.41
2015,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,62.76
2015,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,88.6
2015,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,58.26
2015,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,88.64
2016,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,62.42
2016,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,89.33
2016,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,59.7
2016,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,61.71
2016,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,88.2
2016,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,57.4
2016,SL_ISV_IFEM,Colombia,TOTAL,MALE,62.93
2016,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,87.97
2016,SL_ISV_IFEM,Colombia,NONAGR,MALE,55.4
2017,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,59.24
2017,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,87.7
2017,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,56.99
2017,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,62.19
2017,SL_ISV_IFEM,Colombia,TOTAL,MALE,62.77
2017,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,87.48
2017,SL_ISV_IFEM,Colombia,NONAGR,MALE,55.04
2017,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,88.68
2013,SL_ISV_IFEM,Albania,ISIC4_A,FEMALE,98.71
2013,SL_ISV_IFEM,Albania,NONAGR,MALE,38.62
2013,SL_ISV_IFEM,Albania,TOTAL,FEMALE,63.45
2013,SL_ISV_IFEM,Albania,NONAGR,BOTHSEX,33.11
2013,SL_ISV_IFEM,Albania,TOTAL,BOTHSEX,60.98
2013,SL_ISV_IFEM,Albania,ISIC4_A,BOTHSEX,96.4
2013,SL_ISV_IFEM,Albania,TOTAL,MALE,58.95
2013,SL_ISV_IFEM,Albania,ISIC4_A,MALE,93.7
2014,SL_ISV_IFEM,Albania,ISIC4_A,BOTHSEX,99.62
2014,SL_ISV_IFEM,Albania,TOTAL,FEMALE,63.34
2017,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,61.38
2018,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,89.55
2018,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,62.42
2018,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,61.14
2018,SL_ISV_IFEM,Colombia,NONAGR,MALE,55.8
