Year,SeriesCode,Country,Location,Value
2019,EG_EGY_CLEAN,Albania,Rural,65
2019,EG_EGY_CLEAN,Albania,Urban,93
2020,EG_EGY_CLEAN,Albania,All areas,83
2020,EG_EGY_CLEAN,Albania,Rural,66
2020,EG_EGY_CLEAN,Albania,Urban,94
2021,EG_EGY_CLEAN,Albania,Rural,68
2021,EG_EGY_CLEAN,Albania,Urban,94
2021,EG_EGY_CLEAN,Albania,All areas,84
2014,EG_EGY_CLEAN,Estonia,All areas,95
2014,EG_EGY_CLEAN,Estonia,Rural,95
2014,EG_EGY_CLEAN,Estonia,Urban,95
2015,EG_EGY_CLEAN,Estonia,Rural,95
2015,EG_EGY_CLEAN,Estonia,Urban,95
2015,EG_EGY_CLEAN,Estonia,All areas,95
2016,EG_EGY_CLEAN,Estonia,Rural,95
2016,EG_EGY_CLEAN,Estonia,All areas,95
2016,EG_EGY_CLEAN,Estonia,Urban,95
2017,EG_EGY_CLEAN,Estonia,All areas,95
2017,EG_EGY_CLEAN,Estonia,Rural,95
2012,EG_EGY_CLEAN,Latvia,All areas,95
2012,EG_EGY_CLEAN,Latvia,Urban,95
2012,EG_EGY_CLEAN,Latvia,Rural,95
2013,EG_EGY_CLEAN,Latvia,All areas,95
2013,EG_EGY_CLEAN,Latvia,Urban,95
2013,EG_EGY_CLEAN,Latvia,Rural,95
2014,EG_EGY_CLEAN,Latvia,All areas,95
2014,EG_EGY_CLEAN,Latvia,Urban,95
2014,EG_EGY_CLEAN,Latvia,Rural,95
2015,EG_EGY_CLEAN,Latvia,Rural,95
2015,EG_EGY_CLEAN,Latvia,All areas,95
2000,EG_EGY_CLEAN,Azerbaijan,All areas,70
2000,EG_EGY_CLEAN,Azerbaijan,Urban,95
2000,EG_EGY_CLEAN,Azerbaijan,Rural,43
2001,EG_EGY_CLEAN,Azerbaijan,All areas,74
2001,EG_EGY_CLEAN,Azerbaijan,Rural,49
2001,EG_EGY_CLEAN,Azerbaijan,Urban,95
2002,EG_EGY_CLEAN,Azerbaijan,All areas,77
2002,EG_EGY_CLEAN,Azerbaijan,Rural,55
2002,EG_EGY_CLEAN,Azerbaijan,Urban,95
2003,EG_EGY_CLEAN,Azerbaijan,All areas,80
2003,EG_EGY_CLEAN,Azerbaijan,Urban,95
2003,EG_EGY_CLEAN,Azerbaijan,Rural,61
2004,EG_EGY_CLEAN,Azerbaijan,All areas,82
2004,EG_EGY_CLEAN,Azerbaijan,Rural,66
2004,EG_EGY_CLEAN,Azerbaijan,Urban,95
