Year,SeriesCode,Country,Age,Freq,Location,Sex,Value
2023,ER_RSK_LST,Azerbaijan,,,,,0.91188
2000,ER_RSK_LST,Australia,,,,,0.88015
2019,ER_RSK_LST,Chile,,,,,0.76807
2020,ER_RSK_LST,Chile,,,,,0.76452
2021,ER_RSK_LST,Chile,,,,,0.75972
2022,ER_RSK_LST,Chile,,,,,0.75631
2023,ER_RSK_LST,Chile,,,,,0.7525
2000,ER_RSK_LST,China,,,,,0.80341
2001,ER_RSK_LST,China,,,,,0.79987
2011,ER_RSK_LST,Germany,,,,,0.98166
2012,ER_RSK_LST,Germany,,,,,0.98169
2013,ER_RSK_LST,Germany,,,,,0.98169
2014,ER_RSK_LST,Germany,,,,,0.98171
2015,ER_RSK_LST,Germany,,,,,0.98169
2016,ER_RSK_LST,Germany,,,,,0.98169
2017,ER_RSK_LST,Germany,,,,,0.9817
2001,ER_RSK_LST,Australia,,,,,0.87686
2002,ER_RSK_LST,Australia,,,,,0.8738
2003,ER_RSK_LST,Australia,,,,,0.87055
2004,ER_RSK_LST,Australia,,,,,0.86731
2005,ER_RSK_LST,Australia,,,,,0.86436
2006,ER_RSK_LST,Australia,,,,,0.86148
2007,ER_RSK_LST,Australia,,,,,0.85824
2002,ER_RSK_LST,China,,,,,0.7961
2003,ER_RSK_LST,China,,,,,0.79334
2004,ER_RSK_LST,China,,,,,0.7893
2005,ER_RSK_LST,China,,,,,0.78585
2006,ER_RSK_LST,China,,,,,0.78273
2007,ER_RSK_LST,China,,,,,0.77974
2008,ER_RSK_LST,China,,,,,0.77649
2007,ER_RSK_LST,Malta,,,,,0.87226
2008,ER_RSK_LST,Malta,,,,,0.87242
2009,ER_RSK_LST,Malta,,,,,0.87242
2010,ER_RSK_LST,Malta,,,,,0.87242
2011,ER_RSK_LST,Malta,,,,,0.87242
2012,ER_RSK_LST,Malta,,,,,0.87242
2013,ER_RSK_LST,Malta,,,,,0.87242
2008,ER_RSK_LST,Australia,,,,,0.85587
2009,ER_RSK_LST,Australia,,,,,0.85243
