Year,SeriesCode,GeoAreaName,Activity,Value
2014,EN_ATM_CO2,Ireland,ISIC4_C10T32X19,3.31
2014,EN_ATM_CO2,Ireland,TOTAL,34.1
2015,EN_ATM_CO2,Ireland,TOTAL,35.44
2015,EN_ATM_CO2,Ireland,ISIC4_C10T32X19,3.37
2016,EN_ATM_CO2,Ireland,ISIC4_C10T32X19,3.48
2016,EN_ATM_CO2,Ireland,TOTAL,37.22
2017,EN_ATM_CO2,Ireland,TOTAL,35.89
2017,EN_ATM_CO2,Ireland,ISIC4_C10T32X19,3.61
2018,EN_ATM_CO2,Ireland,ISIC4_C10T32X19,3.81
2018,EN_ATM_CO2,Ireland,TOTAL,35.56
2019,EN_ATM_CO2,Ireland,TOTAL,33.92
2019,EN_ATM_CO2,Ireland,ISIC4_C10T32X19,3.74
2020,EN_ATM_CO2,Ireland,ISIC4_C10T32X19,3.63
2020,EN_ATM_CO2,Ireland,TOTAL,31.97
2000,EN_ATM_CO2,Israel,ISIC4_C10T32X19,1.47
2000,EN_ATM_CO2,Israel,TOTAL,54.85
2001,EN_ATM_CO2,Israel,ISIC4_C10T32X19,1.31
2001,EN_ATM_CO2,Israel,TOTAL,56.13
2002,EN_ATM_CO2,Israel,TOTAL,59.26
2002,EN_ATM_CO2,Israel,ISIC4_C10T32X19,1.29
2003,EN_ATM_CO2,Israel,ISIC4_C10T32X19,1.03
2003,EN_ATM_CO2,Israel,TOTAL,61.0
2017,EN_ATM_CO2,Slovakia,ISIC4_C10T32X19,7.68
2018,EN_ATM_CO2,Slovakia,ISIC4_C10T32X19,8.19
2018,EN_ATM_CO2,Slovakia,TOTAL,31.66
2019,EN_ATM_CO2,Slovakia,TOTAL,29.63
2019,EN_ATM_CO2,Slovakia,ISIC4_C10T32X19,7.29
2020,EN_ATM_CO2,Slovakia,ISIC4_C10T32X19,7.04
2020,EN_ATM_CO2,Slovakia,TOTAL,27.59
2000,EN_ATM_CO2,Viet Nam,TOTAL,44.24
2000,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,14.44
2001,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,16.44
2001,EN_ATM_CO2,Viet Nam,TOTAL,48.81
2002,EN_ATM_CO2,Viet Nam,TOTAL,57.19
2002,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,18.33
2003,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,19.64
2003,EN_ATM_CO2,Viet Nam,TOTAL,60.32
2004,EN_ATM_CO2,Viet Nam,TOTAL,73.55
2004,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,22.79
2005,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,24.06
2005,EN_ATM_CO2,Viet Nam,TOTAL,79.23
2006,EN_ATM_CO2,Viet Nam,TOTAL,81.58
2006,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,24.15
2007,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,26.86
2018,EN_ATM_CO2,Armenia,TOTAL,5.4
2019,EN_ATM_CO2,Armenia,TOTAL,5.85
2019,EN_ATM_CO2,Armenia,ISIC4_C10T32X19,0.37
2020,EN_ATM_CO2,Armenia,ISIC4_C10T32X19,0.4
2020,EN_ATM_CO2,Armenia,TOTAL,6.33
2000,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,28.68
2000,EN_ATM_CO2,Belgium,TOTAL,114.01
2001,EN_ATM_CO2,Belgium,TOTAL,115.38
2001,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,30.26
2002,EN_ATM_CO2,Belgium,TOTAL,107.86
2002,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,24.12
2003,EN_ATM_CO2,Belgium,TOTAL,112.57
2003,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,24.71
2004,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,21.68
2004,EN_ATM_CO2,Belgium,TOTAL,110.51
2005,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,20.32
2005,EN_ATM_CO2,Belgium,TOTAL,108.03
2006,EN_ATM_CO2,Belgium,TOTAL,104.97
2006,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,19.52
2007,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,18.11
2007,EN_ATM_CO2,Belgium,TOTAL,100.82
2008,EN_ATM_CO2,Belgium,TOTAL,103.68
2008,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,18.31
2009,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,16.34
2009,EN_ATM_CO2,Belgium,TOTAL,97.11
2010,EN_ATM_CO2,Belgium,TOTAL,104.29
2010,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,18.83
2011,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,17.34
2011,EN_ATM_CO2,Belgium,TOTAL,93.73
2012,EN_ATM_CO2,Belgium,TOTAL,92.63
2012,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,17.07
2013,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,18.55
2013,EN_ATM_CO2,Belgium,TOTAL,94.01
2004,EN_ATM_CO2,Israel,TOTAL,61.18
2004,EN_ATM_CO2,Israel,ISIC4_C10T32X19,0.88
2005,EN_ATM_CO2,Israel,ISIC4_C10T32X19,0.82
2005,EN_ATM_CO2,Israel,TOTAL,58.8
2006,EN_ATM_CO2,Israel,TOTAL,62.01
2006,EN_ATM_CO2,Israel,ISIC4_C10T32X19,0.89
2007,EN_ATM_CO2,Israel,ISIC4_C10T32X19,0.98
2007,EN_ATM_CO2,Israel,TOTAL,64.27
2008,EN_ATM_CO2,Israel,TOTAL,64.48
2008,EN_ATM_CO2,Israel,ISIC4_C10T32X19,1.69
2009,EN_ATM_CO2,Israel,ISIC4_C10T32X19,2.02
2014,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,18.72
2014,EN_ATM_CO2,Belgium,TOTAL,87.72
2015,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,18.28
2015,EN_ATM_CO2,Belgium,TOTAL,92.75
2016,EN_ATM_CO2,Belgium,TOTAL,91.74
2016,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,18.93
2017,EN_ATM_CO2,Belgium,TOTAL,90.3
2017,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,18.11
2018,EN_ATM_CO2,Belgium,TOTAL,90.99
2018,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,18.64
2019,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,17.75
2009,EN_ATM_CO2,Israel,TOTAL,63.86
2010,EN_ATM_CO2,Israel,TOTAL,68.44
2010,EN_ATM_CO2,Israel,ISIC4_C10T32X19,3.02
2011,EN_ATM_CO2,Israel,ISIC4_C10T32X19,0.85
2011,EN_ATM_CO2,Israel,TOTAL,67.51
2012,EN_ATM_CO2,Israel,TOTAL,73.75
2012,EN_ATM_CO2,Israel,ISIC4_C10T32X19,1.31
2013,EN_ATM_CO2,Israel,ISIC4_C10T32X19,4.93
2013,EN_ATM_CO2,Israel,TOTAL,64.77
2014,EN_ATM_CO2,Israel,TOTAL,62.37
2014,EN_ATM_CO2,Israel,ISIC4_C10T32X19,5.13
2007,EN_ATM_CO2,Viet Nam,TOTAL,90.0
2008,EN_ATM_CO2,Viet Nam,TOTAL,101.24
2008,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,35.35
2009,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,38.95
2009,EN_ATM_CO2,Viet Nam,TOTAL,111.99
2010,EN_ATM_CO2,Viet Nam,TOTAL,126.66
2010,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,41.57
2011,EN_ATM_CO2,Viet Nam,TOTAL,126.37
2011,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,43.32
2012,EN_ATM_CO2,Viet Nam,TOTAL,125.61
2012,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,42.74
2019,EN_ATM_CO2,Belgium,TOTAL,90.17
2020,EN_ATM_CO2,Belgium,TOTAL,82.73
2020,EN_ATM_CO2,Belgium,ISIC4_C10T32X19,16.67
2000,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.5
2000,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,13.72
2001,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,13.5
2001,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.33
2002,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.49
2002,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,14.22
2003,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,14.55
2003,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,0.39
2013,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,45.99
2013,EN_ATM_CO2,Viet Nam,TOTAL,131.93
2014,EN_ATM_CO2,Viet Nam,TOTAL,145.96
2014,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,51.13
2015,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,30.41
2015,EN_ATM_CO2,Viet Nam,TOTAL,165.21
2016,EN_ATM_CO2,Viet Nam,TOTAL,183.43
2016,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,31.78
2017,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,33.45
2017,EN_ATM_CO2,Viet Nam,TOTAL,185.27
2018,EN_ATM_CO2,Viet Nam,TOTAL,235.14
2004,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,0.81
2004,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,15.19
2005,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,15.86
2005,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.07
2006,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.13
2006,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,17.46
2007,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,18.42
2007,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.21
2008,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.28
2008,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,20.24
