Year,SeriesCode,GeoAreaName,Age,Education level,Location,Quantile,Sex,Value
2011,FB_BNK_ACCSS,Mexico,25+,_T,ALLAREA,_T,BOTHSEX,27.02016
2014,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,B40,BOTHSEX,29.36303
2014,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,_T,MALE,39.40008
2014,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,R60,BOTHSEX,45.6526
2014,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,_T,FEMALE,38.89819
2014,FB_BNK_ACCSS,Mexico,25+,_T,ALLAREA,_T,BOTHSEX,41.68408
2017,FB_BNK_ACCSS,Australia,15-24,_T,ALLAREA,_T,BOTHSEX,100.0
2017,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,_T,FEMALE,99.19509
2017,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,B40,BOTHSEX,99.28784
2017,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,R60,BOTHSEX,99.67348
2017,FB_BNK_ACCSS,Australia,25+,_T,ALLAREA,_T,BOTHSEX,99.44662
2021,FB_BNK_ACCSS,Australia,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,86.47829
2021,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,_T,BOTHSEX,99.32315
2014,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,_T,BOTHSEX,39.14085
2014,FB_BNK_ACCSS,Mexico,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,45.84689
2014,FB_BNK_ACCSS,Mexico,15-24,_T,ALLAREA,_T,BOTHSEX,32.06006
2014,FB_BNK_ACCSS,Mexico,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,30.03339
2017,FB_BNK_ACCSS,Mexico,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,43.6501
2017,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,_T,BOTHSEX,36.93192
2017,FB_BNK_ACCSS,Mexico,25+,_T,ALLAREA,_T,BOTHSEX,38.37296
2021,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,_T,MALE,98.59337
2021,FB_BNK_ACCSS,Australia,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,99.79468
2021,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,_T,FEMALE,100.0
2021,FB_BNK_ACCSS,Australia,25+,_T,ALLAREA,_T,BOTHSEX,99.2149
2021,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,R60,BOTHSEX,100.0
2021,FB_BNK_ACCSS,Australia,15+,_T,ALLAREA,B40,BOTHSEX,98.30455
2021,FB_BNK_ACCSS,Australia,15-24,_T,ALLAREA,_T,BOTHSEX,100.0
2011,FB_BNK_ACCSS,Austria,15-24,_T,ALLAREA,_T,BOTHSEX,92.54129
2011,FB_BNK_ACCSS,Austria,15+,_T,ALLAREA,_T,FEMALE,96.56331
2011,FB_BNK_ACCSS,Austria,25+,_T,ALLAREA,_T,BOTHSEX,97.74355
2011,FB_BNK_ACCSS,Austria,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,97.44667
2011,FB_BNK_ACCSS,Austria,15+,_T,ALLAREA,_T,MALE,97.73666
2011,FB_BNK_ACCSS,Austria,15+,_T,ALLAREA,_T,BOTHSEX,97.08174
2011,FB_BNK_ACCSS,Austria,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,88.93701
2011,FB_BNK_ACCSS,Austria,15+,_T,ALLAREA,B40,BOTHSEX,94.72293
2011,FB_BNK_ACCSS,Austria,15+,_T,ALLAREA,R60,BOTHSEX,98.64353
2014,FB_BNK_ACCSS,Austria,25+,_T,ALLAREA,_T,BOTHSEX,98.14218
2014,FB_BNK_ACCSS,Austria,15+,_T,ALLAREA,R60,BOTHSEX,97.10156
2014,FB_BNK_ACCSS,Austria,15+,_T,ALLAREA,B40,BOTHSEX,96.27384
2014,FB_BNK_ACCSS,Austria,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,96.3621
2014,FB_BNK_ACCSS,Austria,15+,_T,ALLAREA,_T,BOTHSEX,96.73406
2011,FB_BNK_ACCSS,Finland,15-24,_T,ALLAREA,_T,BOTHSEX,100.0
2011,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,FEMALE,99.8177
2011,FB_BNK_ACCSS,Finland,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,99.85849
2014,FB_BNK_ACCSS,Finland,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,100.0
2014,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,FEMALE,100.0
2014,FB_BNK_ACCSS,Finland,15-24,_T,ALLAREA,_T,BOTHSEX,100.0
2014,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,R60,BOTHSEX,100.0
2017,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,_T,FEMALE,33.28748
2017,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,R60,BOTHSEX,44.01587
2017,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,_T,MALE,41.09883
2017,FB_BNK_ACCSS,Mexico,15+,_T,ALLAREA,B40,BOTHSEX,25.84821
2017,FB_BNK_ACCSS,Mexico,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,24.47501
2017,FB_BNK_ACCSS,Mexico,15-24,_T,ALLAREA,_T,BOTHSEX,32.77696
2011,FB_BNK_ACCSS,Republic of Moldova,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,22.23805
2014,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,B40,BOTHSEX,100.0
2014,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,MALE,100.0
2014,FB_BNK_ACCSS,Finland,25+,_T,ALLAREA,_T,BOTHSEX,100.0
2014,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,BOTHSEX,100.0
2014,FB_BNK_ACCSS,Finland,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,100.0
2017,FB_BNK_ACCSS,Finland,25+,_T,ALLAREA,_T,BOTHSEX,99.75842
2017,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,MALE,100.0
2017,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,B40,BOTHSEX,99.46335
2017,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,R60,BOTHSEX,100.0
2017,FB_BNK_ACCSS,Finland,15-24,_T,ALLAREA,_T,BOTHSEX,100.0
2017,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,FEMALE,99.58627
2017,FB_BNK_ACCSS,Finland,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,100.0
2017,FB_BNK_ACCSS,Finland,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,99.20621
2017,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,BOTHSEX,99.78542
2021,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,B40,BOTHSEX,98.8241
2021,FB_BNK_ACCSS,Finland,15-24,_T,ALLAREA,_T,BOTHSEX,96.46943
2021,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,R60,BOTHSEX,100.0
2021,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,MALE,100.0
2021,FB_BNK_ACCSS,Finland,25+,_T,ALLAREA,_T,BOTHSEX,100.0
2021,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,BOTHSEX,99.53019
2021,FB_BNK_ACCSS,Finland,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,98.3139
2011,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,BOTHSEX,28.26813
2011,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,MALE,33.66468
2014,FB_BNK_ACCSS,Albania,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,56.21789
2014,FB_BNK_ACCSS,Albania,15-24,_T,ALLAREA,_T,BOTHSEX,29.96477
2014,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,FEMALE,33.59423
2014,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,R60,BOTHSEX,47.37881
2014,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,B40,BOTHSEX,23.8901
2021,FB_BNK_ACCSS,Finland,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,100.0
2021,FB_BNK_ACCSS,Finland,15+,_T,ALLAREA,_T,FEMALE,99.07851
2011,FB_BNK_ACCSS,France,15+,_T,ALLAREA,R60,BOTHSEX,97.85122
2011,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,MALE,97.48922
2011,FB_BNK_ACCSS,France,25+,_T,ALLAREA,_T,BOTHSEX,98.89018
2011,FB_BNK_ACCSS,France,15+,_T,ALLAREA,B40,BOTHSEX,95.67548
