Year,SeriesCode,GeoAreaName,Age,Sex,Type of skill,Value
2012,SE_ADT_FUNS,Netherlands (Kingdom of the),16-65,BOTHSEX,NUME,86.49818
2012,SE_ADT_FUNS,Netherlands (Kingdom of the),16-65,MALE,NUME,88.90971
2012,SE_ADT_FUNS,Netherlands (Kingdom of the),16-65,FEMALE,NUME,84.06281
2012,SE_ADT_FUNS,Netherlands (Kingdom of the),16-65,MALE,LITE,88.8325
2012,SE_ADT_FUNS,Netherlands (Kingdom of the),16-65,FEMALE,LITE,87.26343
2014,SE_ADT_FUNS,New Zealand,16-65,MALE,LITE,87.43227
2014,SE_ADT_FUNS,New Zealand,16-65,FEMALE,LITE,88.40308
2014,SE_ADT_FUNS,New Zealand,16-65,BOTHSEX,LITE,87.93475
2014,SE_ADT_FUNS,New Zealand,16-65,FEMALE,NUME,78.59863
2014,SE_ADT_FUNS,New Zealand,16-65,MALE,NUME,82.93007
2014,SE_ADT_FUNS,New Zealand,16-65,BOTHSEX,NUME,80.68818
2012,SE_ADT_FUNS,Norway,16-65,FEMALE,LITE,87.33417
2012,SE_ADT_FUNS,Norway,16-65,BOTHSEX,LITE,87.45948
2012,SE_ADT_FUNS,Norway,16-65,BOTHSEX,NUME,85.09265
2012,SE_ADT_FUNS,Norway,16-65,MALE,NUME,87.18051
2012,SE_ADT_FUNS,Norway,16-65,MALE,LITE,87.57944
2012,SE_ADT_FUNS,Norway,16-65,FEMALE,NUME,82.91171
2012,SE_ADT_FUNS,Poland,16-65,BOTHSEX,NUME,76.52266
2012,SE_ADT_FUNS,Poland,16-65,MALE,LITE,78.65353
2012,SE_ADT_FUNS,Poland,16-65,MALE,NUME,76.15065
2012,SE_ADT_FUNS,Poland,16-65,FEMALE,NUME,76.88686
2012,SE_ADT_FUNS,Poland,16-65,BOTHSEX,LITE,81.23129
2012,SE_ADT_FUNS,Poland,16-65,FEMALE,LITE,83.75488
2012,SE_ADT_FUNS,Slovakia,16-65,FEMALE,LITE,88.60549
2012,SE_ADT_FUNS,Slovakia,16-65,BOTHSEX,NUME,86.1926
2012,SE_ADT_FUNS,Slovakia,16-65,MALE,NUME,86.15921
2012,SE_ADT_FUNS,Slovakia,16-65,FEMALE,NUME,86.22598
2012,SE_ADT_FUNS,Slovakia,16-65,MALE,LITE,88.07757
2012,SE_ADT_FUNS,Slovakia,16-65,BOTHSEX,LITE,88.34161
2012,SE_ADT_FUNS,Viet Nam,16-65,BOTHSEX,LITE,95.1204
2015,SE_ADT_FUNS,Slovenia,16-65,FEMALE,LITE,75.69128
2015,SE_ADT_FUNS,Slovenia,16-65,MALE,LITE,74.23351
2015,SE_ADT_FUNS,Slovenia,16-65,BOTHSEX,LITE,74.94328
2015,SE_ADT_FUNS,Slovenia,16-65,FEMALE,NUME,73.16682
2015,SE_ADT_FUNS,Slovenia,16-65,BOTHSEX,NUME,74.07999
2015,SE_ADT_FUNS,Slovenia,16-65,MALE,NUME,74.94648
2012,SE_ADT_FUNS,Spain,16-65,BOTHSEX,NUME,69.12069
2012,SE_ADT_FUNS,Spain,16-65,FEMALE,NUME,65.53658
2012,SE_ADT_FUNS,Spain,16-65,MALE,NUME,72.67068
2012,SE_ADT_FUNS,Spain,16-65,MALE,LITE,73.48657
2012,SE_ADT_FUNS,Spain,16-65,BOTHSEX,LITE,72.29756
2012,SE_ADT_FUNS,Spain,16-65,FEMALE,LITE,71.09713
2012,SE_ADT_FUNS,Sweden,16-65,FEMALE,NUME,83.01901
2012,SE_ADT_FUNS,Sweden,16-65,BOTHSEX,NUME,85.29655
2012,SE_ADT_FUNS,Sweden,16-65,MALE,NUME,87.50816
