Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2010,SH_PRV_SMOK,Czechia,15+,,MALE,37.3
2010,SH_PRV_SMOK,Czechia,15+,,FEMALE,27.3
2010,SH_PRV_SMOK,Czechia,15+,,BOTHSEX,32.3
2015,SH_PRV_SMOK,Czechia,15+,,BOTHSEX,31.4
2015,SH_PRV_SMOK,Czechia,15+,,MALE,35.8
2015,SH_PRV_SMOK,Czechia,15+,,FEMALE,26.9
2018,SH_PRV_SMOK,Czechia,15+,,MALE,35.4
2018,SH_PRV_SMOK,Czechia,15+,,FEMALE,26.7
2018,SH_PRV_SMOK,Czechia,15+,,BOTHSEX,30.9
2019,SH_PRV_SMOK,Czechia,15+,,BOTHSEX,30.9
2019,SH_PRV_SMOK,Czechia,15+,,FEMALE,26.5
2000,SH_PRV_SMOK,Austria,15+,,FEMALE,47.8
2000,SH_PRV_SMOK,Austria,15+,,BOTHSEX,52.3
2005,SH_PRV_SMOK,Austria,15+,,MALE,47.2
2005,SH_PRV_SMOK,Austria,15+,,FEMALE,40.4
2005,SH_PRV_SMOK,Austria,15+,,BOTHSEX,43.8
2010,SH_PRV_SMOK,Austria,15+,,MALE,39.7
2010,SH_PRV_SMOK,Austria,15+,,FEMALE,34.5
2010,SH_PRV_SMOK,Austria,15+,,BOTHSEX,37.1
2005,SH_PRV_SMOK,Slovakia,15+,,BOTHSEX,31.7
2005,SH_PRV_SMOK,Slovakia,15+,,MALE,41.6
2005,SH_PRV_SMOK,Slovakia,15+,,FEMALE,21.8
2010,SH_PRV_SMOK,Slovakia,15+,,MALE,40.3
2010,SH_PRV_SMOK,Slovakia,15+,,FEMALE,22.9
2010,SH_PRV_SMOK,Slovakia,15+,,BOTHSEX,31.6
2015,SH_PRV_SMOK,Slovakia,15+,,BOTHSEX,31.5
2015,SH_PRV_SMOK,Slovakia,15+,,MALE,38.6
2019,SH_PRV_SMOK,Czechia,15+,,MALE,35.2
2020,SH_PRV_SMOK,Czechia,15+,,BOTHSEX,30.7
2020,SH_PRV_SMOK,Czechia,15+,,MALE,35.0
2020,SH_PRV_SMOK,Czechia,15+,,FEMALE,26.4
2000,SH_PRV_SMOK,Denmark,15+,,FEMALE,34.1
2000,SH_PRV_SMOK,Denmark,15+,,MALE,40.4
2000,SH_PRV_SMOK,Denmark,15+,,BOTHSEX,37.3
2005,SH_PRV_SMOK,Denmark,15+,,MALE,32.9
2015,SH_PRV_SMOK,Slovakia,15+,,FEMALE,24.3
2018,SH_PRV_SMOK,Slovakia,15+,,BOTHSEX,31.5
2018,SH_PRV_SMOK,Slovakia,15+,,FEMALE,25.1
2018,SH_PRV_SMOK,Slovakia,15+,,MALE,38.0
2019,SH_PRV_SMOK,Slovakia,15+,,BOTHSEX,31.5
2019,SH_PRV_SMOK,Slovakia,15+,,FEMALE,25.4
2019,SH_PRV_SMOK,Slovakia,15+,,MALE,37.6
2020,SH_PRV_SMOK,Slovakia,15+,,BOTHSEX,31.5
2005,SH_PRV_SMOK,Denmark,15+,,FEMALE,28.6
2005,SH_PRV_SMOK,Denmark,15+,,BOTHSEX,30.8
2010,SH_PRV_SMOK,Denmark,15+,,BOTHSEX,25.5
2010,SH_PRV_SMOK,Denmark,15+,,FEMALE,24.2
2010,SH_PRV_SMOK,Denmark,15+,,MALE,26.8
2015,SH_PRV_SMOK,Denmark,15+,,MALE,21.9
2015,SH_PRV_SMOK,Denmark,15+,,FEMALE,20.3
2015,SH_PRV_SMOK,Denmark,15+,,BOTHSEX,21.1
2015,SH_PRV_SMOK,Austria,15+,,MALE,33.1
2015,SH_PRV_SMOK,Austria,15+,,FEMALE,29.3
2015,SH_PRV_SMOK,Austria,15+,,BOTHSEX,31.2
2018,SH_PRV_SMOK,Austria,15+,,FEMALE,26.6
2018,SH_PRV_SMOK,Austria,15+,,MALE,29.8
2018,SH_PRV_SMOK,Austria,15+,,BOTHSEX,27.1
2019,SH_PRV_SMOK,Austria,15+,,BOTHSEX,27.1
2019,SH_PRV_SMOK,Austria,15+,,MALE,28.6
2018,SH_PRV_SMOK,Denmark,15+,,MALE,19.4
2018,SH_PRV_SMOK,Denmark,15+,,FEMALE,18.4
2018,SH_PRV_SMOK,Denmark,15+,,BOTHSEX,18.1
2019,SH_PRV_SMOK,Denmark,15+,,BOTHSEX,18.1
2019,SH_PRV_SMOK,Denmark,15+,,FEMALE,17.8
2019,SH_PRV_SMOK,Denmark,15+,,MALE,18.4
2020,SH_PRV_SMOK,Denmark,15+,,FEMALE,17.1
2020,SH_PRV_SMOK,Denmark,15+,,BOTHSEX,17.5
2020,SH_PRV_SMOK,Denmark,15+,,MALE,17.8
2000,SH_PRV_SMOK,Estonia,15+,,FEMALE,30.1
2000,SH_PRV_SMOK,Estonia,15+,,BOTHSEX,46.0
2000,SH_PRV_SMOK,Estonia,15+,,MALE,61.9
