Year,SeriesCode,GeoAreaName,Migratory status,Sex,Value
2014,SL_EMP_FTLINJUR,Austria,NONMIG,MALE,5.1
2014,SL_EMP_FTLINJUR,Austria,_T,MALE,5.24
2014,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,3.09
2014,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.67
2014,SL_EMP_FTLINJUR,Austria,NONMIG,FEMALE,0.65
2013,SL_EMP_FTLINJUR,Türkiye,_T,FEMALE,0.59
2013,SL_EMP_FTLINJUR,Türkiye,MIGPER,FEMALE,2.43
2013,SL_EMP_FTLINJUR,Türkiye,NONMIG,BOTHSEX,8.34
2013,SL_EMP_FTLINJUR,Türkiye,_T,BOTHSEX,8.31
2013,SL_EMP_FTLINJUR,Türkiye,NONMIG,MALE,10.87
2013,SL_EMP_FTLINJUR,Türkiye,NONMIG,FEMALE,0.57
2003,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,0.3
2003,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,6.0
2004,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,16.0
2004,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,0.0
2004,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,8.0
2005,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,1.0
2005,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,6.0
2005,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,11.0
2014,SL_EMP_FTLINJUR,Austria,NONMIG,BOTHSEX,3.01
2015,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.51
2015,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,3.23
2015,SL_EMP_FTLINJUR,Austria,_T,MALE,5.65
2015,SL_EMP_FTLINJUR,Austria,NONMIG,FEMALE,0.59
2015,SL_EMP_FTLINJUR,Austria,NONMIG,BOTHSEX,3.31
2014,SL_EMP_FTLINJUR,Türkiye,NONMIG,MALE,12.35
2014,SL_EMP_FTLINJUR,Türkiye,_T,BOTHSEX,9.39
2014,SL_EMP_FTLINJUR,Türkiye,MIGPER,MALE,0.0
2014,SL_EMP_FTLINJUR,Türkiye,_T,MALE,12.31
2014,SL_EMP_FTLINJUR,Türkiye,NONMIG,FEMALE,0.82
2014,SL_EMP_FTLINJUR,Türkiye,MIGPER,BOTHSEX,1.19
2006,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,15.0
2006,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,1.0
2006,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,8.0
2007,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,24.0
2007,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,0.4
2007,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,13.0
2008,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,0.0
2008,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,7.0
2014,SL_EMP_FTLINJUR,Türkiye,NONMIG,BOTHSEX,9.43
2014,SL_EMP_FTLINJUR,Türkiye,_T,FEMALE,0.84
2014,SL_EMP_FTLINJUR,Türkiye,MIGPER,FEMALE,2.11
2015,SL_EMP_FTLINJUR,Türkiye,NONMIG,BOTHSEX,6.9
2015,SL_EMP_FTLINJUR,Türkiye,MIGPER,MALE,0.0
2015,SL_EMP_FTLINJUR,Türkiye,NONMIG,FEMALE,0.69
2015,SL_EMP_FTLINJUR,Austria,NONMIG,MALE,5.76
2016,SL_EMP_FTLINJUR,Austria,_T,FEMALE,0.1
2016,SL_EMP_FTLINJUR,Austria,_T,MALE,3.5
2016,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,2.0
2017,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,2.53
2018,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,2.87
2019,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,2.49
2008,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,14.0
2016,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,4.0
2016,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,1.0
2016,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,6.0
2017,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,6.0
2017,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,1.0
2017,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,4.0
2015,SL_EMP_FTLINJUR,Türkiye,MIGPER,BOTHSEX,0.0
2015,SL_EMP_FTLINJUR,Türkiye,MIGPER,FEMALE,0.0
2015,SL_EMP_FTLINJUR,Türkiye,_T,BOTHSEX,6.87
2015,SL_EMP_FTLINJUR,Türkiye,_T,MALE,9.11
2015,SL_EMP_FTLINJUR,Türkiye,_T,FEMALE,0.68
2015,SL_EMP_FTLINJUR,Türkiye,NONMIG,MALE,9.13
2020,SL_EMP_FTLINJUR,Austria,_T,BOTHSEX,2.36
2013,SL_EMP_FTLINJUR,Armenia,_T,MALE,3.13
2013,SL_EMP_FTLINJUR,Armenia,_T,FEMALE,0.0
2013,SL_EMP_FTLINJUR,Armenia,_T,BOTHSEX,1.87
2018,SL_EMP_FTLINJUR,Armenia,_T,BOTHSEX,13.64
2018,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,5.0
2018,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,3.0
2018,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,1.0
2019,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,5.0
2019,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,2.0
2019,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,4.0
2020,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,3.0
2016,SL_EMP_FTLINJUR,Türkiye,NONMIG,MALE,9.97
2016,SL_EMP_FTLINJUR,Türkiye,MIGPER,FEMALE,0.0
2016,SL_EMP_FTLINJUR,Türkiye,MIGPER,MALE,9.52
2016,SL_EMP_FTLINJUR,Türkiye,MIGPER,BOTHSEX,5.04
2016,SL_EMP_FTLINJUR,Türkiye,_T,FEMALE,0.73
2016,SL_EMP_FTLINJUR,Türkiye,NONMIG,FEMALE,0.73
2018,SL_EMP_FTLINJUR,Armenia,_T,MALE,20.92
2019,SL_EMP_FTLINJUR,Armenia,_T,MALE,6.66
2019,SL_EMP_FTLINJUR,Armenia,_T,BOTHSEX,4.38
2020,SL_EMP_FTLINJUR,Armenia,_T,FEMALE,0.0
2020,SL_EMP_FTLINJUR,Armenia,_T,BOTHSEX,4.19
2016,SL_EMP_FTLINJUR,Türkiye,NONMIG,BOTHSEX,7.53
2016,SL_EMP_FTLINJUR,Türkiye,_T,BOTHSEX,7.52
2016,SL_EMP_FTLINJUR,Türkiye,_T,MALE,9.97
2017,SL_EMP_FTLINJUR,Türkiye,MIGPER,BOTHSEX,6.98
2017,SL_EMP_FTLINJUR,Türkiye,MIGPER,FEMALE,0.0
2017,SL_EMP_FTLINJUR,Türkiye,_T,MALE,11.2
2021,SL_EMP_FTLINJUR,Azerbaijan,_T,MALE,5.0
2021,SL_EMP_FTLINJUR,Azerbaijan,_T,BOTHSEX,3.0
2021,SL_EMP_FTLINJUR,Azerbaijan,_T,FEMALE,1.0
2000,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.0
2000,SL_EMP_FTLINJUR,Australia,_T,MALE,4.0
2000,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.0
2001,SL_EMP_FTLINJUR,Australia,_T,MALE,4.5
2020,SL_EMP_FTLINJUR,Armenia,_T,MALE,6.53
2000,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,3.9
2001,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,3.09
2009,SL_EMP_FTLINJUR,Belgium,NONMIG,BOTHSEX,2.04
2009,SL_EMP_FTLINJUR,Belgium,NONMIG,MALE,3.42
2009,SL_EMP_FTLINJUR,Belgium,_T,MALE,3.54
2017,SL_EMP_FTLINJUR,Türkiye,_T,BOTHSEX,8.24
2017,SL_EMP_FTLINJUR,Türkiye,NONMIG,FEMALE,0.53
2017,SL_EMP_FTLINJUR,Türkiye,NONMIG,BOTHSEX,8.25
2017,SL_EMP_FTLINJUR,Türkiye,MIGPER,MALE,10.61
2017,SL_EMP_FTLINJUR,Türkiye,NONMIG,MALE,11.2
2017,SL_EMP_FTLINJUR,Türkiye,_T,FEMALE,0.53
2009,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,2.12
2009,SL_EMP_FTLINJUR,Belgium,_T,FEMALE,0.15
2009,SL_EMP_FTLINJUR,Belgium,NONMIG,FEMALE,0.16
2010,SL_EMP_FTLINJUR,Belgium,NONMIG,MALE,3.6
2010,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,2.22
2010,SL_EMP_FTLINJUR,Belgium,NONMIG,BOTHSEX,2.23
2010,SL_EMP_FTLINJUR,Belgium,NONMIG,FEMALE,0.39
2010,SL_EMP_FTLINJUR,Belgium,_T,FEMALE,0.36
2010,SL_EMP_FTLINJUR,Belgium,_T,MALE,3.59
2011,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,2.84
2011,SL_EMP_FTLINJUR,Belgium,NONMIG,BOTHSEX,2.39
2011,SL_EMP_FTLINJUR,Belgium,NONMIG,FEMALE,0.18
2011,SL_EMP_FTLINJUR,Belgium,NONMIG,MALE,4.19
2011,SL_EMP_FTLINJUR,Belgium,_T,MALE,4.99
2011,SL_EMP_FTLINJUR,Belgium,_T,FEMALE,0.17
2012,SL_EMP_FTLINJUR,Belgium,NONMIG,BOTHSEX,1.56
2012,SL_EMP_FTLINJUR,Belgium,NONMIG,FEMALE,0.0
2012,SL_EMP_FTLINJUR,Belgium,_T,BOTHSEX,1.78
2017,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,2.29
2018,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,3.27
2019,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,2.78
2020,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,2.47
2021,SL_EMP_FTLINJUR,Latvia,_T,MALE,9.59
2021,SL_EMP_FTLINJUR,Latvia,_T,BOTHSEX,5.05
2021,SL_EMP_FTLINJUR,Latvia,_T,FEMALE,0.77
2001,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.6
2001,SL_EMP_FTLINJUR,Australia,_T,FEMALE,0.4
2002,SL_EMP_FTLINJUR,Australia,_T,BOTHSEX,2.4
