Year,SeriesCode,GeoAreaName,Age,Sex,Value
2014,VC_HTF_DETVSX,Croatia,<18Y,MALE,15
2014,VC_HTF_DETVSX,Croatia,18+,MALE,11
2015,VC_HTF_DETVSX,Croatia,18+,MALE,30
2015,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,37
2015,VC_HTF_DETVSX,Croatia,<18Y,MALE,7
2017,VC_HTF_DETVSX,Portugal,18+,MALE,6
2018,VC_HTF_DETVSX,Portugal,ALLAGE,BOTHSEX,6
2005,VC_HTF_DETVSX,Albania,ALLAGE,BOTHSEX,62
2006,VC_HTF_DETVSX,Albania,ALLAGE,BOTHSEX,57
2008,VC_HTF_DETVSX,Albania,ALLAGE,BOTHSEX,108
2009,VC_HTF_DETVSX,Albania,ALLAGE,BOTHSEX,94
2015,VC_HTF_DETVSX,Albania,ALLAGE,BOTHSEX,57
2016,VC_HTF_DETVSX,Albania,ALLAGE,BOTHSEX,74
2017,VC_HTF_DETVSX,Albania,ALLAGE,BOTHSEX,54
2017,VC_HTF_DETVSX,Albania,<18Y,BOTHSEX,17
2017,VC_HTF_DETVSX,Albania,18+,BOTHSEX,39
2016,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,15
2016,VC_HTF_DETVSX,Croatia,18+,MALE,7
2016,VC_HTF_DETVSX,Croatia,<18Y,MALE,6
2017,VC_HTF_DETVSX,Croatia,<18Y,MALE,6
2017,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,9
2018,VC_HTF_DETVSX,Croatia,ALLAGE,BOTHSEX,10
2019,VC_HTF_DETVSX,Portugal,ALLAGE,BOTHSEX,10
2019,VC_HTF_DETVSX,Portugal,18+,MALE,10
2020,VC_HTF_DETVSX,Portugal,ALLAGE,BOTHSEX,5
2020,VC_HTF_DETVSX,Portugal,18+,MALE,5
2005,VC_HTF_DETVSX,Romania,ALLAGE,BOTHSEX,1011
2006,VC_HTF_DETVSX,Romania,ALLAGE,BOTHSEX,1011
2007,VC_HTF_DETVSX,Romania,ALLAGE,BOTHSEX,724
2008,VC_HTF_DETVSX,Romania,ALLAGE,BOTHSEX,386
2009,VC_HTF_DETVSX,Romania,ALLAGE,BOTHSEX,320
2010,VC_HTF_DETVSX,Romania,ALLAGE,BOTHSEX,482
2011,VC_HTF_DETVSX,Romania,ALLAGE,BOTHSEX,506
2012,VC_HTF_DETVSX,Romania,ALLAGE,BOTHSEX,526
2017,VC_HTF_DETVSX,Albania,<18Y,MALE,17
2017,VC_HTF_DETVSX,Albania,18+,MALE,39
2018,VC_HTF_DETVSX,Albania,<18Y,BOTHSEX,15
2018,VC_HTF_DETVSX,Albania,<18Y,MALE,15
2018,VC_HTF_DETVSX,Albania,ALLAGE,BOTHSEX,37
2018,VC_HTF_DETVSX,Albania,18+,MALE,22
2018,VC_HTF_DETVSX,Croatia,18+,MALE,10
2007,VC_HTF_DETVSX,Cyprus,ALLAGE,BOTHSEX,54
2008,VC_HTF_DETVSX,Cyprus,ALLAGE,BOTHSEX,40
2009,VC_HTF_DETVSX,Cyprus,ALLAGE,BOTHSEX,23
2018,VC_HTF_DETVSX,Albania,18+,BOTHSEX,22
2019,VC_HTF_DETVSX,Albania,18+,MALE,32
2019,VC_HTF_DETVSX,Albania,<18Y,MALE,33
2019,VC_HTF_DETVSX,Albania,<18Y,BOTHSEX,33
2019,VC_HTF_DETVSX,Albania,ALLAGE,BOTHSEX,65
2019,VC_HTF_DETVSX,Albania,18+,BOTHSEX,32
2013,VC_HTF_DETVSX,Romania,ALLAGE,BOTHSEX,439
