Year,SeriesCode,GeoAreaName,Sex,Value
2017,VC_VOV_ROBB,France,MALE,0.5
2017,VC_VOV_ROBB,France,FEMALE,0.19
2017,VC_VOV_ROBB,France,BOTHSEX,0.36
2018,VC_VOV_ROBB,France,MALE,0.5
2018,VC_VOV_ROBB,France,BOTHSEX,0.4
2018,VC_VOV_ROBB,France,FEMALE,0.3
2019,VC_VOV_ROBB,France,BOTHSEX,0.32
2010,VC_VOV_ROBB,Georgia,BOTHSEX,0.19
2010,VC_VOV_ROBB,Georgia,FEMALE,0.15
2012,VC_VOV_ROBB,Germany,BOTHSEX,0.7
2012,VC_VOV_ROBB,Germany,FEMALE,0.6
2012,VC_VOV_ROBB,Germany,MALE,0.9
2017,VC_VOV_ROBB,Germany,FEMALE,0.8
2017,VC_VOV_ROBB,Germany,BOTHSEX,1.0
2017,VC_VOV_ROBB,Germany,MALE,1.3
2020,VC_VOV_ROBB,Germany,BOTHSEX,0.6
2020,VC_VOV_ROBB,Germany,MALE,0.7
2020,VC_VOV_ROBB,Germany,FEMALE,0.5
2019,VC_VOV_ROBB,Ireland,BOTHSEX,1.7
2019,VC_VOV_ROBB,Ireland,MALE,2.0
2019,VC_VOV_ROBB,Ireland,FEMALE,1.0
2013,VC_VOV_ROBB,Israel,BOTHSEX,0.3
2016,VC_VOV_ROBB,Israel,BOTHSEX,0.28
2017,VC_VOV_ROBB,Israel,BOTHSEX,0.39
2018,VC_VOV_ROBB,Israel,BOTHSEX,0.32
2018,VC_VOV_ROBB,Israel,MALE,0.51
2019,VC_VOV_ROBB,Israel,BOTHSEX,0.0
2020,VC_VOV_ROBB,Israel,BOTHSEX,0.0
2021,VC_VOV_ROBB,Israel,BOTHSEX,0.37
2008,VC_VOV_ROBB,Italy,BOTHSEX,0.3
2008,VC_VOV_ROBB,Italy,MALE,0.5
2008,VC_VOV_ROBB,Italy,FEMALE,0.2
2016,VC_VOV_ROBB,Italy,BOTHSEX,0.5
2016,VC_VOV_ROBB,Italy,MALE,0.6
2016,VC_VOV_ROBB,Italy,FEMALE,0.3
2008,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.01
2009,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.02
2010,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.02
2011,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.02
2012,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.04
2012,VC_VOV_ROBB,Republic of Korea,FEMALE,0.04
2012,VC_VOV_ROBB,Republic of Korea,MALE,0.04
2013,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.01
2014,VC_VOV_ROBB,Republic of Korea,MALE,0.08
2014,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.06
2014,VC_VOV_ROBB,Republic of Korea,FEMALE,0.0
2016,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.1
2016,VC_VOV_ROBB,Republic of Korea,MALE,0.1
2016,VC_VOV_ROBB,Republic of Korea,FEMALE,0.1
2018,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.12
2020,VC_VOV_ROBB,Republic of Korea,BOTHSEX,0.04
2015,VC_VOV_ROBB,Kyrgyzstan,BOTHSEX,1.08
