Year,SeriesCode,Страна ,Type of product,Value
2011,EN_MAT_DOMCMPT,Albania,BIM,9028913.125
2011,EN_MAT_DOMCMPT,Albania,NMM,15604969.826
2011,EN_MAT_DOMCMPT,Albania,GAS,11291.4
2011,EN_MAT_DOMCMPT,Albania,CRO,3060062.0
2011,EN_MAT_DOMCMPT,Albania,COL,301690.0
2011,EN_MAT_DOMCMPT,Albania,GBO,3989830.0
2011,EN_MAT_DOMCMPT,Albania,ALP,27701537.47621
2011,EN_MAT_DOMCMPT,Albania,FEO,-594249.52389
2011,EN_MAT_DOMCMPT,Albania,WOD,864952.2
2011,EN_MAT_DOMCMPT,Albania,WCH,10801.2
2011,EN_MAT_DOMCMPT,Albania,PET,296720.0
2011,EN_MAT_DOMCMPT,Albania,NFO,979119.3941
2011,EN_MAT_DOMCMPT,Albania,NMC,14504292.586
2012,EN_MAT_DOMCMPT,Albania,NMM,15506386.26774
2012,EN_MAT_DOMCMPT,Albania,GBO,4100126.6
2012,EN_MAT_DOMCMPT,Albania,FOF,474571.64
2012,EN_MAT_DOMCMPT,Albania,CPR,1177541.45
2012,EN_MAT_DOMCMPT,Albania,ONT,0.0
2012,EN_MAT_DOMCMPT,Albania,ALP,27199529.13561
2012,EN_MAT_DOMCMPT,Albania,FEO,-205403.051
2012,EN_MAT_DOMCMPT,Albania,WCH,12850.2
2012,EN_MAT_DOMCMPT,Albania,CRO,3123710.0
2012,EN_MAT_DOMCMPT,Albania,WOD,783728.36
2012,EN_MAT_DOMCMPT,Albania,NFO,725900.30287
2012,EN_MAT_DOMCMPT,Albania,NMC,14444530.08774
2012,EN_MAT_DOMCMPT,Albania,GAS,11051.64
2012,EN_MAT_DOMCMPT,Albania,COL,352870.0
2012,EN_MAT_DOMCMPT,Albania,NMA,1061856.18
2012,EN_MAT_DOMCMPT,Albania,BIM,9197956.61
2012,EN_MAT_DOMCMPT,Albania,MEO,520497.25187
2012,EN_MAT_DOMCMPT,Albania,PET,110650.0
2013,EN_MAT_DOMCMPT,Albania,MEO,337801.75508
2013,EN_MAT_DOMCMPT,Albania,PET,39630.0
2013,EN_MAT_DOMCMPT,Albania,NMC,10547387.1595
2013,EN_MAT_DOMCMPT,Albania,WOD,839270.08
2013,EN_MAT_DOMCMPT,Albania,COL,511120.0
2013,EN_MAT_DOMCMPT,Albania,WCH,15201.5
2013,EN_MAT_DOMCMPT,Albania,CPR,1158461.75
2013,EN_MAT_DOMCMPT,Albania,BIM,9256129.63
2013,EN_MAT_DOMCMPT,Albania,NFO,568014.15908
2013,EN_MAT_DOMCMPT,Albania,ONT,0.0
2013,EN_MAT_DOMCMPT,Albania,NMM,11403837.3865
2013,EN_MAT_DOMCMPT,Albania,GBO,4141157.3
2013,EN_MAT_DOMCMPT,Albania,FEO,-230212.404
2013,EN_MAT_DOMCMPT,Albania,GAS,12210.84
2013,EN_MAT_DOMCMPT,Albania,NMA,856450.227
2013,EN_MAT_DOMCMPT,Albania,FOF,562960.84
2013,EN_MAT_DOMCMPT,Albania,ALP,23478618.45759
2013,EN_MAT_DOMCMPT,Albania,CRO,3102039.0
2014,EN_MAT_DOMCMPT,Albania,GBO,4197660.8
2014,EN_MAT_DOMCMPT,Albania,WCH,15406.5
2014,EN_MAT_DOMCMPT,Albania,NMC,14965253.99978
2014,EN_MAT_DOMCMPT,Albania,ONT,0.0
2014,EN_MAT_DOMCMPT,Albania,NMA,896312.07054
2014,EN_MAT_DOMCMPT,Albania,MEO,803759.03385
2014,EN_MAT_DOMCMPT,Albania,BIM,9298689.025
2014,EN_MAT_DOMCMPT,Albania,PET,361000.0
2014,EN_MAT_DOMCMPT,Albania,FOF,1041536.58
2014,EN_MAT_DOMCMPT,Albania,GAS,20786.58
2014,EN_MAT_DOMCMPT,Albania,NMM,15861566.07032
2014,EN_MAT_DOMCMPT,Albania,CRO,3078634.0
2014,EN_MAT_DOMCMPT,Albania,CPR,1170866.125
2014,EN_MAT_DOMCMPT,Albania,NFO,1048585.64685
2014,EN_MAT_DOMCMPT,Albania,WOD,836121.6
2014,EN_MAT_DOMCMPT,Albania,FEO,-244826.613
2014,EN_MAT_DOMCMPT,Albania,ALP,29527906.81317
2014,EN_MAT_DOMCMPT,Albania,COL,659750.0
2015,EN_MAT_DOMCMPT,Albania,BIM,9395776.6
2015,EN_MAT_DOMCMPT,Albania,COL,722493.47059
2015,EN_MAT_DOMCMPT,Albania,MEO,843506.369
2015,EN_MAT_DOMCMPT,Albania,NMC,13366628.423
2015,EN_MAT_DOMCMPT,Albania,NFO,943443.471
2015,EN_MAT_DOMCMPT,Albania,GBO,4247386.0
2015,EN_MAT_DOMCMPT,Albania,GAS,22914.0
2015,EN_MAT_DOMCMPT,Albania,FOF,1037407.47059
2015,EN_MAT_DOMCMPT,Albania,WCH,17664.5
2015,EN_MAT_DOMCMPT,Albania,FEO,-99937.102
2015,EN_MAT_DOMCMPT,Albania,ONT,0.0
2015,EN_MAT_DOMCMPT,Albania,PET,292000.0
2015,EN_MAT_DOMCMPT,Albania,ALP,27458983.59981
2015,EN_MAT_DOMCMPT,Albania,NMM,14666617.81622
2015,EN_MAT_DOMCMPT,Albania,NMA,1299989.39322
2015,EN_MAT_DOMCMPT,Albania,CPR,1161280.5
2015,EN_MAT_DOMCMPT,Albania,CRO,3135950.0
2015,EN_MAT_DOMCMPT,Albania,WOD,833495.6
2016,EN_MAT_DOMCMPT,Albania,FOF,838553.74118
2016,EN_MAT_DOMCMPT,Albania,WOD,839189.6
2016,EN_MAT_DOMCMPT,Albania,WCH,15651.7
2016,EN_MAT_DOMCMPT,Albania,GBO,4239546.4
2016,EN_MAT_DOMCMPT,Albania,FEO,144385.768
2016,EN_MAT_DOMCMPT,Albania,GAS,59536.8
2016,EN_MAT_DOMCMPT,Albania,BIM,9528688.3
2016,EN_MAT_DOMCMPT,Albania,CPR,1167638.6
2016,EN_MAT_DOMCMPT,Albania,NMM,19594504.84303
2016,EN_MAT_DOMCMPT,Albania,CRO,3266662.0
2016,EN_MAT_DOMCMPT,Albania,ALP,33393855.87817
2016,EN_MAT_DOMCMPT,Albania,PET,168000.0
2016,EN_MAT_DOMCMPT,Albania,MEO,977637.97896
2016,EN_MAT_DOMCMPT,Albania,NFO,833252.21096
2016,EN_MAT_DOMCMPT,Albania,NMC,18307188.43514
2016,EN_MAT_DOMCMPT,Albania,ONT,0.0
2016,EN_MAT_DOMCMPT,Albania,NMA,1287316.4079
2016,EN_MAT_DOMCMPT,Albania,COL,611016.94118
2017,EN_MAT_DOMCMPT,Albania,ONT,0.0
2017,EN_MAT_DOMCMPT,Albania,NFO,948112.59792
2017,EN_MAT_DOMCMPT,Albania,COL,760648.41177
2017,EN_MAT_DOMCMPT,Albania,CPR,1188020.975
2017,EN_MAT_DOMCMPT,Albania,CRO,3122933.62771
2017,EN_MAT_DOMCMPT,Albania,GAS,61604.748
2017,EN_MAT_DOMCMPT,Albania,NMM,19235458.96253
2017,EN_MAT_DOMCMPT,Albania,MEO,817944.49792
2017,EN_MAT_DOMCMPT,Albania,FOF,1293189.15977
2017,EN_MAT_DOMCMPT,Albania,NMA,972660.47312
2017,EN_MAT_DOMCMPT,Albania,GBO,4117506.2
2017,EN_MAT_DOMCMPT,Albania,NMC,18262798.48941
2017,EN_MAT_DOMCMPT,Albania,FEO,-130168.1
2017,EN_MAT_DOMCMPT,Albania,BIM,9289702.56271
2017,EN_MAT_DOMCMPT,Albania,WCH,18730.2
2017,EN_MAT_DOMCMPT,Albania,ALP,32302186.87792
2017,EN_MAT_DOMCMPT,Albania,WOD,842511.56
2017,EN_MAT_DOMCMPT,Albania,PET,470936.0
2018,EN_MAT_DOMCMPT,Albania,NMC,16739173.4373
2018,EN_MAT_DOMCMPT,Albania,GBO,4033973.7
2018,EN_MAT_DOMCMPT,Albania,COL,1040863.88235
2018,EN_MAT_DOMCMPT,Albania,CPR,1185223.9
2018,EN_MAT_DOMCMPT,Albania,WOD,842562.4
2018,EN_MAT_DOMCMPT,Albania,MEO,1555994.80818
2018,EN_MAT_DOMCMPT,Albania,PET,327881.0
2018,EN_MAT_DOMCMPT,Albania,NMM,17454652.76064
2018,EN_MAT_DOMCMPT,Albania,NFO,1711422.27818
2018,EN_MAT_DOMCMPT,Albania,FEO,-155427.47
2018,EN_MAT_DOMCMPT,Albania,WCH,19230.3
2018,EN_MAT_DOMCMPT,Albania,CRO,3207421.25541
2018,EN_MAT_DOMCMPT,Albania,ALP,31815137.47458
2018,EN_MAT_DOMCMPT,Albania,ONT,0.0
2018,EN_MAT_DOMCMPT,Albania,NMA,715479.32334
2018,EN_MAT_DOMCMPT,Albania,GAS,55360.8
2018,EN_MAT_DOMCMPT,Albania,BIM,9288411.55541
2018,EN_MAT_DOMCMPT,Albania,FOF,1424105.68235
2019,EN_MAT_DOMCMPT,Albania,CRO,3436418.06771
2019,EN_MAT_DOMCMPT,Albania,NMA,749046.30744
2019,EN_MAT_DOMCMPT,Albania,NMM,17528521.86006
2019,EN_MAT_DOMCMPT,Albania,NFO,1784001.31655
2019,EN_MAT_DOMCMPT,Albania,FOF,1436201.20654
2019,EN_MAT_DOMCMPT,Albania,ALP,31688020.42159
2019,EN_MAT_DOMCMPT,Albania,FEO,-169465.25818
2019,EN_MAT_DOMCMPT,Albania,MEO,1614536.05837
2019,EN_MAT_DOMCMPT,Albania,BIM,9548268.57957
2019,EN_MAT_DOMCMPT,Albania,NMC,16779475.55261
2019,EN_MAT_DOMCMPT,Albania,WOD,899377.34886
2019,EN_MAT_DOMCMPT,Albania,GBO,3971168.95964
2019,EN_MAT_DOMCMPT,Albania,PET,337446.98571
2019,EN_MAT_DOMCMPT,Albania,CPR,1221384.71214
2019,EN_MAT_DOMCMPT,Albania,ONT,0.0
2019,EN_MAT_DOMCMPT,Albania,COL,1039847.35294
2019,EN_MAT_DOMCMPT,Albania,WCH,19919.49121
2019,EN_MAT_DOMCMPT,Albania,GAS,58906.86789
2000,EN_MAT_DOMCMPT,Azerbaijan,PET,8527000.0
2000,EN_MAT_DOMCMPT,Azerbaijan,WCH,14224.0
2000,EN_MAT_DOMCMPT,Azerbaijan,WOD,116302.28
2000,EN_MAT_DOMCMPT,Azerbaijan,BIM,15280077.445
2000,EN_MAT_DOMCMPT,Azerbaijan,MEO,592947.58664
2000,EN_MAT_DOMCMPT,Azerbaijan,ONT,0.0
2000,EN_MAT_DOMCMPT,Azerbaijan,FOF,10667428.922
2000,EN_MAT_DOMCMPT,Azerbaijan,COL,0.0
2000,EN_MAT_DOMCMPT,Azerbaijan,ALP,32387116.8312
2000,EN_MAT_DOMCMPT,Azerbaijan,NMC,4759482.6082
2000,EN_MAT_DOMCMPT,Azerbaijan,CPR,3049771.245
2000,EN_MAT_DOMCMPT,Azerbaijan,CRO,4554219.0
2000,EN_MAT_DOMCMPT,Azerbaijan,NMA,164118.356
2000,EN_MAT_DOMCMPT,Azerbaijan,NMM,5428293.0992
2000,EN_MAT_DOMCMPT,Azerbaijan,NFO,355629.222
2000,EN_MAT_DOMCMPT,Azerbaijan,GBO,7545109.1
2000,EN_MAT_DOMCMPT,Azerbaijan,GAS,4151200.33
2000,EN_MAT_DOMCMPT,Azerbaijan,FEO,185451.77264
2001,EN_MAT_DOMCMPT,Azerbaijan,PET,6577000.0
2001,EN_MAT_DOMCMPT,Azerbaijan,COL,0.0
2001,EN_MAT_DOMCMPT,Azerbaijan,NFO,65708.636
2001,EN_MAT_DOMCMPT,Azerbaijan,GAS,5973984.52
2001,EN_MAT_DOMCMPT,Azerbaijan,WCH,11051.0
2001,EN_MAT_DOMCMPT,Azerbaijan,CRO,5283902.0
2001,EN_MAT_DOMCMPT,Azerbaijan,BIM,17108510.445
2001,EN_MAT_DOMCMPT,Azerbaijan,ONT,0.0
2001,EN_MAT_DOMCMPT,Azerbaijan,MEO,293620.45925
2001,EN_MAT_DOMCMPT,Azerbaijan,NMM,6685717.2949
2001,EN_MAT_DOMCMPT,Azerbaijan,WOD,112696.0
2001,EN_MAT_DOMCMPT,Azerbaijan,GBO,7823052.1
2001,EN_MAT_DOMCMPT,Azerbaijan,ALP,34141375.2119
2001,EN_MAT_DOMCMPT,Azerbaijan,NMA,145608.042
2001,EN_MAT_DOMCMPT,Azerbaijan,CPR,3865312.465
2001,EN_MAT_DOMCMPT,Azerbaijan,FOF,10453875.726
2001,EN_MAT_DOMCMPT,Azerbaijan,NMC,6164565.6239
2001,EN_MAT_DOMCMPT,Azerbaijan,FEO,165396.04225
2002,EN_MAT_DOMCMPT,Azerbaijan,FOF,10201450.707
2002,EN_MAT_DOMCMPT,Azerbaijan,NMC,9956357.78
2002,EN_MAT_DOMCMPT,Azerbaijan,COL,0.0
2002,EN_MAT_DOMCMPT,Azerbaijan,CPR,4255674.985
2002,EN_MAT_DOMCMPT,Azerbaijan,NMA,143576.073
2002,EN_MAT_DOMCMPT,Azerbaijan,WCH,14620.0
2002,EN_MAT_DOMCMPT,Azerbaijan,GAS,6106114.5
2002,EN_MAT_DOMCMPT,Azerbaijan,FEO,337536.685
2002,EN_MAT_DOMCMPT,Azerbaijan,WOD,159731.84
2002,EN_MAT_DOMCMPT,Azerbaijan,ALP,39425427.905
2002,EN_MAT_DOMCMPT,Azerbaijan,BIM,18456086.085
2002,EN_MAT_DOMCMPT,Azerbaijan,GBO,8189639.9
2002,EN_MAT_DOMCMPT,Azerbaijan,MEO,556466.325
2002,EN_MAT_DOMCMPT,Azerbaijan,CRO,5844554.0
2002,EN_MAT_DOMCMPT,Azerbaijan,NFO,132057.958
2002,EN_MAT_DOMCMPT,Azerbaijan,ONT,0.0
2002,EN_MAT_DOMCMPT,Azerbaijan,NMM,10573231.749
2002,EN_MAT_DOMCMPT,Azerbaijan,PET,6577000.0
2003,EN_MAT_DOMCMPT,Azerbaijan,NMC,12873423.9928
2003,EN_MAT_DOMCMPT,Azerbaijan,CPR,4183979.59
2003,EN_MAT_DOMCMPT,Azerbaijan,MEO,916780.988
2003,EN_MAT_DOMCMPT,Azerbaijan,WCH,12103.0
2003,EN_MAT_DOMCMPT,Azerbaijan,PET,6514000.0
2003,EN_MAT_DOMCMPT,Azerbaijan,NMM,13734874.5258
2003,EN_MAT_DOMCMPT,Azerbaijan,CRO,6053505.0
2003,EN_MAT_DOMCMPT,Azerbaijan,ALP,44395601.8388
2003,EN_MAT_DOMCMPT,Azerbaijan,NMA,182202.711
2003,EN_MAT_DOMCMPT,Azerbaijan,NFO,338632.892
2003,EN_MAT_DOMCMPT,Azerbaijan,FOF,11079058.146
2003,EN_MAT_DOMCMPT,Azerbaijan,GBO,8554920.1
2003,EN_MAT_DOMCMPT,Azerbaijan,FEO,438100.248
2003,EN_MAT_DOMCMPT,Azerbaijan,COL,0.0
2003,EN_MAT_DOMCMPT,Azerbaijan,BIM,18960803.47
2003,EN_MAT_DOMCMPT,Azerbaijan,WOD,160603.56
2003,EN_MAT_DOMCMPT,Azerbaijan,GAS,6190974.14
