Year,SeriesCode,Country,Type of product,Value
2017,EN_MAT_DOMCMPG,Albania,NMM,1.57517
2017,EN_MAT_DOMCMPG,Albania,ONT,0.0
2017,EN_MAT_DOMCMPG,Albania,ALP,2.64518
2017,EN_MAT_DOMCMPG,Albania,CPR,0.09729
2017,EN_MAT_DOMCMPG,Albania,GAS,0.00504
2017,EN_MAT_DOMCMPG,Albania,BIM,0.76072
2017,EN_MAT_DOMCMPG,Albania,WOD,0.06899
2017,EN_MAT_DOMCMPG,Albania,FOF,0.1059
2017,EN_MAT_DOMCMPG,Albania,FEO,-0.01066
2017,EN_MAT_DOMCMPG,Albania,NFO,0.07764
2017,EN_MAT_DOMCMPG,Albania,CRO,0.25573
2017,EN_MAT_DOMCMPG,Albania,PET,0.03856
2017,EN_MAT_DOMCMPG,Albania,NMA,0.07965
2017,EN_MAT_DOMCMPG,Albania,MEO,0.06698
2017,EN_MAT_DOMCMPG,Albania,WCH,0.00153
2017,EN_MAT_DOMCMPG,Albania,NMC,1.49552
2017,EN_MAT_DOMCMPG,Albania,GBO,0.33718
2017,EN_MAT_DOMCMPG,Albania,COL,0.06229
2018,EN_MAT_DOMCMPG,Albania,NMM,1.37342
2018,EN_MAT_DOMCMPG,Albania,PET,0.0258
2018,EN_MAT_DOMCMPG,Albania,MEO,0.12243
2018,EN_MAT_DOMCMPG,Albania,ONT,0.0
2018,EN_MAT_DOMCMPG,Albania,FOF,0.11206
2018,EN_MAT_DOMCMPG,Albania,NMC,1.31712
2018,EN_MAT_DOMCMPG,Albania,COL,0.0819
2018,EN_MAT_DOMCMPG,Albania,WOD,0.0663
2018,EN_MAT_DOMCMPG,Albania,GAS,0.00436
2018,EN_MAT_DOMCMPG,Albania,FEO,-0.01223
2018,EN_MAT_DOMCMPG,Albania,BIM,0.73086
2018,EN_MAT_DOMCMPG,Albania,NMA,0.0563
2018,EN_MAT_DOMCMPG,Albania,NFO,0.13466
2018,EN_MAT_DOMCMPG,Albania,WCH,0.00151
2018,EN_MAT_DOMCMPG,Albania,GBO,0.31741
2018,EN_MAT_DOMCMPG,Albania,ALP,2.50338
2018,EN_MAT_DOMCMPG,Albania,CPR,0.09326
2018,EN_MAT_DOMCMPG,Albania,CRO,0.25238
2019,EN_MAT_DOMCMPG,Albania,NFO,0.13733
2019,EN_MAT_DOMCMPG,Albania,MEO,0.12429
2019,EN_MAT_DOMCMPG,Albania,GAS,0.00453
2019,EN_MAT_DOMCMPG,Albania,GBO,0.3057
2019,EN_MAT_DOMCMPG,Albania,FEO,-0.01305
2019,EN_MAT_DOMCMPG,Albania,CPR,0.09402
2019,EN_MAT_DOMCMPG,Albania,COL,0.08005
2019,EN_MAT_DOMCMPG,Albania,FOF,0.11056
2019,EN_MAT_DOMCMPG,Albania,ONT,0.0
2019,EN_MAT_DOMCMPG,Albania,NMM,1.34936
2019,EN_MAT_DOMCMPG,Albania,PET,0.02598
2019,EN_MAT_DOMCMPG,Albania,ALP,2.43937
2019,EN_MAT_DOMCMPG,Albania,BIM,0.73503
2019,EN_MAT_DOMCMPG,Albania,NMC,1.2917
2019,EN_MAT_DOMCMPG,Albania,NMA,0.05766
2019,EN_MAT_DOMCMPG,Albania,CRO,0.26454
2019,EN_MAT_DOMCMPG,Albania,WCH,0.00153
2019,EN_MAT_DOMCMPG,Albania,WOD,0.06923
2000,EN_MAT_DOMCMPG,Azerbaijan,CRO,0.38767
2000,EN_MAT_DOMCMPG,Azerbaijan,BIM,1.30071
2000,EN_MAT_DOMCMPG,Azerbaijan,NMA,0.01397
2000,EN_MAT_DOMCMPG,Azerbaijan,WOD,0.0099
2000,EN_MAT_DOMCMPG,Azerbaijan,NMC,0.40515
2000,EN_MAT_DOMCMPG,Azerbaijan,MEO,0.05047
2000,EN_MAT_DOMCMPG,Azerbaijan,FOF,0.90806
2000,EN_MAT_DOMCMPG,Azerbaijan,CPR,0.25961
2000,EN_MAT_DOMCMPG,Azerbaijan,ONT,0.0
2000,EN_MAT_DOMCMPG,Azerbaijan,NMM,0.46208
2000,EN_MAT_DOMCMPG,Azerbaijan,PET,0.72585
2000,EN_MAT_DOMCMPG,Azerbaijan,GAS,0.35337
2000,EN_MAT_DOMCMPG,Azerbaijan,WCH,0.00121
2000,EN_MAT_DOMCMPG,Azerbaijan,FEO,0.01579
2000,EN_MAT_DOMCMPG,Azerbaijan,ALP,2.75693
2000,EN_MAT_DOMCMPG,Azerbaijan,NFO,0.03027
2000,EN_MAT_DOMCMPG,Azerbaijan,GBO,0.64227
2000,EN_MAT_DOMCMPG,Azerbaijan,COL,0.0
2001,EN_MAT_DOMCMPG,Azerbaijan,FEO,0.01281
2001,EN_MAT_DOMCMPG,Azerbaijan,NFO,0.00509
2001,EN_MAT_DOMCMPG,Azerbaijan,GBO,0.60593
2001,EN_MAT_DOMCMPG,Azerbaijan,CRO,0.40926
2001,EN_MAT_DOMCMPG,Azerbaijan,COL,0.0
2001,EN_MAT_DOMCMPG,Azerbaijan,NMA,0.01128
2001,EN_MAT_DOMCMPG,Azerbaijan,PET,0.50942
2001,EN_MAT_DOMCMPG,Azerbaijan,ALP,2.6444
2001,EN_MAT_DOMCMPG,Azerbaijan,NMC,0.47747
2001,EN_MAT_DOMCMPG,Azerbaijan,GAS,0.46271
2001,EN_MAT_DOMCMPG,Azerbaijan,BIM,1.32513
2001,EN_MAT_DOMCMPG,Azerbaijan,MEO,0.02274
2001,EN_MAT_DOMCMPG,Azerbaijan,ONT,0.0
2001,EN_MAT_DOMCMPG,Azerbaijan,NMM,0.51784
2001,EN_MAT_DOMCMPG,Azerbaijan,CPR,0.29939
2001,EN_MAT_DOMCMPG,Azerbaijan,WOD,0.00873
2001,EN_MAT_DOMCMPG,Azerbaijan,FOF,0.8097
2001,EN_MAT_DOMCMPG,Azerbaijan,WCH,0.00086
2002,EN_MAT_DOMCMPG,Azerbaijan,NMM,0.74066
2002,EN_MAT_DOMCMPG,Azerbaijan,BIM,1.29287
2002,EN_MAT_DOMCMPG,Azerbaijan,CRO,0.40942
2002,EN_MAT_DOMCMPG,Azerbaijan,PET,0.46072
2002,EN_MAT_DOMCMPG,Azerbaijan,WCH,0.00102
2002,EN_MAT_DOMCMPG,Azerbaijan,CPR,0.29811
2002,EN_MAT_DOMCMPG,Azerbaijan,MEO,0.03898
2002,EN_MAT_DOMCMPG,Azerbaijan,WOD,0.01119
2002,EN_MAT_DOMCMPG,Azerbaijan,FEO,0.02364
2002,EN_MAT_DOMCMPG,Azerbaijan,FOF,0.71462
2002,EN_MAT_DOMCMPG,Azerbaijan,ONT,0.0
2002,EN_MAT_DOMCMPG,Azerbaijan,NMC,0.69745
2002,EN_MAT_DOMCMPG,Azerbaijan,NMA,0.01006
2002,EN_MAT_DOMCMPG,Azerbaijan,COL,0.0
2002,EN_MAT_DOMCMPG,Azerbaijan,GAS,0.42774
2002,EN_MAT_DOMCMPG,Azerbaijan,NFO,0.00925
2002,EN_MAT_DOMCMPG,Azerbaijan,GBO,0.57369
2002,EN_MAT_DOMCMPG,Azerbaijan,ALP,2.76179
2003,EN_MAT_DOMCMPG,Azerbaijan,COL,0.0
2003,EN_MAT_DOMCMPG,Azerbaijan,NMM,0.86556
2003,EN_MAT_DOMCMPG,Azerbaijan,NMC,0.81127
2003,EN_MAT_DOMCMPG,Azerbaijan,GBO,0.53913
2003,EN_MAT_DOMCMPG,Azerbaijan,CPR,0.26367
2003,EN_MAT_DOMCMPG,Azerbaijan,FOF,0.69819
2003,EN_MAT_DOMCMPG,Azerbaijan,MEO,0.05777
2003,EN_MAT_DOMCMPG,Azerbaijan,ONT,0.0
2003,EN_MAT_DOMCMPG,Azerbaijan,PET,0.41051
2003,EN_MAT_DOMCMPG,Azerbaijan,BIM,1.1949
2003,EN_MAT_DOMCMPG,Azerbaijan,CRO,0.38149
2003,EN_MAT_DOMCMPG,Azerbaijan,WOD,0.01012
2003,EN_MAT_DOMCMPG,Azerbaijan,ALP,2.79778
2003,EN_MAT_DOMCMPG,Azerbaijan,NMA,0.01148
2003,EN_MAT_DOMCMPG,Azerbaijan,FEO,0.02761
2003,EN_MAT_DOMCMPG,Azerbaijan,GAS,0.39015
2003,EN_MAT_DOMCMPG,Azerbaijan,NFO,0.02134
2003,EN_MAT_DOMCMPG,Azerbaijan,WCH,0.00076
2004,EN_MAT_DOMCMPG,Azerbaijan,FOF,0.66723
2004,EN_MAT_DOMCMPG,Azerbaijan,ONT,0.0
2004,EN_MAT_DOMCMPG,Azerbaijan,MEO,0.07306
2004,EN_MAT_DOMCMPG,Azerbaijan,FEO,0.02705
2004,EN_MAT_DOMCMPG,Azerbaijan,NFO,0.03718
2004,EN_MAT_DOMCMPG,Azerbaijan,NMA,0.01178
2004,EN_MAT_DOMCMPG,Azerbaijan,CPR,0.25758
2004,EN_MAT_DOMCMPG,Azerbaijan,NMM,1.15864
2004,EN_MAT_DOMCMPG,Azerbaijan,PET,0.38343
