Year,SeriesCode,Страна ,Age,Value
2013,FB_CBK_BRCH,Belgium,15+,41.4571687667172
2014,FB_CBK_BRCH,Belgium,15+,39.8770141733718
2015,FB_CBK_BRCH,Belgium,15+,38.5482104845575
2016,FB_CBK_BRCH,Belgium,15+,36.5514334074784
2017,FB_CBK_BRCH,Belgium,15+,34.7877428466313
2018,FB_CBK_BRCH,Belgium,15+,32.390382820563
2019,FB_CBK_BRCH,Belgium,15+,29.6353322001107
2020,FB_CBK_BRCH,Belgium,15+,26.2273228147013
2005,FB_CBK_BRCH,Bosnia and Herzegovina,15+,27.4945317506982
2006,FB_CBK_BRCH,Bosnia and Herzegovina,15+,28.2853715297965
2007,FB_CBK_BRCH,Bosnia and Herzegovina,15+,31.8067273940145
2008,FB_CBK_BRCH,Bosnia and Herzegovina,15+,33.9076278459383
2009,FB_CBK_BRCH,Bosnia and Herzegovina,15+,32.2918674272061
2010,FB_CBK_BRCH,Bosnia and Herzegovina,15+,31.5147749527999
2011,FB_CBK_BRCH,Bosnia and Herzegovina,15+,32.4449594438007
2012,FB_CBK_BRCH,Bosnia and Herzegovina,15+,32.2353807126615
2013,FB_CBK_BRCH,Bosnia and Herzegovina,15+,33.1860694552748
2014,FB_CBK_BRCH,Bosnia and Herzegovina,15+,34.3523049075351
2015,FB_CBK_BRCH,Bosnia and Herzegovina,15+,31.6512962926011
2016,FB_CBK_BRCH,Bosnia and Herzegovina,15+,30.3020626228743
2017,FB_CBK_BRCH,Bosnia and Herzegovina,15+,30.4659077737441
2018,FB_CBK_BRCH,Bosnia and Herzegovina,15+,30.5318183903908
2019,FB_CBK_BRCH,Bosnia and Herzegovina,15+,30.0075604847659
2020,FB_CBK_BRCH,Bosnia and Herzegovina,15+,29.9176995820793
2021,FB_CBK_BRCH,Bosnia and Herzegovina,15+,29.8455288359636
2004,FB_CBK_BRCH,Bulgaria,15+,84.9293276882406
2005,FB_CBK_BRCH,Bulgaria,15+,85.443098720258
2006,FB_CBK_BRCH,Bulgaria,15+,84.5304937253183
2007,FB_CBK_BRCH,Bulgaria,15+,88.3712904765237
2008,FB_CBK_BRCH,Bulgaria,15+,92.3383804763588
2009,FB_CBK_BRCH,Bulgaria,15+,92.2615150004872
2010,FB_CBK_BRCH,Bulgaria,15+,91.8957743418682
2011,FB_CBK_BRCH,Bulgaria,15+,60.0220984721791
2012,FB_CBK_BRCH,Bulgaria,15+,61.3571165204036
2013,FB_CBK_BRCH,Bulgaria,15+,60.7751065163709
2014,FB_CBK_BRCH,Bulgaria,15+,60.3950363917156
