Year,SeriesCode,Страна ,Location,Value
2018,SH_SAN_DEFECT,Albania,RURAL,0.0661
2019,SH_SAN_DEFECT,Albania,ALLAREA,0.0
2019,SH_SAN_DEFECT,Albania,RURAL,0.0
2019,SH_SAN_DEFECT,Albania,URBAN,0.0
2020,SH_SAN_DEFECT,Albania,ALLAREA,0.0
2020,SH_SAN_DEFECT,Albania,RURAL,0.0
2020,SH_SAN_DEFECT,Albania,URBAN,0.0
2021,SH_SAN_DEFECT,Albania,ALLAREA,0.0
2021,SH_SAN_DEFECT,Albania,URBAN,0.0
2021,SH_SAN_DEFECT,Albania,RURAL,0.0
2003,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2004,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2004,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2004,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2005,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2005,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2005,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2006,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2006,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2006,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2007,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2007,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2007,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2008,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2008,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2008,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2009,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2009,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2009,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2010,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2010,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2010,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2011,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2011,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2011,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2012,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2012,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2012,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2013,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2013,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2013,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2014,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2014,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2014,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2015,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2015,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2015,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2016,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2016,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2016,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2017,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2017,SH_SAN_DEFECT,Bulgaria,RURAL,0.0
2017,SH_SAN_DEFECT,Bulgaria,URBAN,0.0
2018,SH_SAN_DEFECT,Bulgaria,ALLAREA,0.0
2000,SH_SAN_DEFECT,Estonia,URBAN,0.0
2000,SH_SAN_DEFECT,Estonia,ALLAREA,0.0
2000,SH_SAN_DEFECT,Estonia,RURAL,0.0
2001,SH_SAN_DEFECT,Estonia,URBAN,0.0
2001,SH_SAN_DEFECT,Estonia,ALLAREA,0.0
2001,SH_SAN_DEFECT,Estonia,RURAL,0.0
2002,SH_SAN_DEFECT,Estonia,ALLAREA,0.0
2002,SH_SAN_DEFECT,Estonia,RURAL,0.0
2002,SH_SAN_DEFECT,Estonia,URBAN,0.0
2003,SH_SAN_DEFECT,Estonia,ALLAREA,0.0
2003,SH_SAN_DEFECT,Estonia,RURAL,0.0
2009,SH_SAN_DEFECT,Казахстан,URBAN,0.0
2009,SH_SAN_DEFECT,Казахстан,ALLAREA,0.03073
2009,SH_SAN_DEFECT,Казахстан,RURAL,0.07106
2010,SH_SAN_DEFECT,Казахстан,RURAL,0.07103
2010,SH_SAN_DEFECT,Казахстан,URBAN,0.0
2010,SH_SAN_DEFECT,Казахстан,ALLAREA,0.03066
2011,SH_SAN_DEFECT,Казахстан,ALLAREA,0.0306
2011,SH_SAN_DEFECT,Казахстан,RURAL,0.07099
2011,SH_SAN_DEFECT,Казахстан,URBAN,0.0
2012,SH_SAN_DEFECT,Казахстан,RURAL,0.07095
2012,SH_SAN_DEFECT,Казахстан,URBAN,0.0
