Year,SeriesCode,GeoAreaName,Age,Freq,Location,Sex,Value
2009,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2010,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2011,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2012,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2018,"ER_PTD_FRHWTR","Finland","","","","",75.80764
2019,"ER_PTD_FRHWTR","Finland","","","","",75.81041
2020,"ER_PTD_FRHWTR","Finland","","","","",75.81041
2021,"ER_PTD_FRHWTR","Finland","","","","",75.81041
2022,"ER_PTD_FRHWTR","Finland","","","","",75.81041
2000,"ER_PTD_FRHWTR","France","","","","",32.51417
2014,"ER_PTD_FRHWTR","Australia","","","","",33.50694
2015,"ER_PTD_FRHWTR","Australia","","","","",33.52467
2016,"ER_PTD_FRHWTR","Australia","","","","",34.93561
2017,"ER_PTD_FRHWTR","Australia","","","","",35.28953
2018,"ER_PTD_FRHWTR","Australia","","","","",37.13276
2019,"ER_PTD_FRHWTR","Australia","","","","",37.44022
2001,"ER_PTD_FRHWTR","France","","","","",33.63129
2002,"ER_PTD_FRHWTR","France","","","","",33.63129
2003,"ER_PTD_FRHWTR","France","","","","",35.00165
2004,"ER_PTD_FRHWTR","France","","","","",35.68437
2005,"ER_PTD_FRHWTR","France","","","","",36.43772
2006,"ER_PTD_FRHWTR","France","","","","",40.07035
2007,"ER_PTD_FRHWTR","France","","","","",42.28349
2008,"ER_PTD_FRHWTR","France","","","","",45.09359
2009,"ER_PTD_FRHWTR","France","","","","",48.0168
2010,"ER_PTD_FRHWTR","France","","","","",48.08091
2011,"ER_PTD_FRHWTR","France","","","","",48.26182
2012,"ER_PTD_FRHWTR","France","","","","",48.62684
2013,"ER_PTD_FRHWTR","Belarus","","","","",81.99909
2014,"ER_PTD_FRHWTR","Belarus","","","","",88.94108
2015,"ER_PTD_FRHWTR","Belarus","","","","",90.17736
2016,"ER_PTD_FRHWTR","Belarus","","","","",90.17736
2017,"ER_PTD_FRHWTR","Belarus","","","","",90.17736
2018,"ER_PTD_FRHWTR","Belarus","","","","",90.17736
2013,"ER_PTD_FRHWTR","France","","","","",49.39886
2014,"ER_PTD_FRHWTR","France","","","","",57.29339
2015,"ER_PTD_FRHWTR","France","","","","",59.50041
2016,"ER_PTD_FRHWTR","France","","","","",60.95331
2017,"ER_PTD_FRHWTR","France","","","","",63.19499
2018,"ER_PTD_FRHWTR","France","","","","",71.20825
2020,"ER_PTD_FRHWTR","Australia","","","","",37.64578
2021,"ER_PTD_FRHWTR","Australia","","","","",37.64578
2022,"ER_PTD_FRHWTR","Australia","","","","",37.64578
2000,"ER_PTD_FRHWTR","Austria","","","","",68.20649
2001,"ER_PTD_FRHWTR","Austria","","","","",68.20649
2002,"ER_PTD_FRHWTR","Austria","","","","",68.20649
2003,"ER_PTD_FRHWTR","Austria","","","","",68.20649
2004,"ER_PTD_FRHWTR","Austria","","","","",68.22149
2005,"ER_PTD_FRHWTR","Austria","","","","",68.22149
2006,"ER_PTD_FRHWTR","Austria","","","","",68.22149
2007,"ER_PTD_FRHWTR","Austria","","","","",68.22149
2008,"ER_PTD_FRHWTR","Austria","","","","",68.22149
2019,"ER_PTD_FRHWTR","Belarus","","","","",90.17736
2020,"ER_PTD_FRHWTR","Belarus","","","","",90.17736
2021,"ER_PTD_FRHWTR","Belarus","","","","",90.17736
2022,"ER_PTD_FRHWTR","Belarus","","","","",90.17736
2000,"ER_PTD_FRHWTR","Canada","","","","",18.18936
2001,"ER_PTD_FRHWTR","Canada","","","","",18.47087
2019,"ER_PTD_FRHWTR","France","","","","",75.82114
2020,"ER_PTD_FRHWTR","France","","","","",77.98986
2021,"ER_PTD_FRHWTR","France","","","","",77.98986
2022,"ER_PTD_FRHWTR","France","","","","",77.98986
2000,"ER_PTD_FRHWTR","Georgia","","","","",21.27444
2001,"ER_PTD_FRHWTR","Georgia","","","","",21.27444
2009,"ER_PTD_FRHWTR","Austria","","","","",68.22149
2010,"ER_PTD_FRHWTR","Austria","","","","",68.22149
2011,"ER_PTD_FRHWTR","Austria","","","","",68.8131
2012,"ER_PTD_FRHWTR","Austria","","","","",68.8131
2013,"ER_PTD_FRHWTR","Austria","","","","",68.8131
2014,"ER_PTD_FRHWTR","Austria","","","","",68.8131
2002,"ER_PTD_FRHWTR","Canada","","","","",18.84393
2003,"ER_PTD_FRHWTR","Canada","","","","",19.59274
2004,"ER_PTD_FRHWTR","Canada","","","","",19.60958
2005,"ER_PTD_FRHWTR","Canada","","","","",21.75959
2006,"ER_PTD_FRHWTR","Canada","","","","",21.80293
2007,"ER_PTD_FRHWTR","Canada","","","","",21.89675
2015,"ER_PTD_FRHWTR","Austria","","","","",68.8131
2016,"ER_PTD_FRHWTR","Austria","","","","",68.8131
2017,"ER_PTD_FRHWTR","Austria","","","","",68.8131
2018,"ER_PTD_FRHWTR","Austria","","","","",71.22317
2019,"ER_PTD_FRHWTR","Austria","","","","",71.22317
2020,"ER_PTD_FRHWTR","Austria","","","","",71.22317
2021,"ER_PTD_FRHWTR","Austria","","","","",71.22317
2022,"ER_PTD_FRHWTR","Austria","","","","",71.22317
2000,"ER_PTD_FRHWTR","Armenia","","","","",24.97653
2001,"ER_PTD_FRHWTR","Armenia","","","","",24.97653
2002,"ER_PTD_FRHWTR","Armenia","","","","",24.97653
2003,"ER_PTD_FRHWTR","Armenia","","","","",24.97653
2008,"ER_PTD_FRHWTR","Canada","","","","",21.90321
2009,"ER_PTD_FRHWTR","Canada","","","","",21.90795
2010,"ER_PTD_FRHWTR","Canada","","","","",21.91288
2011,"ER_PTD_FRHWTR","Canada","","","","",22.00754
2012,"ER_PTD_FRHWTR","Canada","","","","",22.01413
2013,"ER_PTD_FRHWTR","Canada","","","","",22.05563
2014,"ER_PTD_FRHWTR","Canada","","","","",22.06991
2015,"ER_PTD_FRHWTR","Canada","","","","",22.13071
2016,"ER_PTD_FRHWTR","Canada","","","","",22.3434
2017,"ER_PTD_FRHWTR","Canada","","","","",22.39877
2018,"ER_PTD_FRHWTR","Canada","","","","",22.8151
2019,"ER_PTD_FRHWTR","Canada","","","","",22.82228
2002,"ER_PTD_FRHWTR","Georgia","","","","",21.27444
2003,"ER_PTD_FRHWTR","Georgia","","","","",22.1542
2004,"ER_PTD_FRHWTR","Georgia","","","","",22.1542
2005,"ER_PTD_FRHWTR","Georgia","","","","",22.1542
2006,"ER_PTD_FRHWTR","Georgia","","","","",22.46065
2007,"ER_PTD_FRHWTR","Georgia","","","","",22.46065
2020,"ER_PTD_FRHWTR","Canada","","","","",22.96889
2021,"ER_PTD_FRHWTR","Canada","","","","",22.97617
2022,"ER_PTD_FRHWTR","Canada","","","","",22.97617
2000,"ER_PTD_FRHWTR","Chile","","","","",36.42388
2001,"ER_PTD_FRHWTR","Chile","","","","",36.42388
2002,"ER_PTD_FRHWTR","Chile","","","","",36.42388
2003,"ER_PTD_FRHWTR","Chile","","","","",36.42388
2004,"ER_PTD_FRHWTR","Chile","","","","",36.42388
2005,"ER_PTD_FRHWTR","Chile","","","","",36.57369
2006,"ER_PTD_FRHWTR","Chile","","","","",36.57369
2007,"ER_PTD_FRHWTR","Chile","","","","",36.57369
2008,"ER_PTD_FRHWTR","Chile","","","","",36.57369
2009,"ER_PTD_FRHWTR","Chile","","","","",39.40703
2010,"ER_PTD_FRHWTR","Chile","","","","",39.41323
2011,"ER_PTD_FRHWTR","Chile","","","","",39.41323
2012,"ER_PTD_FRHWTR","Chile","","","","",39.41323
2013,"ER_PTD_FRHWTR","Chile","","","","",43.5737
2014,"ER_PTD_FRHWTR","Chile","","","","",43.5737
2004,"ER_PTD_FRHWTR","Armenia","","","","",24.97653
2005,"ER_PTD_FRHWTR","Armenia","","","","",24.97653
2006,"ER_PTD_FRHWTR","Armenia","","","","",24.97653
2007,"ER_PTD_FRHWTR","Armenia","","","","",24.97653
2008,"ER_PTD_FRHWTR","Armenia","","","","",24.97653
2009,"ER_PTD_FRHWTR","Armenia","","","","",26.79856
2010,"ER_PTD_FRHWTR","Armenia","","","","",26.79856
2011,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2012,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2013,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2014,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2015,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2015,"ER_PTD_FRHWTR","Chile","","","","",43.5737
2016,"ER_PTD_FRHWTR","Chile","","","","",43.5737
2017,"ER_PTD_FRHWTR","Chile","","","","",43.5737
2018,"ER_PTD_FRHWTR","Chile","","","","",43.5737
2019,"ER_PTD_FRHWTR","Chile","","","","",43.5737
2020,"ER_PTD_FRHWTR","Chile","","","","",47.65985
2021,"ER_PTD_FRHWTR","Chile","","","","",47.65985
2022,"ER_PTD_FRHWTR","Chile","","","","",47.65985
2000,"ER_PTD_FRHWTR","China","","","","",2.66203
2001,"ER_PTD_FRHWTR","China","","","","",2.66203
2002,"ER_PTD_FRHWTR","China","","","","",4.03202
2003,"ER_PTD_FRHWTR","China","","","","",4.03202
2016,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2017,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2018,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2019,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2020,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2021,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2022,"ER_PTD_FRHWTR","Armenia","","","","",30.53009
2000,"ER_PTD_FRHWTR","Belgium","","","","",65.57246
2001,"ER_PTD_FRHWTR","Belgium","","","","",65.57469
2002,"ER_PTD_FRHWTR","Belgium","","","","",67.38698
2003,"ER_PTD_FRHWTR","Belgium","","","","",79.59635
2004,"ER_PTD_FRHWTR","Belgium","","","","",79.5964
2005,"ER_PTD_FRHWTR","Belgium","","","","",80.85379
2006,"ER_PTD_FRHWTR","Belgium","","","","",80.89279
2007,"ER_PTD_FRHWTR","Belgium","","","","",80.89435
2008,"ER_PTD_FRHWTR","Belgium","","","","",80.89435
2009,"ER_PTD_FRHWTR","Belgium","","","","",80.94226
2010,"ER_PTD_FRHWTR","Belgium","","","","",80.9442
