Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2016,"SP_DYN_ADKL","China","15-19","","FEMALE",8.33
2017,"SP_DYN_ADKL","China","15-19","","FEMALE",8.49
2019,"SP_DYN_ADKL","China","15-19","","FEMALE",6.21
2020,"SP_DYN_ADKL","China","15-19","","FEMALE",6.07
2001,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",2.78
2001,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",80.08
2004,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",77.29
2004,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",2.95
2005,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",76.26
2008,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",29.52
2009,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",29.35
2009,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.04
2010,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",28.50
2010,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.04
2011,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",29.39
2012,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",31.02
2012,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.03
2013,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.04
2014,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.04
2015,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.03
2005,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",3.05
2006,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",3.07
2006,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",76.52
2007,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",77.07
2007,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",3.08
2009,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",3.21
2009,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",73.62
2011,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",71.17
2012,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",3.19
2013,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",3.16
2013,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",70.76
2014,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",69.07
2015,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",65.65
2015,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",3.04
2016,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",63.24
2017,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",62.48
2018,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",2.85
2018,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",59.74
2019,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",57.46
2020,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",54.34
2021,"SP_DYN_ADKL","Colombia","15-19","","FEMALE",52.78
2021,"SP_DYN_ADKL","Colombia","10-14","","FEMALE",2.55
2015,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",30.07
2016,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",27.16
2017,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.02
2018,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.02
2019,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",22.51
2019,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.02
2020,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",22.23
2020,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.02
2021,"SP_DYN_ADKL","Kazakhstan","10-14","","FEMALE",0.02
2021,"SP_DYN_ADKL","Kazakhstan","15-19","","FEMALE",22.88
2000,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.01
2000,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",3.00
2001,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",2.95
2001,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",76.64
2002,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",2.32
2003,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",71.38
2003,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",2.36
2004,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",70.46
2007,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",68.22
2007,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",2.51
2008,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",2.66
2009,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",2.82
2009,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",69.38
2011,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",65.64
2013,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",62.97
2013,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",2.53
2014,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",2.76
2014,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",61.19
2015,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",57.54
2015,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",2.38
2016,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",1.94
2016,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",54.77
2017,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",51.54
2000,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",2.63
2004,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.03
2004,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",2.37
2005,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.03
2006,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.03
2006,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",2.21
2009,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.03
2010,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",1.77
2010,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.04
2011,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.02
2011,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",1.79
2017,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",1.68
2018,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",1.43
2019,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",1.47
2019,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",41.86
2020,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",1.23
2020,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",32.58
2021,"SP_DYN_ADKL","Costa Rica","10-14","","FEMALE",1.08
2021,"SP_DYN_ADKL","Costa Rica","15-19","","FEMALE",26.86
2000,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.08
2001,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.11
2005,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",14.80
2006,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",14.41
2007,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",14.28
2008,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.14
2009,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.12
2010,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",12.42
2011,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",11.90
2011,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.11
2012,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",11.37
2013,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.09
2015,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.08
2016,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",9.61
2016,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.09
2012,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.03
2013,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.02
2014,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.03
2015,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",1.41
2015,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.02
2016,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",1.25
2016,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.02
2017,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.01
2017,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",1.05
2018,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",0.94
2018,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.01
2017,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",9.26
2018,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",8.60
2018,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.05
2019,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.05
2020,"SP_DYN_ADKL","Croatia","10-14","","FEMALE",0.03
2020,"SP_DYN_ADKL","Croatia","15-19","","FEMALE",7.58
2000,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",9.96
2000,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.00
2001,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",7.83
2001,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.00
2002,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.00
2002,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",7.42
2003,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.00
2004,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.00
2005,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.00
2005,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",6.47
2006,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.00
2006,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",6.19
2007,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.00
2008,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.00
2008,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",6.26
2009,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",5.45
2010,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.04
2011,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",5.58
2019,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.02
2019,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",0.84
2020,"SP_DYN_ADKL","Republic of Korea","15-19","","FEMALE",0.74
2020,"SP_DYN_ADKL","Republic of Korea","10-14","","FEMALE",0.02
2000,"SP_DYN_ADKL","Kyrgyzstan","15-19","","FEMALE",32.81
2001,"SP_DYN_ADKL","Kyrgyzstan","15-19","","FEMALE",31.00
2001,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.01
2002,"SP_DYN_ADKL","Kyrgyzstan","15-19","","FEMALE",28.36
2003,"SP_DYN_ADKL","Kyrgyzstan","15-19","","FEMALE",26.26
2003,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.02
2004,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.01
2006,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.01
2007,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.01
2008,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.01
