Year,SeriesCode,GeoAreaName,Disability status,Sex,Value
2012,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",9
2012,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",10.16
2012,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",9.41
2006,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","BOTHSEX",7.28
2006,"SL_TLF_UEMDIS_19ICLS","Austria","_T","BOTHSEX",8.07
2006,"SL_TLF_UEMDIS_19ICLS","Austria","PD","MALE",30.28
2006,"SL_TLF_UEMDIS_19ICLS","Austria","_T","FEMALE",8.69
2006,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","MALE",6.61
2006,"SL_TLF_UEMDIS_19ICLS","Austria","PD","BOTHSEX",28.25
2006,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","FEMALE",8.15
2006,"SL_TLF_UEMDIS_19ICLS","Austria","_T","MALE",7.6
2006,"SL_TLF_UEMDIS_19ICLS","Austria","PD","FEMALE",24.82
2007,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",4.44
2007,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",5.46
2007,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",5.91
2007,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",5.43
2007,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",4.47
2007,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",5.9
2008,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",4.01
2008,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",4.02
2008,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",5.72
2018,"SL_TLF_UEMDIS_19ICLS","United Kingdom of Great Britain and Northern Ireland","PD","BOTHSEX",12.42
2018,"SL_TLF_UEMDIS_19ICLS","United Kingdom of Great Britain and Northern Ireland","_T","BOTHSEX",3.7
2018,"SL_TLF_UEMDIS_19ICLS","United Kingdom of Great Britain and Northern Ireland","_T","MALE",4.02
2018,"SL_TLF_UEMDIS_19ICLS","United Kingdom of Great Britain and Northern Ireland","PWD","FEMALE",2.98
2018,"SL_TLF_UEMDIS_19ICLS","United Kingdom of Great Britain and Northern Ireland","PD","MALE",14.29
2018,"SL_TLF_UEMDIS_19ICLS","United Kingdom of Great Britain and Northern Ireland","PWD","BOTHSEX",3.33
