Year,SeriesCode,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2020,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.42955
2020,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.64186
2021,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.69
2021,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.17
2021,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.43
2021,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",0.82
2021,"SG_DMK_PSRVC","Cyprus","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.66
2019,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.21438
2019,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.96664
2019,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.76658
2019,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.43392
2019,"SG_DMK_PSRVC","Denmark","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.72929
2019,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.51817
2019,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","POP_C","BOTHSEX","TOTAL_PSP",0.64
2019,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","POP_B","BOTHSEX","TOTAL_PSP",0.54
2019,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.66896
2019,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","POP_A","BOTHSEX","TOTAL_PSP",1.07
2020,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.43
2020,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.75
2020,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.98
2020,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.52
2020,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.22
2020,"SG_DMK_PSRVC","Denmark","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.66
2020,"SG_DMK_PSRVC","Denmark","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.34701
2020,"SG_DMK_PSRVC","Estonia","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.69935
2021,"SG_DMK_PSRVC","Estonia","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.19
2021,"SG_DMK_PSRVC","Estonia","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.88
2021,"SG_DMK_PSRVC","Estonia","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.09
2021,"SG_DMK_PSRVC","Estonia","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.42
2021,"SG_DMK_PSRVC","Estonia","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.16
2021,"SG_DMK_PSRVC","Estonia","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.74
2021,"SG_DMK_PSRVC","Estonia","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",1.1285
2019,"SG_DMK_PSRVC","France","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.81346
2019,"SG_DMK_PSRVC","France","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",0.97232
2019,"SG_DMK_PSRVC","France","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.16833
2019,"SG_DMK_PSRVC","France","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.16964
2019,"SG_DMK_PSRVC","Germany","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",1.06583
2020,"SG_DMK_PSRVC","Greece","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.02294
2020,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.21719
2020,"SG_DMK_PSRVC","Israel","ALLAGE","PD","TOTAL","BOTHSEX","TOTAL_PSP",0.41
2020,"SG_DMK_PSRVC","Israel","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",1.32624
2020,"SG_DMK_PSRVC","Israel","ALLAGE","_T","POP_B","BOTHSEX","TOTAL_PSP",1.15
2020,"SG_DMK_PSRVC","Israel","ALLAGE","_T","POP_A","BOTHSEX","TOTAL_PSP",0.53
2020,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.68559
2020,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.70909
2020,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.80724
2020,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.57904
2021,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.8
2021,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",0.8
2021,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.21
2021,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.8
2021,"SG_DMK_PSRVC","Israel","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.53
2021,"SG_DMK_PSRVC","Israel","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",1.33219
2021,"SG_DMK_PSRVC","Israel","ALLAGE","_T","POP_B","BOTHSEX","TOTAL_PSP",1.14
2021,"SG_DMK_PSRVC","Israel","ALLAGE","_T","POP_A","BOTHSEX","TOTAL_PSP",0.535
2021,"SG_DMK_PSRVC","Israel","ALLAGE","PD","TOTAL","BOTHSEX","TOTAL_PSP",0.43833
2018,"SG_DMK_PSRVC","Japan","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",1.32118
2018,"SG_DMK_PSRVC","Japan","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",0.76
2021,"SG_DMK_PSRVC","Kazakhstan","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.25061
2021,"SG_DMK_PSRVC","Kazakhstan","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.09127
2022,"SG_DMK_PSRVC","Kazakhstan","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",0.26
2022,"SG_DMK_PSRVC","Kazakhstan","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.08
2020,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.81915
2020,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.25533
