Year,SeriesCode,GeoAreaName,Fiscal intervention stage,Value
2019,"SI_DST_FISP","Estonia","POSTFIS_DIS_INC",28.690843
2020,"SI_DST_FISP","Estonia","PREFIS_INC",39.365542
2020,"SI_DST_FISP","Estonia","POSTFIS_DIS_INC",28.951989
2015,"SI_DST_FISP","Finland","PREFIS_INC",42.390000
2015,"SI_DST_FISP","Finland","POSTFIS_DIS_INC",26.228000
2016,"SI_DST_FISP","Finland","POSTFIS_DIS_INC",26.719000
2016,"SI_DST_FISP","Finland","PREFIS_INC",43.562000
2017,"SI_DST_FISP","Finland","PREFIS_INC",43.336000
2017,"SI_DST_FISP","Finland","POSTFIS_DIS_INC",26.540000
2018,"SI_DST_FISP","Finland","POSTFIS_DIS_INC",27.521000
2018,"SI_DST_FISP","Finland","PREFIS_INC",43.554000
2019,"SI_DST_FISP","Finland","PREFIS_INC",42.857000
2019,"SI_DST_FISP","Finland","POSTFIS_DIS_INC",27.540000
2015,"SI_DST_FISP","France","PREFIS_INC",45.400000
2015,"SI_DST_FISP","France","POSTFIS_DIS_INC",29.900000
2016,"SI_DST_FISP","France","PREFIS_INC",45.200000
2016,"SI_DST_FISP","France","POSTFIS_DIS_INC",29.600000
2017,"SI_DST_FISP","France","PREFIS_INC",45.100000
2017,"SI_DST_FISP","France","POSTFIS_DIS_INC",29.600000
2018,"SI_DST_FISP","France","POSTFIS_DIS_INC",30.700000
2018,"SI_DST_FISP","France","PREFIS_INC",45.800000
2019,"SI_DST_FISP","France","PREFIS_INC",44.500000
2019,"SI_DST_FISP","France","POSTFIS_DIS_INC",29.700000
2013,"SI_DST_FISP","Georgia","PREFIS_INC",50.744780
2013,"SI_DST_FISP","Georgia","POSTFIS_DIS_INC",39.486930
2013,"SI_DST_FISP","Georgia","POSTFIS_CON_INC",41.130300
2015,"SI_DST_FISP","Germany","PREFIS_INC",41.030000
2015,"SI_DST_FISP","Germany","POSTFIS_DIS_INC",29.430000
2016,"SI_DST_FISP","Germany","PREFIS_INC",41.917000
2016,"SI_DST_FISP","Germany","POSTFIS_DIS_INC",30.050000
2017,"SI_DST_FISP","Germany","PREFIS_INC",41.546000
2017,"SI_DST_FISP","Germany","POSTFIS_DIS_INC",30.060000
2018,"SI_DST_FISP","Germany","PREFIS_INC",40.962000
2018,"SI_DST_FISP","Germany","POSTFIS_DIS_INC",29.551000
2019,"SI_DST_FISP","Germany","PREFIS_INC",40.530000
2019,"SI_DST_FISP","Germany","POSTFIS_DIS_INC",29.413000
2015,"SI_DST_FISP","Greece","PREFIS_INC",50.411384
2015,"SI_DST_FISP","Greece","POSTFIS_DIS_INC",34.955279
2016,"SI_DST_FISP","Greece","PREFIS_INC",49.183109
2016,"SI_DST_FISP","Greece","POSTFIS_DIS_INC",35.430129
2017,"SI_DST_FISP","Greece","PREFIS_INC",47.540503
2017,"SI_DST_FISP","Greece","POSTFIS_DIS_INC",34.448215
2018,"SI_DST_FISP","Greece","PREFIS_INC",46.744698
2018,"SI_DST_FISP","Greece","POSTFIS_DIS_INC",33.134895
2019,"SI_DST_FISP","Greece","PREFIS_INC",45.473481
2019,"SI_DST_FISP","Greece","POSTFIS_DIS_INC",31.601518
2020,"SI_DST_FISP","Greece","PREFIS_INC",45.295949
2020,"SI_DST_FISP","Greece","POSTFIS_DIS_INC",31.743328
2015,"SI_DST_FISP","Hungary","PREFIS_INC",42.465365
2015,"SI_DST_FISP","Hungary","POSTFIS_DIS_INC",28.816211
2016,"SI_DST_FISP","Hungary","PREFIS_INC",42.305553
2016,"SI_DST_FISP","Hungary","POSTFIS_DIS_INC",29.101265
2017,"SI_DST_FISP","Hungary","PREFIS_INC",40.896112
2017,"SI_DST_FISP","Hungary","POSTFIS_DIS_INC",28.640606
2018,"SI_DST_FISP","Hungary","PREFIS_INC",40.465225
2018,"SI_DST_FISP","Hungary","POSTFIS_DIS_INC",29.379279
2019,"SI_DST_FISP","Hungary","PREFIS_INC",39.115711
2019,"SI_DST_FISP","Hungary","POSTFIS_DIS_INC",28.700918
2020,"SI_DST_FISP","Hungary","PREFIS_INC",38.602367
2020,"SI_DST_FISP","Hungary","POSTFIS_DIS_INC",28.066106
2015,"SI_DST_FISP","Iceland","PREFIS_INC",33.050348
2015,"SI_DST_FISP","Iceland","POSTFIS_DIS_INC",24.345049
2016,"SI_DST_FISP","Iceland","POSTFIS_DIS_INC",25.631502
2016,"SI_DST_FISP","Iceland","PREFIS_INC",33.086683
2017,"SI_DST_FISP","Iceland","PREFIS_INC",32.589317
2017,"SI_DST_FISP","Iceland","POSTFIS_DIS_INC",26.203221
2018,"SI_DST_FISP","Iceland","PREFIS_INC",31.727957
2018,"SI_DST_FISP","Iceland","POSTFIS_DIS_INC",24.884384
2015,"SI_DST_FISP","Ireland","PREFIS_INC",50.655401
2015,"SI_DST_FISP","Ireland","POSTFIS_DIS_INC",30.033270
2016,"SI_DST_FISP","Ireland","PREFIS_INC",49.769354
2016,"SI_DST_FISP","Ireland","POSTFIS_DIS_INC",30.010895
2017,"SI_DST_FISP","Ireland","PREFIS_INC",49.424531
2017,"SI_DST_FISP","Ireland","POSTFIS_DIS_INC",31.129261
2018,"SI_DST_FISP","Ireland","PREFIS_INC",47.932418
2018,"SI_DST_FISP","Ireland","POSTFIS_DIS_INC",29.275797
2019,"SI_DST_FISP","Ireland","PREFIS_INC",46.596949
2019,"SI_DST_FISP","Ireland","POSTFIS_DIS_INC",29.372975
2015,"SI_DST_FISP","Israel","PREFIS_INC",42.912000
2015,"SI_DST_FISP","Israel","POSTFIS_DIS_INC",34.646000
2016,"SI_DST_FISP","Israel","POSTFIS_DIS_INC",33.471000
2016,"SI_DST_FISP","Israel","PREFIS_INC",42.135000
