Year,SeriesCode,GeoAreaName,Activity,Value
2010,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",20.96
2011,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",19.49
2012,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",20.83
2013,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",19.76
2014,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",19.23
2015,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",19.86
2016,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",19.99
2017,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",18.65
2018,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",19.02
2019,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",18.56
2020,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",18.57
2021,"SL_TLF_MANF_19ICLS","Bulgaria","ISIC4_C",18.31
2000,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",15.19
2001,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",14.88
2002,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",14.97
2003,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",14.54
2004,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",14.43
2005,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",13.67
2006,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",12.82
2007,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",12.08
2008,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",11.33
2009,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",10.43
2010,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",10.08
2011,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",10
2012,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",10.02
2013,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",9.74
2014,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",9.61
2015,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",9.54
2016,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",9.37
2017,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",9.36
2018,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",9.26
2019,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",9.09
2020,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",9.18
2021,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",9.19
2022,"SL_TLF_MANF_19ICLS","Canada","ISIC4_C",8.93
2000,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",13.95
2001,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",14.27
2002,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",14.11
2003,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",13.29
2006,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",13.51
2009,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",10.29
2010,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",11.26
2011,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",11.49
2012,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",11.56
2013,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",11.38
2014,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",11.31
2015,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",11.16
2016,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",10.86
2017,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",10.77
2018,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",10.35
2019,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",9.86
2020,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",10.08
2021,"SL_TLF_MANF_19ICLS","Chile","ISIC4_C",9.96
2011,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",10.85
2012,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",9.74
2013,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",8.76
2014,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",9.06
2015,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",10.58
2016,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",9.99
2017,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",10.14
2018,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",11.03
2019,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",10.45
2020,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",10.6
2021,"SL_TLF_MANF_19ICLS","Costa Rica","ISIC4_C",10.45
2001,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",18.47
2002,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",20.45
2003,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",19.72
2004,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",19.21
2005,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",18.06
2006,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",19.04
2007,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",19.15
2008,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",18.62
2009,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.38
2010,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",16.62
2011,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.25
2012,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.49
2013,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.15
2014,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.15
2015,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",16.63
2016,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.03
2017,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17
2018,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.28
2019,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.81
2020,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.7
2021,"SL_TLF_MANF_19ICLS","Croatia","ISIC4_C",17.73
2000,"SL_TLF_MANF_19ICLS","Cyprus","ISIC4_C",12.79
2001,"SL_TLF_MANF_19ICLS","Cyprus","ISIC4_C",12.75
2002,"SL_TLF_MANF_19ICLS","Cyprus","ISIC4_C",12.22
2003,"SL_TLF_MANF_19ICLS","Cyprus","ISIC4_C",10.97
2004,"SL_TLF_MANF_19ICLS","Cyprus","ISIC4_C",11.11
2005,"SL_TLF_MANF_19ICLS","Cyprus","ISIC4_C",11.5
