Year,SeriesCode,GeoAreaName,Type of renewable technology,Value
2008,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2008,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2000,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2000,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2000,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2001,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2001,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2002,"EG_IFF_RANDN","Armenia","WIND",0
2002,"EG_IFF_RANDN","Armenia","HYDROPOWER",0
2002,"EG_IFF_RANDN","Armenia","MULTIPLE",0.05
2002,"EG_IFF_RANDN","Armenia","SOLAR",0
2003,"EG_IFF_RANDN","Armenia","MULTIPLE",2.62
2008,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2008,"EG_IFF_RANDN","Azerbaijan","WIND",0
2009,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2009,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2009,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0.17
2009,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2009,"EG_IFF_RANDN","Azerbaijan","WIND",0
2009,"EG_IFF_RANDN","Azerbaijan","ALL",0.17
2009,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2009,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2001,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",3.7
2001,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",3.03
2001,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",6.73
2001,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2001,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2001,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0
2002,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0
2002,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2002,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2002,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",0.31
2002,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2002,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",0.31
2002,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2002,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2003,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2003,"EG_IFF_RANDN","Armenia","GEOTHERMAL",0
2003,"EG_IFF_RANDN","Armenia","MARINE",0
2003,"EG_IFF_RANDN","Armenia","ALL",2.82
2003,"EG_IFF_RANDN","Armenia","SOLAR",0
2003,"EG_IFF_RANDN","Armenia","BIOENERGY",0.2
2010,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2010,"EG_IFF_RANDN","Azerbaijan","WIND",0
2010,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",192.19
2010,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2010,"EG_IFF_RANDN","Azerbaijan","ALL",192.19
2003,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2003,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2003,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2003,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",0
2003,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0
2010,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2010,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2010,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2011,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2011,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0.02
2003,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2003,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",0
2004,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2004,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2004,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0
2011,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2011,"EG_IFF_RANDN","Azerbaijan","ALL",0.02
2011,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2011,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2011,"EG_IFF_RANDN","Azerbaijan","WIND",0
2004,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2004,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",7.3
2004,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",7.3
2004,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2004,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",0
2005,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",0
2005,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2005,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2005,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",0
2005,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2011,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2012,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0
2012,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2012,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2012,"EG_IFF_RANDN","Azerbaijan","WIND",0
2001,"EG_IFF_RANDN","Albania","GEOTHERMAL",0
2001,"EG_IFF_RANDN","Albania","MARINE",0
2001,"EG_IFF_RANDN","Albania","BIOENERGY",0
2001,"EG_IFF_RANDN","Albania","SOLAR",0
2001,"EG_IFF_RANDN","Albania","WIND",0
2012,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2012,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2012,"EG_IFF_RANDN","Azerbaijan","ALL",0
2012,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2013,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2001,"EG_IFF_RANDN","Albania","ALL",331.85
2002,"EG_IFF_RANDN","Albania","ALL",3.74
2002,"EG_IFF_RANDN","Albania","WIND",0
2002,"EG_IFF_RANDN","Albania","BIOENERGY",0
2002,"EG_IFF_RANDN","Albania","SOLAR",0
2013,"EG_IFF_RANDN","Azerbaijan","ALL",0
2013,"EG_IFF_RANDN","Azerbaijan","WIND",0
2013,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2013,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2013,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2002,"EG_IFF_RANDN","Albania","HYDROPOWER",3.74
2002,"EG_IFF_RANDN","Albania","MULTIPLE",0
2002,"EG_IFF_RANDN","Albania","MARINE",0
2002,"EG_IFF_RANDN","Albania","GEOTHERMAL",0
2003,"EG_IFF_RANDN","Albania","MARINE",0
2013,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0
2013,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2014,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2014,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2014,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2005,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0
2005,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2005,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2006,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2006,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2006,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0
2006,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",12.48
2006,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0.29
2006,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2006,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",12
2014,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0.02
2014,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2014,"EG_IFF_RANDN","Azerbaijan","WIND",0
2014,"EG_IFF_RANDN","Azerbaijan","ALL",0.02
2014,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2003,"EG_IFF_RANDN","Albania","BIOENERGY",0
2003,"EG_IFF_RANDN","Albania","GEOTHERMAL",0
2003,"EG_IFF_RANDN","Albania","SOLAR",0
2003,"EG_IFF_RANDN","Albania","ALL",0.19
2003,"EG_IFF_RANDN","Albania","MULTIPLE",0
2015,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0.01
2015,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2015,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2015,"EG_IFF_RANDN","Azerbaijan","ALL",79.71
2015,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2006,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0.19
2007,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2007,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2007,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2007,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2015,"EG_IFF_RANDN","Azerbaijan","WIND",0
2015,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",79.71
2015,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2016,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2016,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2003,"EG_IFF_RANDN","Armenia","WIND",0
2003,"EG_IFF_RANDN","Armenia","HYDROPOWER",0
2004,"EG_IFF_RANDN","Armenia","WIND",0
2004,"EG_IFF_RANDN","Armenia","BIOENERGY",0
2004,"EG_IFF_RANDN","Armenia","HYDROPOWER",0
2016,"EG_IFF_RANDN","Azerbaijan","WIND",0
2016,"EG_IFF_RANDN","Azerbaijan","ALL",0.01
2016,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2016,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2016,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2016,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0.01
2017,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2017,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2017,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0.02
2017,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2007,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",0.29
2007,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2007,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",0
2007,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0.29
2008,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2004,"EG_IFF_RANDN","Armenia","ALL",10.7
2004,"EG_IFF_RANDN","Armenia","SOLAR",0
2004,"EG_IFF_RANDN","Armenia","MARINE",0
2004,"EG_IFF_RANDN","Armenia","MULTIPLE",10.7
2004,"EG_IFF_RANDN","Armenia","GEOTHERMAL",0
2017,"EG_IFF_RANDN","Azerbaijan","WIND",0
2017,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2017,"EG_IFF_RANDN","Azerbaijan","ALL",0.02
2017,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2018,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2008,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2008,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0
2008,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2008,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",23.44
2008,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",23.44
2005,"EG_IFF_RANDN","Armenia","GEOTHERMAL",0
2005,"EG_IFF_RANDN","Armenia","MARINE",0
2005,"EG_IFF_RANDN","Armenia","HYDROPOWER",0
2005,"EG_IFF_RANDN","Armenia","SOLAR",0
2005,"EG_IFF_RANDN","Armenia","WIND",0
2005,"EG_IFF_RANDN","Armenia","MULTIPLE",2.55
2005,"EG_IFF_RANDN","Armenia","ALL",3.03
2005,"EG_IFF_RANDN","Armenia","BIOENERGY",0.48
2006,"EG_IFF_RANDN","Armenia","GEOTHERMAL",0
2006,"EG_IFF_RANDN","Armenia","HYDROPOWER",7.77
2008,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2008,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2009,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",0.11
2009,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2009,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2018,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0
2018,"EG_IFF_RANDN","Azerbaijan","WIND",0
2018,"EG_IFF_RANDN","Azerbaijan","ALL",0
2018,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2018,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2006,"EG_IFF_RANDN","Armenia","MULTIPLE",5.55
2006,"EG_IFF_RANDN","Armenia","SOLAR",0
2006,"EG_IFF_RANDN","Armenia","WIND",0
2006,"EG_IFF_RANDN","Armenia","BIOENERGY",0.44
2006,"EG_IFF_RANDN","Armenia","ALL",13.77
2009,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2009,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",0.11
2009,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0
2009,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2009,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2018,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2018,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2019,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0.01
2019,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2019,"EG_IFF_RANDN","Azerbaijan","WIND",0
2006,"EG_IFF_RANDN","Armenia","MARINE",0
2007,"EG_IFF_RANDN","Armenia","WIND",0
2007,"EG_IFF_RANDN","Armenia","HYDROPOWER",0
2007,"EG_IFF_RANDN","Armenia","BIOENERGY",1.55
2007,"EG_IFF_RANDN","Armenia","MULTIPLE",0
2007,"EG_IFF_RANDN","Armenia","SOLAR",0
2007,"EG_IFF_RANDN","Armenia","GEOTHERMAL",0
2007,"EG_IFF_RANDN","Armenia","MARINE",0
2007,"EG_IFF_RANDN","Armenia","ALL",1.55
2008,"EG_IFF_RANDN","Armenia","MULTIPLE",0
2010,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",96.84
2010,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",0
2010,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2010,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",96.84
2010,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2019,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2019,"EG_IFF_RANDN","Azerbaijan","ALL",0.01
2019,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2019,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2019,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2010,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2010,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2010,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0
2011,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0.89
2011,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2011,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2011,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0
2011,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",67.42
2011,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2011,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2020,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2020,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2020,"EG_IFF_RANDN","Azerbaijan","WIND",0
2020,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2020,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0.01
2011,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",66.53
2012,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",0
2012,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0
2012,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2012,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",0.95
2008,"EG_IFF_RANDN","Armenia","MARINE",0
2008,"EG_IFF_RANDN","Armenia","GEOTHERMAL",0
2008,"EG_IFF_RANDN","Armenia","ALL",0.09
2008,"EG_IFF_RANDN","Armenia","BIOENERGY",0
2008,"EG_IFF_RANDN","Armenia","HYDROPOWER",0.09
2008,"EG_IFF_RANDN","Armenia","SOLAR",0
2008,"EG_IFF_RANDN","Armenia","WIND",0
2009,"EG_IFF_RANDN","Armenia","MULTIPLE",0
2009,"EG_IFF_RANDN","Armenia","BIOENERGY",0.17
2009,"EG_IFF_RANDN","Armenia","GEOTHERMAL",0
2020,"EG_IFF_RANDN","Azerbaijan","ALL",0.01
2020,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2020,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2021,"EG_IFF_RANDN","Azerbaijan","MULTIPLE",0.01
2021,"EG_IFF_RANDN","Azerbaijan","MARINE",0
2012,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2012,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2012,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0.26
2012,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0.69
2013,"EG_IFF_RANDN","Bosnia and Herzegovina","BIOENERGY",0.76
2021,"EG_IFF_RANDN","Azerbaijan","SOLAR",0
2021,"EG_IFF_RANDN","Azerbaijan","GEOTHERMAL",0
2021,"EG_IFF_RANDN","Azerbaijan","ALL",0.01
2021,"EG_IFF_RANDN","Azerbaijan","HYDROPOWER",0
2021,"EG_IFF_RANDN","Azerbaijan","BIOENERGY",0
2009,"EG_IFF_RANDN","Armenia","MARINE",0
2009,"EG_IFF_RANDN","Armenia","WIND",0
2009,"EG_IFF_RANDN","Armenia","ALL",0.41
2009,"EG_IFF_RANDN","Armenia","HYDROPOWER",0.24
2009,"EG_IFF_RANDN","Armenia","SOLAR",0
2013,"EG_IFF_RANDN","Bosnia and Herzegovina","SOLAR",0.01
2013,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2013,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",96.44
2013,"EG_IFF_RANDN","Bosnia and Herzegovina","HYDROPOWER",0
2013,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",97.38
2013,"EG_IFF_RANDN","Bosnia and Herzegovina","WIND",0
2013,"EG_IFF_RANDN","Bosnia and Herzegovina","GEOTHERMAL",0.17
2014,"EG_IFF_RANDN","Bosnia and Herzegovina","MULTIPLE",126.37
2014,"EG_IFF_RANDN","Bosnia and Herzegovina","ALL",164.58
2014,"EG_IFF_RANDN","Bosnia and Herzegovina","MARINE",0
2021,"EG_IFF_RANDN","Azerbaijan","WIND",0
2000,"EG_IFF_RANDN","Belarus","HYDROPOWER",0
2000,"EG_IFF_RANDN","Belarus","BIOENERGY",0
2000,"EG_IFF_RANDN","Belarus","ALL",0
2000,"EG_IFF_RANDN","Belarus","MULTIPLE",0
2010,"EG_IFF_RANDN","Armenia","GEOTHERMAL",0
2010,"EG_IFF_RANDN","Armenia","HYDROPOWER",24.24
2010,"EG_IFF_RANDN","Armenia","BIOENERGY",0
2010,"EG_IFF_RANDN","Armenia","SOLAR",0
2010,"EG_IFF_RANDN","Armenia","MARINE",0
2010,"EG_IFF_RANDN","Armenia","MULTIPLE",71.67
2010,"EG_IFF_RANDN","Armenia","WIND",0
2010,"EG_IFF_RANDN","Armenia","ALL",95.91
2011,"EG_IFF_RANDN","Armenia","BIOENERGY",0.1
