Year,SeriesCode,GeoAreaName,Type of product,Value
2007,"EN_MAT_DOMCMPC","Albania","GAS",0.00397
2007,"EN_MAT_DOMCMPC","Albania","WCH",0.00377
2007,"EN_MAT_DOMCMPC","Albania","PET",0.10547
2007,"EN_MAT_DOMCMPC","Albania","NMC",4.86059
2007,"EN_MAT_DOMCMPC","Albania","NFO",0.1939
2007,"EN_MAT_DOMCMPC","Albania","MEO",0.21154
2007,"EN_MAT_DOMCMPC","Albania","FEO",0.01764
2007,"EN_MAT_DOMCMPC","Albania","FOF",0.12856
2007,"EN_MAT_DOMCMPC","Albania","WOD",0.09254
2007,"EN_MAT_DOMCMPC","Albania","BIM",2.66943
2007,"EN_MAT_DOMCMPC","Albania","NMA",0.04276
2007,"EN_MAT_DOMCMPC","Albania","ONT",0
2007,"EN_MAT_DOMCMPC","Albania","CPR",0.24123
2007,"EN_MAT_DOMCMPC","Albania","GBO",1.51644
2008,"EN_MAT_DOMCMPC","Albania","NMA",0.03685
2008,"EN_MAT_DOMCMPC","Albania","ALP",9.95636
2008,"EN_MAT_DOMCMPC","Albania","FEO",-0.02169
2008,"EN_MAT_DOMCMPC","Albania","GAS",0.00201
2008,"EN_MAT_DOMCMPC","Albania","WOD",0.09351
2008,"EN_MAT_DOMCMPC","Albania","BIM",2.75073
2008,"EN_MAT_DOMCMPC","Albania","GBO",1.44773
2008,"EN_MAT_DOMCMPC","Albania","MEO",0.22882
2008,"EN_MAT_DOMCMPC","Albania","WCH",0.00367
2008,"EN_MAT_DOMCMPC","Albania","FOF",0.13904
2008,"EN_MAT_DOMCMPC","Albania","CPR",0.31056
2008,"EN_MAT_DOMCMPC","Albania","NMM",5.80369
2008,"EN_MAT_DOMCMPC","Albania","ONT",0
2008,"EN_MAT_DOMCMPC","Albania","CRO",0.89526
2008,"EN_MAT_DOMCMPC","Albania","NFO",0.25051
2008,"EN_MAT_DOMCMPC","Albania","NMC",5.76684
2008,"EN_MAT_DOMCMPC","Albania","COL",0.02456
2008,"EN_MAT_DOMCMPC","Albania","PET",0.11247
2009,"EN_MAT_DOMCMPC","Albania","WOD",0.0903
2009,"EN_MAT_DOMCMPC","Albania","CRO",0.91385
2009,"EN_MAT_DOMCMPC","Albania","NMC",7.65215
2009,"EN_MAT_DOMCMPC","Albania","NMM",7.69661
2009,"EN_MAT_DOMCMPC","Albania","ONT",0
2009,"EN_MAT_DOMCMPC","Albania","FEO",0.07083
2009,"EN_MAT_DOMCMPC","Albania","BIM",2.71017
2009,"EN_MAT_DOMCMPC","Albania","PET",0.11954
2009,"EN_MAT_DOMCMPC","Albania","GAS",0.00207
2009,"EN_MAT_DOMCMPC","Albania","COL",0.07477
2009,"EN_MAT_DOMCMPC","Albania","GBO",1.3633
2009,"EN_MAT_DOMCMPC","Albania","NMA",0.04446
2009,"EN_MAT_DOMCMPC","Albania","MEO",0.21198
