Year,SeriesCode,GeoAreaName,Education level,Value
2015,"SE_ACS_CMPTR","Slovenia","SECOND",100
2015,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2015,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2015,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2016,"SE_ACS_CMPTR","Slovenia","UPPSEC",100
2016,"SE_ACS_CMPTR","Slovenia","SECOND",100
2016,"SE_ACS_CMPTR","Slovenia","PRIMAR",100
2016,"SE_ACS_CMPTR","Slovenia","LOWSEC",100
2018,"SE_ACS_CMPTR","Slovenia","SECOND",100
2000,"SE_ACS_CMPTR","Spain","PRIMAR",100
2000,"SE_ACS_CMPTR","Spain","LOWSEC",100
2001,"SE_ACS_CMPTR","Spain","LOWSEC",100
2001,"SE_ACS_CMPTR","Spain","PRIMAR",100
2002,"SE_ACS_CMPTR","Spain","PRIMAR",100
2002,"SE_ACS_CMPTR","Spain","LOWSEC",100
2003,"SE_ACS_CMPTR","Spain","LOWSEC",100
2003,"SE_ACS_CMPTR","Spain","PRIMAR",100
2004,"SE_ACS_CMPTR","Spain","PRIMAR",100
2004,"SE_ACS_CMPTR","Spain","LOWSEC",100
2017,"SE_ACS_CMPTR","Albania","UPPSEC",83.13492
2018,"SE_ACS_CMPTR","Albania","SECOND",74.07609
2018,"SE_ACS_CMPTR","Albania","LOWSEC",71.30112
2018,"SE_ACS_CMPTR","Albania","PRIMAR",50.37594
2018,"SE_ACS_CMPTR","Albania","UPPSEC",81.61616
2019,"SE_ACS_CMPTR","Albania","PRIMAR",49.01692
2019,"SE_ACS_CMPTR","Albania","LOWSEC",82.82112
2019,"SE_ACS_CMPTR","Albania","SECOND",82.50283
2019,"SE_ACS_CMPTR","Albania","UPPSEC",81.69014
2020,"SE_ACS_CMPTR","Albania","UPPSEC",100
2020,"SE_ACS_CMPTR","Albania","SECOND",100
2007,"SE_ACS_CMPTR","Australia","UPPSEC",100
2007,"SE_ACS_CMPTR","Australia","PRIMAR",100
2007,"SE_ACS_CMPTR","Australia","LOWSEC",100
2007,"SE_ACS_CMPTR","Australia","SECOND",100
2008,"SE_ACS_CMPTR","Australia","SECOND",100
2008,"SE_ACS_CMPTR","Australia","LOWSEC",100
2008,"SE_ACS_CMPTR","Australia","PRIMAR",100
2008,"SE_ACS_CMPTR","Australia","UPPSEC",100
2009,"SE_ACS_CMPTR","Australia","LOWSEC",100
2009,"SE_ACS_CMPTR","Australia","SECOND",100
2009,"SE_ACS_CMPTR","Australia","UPPSEC",100
2005,"SE_ACS_CMPTR","Spain","LOWSEC",100
2005,"SE_ACS_CMPTR","Spain","PRIMAR",100
2006,"SE_ACS_CMPTR","Spain","PRIMAR",100
2006,"SE_ACS_CMPTR","Spain","LOWSEC",100
2007,"SE_ACS_CMPTR","Spain","LOWSEC",100
2007,"SE_ACS_CMPTR","Spain","PRIMAR",100
2007,"SE_ACS_CMPTR","Spain","SECOND",100
2007,"SE_ACS_CMPTR","Spain","UPPSEC",100
2008,"SE_ACS_CMPTR","Spain","PRIMAR",100
2008,"SE_ACS_CMPTR","Spain","LOWSEC",100
2008,"SE_ACS_CMPTR","Spain","UPPSEC",100
2009,"SE_ACS_CMPTR","Australia","PRIMAR",100
2010,"SE_ACS_CMPTR","Australia","SECOND",100
2010,"SE_ACS_CMPTR","Australia","LOWSEC",100
2010,"SE_ACS_CMPTR","Australia","PRIMAR",100
2010,"SE_ACS_CMPTR","Australia","UPPSEC",100
2011,"SE_ACS_CMPTR","Australia","UPPSEC",100
2011,"SE_ACS_CMPTR","Australia","PRIMAR",100
2011,"SE_ACS_CMPTR","Australia","LOWSEC",100
2011,"SE_ACS_CMPTR","Australia","SECOND",100
2012,"SE_ACS_CMPTR","Australia","SECOND",100
2012,"SE_ACS_CMPTR","Australia","LOWSEC",100
2012,"SE_ACS_CMPTR","Australia","PRIMAR",100
2012,"SE_ACS_CMPTR","Australia","UPPSEC",100
2013,"SE_ACS_CMPTR","Australia","UPPSEC",100
2013,"SE_ACS_CMPTR","Australia","PRIMAR",100
2013,"SE_ACS_CMPTR","Australia","LOWSEC",100
2013,"SE_ACS_CMPTR","Australia","SECOND",100
2014,"SE_ACS_CMPTR","Australia","SECOND",100
2014,"SE_ACS_CMPTR","Australia","LOWSEC",100
2014,"SE_ACS_CMPTR","Australia","PRIMAR",100
2014,"SE_ACS_CMPTR","Australia","UPPSEC",100
2015,"SE_ACS_CMPTR","Australia","UPPSEC",100
2008,"SE_ACS_CMPTR","Spain","SECOND",100
2009,"SE_ACS_CMPTR","Spain","LOWSEC",100
2009,"SE_ACS_CMPTR","Spain","PRIMAR",100
2009,"SE_ACS_CMPTR","Spain","SECOND",100
2009,"SE_ACS_CMPTR","Spain","UPPSEC",100
2010,"SE_ACS_CMPTR","Spain","UPPSEC",100
2010,"SE_ACS_CMPTR","Spain","SECOND",100
2010,"SE_ACS_CMPTR","Spain","PRIMAR",100
2010,"SE_ACS_CMPTR","Spain","LOWSEC",100
2011,"SE_ACS_CMPTR","Spain","LOWSEC",100
2011,"SE_ACS_CMPTR","Spain","PRIMAR",100
2011,"SE_ACS_CMPTR","Spain","SECOND",100
2011,"SE_ACS_CMPTR","Spain","UPPSEC",100
2012,"SE_ACS_CMPTR","Spain","UPPSEC",100
2012,"SE_ACS_CMPTR","Spain","SECOND",100
2012,"SE_ACS_CMPTR","Spain","PRIMAR",100
2012,"SE_ACS_CMPTR","Spain","LOWSEC",100
2013,"SE_ACS_CMPTR","Spain","LOWSEC",100
2013,"SE_ACS_CMPTR","Spain","PRIMAR",100
2013,"SE_ACS_CMPTR","Spain","SECOND",100
2013,"SE_ACS_CMPTR","Spain","UPPSEC",100
2014,"SE_ACS_CMPTR","Spain","UPPSEC",100
2014,"SE_ACS_CMPTR","Spain","SECOND",100
2014,"SE_ACS_CMPTR","Spain","PRIMAR",100
2014,"SE_ACS_CMPTR","Spain","LOWSEC",100
2015,"SE_ACS_CMPTR","Spain","SECOND",100
2015,"SE_ACS_CMPTR","Spain","UPPSEC",100
2015,"SE_ACS_CMPTR","Spain","LOWSEC",100
2015,"SE_ACS_CMPTR","Spain","PRIMAR",100
2016,"SE_ACS_CMPTR","Spain","UPPSEC",100
2016,"SE_ACS_CMPTR","Spain","SECOND",100
2016,"SE_ACS_CMPTR","Spain","PRIMAR",100
2016,"SE_ACS_CMPTR","Spain","LOWSEC",100
2017,"SE_ACS_CMPTR","Spain","LOWSEC",100
2017,"SE_ACS_CMPTR","Spain","PRIMAR",100
2017,"SE_ACS_CMPTR","Spain","SECOND",100
2017,"SE_ACS_CMPTR","Spain","UPPSEC",100
2018,"SE_ACS_CMPTR","Spain","UPPSEC",100
2018,"SE_ACS_CMPTR","Spain","SECOND",100
2018,"SE_ACS_CMPTR","Spain","PRIMAR",100
2018,"SE_ACS_CMPTR","Spain","LOWSEC",100
2019,"SE_ACS_CMPTR","Spain","LOWSEC",100
2019,"SE_ACS_CMPTR","Spain","PRIMAR",100
2019,"SE_ACS_CMPTR","Spain","SECOND",100
2019,"SE_ACS_CMPTR","Spain","UPPSEC",100
2020,"SE_ACS_CMPTR","Spain","UPPSEC",100
2020,"SE_ACS_CMPTR","Spain","SECOND",100
2020,"SE_ACS_CMPTR","Spain","PRIMAR",100
2020,"SE_ACS_CMPTR","Spain","LOWSEC",100
2021,"SE_ACS_CMPTR","Spain","LOWSEC",100
2021,"SE_ACS_CMPTR","Spain","PRIMAR",100
2021,"SE_ACS_CMPTR","Spain","SECOND",100
2021,"SE_ACS_CMPTR","Spain","UPPSEC",100
2015,"SE_ACS_CMPTR","Sweden","PRIMAR",87.19054
2015,"SE_ACS_CMPTR","Sweden","SECOND",94.69246
2015,"SE_ACS_CMPTR","Australia","PRIMAR",100
2015,"SE_ACS_CMPTR","Australia","LOWSEC",100
2015,"SE_ACS_CMPTR","Australia","SECOND",100
2016,"SE_ACS_CMPTR","Australia","PRIMAR",100
2016,"SE_ACS_CMPTR","Australia","UPPSEC",100
2016,"SE_ACS_CMPTR","Australia","SECOND",100
2016,"SE_ACS_CMPTR","Australia","LOWSEC",100
2018,"SE_ACS_CMPTR","Australia","SECOND",99.68381
2015,"SE_ACS_CMPTR","Austria","SECOND",99.79323
2018,"SE_ACS_CMPTR","Austria","SECOND",98.54848
2019,"SE_ACS_CMPTR","Austria","PRIMAR",68.72364
2018,"SE_ACS_CMPTR","Sweden","SECOND",99.07686
2019,"SE_ACS_CMPTR","Sweden","SECOND",98.44545
2019,"SE_ACS_CMPTR","Sweden","PRIMAR",96.91268
2011,"SE_ACS_CMPTR","Switzerland","PRIMAR",100
2011,"SE_ACS_CMPTR","Switzerland","SECOND",100
2011,"SE_ACS_CMPTR","Switzerland","UPPSEC",100
2011,"SE_ACS_CMPTR","Switzerland","LOWSEC",100
2012,"SE_ACS_CMPTR","Switzerland","LOWSEC",100
2012,"SE_ACS_CMPTR","Switzerland","UPPSEC",100
2012,"SE_ACS_CMPTR","Switzerland","SECOND",100
2012,"SE_ACS_CMPTR","Switzerland","PRIMAR",100
2013,"SE_ACS_CMPTR","Switzerland","UPPSEC",100
2013,"SE_ACS_CMPTR","Switzerland","LOWSEC",100
2013,"SE_ACS_CMPTR","Switzerland","PRIMAR",100
2013,"SE_ACS_CMPTR","Switzerland","SECOND",100
2014,"SE_ACS_CMPTR","Switzerland","LOWSEC",100
2014,"SE_ACS_CMPTR","Switzerland","UPPSEC",100
2014,"SE_ACS_CMPTR","Switzerland","SECOND",100
2014,"SE_ACS_CMPTR","Switzerland","PRIMAR",100
2015,"SE_ACS_CMPTR","Switzerland","PRIMAR",100
2015,"SE_ACS_CMPTR","Switzerland","SECOND",100
