Year,SeriesCode,GeoAreaName,Education level,Value
2001,"SE_ACS_INTNT","Netherlands (Kingdom of the)","UPPSEC",100
2002,"SE_ACS_INTNT","Netherlands (Kingdom of the)","PRIMAR",100
2002,"SE_ACS_INTNT","Netherlands (Kingdom of the)","UPPSEC",100
2002,"SE_ACS_INTNT","Netherlands (Kingdom of the)","SECOND",100
2002,"SE_ACS_INTNT","Netherlands (Kingdom of the)","LOWSEC",100
2003,"SE_ACS_INTNT","Netherlands (Kingdom of the)","PRIMAR",100
2003,"SE_ACS_INTNT","Netherlands (Kingdom of the)","SECOND",100
2003,"SE_ACS_INTNT","Netherlands (Kingdom of the)","LOWSEC",100
2003,"SE_ACS_INTNT","Netherlands (Kingdom of the)","UPPSEC",100
2021,"SE_ACS_INTNT","Azerbaijan","SECOND",72.16937
2000,"SE_ACS_INTNT","Australia","PRIMAR",100
2000,"SE_ACS_INTNT","Australia","UPPSEC",100
2000,"SE_ACS_INTNT","Australia","SECOND",100
2000,"SE_ACS_INTNT","Australia","LOWSEC",100
2001,"SE_ACS_INTNT","Australia","LOWSEC",100
2001,"SE_ACS_INTNT","Australia","SECOND",100
2001,"SE_ACS_INTNT","Australia","UPPSEC",100
2001,"SE_ACS_INTNT","Australia","PRIMAR",100
2002,"SE_ACS_INTNT","Australia","PRIMAR",100
2002,"SE_ACS_INTNT","Australia","UPPSEC",100
2002,"SE_ACS_INTNT","Australia","SECOND",100
2002,"SE_ACS_INTNT","Australia","LOWSEC",100
2003,"SE_ACS_INTNT","Australia","LOWSEC",100
2003,"SE_ACS_INTNT","Australia","SECOND",100
2003,"SE_ACS_INTNT","Australia","UPPSEC",100
2003,"SE_ACS_INTNT","Australia","PRIMAR",100
2004,"SE_ACS_INTNT","Australia","PRIMAR",100
2004,"SE_ACS_INTNT","Australia","UPPSEC",100
2004,"SE_ACS_INTNT","Australia","SECOND",100
2004,"SE_ACS_INTNT","Australia","LOWSEC",100
2005,"SE_ACS_INTNT","Australia","LOWSEC",100
2005,"SE_ACS_INTNT","Australia","SECOND",100
2005,"SE_ACS_INTNT","Australia","UPPSEC",100
2005,"SE_ACS_INTNT","Australia","PRIMAR",100
2006,"SE_ACS_INTNT","Australia","SECOND",100
2006,"SE_ACS_INTNT","Australia","LOWSEC",100
2006,"SE_ACS_INTNT","Australia","PRIMAR",100
2006,"SE_ACS_INTNT","Australia","UPPSEC",100
2007,"SE_ACS_INTNT","Australia","LOWSEC",100
2007,"SE_ACS_INTNT","Australia","SECOND",100
2007,"SE_ACS_INTNT","Australia","UPPSEC",100
2007,"SE_ACS_INTNT","Australia","PRIMAR",100
2008,"SE_ACS_INTNT","Australia","PRIMAR",100
2008,"SE_ACS_INTNT","Australia","UPPSEC",100
2008,"SE_ACS_INTNT","Australia","SECOND",100
2008,"SE_ACS_INTNT","Australia","LOWSEC",100
2009,"SE_ACS_INTNT","Australia","LOWSEC",100
2009,"SE_ACS_INTNT","Australia","SECOND",100
2009,"SE_ACS_INTNT","Australia","UPPSEC",100
2009,"SE_ACS_INTNT","Australia","PRIMAR",100
2010,"SE_ACS_INTNT","Australia","PRIMAR",100
2010,"SE_ACS_INTNT","Australia","UPPSEC",100
2010,"SE_ACS_INTNT","Australia","SECOND",100
2010,"SE_ACS_INTNT","Australia","LOWSEC",100
2011,"SE_ACS_INTNT","Australia","LOWSEC",100
2011,"SE_ACS_INTNT","Australia","SECOND",100
2011,"SE_ACS_INTNT","Australia","UPPSEC",100
2011,"SE_ACS_INTNT","Australia","PRIMAR",100
2012,"SE_ACS_INTNT","Australia","PRIMAR",100
2012,"SE_ACS_INTNT","Australia","UPPSEC",100
2012,"SE_ACS_INTNT","Australia","SECOND",100
2012,"SE_ACS_INTNT","Australia","LOWSEC",100
2013,"SE_ACS_INTNT","Australia","UPPSEC",100
2013,"SE_ACS_INTNT","Australia","PRIMAR",100
2013,"SE_ACS_INTNT","Australia","LOWSEC",100
2013,"SE_ACS_INTNT","Australia","SECOND",100
