Year,SeriesCode,GeoAreaName,Type of waste treatment,Value
2015,"EN_HAZ_TREATV","Armenia","INCINRT",289.70001
2016,"EN_HAZ_TREATV","Armenia","INCINRT",604.90002
2018,"EN_HAZ_TREATV","Poland","INCINRT",194741
2018,"EN_HAZ_TREATV","Poland","LANDFIL",256242
2020,"EN_HAZ_TREATV","Poland","INCINRT_EGY",3557
2020,"EN_HAZ_TREATV","Poland","RECYCL",135215
2020,"EN_HAZ_TREATV","Poland","INCINRT",164955
2020,"EN_HAZ_TREATV","Poland","OTHERWM",0
2020,"EN_HAZ_TREATV","Poland","LANDFIL",295078
2004,"EN_HAZ_TREATV","Portugal","LANDFIL",1352913
2004,"EN_HAZ_TREATV","Portugal","OTHERWM",43183
2004,"EN_HAZ_TREATV","Portugal","INCINRT_EGY",57641
2004,"EN_HAZ_TREATV","Portugal","INCINRT",6611
2006,"EN_HAZ_TREATV","Portugal","LANDFIL",1583826
2016,"EN_HAZ_TREATV","Armenia","LANDFIL",601917.375
2016,"EN_HAZ_TREATV","Armenia","RECYCL",12948.29981
2017,"EN_HAZ_TREATV","Armenia","INCINRT",582.79999
2017,"EN_HAZ_TREATV","Armenia","LANDFIL",535594
2017,"EN_HAZ_TREATV","Armenia","RECYCL",1636.90002
2018,"EN_HAZ_TREATV","Armenia","LANDFIL",504833.59375
2018,"EN_HAZ_TREATV","Armenia","INCINRT",1680.40002
2018,"EN_HAZ_TREATV","Armenia","RECYCL",4344.5
2019,"EN_HAZ_TREATV","Armenia","INCINRT",929.40002
2019,"EN_HAZ_TREATV","Armenia","RECYCL",16063
2019,"EN_HAZ_TREATV","Armenia","LANDFIL",553544.625
2004,"EN_HAZ_TREATV","Belgium","INCINRT_EGY",165211
2004,"EN_HAZ_TREATV","Belgium","OTHERWM",0
2004,"EN_HAZ_TREATV","Belgium","LANDFIL",1306543
2004,"EN_HAZ_TREATV","Belgium","INCINRT",193790
2006,"EN_HAZ_TREATV","Belgium","INCINRT",160202
2006,"EN_HAZ_TREATV","Belgium","OTHERWM",0
2006,"EN_HAZ_TREATV","Belgium","INCINRT_EGY",442981
2006,"EN_HAZ_TREATV","Belgium","LANDFIL",283073
2008,"EN_HAZ_TREATV","Belgium","INCINRT_EGY",368644
2008,"EN_HAZ_TREATV","Belgium","LANDFIL",443605
2008,"EN_HAZ_TREATV","Belgium","OTHERWM",0
2008,"EN_HAZ_TREATV","Belgium","INCINRT",155556
2010,"EN_HAZ_TREATV","Belgium","INCINRT",158400
2010,"EN_HAZ_TREATV","Belgium","OTHERWM",0
2006,"EN_HAZ_TREATV","Portugal","INCINRT",28159
2006,"EN_HAZ_TREATV","Portugal","OTHERWM",113
2006,"EN_HAZ_TREATV","Portugal","INCINRT_EGY",101476
2008,"EN_HAZ_TREATV","Portugal","INCINRT_EGY",10665
2008,"EN_HAZ_TREATV","Portugal","INCINRT",4849
2008,"EN_HAZ_TREATV","Portugal","LANDFIL",53208
2010,"EN_HAZ_TREATV","Portugal","INCINRT_EGY",29420
2010,"EN_HAZ_TREATV","Portugal","INCINRT",12418
2010,"EN_HAZ_TREATV","Portugal","RECYCL",240506
2010,"EN_HAZ_TREATV","Portugal","LANDFIL",87075
2010,"EN_HAZ_TREATV","Portugal","OTHERWM",0
2012,"EN_HAZ_TREATV","Portugal","OTHERWM",0
2012,"EN_HAZ_TREATV","Portugal","INCINRT_EGY",45485
2010,"EN_HAZ_TREATV","Belgium","INCINRT_EGY",214337
2010,"EN_HAZ_TREATV","Belgium","LANDFIL",981568
2010,"EN_HAZ_TREATV","Belgium","RECYCL",58195
2012,"EN_HAZ_TREATV","Belgium","INCINRT_EGY",114014
2012,"EN_HAZ_TREATV","Belgium","INCINRT",186829
2012,"EN_HAZ_TREATV","Belgium","OTHERWM",0
2012,"EN_HAZ_TREATV","Belgium","LANDFIL",739347
2012,"EN_HAZ_TREATV","Belgium","RECYCL",61337
2014,"EN_HAZ_TREATV","Belgium","OTHERWM",0
2014,"EN_HAZ_TREATV","Belgium","INCINRT_EGY",134510
2014,"EN_HAZ_TREATV","Belgium","RECYCL",151901
2014,"EN_HAZ_TREATV","Belgium","LANDFIL",960148
2014,"EN_HAZ_TREATV","Belgium","INCINRT",287112
2012,"EN_HAZ_TREATV","Portugal","INCINRT",14527
2012,"EN_HAZ_TREATV","Portugal","RECYCL",202734
2012,"EN_HAZ_TREATV","Portugal","LANDFIL",194056
2014,"EN_HAZ_TREATV","Portugal","INCINRT_EGY",24143
2014,"EN_HAZ_TREATV","Portugal","INCINRT",16379
2014,"EN_HAZ_TREATV","Portugal","RECYCL",190958
2014,"EN_HAZ_TREATV","Portugal","OTHERWM",0
2014,"EN_HAZ_TREATV","Portugal","LANDFIL",209651
2016,"EN_HAZ_TREATV","Portugal","RECYCL",72518
2016,"EN_HAZ_TREATV","Portugal","LANDFIL",248366
2016,"EN_HAZ_TREATV","Portugal","INCINRT_EGY",29049
2016,"EN_HAZ_TREATV","Portugal","OTHERWM",0
2016,"EN_HAZ_TREATV","Portugal","INCINRT",17464
2016,"EN_HAZ_TREATV","Belgium","OTHERWM",0
2016,"EN_HAZ_TREATV","Belgium","INCINRT",258006
2016,"EN_HAZ_TREATV","Belgium","LANDFIL",1219738
2016,"EN_HAZ_TREATV","Belgium","RECYCL",112277
2016,"EN_HAZ_TREATV","Belgium","INCINRT_EGY",160745
2018,"EN_HAZ_TREATV","Belgium","RECYCL",253467
2018,"EN_HAZ_TREATV","Belgium","OTHERWM",0
2018,"EN_HAZ_TREATV","Belgium","INCINRT_EGY",142024
2018,"EN_HAZ_TREATV","Belgium","LANDFIL",1538654
2018,"EN_HAZ_TREATV","Belgium","INCINRT",357688
2020,"EN_HAZ_TREATV","Belgium","INCINRT_EGY",175783
2020,"EN_HAZ_TREATV","Belgium","INCINRT",141517
2020,"EN_HAZ_TREATV","Belgium","RECYCL",332170
2020,"EN_HAZ_TREATV","Belgium","OTHERWM",0
2020,"EN_HAZ_TREATV","Belgium","LANDFIL",1266537
2001,"EN_HAZ_TREATV","Bosnia and Herzegovina","INCINRT",0
2002,"EN_HAZ_TREATV","Bosnia and Herzegovina","INCINRT",0
2003,"EN_HAZ_TREATV","Bosnia and Herzegovina","INCINRT",0
2004,"EN_HAZ_TREATV","Bosnia and Herzegovina","INCINRT",0
2005,"EN_HAZ_TREATV","Bosnia and Herzegovina","INCINRT",0
2006,"EN_HAZ_TREATV","Bosnia and Herzegovina","INCINRT",0
