Year,SeriesCode,GeoAreaName,Age,Education level,Sex,Value
2017,"FB_BNK_ACCSS_OLF","Greece","15+","","BOTHSEX",78.83664
2021,"FB_BNK_ACCSS_OLF","Greece","15+","","BOTHSEX",92.40399
2011,"FB_BNK_ACCSS_OLF","Hungary","15+","","BOTHSEX",52.11302
2014,"FB_BNK_ACCSS_OLF","Hungary","15+","","BOTHSEX",55.79222
2017,"FB_BNK_ACCSS_OLF","Hungary","15+","","BOTHSEX",56.54501
2021,"FB_BNK_ACCSS_OLF","Hungary","15+","","BOTHSEX",79.32259
2021,"FB_BNK_ACCSS_OLF","Iceland","15+","","BOTHSEX",100
2011,"FB_BNK_ACCSS_OLF","India","15+","","BOTHSEX",25.70914
2014,"FB_BNK_ACCSS_OLF","India","15+","","BOTHSEX",40.69077
2017,"FB_BNK_ACCSS_OLF","India","15+","","BOTHSEX",75.059
2021,"FB_BNK_ACCSS_OLF","India","15+","","BOTHSEX",72.73258
2011,"FB_BNK_ACCSS_OLF","Ireland","15+","","BOTHSEX",90.35983
2014,"FB_BNK_ACCSS_OLF","Ireland","15+","","BOTHSEX",89.97163
2017,"FB_BNK_ACCSS_OLF","Ireland","15+","","BOTHSEX",92.77946
2021,"FB_BNK_ACCSS_OLF","Ireland","15+","","BOTHSEX",100
2011,"FB_BNK_ACCSS_OLF","Israel","15+","","BOTHSEX",80.52247
2014,"FB_BNK_ACCSS_OLF","Israel","15+","","BOTHSEX",76.81542
2017,"FB_BNK_ACCSS_OLF","Israel","15+","","BOTHSEX",76.8356
2021,"FB_BNK_ACCSS_OLF","Israel","15+","","BOTHSEX",82.38226
2011,"FB_BNK_ACCSS_OLF","Italy","15+","","BOTHSEX",64.50419
2014,"FB_BNK_ACCSS_OLF","Italy","15+","","BOTHSEX",82.20421
2017,"FB_BNK_ACCSS_OLF","Italy","15+","","BOTHSEX",90.03957
2021,"FB_BNK_ACCSS_OLF","Italy","15+","","BOTHSEX",95.88157
2011,"FB_BNK_ACCSS_OLF","Japan","15+","","BOTHSEX",93.35459
2014,"FB_BNK_ACCSS_OLF","Japan","15+","","BOTHSEX",94.39557
2017,"FB_BNK_ACCSS_OLF","Japan","15+","","BOTHSEX",96.63608
2021,"FB_BNK_ACCSS_OLF","Japan","15+","","BOTHSEX",97.77392
2011,"FB_BNK_ACCSS_OLF","Kazakhstan","15+","","BOTHSEX",37.27877
2014,"FB_BNK_ACCSS_OLF","Kazakhstan","15+","","BOTHSEX",41.64665
2017,"FB_BNK_ACCSS_OLF","Kazakhstan","15+","","BOTHSEX",45.76448
2021,"FB_BNK_ACCSS_OLF","Kazakhstan","15+","","BOTHSEX",71.58515
2011,"FB_BNK_ACCSS_OLF","Republic of Korea","15+","","BOTHSEX",89.57304
2014,"FB_BNK_ACCSS_OLF","Republic of Korea","15+","","BOTHSEX",90.62949
2017,"FB_BNK_ACCSS_OLF","Republic of Korea","15+","","BOTHSEX",89.42062
2021,"FB_BNK_ACCSS_OLF","Republic of Korea","15+","","BOTHSEX",96.26745
2011,"FB_BNK_ACCSS_OLF","Kyrgyzstan","15+","","BOTHSEX",1.36318
