Year,SeriesCode,GeoAreaName,Sex,Value
2013,"PD_AGR_SSFP","France","MALE",89.29
2013,"PD_AGR_SSFP","France","FEMALE",80.35
2013,"PD_AGR_SSFP","France","BOTHSEX",86.3
2016,"PD_AGR_SSFP","France","BOTHSEX",75.39
2016,"PD_AGR_SSFP","France","FEMALE",70.49
2016,"PD_AGR_SSFP","France","MALE",77.82
2010,"PD_AGR_LSFP","Croatia","FEMALE",194.4
2010,"PD_AGR_LSFP","Croatia","BOTHSEX",210.75
2010,"PD_AGR_LSFP","Croatia","MALE",213.79
2020,"PD_AGR_SSFP","France","BOTHSEX",73.3
2020,"PD_AGR_SSFP","France","FEMALE",60.74
2020,"PD_AGR_SSFP","France","MALE",81.36
2013,"PD_AGR_LSFP","Croatia","BOTHSEX",266.01
2013,"PD_AGR_LSFP","Croatia","MALE",274.46
2013,"PD_AGR_LSFP","Croatia","FEMALE",222.61
2016,"PD_AGR_LSFP","Croatia","FEMALE",239.95
2016,"PD_AGR_LSFP","Croatia","BOTHSEX",307.26
2016,"PD_AGR_LSFP","Croatia","MALE",321.4
2020,"PD_AGR_LSFP","Croatia","BOTHSEX",302.61
2020,"PD_AGR_LSFP","Croatia","FEMALE",280.01
2020,"PD_AGR_LSFP","Croatia","MALE",307.37
2020,"PD_AGR_SSFP","Georgia","FEMALE",13.73
2020,"PD_AGR_SSFP","Georgia","BOTHSEX",14.42
2010,"PD_AGR_LSFP","Cyprus","BOTHSEX",257.37
2010,"PD_AGR_LSFP","Cyprus","FEMALE",225.85
2010,"PD_AGR_LSFP","Cyprus","MALE",259.71
2020,"PD_AGR_SSFP","Georgia","MALE",14.76
2010,"PD_AGR_LSFP","Italy","FEMALE",476.49
2010,"PD_AGR_LSFP","Italy","BOTHSEX",543.59
2010,"PD_AGR_LSFP","Italy","MALE",556.22
2013,"PD_AGR_LSFP","Italy","MALE",486.28
2013,"PD_AGR_LSFP","Cyprus","MALE",295.74
2013,"PD_AGR_LSFP","Cyprus","BOTHSEX",285.94
2013,"PD_AGR_LSFP","Cyprus","FEMALE",164.24
2016,"PD_AGR_LSFP","Cyprus","FEMALE",271.41
2016,"PD_AGR_LSFP","Cyprus","BOTHSEX",415.29
2010,"PD_AGR_SSFP","Germany","MALE",116.15
2016,"PD_AGR_LSFP","Cyprus","MALE",427.97
2020,"PD_AGR_LSFP","Cyprus","BOTHSEX",539.98
2010,"PD_AGR_SSFP","Germany","FEMALE",94.75
2010,"PD_AGR_SSFP","Germany","BOTHSEX",113.16
2013,"PD_AGR_SSFP","Germany","MALE",114.88
2013,"PD_AGR_SSFP","Germany","BOTHSEX",111.51
2013,"PD_AGR_SSFP","Germany","FEMALE",91.47
2013,"PD_AGR_LSFP","Italy","BOTHSEX",468.36
2013,"PD_AGR_LSFP","Italy","FEMALE",381.66
2016,"PD_AGR_LSFP","Italy","FEMALE",410.48
2016,"PD_AGR_LSFP","Italy","BOTHSEX",508.67
2016,"PD_AGR_LSFP","Italy","MALE",527.47
2020,"PD_AGR_LSFP","Cyprus","MALE",560.19
2020,"PD_AGR_LSFP","Cyprus","FEMALE",302.13
2016,"PD_AGR_SSFP","Germany","FEMALE",102.85
2016,"PD_AGR_SSFP","Germany","BOTHSEX",120.1
2016,"PD_AGR_SSFP","Germany","MALE",123.21
2020,"PD_AGR_SSFP","Germany","MALE",98.54
2020,"PD_AGR_SSFP","Germany","FEMALE",72.71
2020,"PD_AGR_SSFP","Germany","BOTHSEX",94
2010,"PD_AGR_LSFP","Czechia","FEMALE",304.04
2010,"PD_AGR_SSFP","Greece","MALE",55.37
2010,"PD_AGR_SSFP","Greece","BOTHSEX",55.84
2010,"PD_AGR_SSFP","Greece","FEMALE",57.27
2020,"PD_AGR_LSFP","Italy","BOTHSEX",625.35
2020,"PD_AGR_LSFP","Italy","FEMALE",540.03
2013,"PD_AGR_SSFP","Greece","FEMALE",55.7
2013,"PD_AGR_SSFP","Greece","BOTHSEX",57.94
2013,"PD_AGR_SSFP","Greece","MALE",58.68
2016,"PD_AGR_SSFP","Greece","BOTHSEX",61.3
2016,"PD_AGR_SSFP","Greece","MALE",61.93
2016,"PD_AGR_SSFP","Greece","FEMALE",59.55
2010,"PD_AGR_LSFP","Czechia","BOTHSEX",325.23
2010,"PD_AGR_LSFP","Czechia","MALE",326.56
2013,"PD_AGR_LSFP","Czechia","MALE",431.07
2013,"PD_AGR_LSFP","Czechia","BOTHSEX",428.83
2013,"PD_AGR_LSFP","Czechia","FEMALE",392.75
2020,"PD_AGR_SSFP","Greece","MALE",42.83
2020,"PD_AGR_SSFP","Greece","BOTHSEX",42.83
2020,"PD_AGR_SSFP","Greece","FEMALE",42.82
2016,"PD_AGR_LSFP","Czechia","FEMALE",712.09
2016,"PD_AGR_LSFP","Czechia","BOTHSEX",634.06
2016,"PD_AGR_LSFP","Czechia","MALE",628.3
2020,"PD_AGR_LSFP","Czechia","FEMALE",658.25
2020,"PD_AGR_LSFP","Czechia","BOTHSEX",612.94
2020,"PD_AGR_LSFP","Czechia","MALE",604.79
2020,"PD_AGR_LSFP","Italy","MALE",645.19
2010,"PD_AGR_SSFP","Hungary","BOTHSEX",46.81
2010,"PD_AGR_SSFP","Hungary","FEMALE",44.66
2010,"PD_AGR_SSFP","Hungary","MALE",47.45
2013,"PD_AGR_SSFP","Hungary","MALE",33.69
2013,"PD_AGR_SSFP","Hungary","FEMALE",32.11
2013,"PD_AGR_SSFP","Hungary","BOTHSEX",33.33
2016,"PD_AGR_SSFP","Hungary","BOTHSEX",40.55
2016,"PD_AGR_SSFP","Hungary","FEMALE",38.91
2016,"PD_AGR_SSFP","Hungary","MALE",41.08
2010,"PD_AGR_LSFP","Latvia","BOTHSEX",250.34
2010,"PD_AGR_LSFP","Latvia","MALE",273.54
2010,"PD_AGR_LSFP","Latvia","FEMALE",190.95
2020,"PD_AGR_SSFP","Hungary","MALE",70.26
2020,"PD_AGR_SSFP","Hungary","BOTHSEX",71.94
2020,"PD_AGR_SSFP","Hungary","FEMALE",76.56
2005,"PD_AGR_SSFP","India","FEMALE",7.23
2010,"PD_AGR_LSFP","Denmark","MALE",947.39
2010,"PD_AGR_LSFP","Denmark","FEMALE",788.71
