Year,SeriesCode,GeoAreaName,Type of waste treatment,Value
2000,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2000,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2001,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2001,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2002,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2002,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2003,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2003,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2004,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2004,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2005,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2005,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2006,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2006,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2007,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2007,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2008,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2008,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2009,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2009,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2010,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2010,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2011,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2011,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2012,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2012,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2013,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2013,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",1.563
2014,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",1.59774
2014,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2015,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2015,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",2.72335
2016,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",3.78341
2016,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2017,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",3.34416
2017,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2018,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",7.26765
2018,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2019,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2019,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",3.34416
2020,"EN_MWT_TREATR","Bulgaria","INCINRT",0
2020,"EN_MWT_TREATR","Bulgaria","INCINRT_EGY",0
2006,"EN_MWT_TREATR","Croatia","INCINRT",0
2007,"EN_MWT_TREATR","Croatia","INCINRT",0
2008,"EN_MWT_TREATR","Croatia","INCINRT",0
2009,"EN_MWT_TREATR","Croatia","INCINRT",0
2010,"EN_MWT_TREATR","Croatia","INCINRT",0
2011,"EN_MWT_TREATR","Croatia","INCINRT",0
2012,"EN_MWT_TREATR","Croatia","INCINRT",0
2013,"EN_MWT_TREATR","Croatia","INCINRT_EGY",0.05811
2013,"EN_MWT_TREATR","Croatia","INCINRT",0
2014,"EN_MWT_TREATR","Croatia","INCINRT_EGY",0.18326
2014,"EN_MWT_TREATR","Croatia","INCINRT",0
2015,"EN_MWT_TREATR","Croatia","INCINRT",0
2015,"EN_MWT_TREATR","Croatia","INCINRT_EGY",0
