Year,SeriesCode,GeoAreaName,Education level,Type of skill,Value
2006,"SE_LGP_ACHI","Colombia","PRIMAR","SKILL_MATH",0.576
2009,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_MATH",0.82774
2009,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_READ",0.75517
2012,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_READ",0.76555
2012,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_MATH",0.53085
2015,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_MATH",0.53198
2015,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_READ",0.71224
2018,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_READ",0.75059
2018,"SE_LGP_ACHI","Colombia","LOWSEC","SKILL_MATH",0.80564
2006,"SE_LGP_ACHI","Costa Rica","PRIMAR","SKILL_MATH",0.58024
2006,"SE_LGP_ACHI","Costa Rica","GRAD23","SKILL_READ",0.82838
2006,"SE_LGP_ACHI","Costa Rica","PRIMAR","SKILL_READ",0.68269
2006,"SE_LGP_ACHI","Costa Rica","GRAD23","SKILL_MATH",0.7219
2009,"SE_LGP_ACHI","Costa Rica","LOWSEC","SKILL_READ",0.64653
2009,"SE_LGP_ACHI","Costa Rica","LOWSEC","SKILL_MATH",0.75847
2012,"SE_LGP_ACHI","Costa Rica","LOWSEC","SKILL_READ",0.83752
2012,"SE_LGP_ACHI","Costa Rica","LOWSEC","SKILL_MATH",1.27804
2015,"SE_LGP_ACHI","Costa Rica","LOWSEC","SKILL_MATH",0.99572
2015,"SE_LGP_ACHI","Costa Rica","LOWSEC","SKILL_READ",0.89052
2018,"SE_LGP_ACHI","Costa Rica","LOWSEC","SKILL_READ",0.78715
2018,"SE_LGP_ACHI","Costa Rica","LOWSEC","SKILL_MATH",0.89014
2006,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_MATH",0.68584
2006,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_READ",0.74087
2009,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_READ",0.9057
2009,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_MATH",0.82259
2011,"SE_LGP_ACHI","Croatia","PRIMAR","SKILL_READ",0.97877
2012,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_MATH",0.92294
2012,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_READ",0.90535
2015,"SE_LGP_ACHI","Croatia","PRIMAR","SKILL_MATH",0.96124
2015,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_READ",0.81982
2015,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_MATH",0.70438
2018,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_READ",0.85115
2018,"SE_LGP_ACHI","Croatia","LOWSEC","SKILL_MATH",0.8408
2019,"SE_LGP_ACHI","Croatia","PRIMAR","SKILL_MATH",0.87129
2001,"SE_LGP_ACHI","Cyprus","PRIMAR","SKILL_READ",0.90689
2003,"SE_LGP_ACHI","Cyprus","PRIMAR","SKILL_MATH",0.83062
2015,"SE_LGP_ACHI","Cyprus","PRIMAR","SKILL_MATH",0.79291
2018,"SE_LGP_ACHI","Cyprus","LOWSEC","SKILL_READ",1.07557
2019,"SE_LGP_ACHI","Cyprus","PRIMAR","SKILL_MATH",0.84677
2000,"SE_LGP_ACHI","Albania","LOWSEC","SKILL_MATH",0.85235
2000,"SE_LGP_ACHI","Albania","LOWSEC","SKILL_READ",0.87781
2009,"SE_LGP_ACHI","Albania","LOWSEC","SKILL_MATH",0.46376
2009,"SE_LGP_ACHI","Albania","LOWSEC","SKILL_READ",0.80953
2012,"SE_LGP_ACHI","Albania","LOWSEC","SKILL_MATH",0.96586
2012,"SE_LGP_ACHI","Albania","LOWSEC","SKILL_READ",0.85464
2018,"SE_LGP_ACHI","Albania","LOWSEC","SKILL_READ",0.77012
2000,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_MATH",0.69376
2000,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_READ",0.73226
2001,"SE_LGP_ACHI","Czechia","PRIMAR","SKILL_READ",0.83223
2003,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_MATH",1.0191
2003,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_READ",0.98902
2006,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_READ",0.64331
2006,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_MATH",0.74716
2007,"SE_LGP_ACHI","Czechia","PRIMAR","SKILL_MATH",0.47605
2009,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_READ",0.91176
2009,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_MATH",0.92841
2011,"SE_LGP_ACHI","Czechia","PRIMAR","SKILL_MATH",1.05044
2011,"SE_LGP_ACHI","Czechia","PRIMAR","SKILL_READ",0.95603
2012,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_READ",0.88212
2012,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_MATH",0.8753
2015,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_MATH",0.80753
2015,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_READ",0.7661
2015,"SE_LGP_ACHI","Czechia","PRIMAR","SKILL_MATH",1.00559
2016,"SE_LGP_ACHI","Czechia","PRIMAR","SKILL_READ",1.00784
2018,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_MATH",0.75911
2018,"SE_LGP_ACHI","Czechia","LOWSEC","SKILL_READ",0.73422
2019,"SE_LGP_ACHI","Czechia","PRIMAR","SKILL_MATH",1.06017
2000,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_READ",0.66366
2000,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_MATH",0.69636
2003,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_MATH",0.85318
2003,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_READ",0.89506
2006,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_READ",0.68721
2006,"SE_LGP_ACHI","Denmark","GRAD23","SKILL_READ",0.92163
2006,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_MATH",0.66361
2007,"SE_LGP_ACHI","Denmark","GRAD23","SKILL_MATH",0.79824
2009,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_MATH",0.69855
2009,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_READ",0.72049
2011,"SE_LGP_ACHI","Denmark","GRAD23","SKILL_READ",0.99017
2012,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_READ",0.79241
2012,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_MATH",0.75315
2015,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_MATH",0.72849
2015,"SE_LGP_ACHI","Denmark","GRAD23","SKILL_MATH",0.8347
2015,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_READ",0.733
2016,"SE_LGP_ACHI","Denmark","GRAD23","SKILL_READ",0.97873
2018,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_READ",0.72636
2018,"SE_LGP_ACHI","Denmark","LOWSEC","SKILL_MATH",0.79838
2019,"SE_LGP_ACHI","Denmark","GRAD23","SKILL_MATH",0.64446
2015,"SE_LGP_ACHI","Estonia","LOWSEC","SKILL_READ",0.82275
2015,"SE_LGP_ACHI","Estonia","LOWSEC","SKILL_MATH",0.8999
2018,"SE_LGP_ACHI","Estonia","LOWSEC","SKILL_MATH",0.88288
2018,"SE_LGP_ACHI","Estonia","LOWSEC","SKILL_READ",0.84603
2000,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_READ",0.89521
2000,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_MATH",0.92851
2003,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_MATH",0.83792
2003,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_READ",0.82313
2006,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_READ",0.90358
2006,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_MATH",0.82027
2009,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_READ",0.80406
2009,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_MATH",0.88446
2011,"SE_LGP_ACHI","Finland","PRIMAR","SKILL_READ",0.93639
2012,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_MATH",0.72848
2012,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_READ",0.75551
2015,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_READ",0.75295
2015,"SE_LGP_ACHI","Finland","PRIMAR","SKILL_MATH",0.81475
2015,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_MATH",0.76701
2016,"SE_LGP_ACHI","Finland","PRIMAR","SKILL_READ",0.974
2018,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_READ",0.72983
2018,"SE_LGP_ACHI","Finland","LOWSEC","SKILL_MATH",0.79388
2019,"SE_LGP_ACHI","Finland","PRIMAR","SKILL_MATH",0.90393
2000,"SE_LGP_ACHI","France","LOWSEC","SKILL_MATH",0.80317
2000,"SE_LGP_ACHI","France","LOWSEC","SKILL_READ",0.7444
2001,"SE_LGP_ACHI","France","PRIMAR","SKILL_READ",0.89371
2003,"SE_LGP_ACHI","France","LOWSEC","SKILL_MATH",0.72721
2003,"SE_LGP_ACHI","France","LOWSEC","SKILL_READ",0.71912
2006,"SE_LGP_ACHI","France","PRIMAR","SKILL_READ",0.88633
2006,"SE_LGP_ACHI","France","LOWSEC","SKILL_READ",0.82513
2006,"SE_LGP_ACHI","France","LOWSEC","SKILL_MATH",0.68245
2009,"SE_LGP_ACHI","France","LOWSEC","SKILL_MATH",0.71269
2009,"SE_LGP_ACHI","France","LOWSEC","SKILL_READ",0.72303
2011,"SE_LGP_ACHI","France","PRIMAR","SKILL_READ",0.87738
2012,"SE_LGP_ACHI","France","LOWSEC","SKILL_MATH",0.71815
2012,"SE_LGP_ACHI","France","LOWSEC","SKILL_READ",0.7643
2015,"SE_LGP_ACHI","France","LOWSEC","SKILL_READ",0.68173
2015,"SE_LGP_ACHI","France","PRIMAR","SKILL_MATH",0.59945
2015,"SE_LGP_ACHI","France","LOWSEC","SKILL_MATH",0.64718
2016,"SE_LGP_ACHI","France","PRIMAR","SKILL_READ",0.97781
2018,"SE_LGP_ACHI","France","LOWSEC","SKILL_MATH",0.7701
2018,"SE_LGP_ACHI","France","LOWSEC","SKILL_READ",0.73615
2019,"SE_LGP_ACHI","France","PRIMAR","SKILL_MATH",0.42571
2006,"SE_LGP_ACHI","Georgia","PRIMAR","SKILL_READ",1.11975
2007,"SE_LGP_ACHI","Georgia","PRIMAR","SKILL_MATH",0.34321
2009,"SE_LGP_ACHI","Georgia","LOWSEC","SKILL_READ",0.68153
2009,"SE_LGP_ACHI","Georgia","LOWSEC","SKILL_MATH",0.74215
2011,"SE_LGP_ACHI","Georgia","PRIMAR","SKILL_READ",0.49765
2015,"SE_LGP_ACHI","Georgia","LOWSEC","SKILL_MATH",0.57608
2015,"SE_LGP_ACHI","Georgia","PRIMAR","SKILL_MATH",0.44118
2015,"SE_LGP_ACHI","Georgia","LOWSEC","SKILL_READ",0.66782
2016,"SE_LGP_ACHI","Georgia","PRIMAR","SKILL_READ",0.79079
2018,"SE_LGP_ACHI","Georgia","LOWSEC","SKILL_MATH",0.70111
2018,"SE_LGP_ACHI","Georgia","LOWSEC","SKILL_READ",0.7185
2019,"SE_LGP_ACHI","Georgia","PRIMAR","SKILL_MATH",1.0967
2000,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_READ",0.52581
2000,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_MATH",0.47734
2001,"SE_LGP_ACHI","Germany","PRIMAR","SKILL_READ",0.90537
2003,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_MATH",0.62152
2003,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_READ",0.55574
2006,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_READ",0.68406
2006,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_MATH",0.6908
2006,"SE_LGP_ACHI","Germany","PRIMAR","SKILL_READ",0.90853
2007,"SE_LGP_ACHI","Germany","PRIMAR","SKILL_MATH",0.91544
2009,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_READ",0.80047
2009,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_MATH",0.79829
2011,"SE_LGP_ACHI","Germany","PRIMAR","SKILL_READ",0.97119
2011,"SE_LGP_ACHI","Germany","PRIMAR","SKILL_MATH",0.73161
2012,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_READ",0.85218
2012,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_MATH",0.81449
2015,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_MATH",0.72348
2015,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_READ",0.72886
2015,"SE_LGP_ACHI","Germany","PRIMAR","SKILL_MATH",0.6635
2016,"SE_LGP_ACHI","Germany","PRIMAR","SKILL_READ",0.84288
2018,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_READ",0.64275
2018,"SE_LGP_ACHI","Germany","LOWSEC","SKILL_MATH",0.6645
2019,"SE_LGP_ACHI","Germany","PRIMAR","SKILL_MATH",0.78493
2000,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_MATH",0.56119
2000,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_READ",0.57342
2001,"SE_LGP_ACHI","Greece","PRIMAR","SKILL_READ",1.04943
2018,"SE_LGP_ACHI","Albania","LOWSEC","SKILL_MATH",0.84506
2019,"SE_LGP_ACHI","Albania","PRIMAR","SKILL_MATH",0.68819
2006,"SE_LGP_ACHI","Azerbaijan","LOWSEC","SKILL_MATH",1.04007
2006,"SE_LGP_ACHI","Azerbaijan","LOWSEC","SKILL_READ",1.48482
2009,"SE_LGP_ACHI","Azerbaijan","LOWSEC","SKILL_READ",1.30034
2009,"SE_LGP_ACHI","Azerbaijan","LOWSEC","SKILL_MATH",0.90641
2011,"SE_LGP_ACHI","Azerbaijan","PRIMAR","SKILL_READ",0.92174
2016,"SE_LGP_ACHI","Azerbaijan","PRIMAR","SKILL_READ",1.10476
2003,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_READ",0.66957
2003,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_MATH",0.69237
2006,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_READ",0.63192
2006,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_MATH",0.67831
2009,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_READ",0.61947
2009,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_MATH",0.58833
2012,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_MATH",0.61725
2019,"SE_LGP_ACHI","Azerbaijan","PRIMAR","SKILL_MATH",0.83553
2000,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_MATH",0.95665
2000,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_READ",0.92955
2003,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_READ",0.94265
2003,"SE_LGP_ACHI","Australia","GRAD23","SKILL_MATH",0.52361
2003,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_MATH",0.93423
2003,"SE_LGP_ACHI","Australia","PRIMAR","SKILL_MATH",1.06106
2006,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_READ",0.91509
2006,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_MATH",0.97038
2007,"SE_LGP_ACHI","Australia","GRAD23","SKILL_MATH",0.45401
2007,"SE_LGP_ACHI","Australia","PRIMAR","SKILL_MATH",1.05347
2009,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_MATH",0.96979
2009,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_READ",0.94221
2011,"SE_LGP_ACHI","Australia","GRAD23","SKILL_READ",0.80158
2011,"SE_LGP_ACHI","Australia","GRAD23","SKILL_MATH",0.89777
2011,"SE_LGP_ACHI","Australia","PRIMAR","SKILL_MATH",1.0476
