Year,SeriesCode,GeoAreaName,Mode of transportation,Value
2015,"IS_RDP_PORFVOL","Iceland","SEA",261700
2016,"IS_RDP_PORFVOL","Iceland","SEA",261700
2017,"IS_RDP_PORFVOL","Iceland","SEA",350348
2018,"IS_RDP_PORFVOL","Iceland","SEA",352300
2019,"IS_RDP_PORFVOL","Iceland","SEA",330292
2020,"IS_RDP_PORFVOL","Iceland","SEA",297263
2010,"IS_RDP_PORFVOL","India","SEA",8889576
2011,"IS_RDP_PORFVOL","India","SEA",9893786
2012,"IS_RDP_PORFVOL","India","SEA",10041000
2013,"IS_RDP_PORFVOL","India","SEA",10632000
2014,"IS_RDP_PORFVOL","India","SEA",11319000
2015,"IS_RDP_PORFVOL","India","SEA",11883003
2016,"IS_RDP_PORFVOL","India","SEA",12083010
2017,"IS_RDP_PORFVOL","India","SEA",15429000
2018,"IS_RDP_PORFVOL","India","SEA",16946200
2019,"IS_RDP_PORFVOL","India","SEA",17053200
2020,"IS_RDP_PORFVOL","India","SEA",16285806
2010,"IS_RDP_PORFVOL","Ireland","SEA",817362
2011,"IS_RDP_PORFVOL","Ireland","SEA",781000
2012,"IS_RDP_PORFVOL","Ireland","SEA",733000
2013,"IS_RDP_PORFVOL","Ireland","SEA",727000
2014,"IS_RDP_PORFVOL","Ireland","SEA",793000
2015,"IS_RDP_PORFVOL","Ireland","SEA",860000
2016,"IS_RDP_PORFVOL","Ireland","SEA",910000
2017,"IS_RDP_PORFVOL","Ireland","SEA",960300
2018,"IS_RDP_PORFVOL","Ireland","SEA",999300
2019,"IS_RDP_PORFVOL","Ireland","SEA",1045000
2020,"IS_RDP_PORFVOL","Ireland","SEA",1041000
2010,"IS_RDP_PORFVOL","Israel","SEA",2282000
2011,"IS_RDP_PORFVOL","Israel","SEA",2413000
2012,"IS_RDP_PORFVOL","Israel","SEA",2561000
2013,"IS_RDP_PORFVOL","Israel","SEA",2539000
2014,"IS_RDP_PORFVOL","Israel","SEA",2446000
2015,"IS_RDP_PORFVOL","Israel","SEA",2522000
2016,"IS_RDP_PORFVOL","Israel","SEA",2522000
2017,"IS_RDP_PORFVOL","Israel","SEA",2868000
2018,"IS_RDP_PORFVOL","Israel","SEA",2946000
2019,"IS_RDP_PORFVOL","Israel","SEA",2917000
2020,"IS_RDP_PORFVOL","Israel","SEA",2994000
2010,"IS_RDP_PORFVOL","Italy","SEA",8021929
2011,"IS_RDP_PORFVOL","Italy","SEA",8689878
2012,"IS_RDP_PORFVOL","Italy","SEA",8550901
2013,"IS_RDP_PORFVOL","Italy","SEA",9537962
2014,"IS_RDP_PORFVOL","Italy","SEA",9683000
2015,"IS_RDP_PORFVOL","Italy","SEA",9436316
2016,"IS_RDP_PORFVOL","Italy","SEA",9774316
2017,"IS_RDP_PORFVOL","Italy","SEA",9894845
2018,"IS_RDP_PORFVOL","Italy","SEA",9922512
2019,"IS_RDP_PORFVOL","Italy","SEA",10120001
2020,"IS_RDP_PORFVOL","Italy","SEA",9800000
2010,"IS_RDP_PORFVOL","Japan","SEA",18965865
2011,"IS_RDP_PORFVOL","Japan","SEA",18114999
2012,"IS_RDP_PORFVOL","Japan","SEA",19727200
2013,"IS_RDP_PORFVOL","Japan","SEA",20522000
2014,"IS_RDP_PORFVOL","Japan","SEA",20741500
2015,"IS_RDP_PORFVOL","Japan","SEA",20138396
2016,"IS_RDP_PORFVOL","Japan","SEA",20319000
2017,"IS_RDP_PORFVOL","Japan","SEA",21962500
2018,"IS_RDP_PORFVOL","Japan","SEA",22610460
2019,"IS_RDP_PORFVOL","Japan","SEA",22276700
2020,"IS_RDP_PORFVOL","Japan","SEA",21385632
2010,"IS_RDP_PORFVOL","Republic of Korea","SEA",18520000
2011,"IS_RDP_PORFVOL","Republic of Korea","SEA",20466000
2012,"IS_RDP_PORFVOL","Republic of Korea","SEA",21516900
2013,"IS_RDP_PORFVOL","Republic of Korea","SEA",23445000
2014,"IS_RDP_PORFVOL","Republic of Korea","SEA",24814000
2015,"IS_RDP_PORFVOL","Republic of Korea","SEA",25477000
2016,"IS_RDP_PORFVOL","Republic of Korea","SEA",26373000
2017,"IS_RDP_PORFVOL","Republic of Korea","SEA",27415800
2018,"IS_RDP_PORFVOL","Republic of Korea","SEA",28867900
2019,"IS_RDP_PORFVOL","Republic of Korea","SEA",28311770
2020,"IS_RDP_PORFVOL","Republic of Korea","SEA",28425017
2010,"IS_RDP_PORFVOL","Latvia","SEA",256000
2011,"IS_RDP_PORFVOL","Latvia","SEA",306600
2012,"IS_RDP_PORFVOL","Latvia","SEA",366260
2013,"IS_RDP_PORFVOL","Latvia","SEA",385636
2014,"IS_RDP_PORFVOL","Latvia","SEA",391200
2015,"IS_RDP_PORFVOL","Latvia","SEA",359390
2016,"IS_RDP_PORFVOL","Latvia","SEA",388433
2017,"IS_RDP_PORFVOL","Latvia","SEA",449732
2018,"IS_RDP_PORFVOL","Latvia","SEA",472532
2019,"IS_RDP_PORFVOL","Latvia","SEA",472132
2020,"IS_RDP_PORFVOL","Latvia","SEA",462000
2010,"IS_RDP_PORFVOL","Lithuania","SEA",295000
2011,"IS_RDP_PORFVOL","Lithuania","SEA",382200
2012,"IS_RDP_PORFVOL","Lithuania","SEA",381300
2013,"IS_RDP_PORFVOL","Lithuania","SEA",402500
2014,"IS_RDP_PORFVOL","Lithuania","SEA",450400
2015,"IS_RDP_PORFVOL","Lithuania","SEA",393000
2016,"IS_RDP_PORFVOL","Lithuania","SEA",443300
2017,"IS_RDP_PORFVOL","Lithuania","SEA",472000
2018,"IS_RDP_PORFVOL","Lithuania","SEA",750000
2019,"IS_RDP_PORFVOL","Lithuania","SEA",705000
2020,"IS_RDP_PORFVOL","Lithuania","SEA",640000
2010,"IS_RDP_PORFVOL","Malta","SEA",2450665
2011,"IS_RDP_PORFVOL","Malta","SEA",2439936
2012,"IS_RDP_PORFVOL","Malta","SEA",2618036
2013,"IS_RDP_PORFVOL","Malta","SEA",2824736
2014,"IS_RDP_PORFVOL","Malta","SEA",2949036
2015,"IS_RDP_PORFVOL","Malta","SEA",3023900
2016,"IS_RDP_PORFVOL","Malta","SEA",3140000
2017,"IS_RDP_PORFVOL","Malta","SEA",3154500
2018,"IS_RDP_PORFVOL","Malta","SEA",3314100
2019,"IS_RDP_PORFVOL","Malta","SEA",2712800
2020,"IS_RDP_PORFVOL","Malta","SEA",2440000
2010,"IS_RDP_PORFVOL","Mexico","SEA",3697918
2011,"IS_RDP_PORFVOL","Mexico","SEA",4215859
2012,"IS_RDP_PORFVOL","Mexico","SEA",4796065
2013,"IS_RDP_PORFVOL","Mexico","SEA",4865500
2014,"IS_RDP_PORFVOL","Mexico","SEA",5040281
2015,"IS_RDP_PORFVOL","Mexico","SEA",5506488
2016,"IS_RDP_PORFVOL","Mexico","SEA",5680483
2017,"IS_RDP_PORFVOL","Mexico","SEA",6375338
2018,"IS_RDP_PORFVOL","Mexico","SEA",6987820
2019,"IS_RDP_PORFVOL","Mexico","SEA",7028903
2020,"IS_RDP_PORFVOL","Mexico","SEA",6385629
2012,"IS_RDP_PORFVOL","Republic of Moldova","SEA",2359
2013,"IS_RDP_PORFVOL","Republic of Moldova","SEA",1281
2014,"IS_RDP_PORFVOL","Republic of Moldova","SEA",1281
2015,"IS_RDP_PORFVOL","Republic of Moldova","SEA",2617
2016,"IS_RDP_PORFVOL","Republic of Moldova","SEA",2617
2017,"IS_RDP_PORFVOL","Republic of Moldova","SEA",2617
2018,"IS_RDP_PORFVOL","Republic of Moldova","SEA",2617
2019,"IS_RDP_PORFVOL","Republic of Moldova","SEA",2348
2020,"IS_RDP_PORFVOL","Republic of Moldova","SEA",906
2010,"IS_RDP_PORFVOL","Montenegro","SEA",24304
2011,"IS_RDP_PORFVOL","Montenegro","SEA",27475
2012,"IS_RDP_PORFVOL","Montenegro","SEA",44308
