Year,SeriesCode,GeoAreaName,Type of waste treatment,Value
2015,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",150000
2016,"EN_MWT_TREATV","Lithuania","INCINRT",0
2016,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",221000
2017,"EN_MWT_TREATV","Lithuania","INCINRT_EGY",236000
2008,"EN_MWT_TREATV","Austria","INCINRT_EGY",1357000
2009,"EN_MWT_TREATV","Austria","INCINRT",0
2009,"EN_MWT_TREATV","Austria","INCINRT_EGY",1440000
2010,"EN_MWT_TREATV","Austria","INCINRT",0
2010,"EN_MWT_TREATV","Austria","INCINRT_EGY",1636000
2011,"EN_MWT_TREATV","Austria","INCINRT_EGY",1678000
2011,"EN_MWT_TREATV","Austria","INCINRT",0
2012,"EN_MWT_TREATV","Austria","INCINRT",0
2012,"EN_MWT_TREATV","Austria","INCINRT_EGY",1693000
2013,"EN_MWT_TREATV","Austria","INCINRT_EGY",1716000
2013,"EN_MWT_TREATV","Austria","INCINRT",0
2014,"EN_MWT_TREATV","Austria","INCINRT_EGY",1756000
2014,"EN_MWT_TREATV","Austria","INCINRT",0
2015,"EN_MWT_TREATV","Austria","INCINRT",0
2015,"EN_MWT_TREATV","Austria","INCINRT_EGY",1833000
2016,"EN_MWT_TREATV","Austria","INCINRT_EGY",1855000
2016,"EN_MWT_TREATV","Austria","INCINRT",0
2017,"EN_MWT_TREATV","Austria","INCINRT",0
2017,"EN_MWT_TREATV","Austria","INCINRT_EGY",1944000
2018,"EN_MWT_TREATV","Austria","INCINRT_EGY",1977000
2018,"EN_MWT_TREATV","Austria","INCINRT",0
2019,"EN_MWT_TREATV","Austria","INCINRT_EGY",2004000
2019,"EN_MWT_TREATV","Austria","INCINRT",0
2020,"EN_MWT_TREATV","Austria","INCINRT",7000
2020,"EN_MWT_TREATV","Austria","INCINRT_EGY",2669000
2000,"EN_MWT_TREATV","Armenia","OTHERWM",208100.006
2000,"EN_MWT_TREATV","Armenia","LANDFILCTL",208100.006
2000,"EN_MWT_TREATV","Armenia","LANDFIL",208100.006
2001,"EN_MWT_TREATV","Armenia","LANDFIL",233600.006
2001,"EN_MWT_TREATV","Armenia","LANDFILCTL",233600.006
2001,"EN_MWT_TREATV","Armenia","OTHERWM",233600.006
2002,"EN_MWT_TREATV","Armenia","LANDFILCTL",284399.994
2002,"EN_MWT_TREATV","Armenia","OTHERWM",284399.994
2002,"EN_MWT_TREATV","Armenia","LANDFIL",284399.994
2003,"EN_MWT_TREATV","Armenia","LANDFIL",368600.006
2003,"EN_MWT_TREATV","Armenia","LANDFILCTL",368600.006
2003,"EN_MWT_TREATV","Armenia","OTHERWM",368600.006
2004,"EN_MWT_TREATV","Armenia","LANDFIL",377000
2004,"EN_MWT_TREATV","Armenia","OTHERWM",377000
2004,"EN_MWT_TREATV","Armenia","LANDFILCTL",377000
2005,"EN_MWT_TREATV","Armenia","OTHERWM",374600.006
2005,"EN_MWT_TREATV","Armenia","LANDFILCTL",374600.006
2005,"EN_MWT_TREATV","Armenia","LANDFIL",374600.006
2006,"EN_MWT_TREATV","Armenia","LANDFIL",381000
2006,"EN_MWT_TREATV","Armenia","OTHERWM",381000
2006,"EN_MWT_TREATV","Armenia","LANDFILCTL",381000
2007,"EN_MWT_TREATV","Armenia","LANDFILCTL",391899.994
2007,"EN_MWT_TREATV","Armenia","OTHERWM",391899.994
2007,"EN_MWT_TREATV","Armenia","LANDFIL",391899.994
2008,"EN_MWT_TREATV","Armenia","LANDFIL",385899.994
2008,"EN_MWT_TREATV","Armenia","OTHERWM",385899.994
2008,"EN_MWT_TREATV","Armenia","LANDFILCTL",385899.994
2009,"EN_MWT_TREATV","Armenia","LANDFIL",410899.994
2009,"EN_MWT_TREATV","Armenia","LANDFILCTL",410899.994
2009,"EN_MWT_TREATV","Armenia","OTHERWM",410899.994
2010,"EN_MWT_TREATV","Armenia","LANDFILCTL",387100.006
2010,"EN_MWT_TREATV","Armenia","LANDFIL",387100.006
2010,"EN_MWT_TREATV","Armenia","OTHERWM",387100.006
2011,"EN_MWT_TREATV","Armenia","LANDFIL",395500
2011,"EN_MWT_TREATV","Armenia","LANDFILCTL",395500
