Year,GeoAreaName,Age,Location,Sex,Value
2007,Hungary,15-64,ALLAREA,BOTHSEX,0.22553
2007,Hungary,65+,ALLAREA,BOTHSEX,0.11092
2007,Hungary,ALLAGE,ALLAREA,FEMALE,0.18928
2015,Montenegro,ALLAGE,ALLAREA,FEMALE,1.34876
2015,Montenegro,65+,ALLAREA,BOTHSEX,0.31506
2015,Montenegro,15-64,ALLAREA,BOTHSEX,1.29925
2015,Montenegro,<15Y,ALLAREA,BOTHSEX,2.50301
2015,Montenegro,ALLAGE,URBAN,BOTHSEX,1.00371
2015,Montenegro,ALLAGE,RURAL,BOTHSEX,2.03857
2015,Montenegro,ALLAGE,ALLAREA,MALE,1.39571
2016,Montenegro,ALLAGE,RURAL,BOTHSEX,4.82791
2016,Montenegro,ALLAGE,URBAN,BOTHSEX,1.87255
2007,Hungary,ALLAGE,ALLAREA,MALE,0.2223
2007,Hungary,ALLAGE,RURAL,BOTHSEX,0.1817
2007,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.1
2007,Hungary,ALLAGE,URBAN,BOTHSEX,0.2261
2008,Hungary,15-64,ALLAREA,BOTHSEX,0.04061
2008,Hungary,<15Y,ALLAREA,BOTHSEX,0.01476
2008,Hungary,65+,ALLAREA,BOTHSEX,0.02962
2008,Hungary,ALLAGE,ALLAREA,FEMALE,0.03057
2008,Hungary,ALLAGE,ALLAREA,MALE,0.04041
2018,Albania,ALLAGE,ALLAREA,BOTHSEX,0
2018,Albania,<15Y,ALLAREA,BOTHSEX,0.05476
2018,Albania,65+,ALLAREA,BOTHSEX,0
2018,Albania,ALLAGE,ALLAREA,FEMALE,0.03543
2018,Albania,ALLAGE,ALLAREA,MALE,0.06049
2018,Albania,15-64,ALLAREA,BOTHSEX,0.05629
2019,Albania,ALLAGE,ALLAREA,BOTHSEX,0
2020,Albania,ALLAGE,ALLAREA,BOTHSEX,0
2020,Albania,<15Y,ALLAREA,BOTHSEX,0.05187
2008,Hungary,ALLAGE,RURAL,BOTHSEX,0.05406
2008,Hungary,ALLAGE,URBAN,BOTHSEX,0.01771
2008,Hungary,ALLAGE,ALLAREA,BOTHSEX,0
2009,Hungary,ALLAGE,ALLAREA,BOTHSEX,0.1
2009,Hungary,<15Y,ALLAREA,BOTHSEX,0.01384
2009,Hungary,15-64,ALLAREA,BOTHSEX,0.1031
2009,Hungary,65+,ALLAREA,BOTHSEX,0.01648
2009,Hungary,ALLAGE,ALLAREA,FEMALE,0.06632
2009,Hungary,ALLAGE,ALLAREA,MALE,0.08768
2009,Croatia,ALLAGE,ALLAREA,BOTHSEX,0.9
2010,Croatia,ALLAGE,ALLAREA,BOTHSEX,1.2
