Year,SeriesCode,Country,Age,Sex,Value
2010,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,20
2010,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Male,18
2010,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,25
2010,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,5
2010,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Male,21
2011,VC_HTF_DETV,Bosnia and Herzegovina,18+,Male,16
2011,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Female,7
2011,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Female,7
2011,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,35
2011,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Male,12
2011,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Male,28
2011,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,16
2011,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,19
2018,VC_HTF_DETV,Estonia,ALLAGE,Female,5
2019,VC_HTF_DETV,Estonia,ALLAGE,Male,10
2019,VC_HTF_DETV,Estonia,18+,Male,10
2019,VC_HTF_DETV,Estonia,18+,Both sexes,12
2019,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,12
2020,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,5
2020,VC_HTF_DETV,Estonia,18+,Both sexes,5
2015,VC_HTF_DETV,Albania,<18Y,Both sexes,48
2016,VC_HTF_DETV,Albania,18+,Male,44
2016,VC_HTF_DETV,Albania,<18Y,Both sexes,44
2016,VC_HTF_DETV,Albania,18+,Female,7
2016,VC_HTF_DETV,Albania,18+,Both sexes,51
2016,VC_HTF_DETV,Albania,ALLAGE,Male,84
2016,VC_HTF_DETV,Albania,ALLAGE,Female,11
2016,VC_HTF_DETV,Albania,<18Y,Male,40
2012,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,19
2012,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Male,19
2012,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Male,39
2012,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,20
2012,VC_HTF_DETV,Bosnia and Herzegovina,18+,Male,20
2012,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,39
2016,VC_HTF_DETV,Albania,ALLAGE,Both sexes,95
2017,VC_HTF_DETV,Albania,<18Y,Both sexes,56
2017,VC_HTF_DETV,Albania,ALLAGE,Both sexes,105
2017,VC_HTF_DETV,Albania,<18Y,Female,24
2017,VC_HTF_DETV,Albania,18+,Both sexes,49
2017,VC_HTF_DETV,Albania,ALLAGE,Male,80
2017,VC_HTF_DETV,Albania,ALLAGE,Female,25
2017,VC_HTF_DETV,Albania,<18Y,Male,32
2014,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,49
2014,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,37
2014,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Female,13
2014,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,12
2014,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Female,14
2014,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Male,35
2014,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Male,24
2017,VC_HTF_DETV,Albania,18+,Male,48
2018,VC_HTF_DETV,Albania,<18Y,Female,31
2018,VC_HTF_DETV,Albania,ALLAGE,Both sexes,95
2018,VC_HTF_DETV,Albania,18+,Male,24
2018,VC_HTF_DETV,Albania,ALLAGE,Female,35
2018,VC_HTF_DETV,Albania,ALLAGE,Male,60
2018,VC_HTF_DETV,Albania,<18Y,Male,36
2018,VC_HTF_DETV,Albania,<18Y,Both sexes,67
2007,VC_HTF_DETV,Finland,ALLAGE,Both sexes,5
2014,VC_HTF_DETV,Bosnia and Herzegovina,18+,Male,11
2015,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,18
2015,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,35
2015,VC_HTF_DETV,Bosnia and Herzegovina,18+,Male,13
2015,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Male,14
2015,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Male,27
2015,VC_HTF_DETV,Bosnia and Herzegovina,18+,Female,5
2015,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Female,8
2015,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,17
2016,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,38
2016,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,10
2016,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,48
2017,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Female,58
2017,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Male,25
2017,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,47
2017,VC_HTF_DETV,Bosnia and Herzegovina,18+,Male,25
2017,VC_HTF_DETV,Bosnia and Herzegovina,18+,Female,58
2008,VC_HTF_DETV,Finland,18+,Female,6
2008,VC_HTF_DETV,Finland,ALLAGE,Female,6
2008,VC_HTF_DETV,Finland,18+,Male,7
2008,VC_HTF_DETV,Finland,ALLAGE,Male,10
2008,VC_HTF_DETV,Finland,ALLAGE,Both sexes,16
2017,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,83
2017,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,36
2018,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,12
2018,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,36
2018,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,24
2019,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,36
2019,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,61
2019,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,25
2020,VC_HTF_DETV,Bosnia and Herzegovina,18+,Male,27
2008,VC_HTF_DETV,Finland,18+,Both sexes,13
2009,VC_HTF_DETV,Finland,18+,Both sexes,17
2009,VC_HTF_DETV,Finland,ALLAGE,Both sexes,17
2009,VC_HTF_DETV,Finland,18+,Male,13
2009,VC_HTF_DETV,Finland,ALLAGE,Male,13
2010,VC_HTF_DETV,Finland,18+,Both sexes,49
2010,VC_HTF_DETV,Finland,18+,Male,30
2010,VC_HTF_DETV,Finland,18+,Female,14
2010,VC_HTF_DETV,Finland,ALLAGE,Male,31
2008,VC_HTF_DETV,Japan,ALLAGE,Male,36
2008,VC_HTF_DETV,Japan,18+,Male,34
2008,VC_HTF_DETV,Japan,ALLAGE,Both sexes,36
2008,VC_HTF_DETV,Japan,18+,Both sexes,34
2010,VC_HTF_DETV,Finland,ALLAGE,Female,17
2010,VC_HTF_DETV,Finland,ALLAGE,Both sexes,49
2011,VC_HTF_DETV,Finland,18+,Male,28
2011,VC_HTF_DETV,Finland,18+,Both sexes,54
2011,VC_HTF_DETV,Finland,18+,Female,23
2011,VC_HTF_DETV,Finland,ALLAGE,Both sexes,54
2011,VC_HTF_DETV,Finland,ALLAGE,Female,23
2011,VC_HTF_DETV,Finland,ALLAGE,Male,28
2012,VC_HTF_DETV,Finland,ALLAGE,Male,28
2012,VC_HTF_DETV,Finland,ALLAGE,Both sexes,50
2012,VC_HTF_DETV,Finland,<18Y,Both sexes,5
2012,VC_HTF_DETV,Finland,18+,Both sexes,48
2012,VC_HTF_DETV,Finland,ALLAGE,Female,25
2012,VC_HTF_DETV,Finland,18+,Female,22
2012,VC_HTF_DETV,Finland,18+,Male,26
2013,VC_HTF_DETV,Finland,18+,Both sexes,53
2009,VC_HTF_DETV,Japan,18+,Both sexes,16
2009,VC_HTF_DETV,Japan,18+,Male,16
2009,VC_HTF_DETV,Japan,ALLAGE,Both sexes,17
2009,VC_HTF_DETV,Japan,ALLAGE,Male,17
2020,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Male,27
2020,VC_HTF_DETV,Bosnia and Herzegovina,18+,Female,7
2020,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,35
2020,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Female,7
2020,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,35
2020,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,70
2007,VC_HTF_DETV,Bulgaria,18+,Female,12
2007,VC_HTF_DETV,Bulgaria,ALLAGE,Both sexes,288
2007,VC_HTF_DETV,Bulgaria,<18Y,Both sexes,53
2013,VC_HTF_DETV,Finland,18+,Male,34
2013,VC_HTF_DETV,Finland,ALLAGE,Both sexes,58
2013,VC_HTF_DETV,Finland,18+,Female,19
