Year,SeriesCode,Country,Age,Sex,Value
2014,IC_GEN_MGTL_19ICLS,Belgium,,Female,31.65
2015,IC_GEN_MGTL_19ICLS,Belgium,,Female,32.56
2016,IC_GEN_MGTL_19ICLS,Belgium,,Female,32.66
2017,IC_GEN_MGTL_19ICLS,Belgium,,Female,33.19
2018,IC_GEN_MGTL_19ICLS,Belgium,,Female,34.03
2019,IC_GEN_MGTL_19ICLS,Belgium,,Female,35.03
2020,IC_GEN_MGTL_19ICLS,Belgium,,Female,35.93
2021,IC_GEN_MGTL_19ICLS,Belgium,,Female,35.43
2021,IC_GEN_MGTL_19ICLS,Bosnia and Herzegovina,,Female,24.18
2000,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,29.82
2001,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,32.65
2002,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,33.54
2003,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,31.3
2003,IC_GEN_MGTL_19ICLS,Lithuania,,Female,40.72
2004,IC_GEN_MGTL_19ICLS,Lithuania,,Female,45.37
2005,IC_GEN_MGTL_19ICLS,Lithuania,,Female,43.17
2006,IC_GEN_MGTL_19ICLS,Lithuania,,Female,40.49
2007,IC_GEN_MGTL_19ICLS,Lithuania,,Female,38.12
2008,IC_GEN_MGTL_19ICLS,Lithuania,,Female,40.18
2009,IC_GEN_MGTL_19ICLS,Lithuania,,Female,39.24
2010,IC_GEN_MGTL_19ICLS,Lithuania,,Female,41.08
2011,IC_GEN_MGTL_19ICLS,Lithuania,,Female,39.11
2012,IC_GEN_MGTL_19ICLS,Lithuania,,Female,38.9
2013,IC_GEN_MGTL_19ICLS,Lithuania,,Female,39.58
2004,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,34.41
2005,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,33.97
2006,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,31.61
2007,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,31.4
2008,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,31.52
2009,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,32.45
2010,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,33.69
2011,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,37.97
2012,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,36.85
2013,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,36.26
2014,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,36.33
2014,IC_GEN_MGTL_19ICLS,Lithuania,,Female,38.55
2015,IC_GEN_MGTL_19ICLS,Lithuania,,Female,39.61
2016,IC_GEN_MGTL_19ICLS,Lithuania,,Female,39.42
2017,IC_GEN_MGTL_19ICLS,Lithuania,,Female,39.31
2018,IC_GEN_MGTL_19ICLS,Lithuania,,Female,39.24
2019,IC_GEN_MGTL_19ICLS,Lithuania,,Female,39.24
2020,IC_GEN_MGTL_19ICLS,Lithuania,,Female,37.9
2021,IC_GEN_MGTL_19ICLS,Lithuania,,Female,36.97
2000,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,26.75
2001,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,30.15
2002,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,22.05
2015,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,37.57
2016,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,36.71
2017,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,40.38
2018,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,39.15
2019,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,39.37
2020,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,40.38
2021,IC_GEN_MGTL_19ICLS,Bulgaria,,Female,36.34
2000,IC_GEN_MGTL_19ICLS,Canada,,Female,35.47
2001,IC_GEN_MGTL_19ICLS,Canada,,Female,34.95
2002,IC_GEN_MGTL_19ICLS,Canada,,Female,34.06
2003,IC_GEN_MGTL_19ICLS,Canada,,Female,35.71
2004,IC_GEN_MGTL_19ICLS,Canada,,Female,36.49
2005,IC_GEN_MGTL_19ICLS,Canada,,Female,35.9
2006,IC_GEN_MGTL_19ICLS,Canada,,Female,36.25
2007,IC_GEN_MGTL_19ICLS,Canada,,Female,36.92
