Year,SeriesCode,Country,Sex,Value
2019,IT_MOB_OWN,Colombia,Male,71.90691
2021,IT_MOB_OWN,Colombia,Male,75.07878
2021,IT_MOB_OWN,Colombia,Both sexes,76.30502
2021,IT_MOB_OWN,Colombia,Female,77.46249
2015,IT_MOB_OWN,Costa Rica,Male,85.79635
2015,IT_MOB_OWN,Costa Rica,Both sexes,86.01937
2015,IT_MOB_OWN,Costa Rica,Female,86.22934
2014,IT_MOB_OWN,Cyprus,Male,98.30874
2014,IT_MOB_OWN,Cyprus,Female,95.12687
2014,IT_MOB_OWN,Cyprus,Both sexes,96.64527
2015,IT_MOB_OWN,Cyprus,Both sexes,97.88419
2015,IT_MOB_OWN,Cyprus,Female,96.52754
2015,IT_MOB_OWN,Cyprus,Male,99.32579
2016,IT_MOB_OWN,Cyprus,Both sexes,94.6476
2016,IT_MOB_OWN,Cyprus,Female,92.93833
2016,IT_MOB_OWN,Cyprus,Male,96.50693
2017,IT_MOB_OWN,Cyprus,Both sexes,99.39767
2017,IT_MOB_OWN,Cyprus,Female,98.67434
2018,IT_MOB_OWN,Cyprus,Both sexes,98.63963
2018,IT_MOB_OWN,Cyprus,Female,98.1957
2018,IT_MOB_OWN,Cyprus,Male,99.10814
2014,IT_MOB_OWN,Czechia,Both sexes,96.83097
2014,IT_MOB_OWN,Czechia,Female,96.30083
2014,IT_MOB_OWN,Czechia,Male,97.3838
2015,IT_MOB_OWN,Czechia,Female,96.85832
2015,IT_MOB_OWN,Czechia,Male,97.17774
2015,IT_MOB_OWN,Czechia,Both sexes,97.01434
2018,IT_MOB_OWN,Czechia,Both sexes,95.99467
2018,IT_MOB_OWN,Czechia,Female,95.55424
2018,IT_MOB_OWN,Czechia,Male,96.45834
2019,IT_MOB_OWN,Czechia,Both sexes,96.85865
2019,IT_MOB_OWN,Czechia,Female,97.11053
2019,IT_MOB_OWN,Czechia,Male,96.58792
2020,IT_MOB_OWN,Czechia,Male,98.70424
2020,IT_MOB_OWN,Czechia,Both sexes,98.78035
2020,IT_MOB_OWN,Czechia,Female,98.85248
2016,IT_MOB_OWN,Denmark,Male,82.47347
2016,IT_MOB_OWN,Denmark,Female,83.16165
2016,IT_MOB_OWN,Denmark,Both sexes,82.81615
2014,IT_MOB_OWN,Finland,Male,98.66281
2014,IT_MOB_OWN,Finland,Female,98.3671
