Year,SeriesCode,Country,Activity,Sex,Value
2013,SL_ISV_IFEM,Colombia,NONAGR,Male,57.59
2013,SL_ISV_IFEM,Colombia,TOTAL,Female,64.91
2013,SL_ISV_IFEM,Colombia,ISIC4_A,Female,90.15
2013,SL_ISV_IFEM,Colombia,NONAGR,Female,63.09
2014,SL_ISV_IFEM,Colombia,TOTAL,Female,63.24
2014,SL_ISV_IFEM,Colombia,ISIC4_A,Male,88.27
2014,SL_ISV_IFEM,Colombia,NONAGR,Male,55.97
2014,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,63.43
2014,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,88.4
2014,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,58.52
2014,SL_ISV_IFEM,Colombia,TOTAL,Male,63.56
2014,SL_ISV_IFEM,Colombia,NONAGR,Female,61.46
2014,SL_ISV_IFEM,Colombia,ISIC4_A,Female,89.05
2015,SL_ISV_IFEM,Colombia,NONAGR,Male,55.97
2015,SL_ISV_IFEM,Colombia,TOTAL,Male,63.53
2015,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,63.21
2015,SL_ISV_IFEM,Colombia,NONAGR,Female,60.9
2015,SL_ISV_IFEM,Colombia,ISIC4_A,Female,88.41
2015,SL_ISV_IFEM,Colombia,TOTAL,Female,62.76
2015,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,88.6
2015,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,58.26
2015,SL_ISV_IFEM,Colombia,ISIC4_A,Male,88.64
2016,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,62.42
2016,SL_ISV_IFEM,Colombia,ISIC4_A,Female,89.33
2016,SL_ISV_IFEM,Colombia,NONAGR,Female,59.7
2016,SL_ISV_IFEM,Colombia,TOTAL,Female,61.71
2016,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,88.2
2016,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,57.4
2016,SL_ISV_IFEM,Colombia,TOTAL,Male,62.93
2016,SL_ISV_IFEM,Colombia,ISIC4_A,Male,87.97
2016,SL_ISV_IFEM,Colombia,NONAGR,Male,55.4
2017,SL_ISV_IFEM,Colombia,NONAGR,Female,59.24
2017,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,87.7
2017,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,56.99
2017,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,62.19
2017,SL_ISV_IFEM,Colombia,TOTAL,Male,62.77
2017,SL_ISV_IFEM,Colombia,ISIC4_A,Male,87.48
2017,SL_ISV_IFEM,Colombia,NONAGR,Male,55.04
2017,SL_ISV_IFEM,Colombia,ISIC4_A,Female,88.68
2013,SL_ISV_IFEM,Albania,ISIC4_A,Female,98.71
