Year,SeriesCode,Country,Location,Value
2010,SH_SAN_HNDWSH,India,All areas,59.33858
2010,SH_SAN_HNDWSH,India,Rural,50.72643
2010,SH_SAN_HNDWSH,India,Urban,78.57044
2011,SH_SAN_HNDWSH,India,Rural,50.72643
2011,SH_SAN_HNDWSH,India,All areas,59.43492
2011,SH_SAN_HNDWSH,India,Urban,78.57044
2012,SH_SAN_HNDWSH,India,Rural,50.72643
2012,SH_SAN_HNDWSH,India,Urban,78.57044
2012,SH_SAN_HNDWSH,India,All areas,59.5346
2013,SH_SAN_HNDWSH,India,All areas,59.63735
2013,SH_SAN_HNDWSH,India,Rural,50.72643
2013,SH_SAN_HNDWSH,India,Urban,78.57044
2014,SH_SAN_HNDWSH,India,All areas,59.74343
2014,SH_SAN_HNDWSH,India,Rural,50.72643
2014,SH_SAN_HNDWSH,India,Urban,78.57044
2015,SH_SAN_HNDWSH,India,All areas,61.83639
2015,SH_SAN_HNDWSH,India,Urban,79.69031
2015,SH_SAN_HNDWSH,India,Rural,53.13107
2016,SH_SAN_HNDWSH,India,All areas,63.92229
2016,SH_SAN_HNDWSH,India,Rural,55.53571
2016,SH_SAN_HNDWSH,India,Urban,80.81018
2017,SH_SAN_HNDWSH,India,Urban,81.93005
2017,SH_SAN_HNDWSH,India,All areas,66.0009
2017,SH_SAN_HNDWSH,India,Rural,57.94036
2018,SH_SAN_HNDWSH,India,All areas,68.07149
2018,SH_SAN_HNDWSH,India,Rural,60.345
2018,SH_SAN_HNDWSH,India,Urban,83.04992
2019,SH_SAN_HNDWSH,India,All areas,70.1336
2019,SH_SAN_HNDWSH,India,Urban,84.16979
2019,SH_SAN_HNDWSH,India,Rural,62.74965
2020,SH_SAN_HNDWSH,India,Urban,85.28966
2020,SH_SAN_HNDWSH,India,Rural,65.15429
2020,SH_SAN_HNDWSH,India,All areas,72.18677
2021,SH_SAN_HNDWSH,India,All areas,74.23073
2021,SH_SAN_HNDWSH,India,Urban,86.40953
2021,SH_SAN_HNDWSH,India,Rural,67.55894
2022,SH_SAN_HNDWSH,India,All areas,76.26479
2022,SH_SAN_HNDWSH,India,Rural,69.96358
2022,SH_SAN_HNDWSH,India,Urban,87.5294
2011,SH_SAN_HNDWSH,Kazakhstan,Urban,99.2196
2011,SH_SAN_HNDWSH,Kazakhstan,Rural,98.72555
2011,SH_SAN_HNDWSH,Kazakhstan,All areas,99.00667
2012,SH_SAN_HNDWSH,Kazakhstan,All areas,99.00703
2012,SH_SAN_HNDWSH,Kazakhstan,Rural,98.72555
2012,SH_SAN_HNDWSH,Kazakhstan,Urban,99.2196
2013,SH_SAN_HNDWSH,Kazakhstan,Urban,99.2196
2013,SH_SAN_HNDWSH,Kazakhstan,Rural,98.72555
2013,SH_SAN_HNDWSH,Kazakhstan,All areas,99.00739
2014,SH_SAN_HNDWSH,Kazakhstan,Urban,99.2196
2014,SH_SAN_HNDWSH,Kazakhstan,All areas,99.00774
2014,SH_SAN_HNDWSH,Kazakhstan,Rural,98.72555
2015,SH_SAN_HNDWSH,Kazakhstan,All areas,99.00811
2015,SH_SAN_HNDWSH,Kazakhstan,Rural,98.72555
2015,SH_SAN_HNDWSH,Kazakhstan,Urban,99.2196
2016,SH_SAN_HNDWSH,Kazakhstan,All areas,99.00847
2016,SH_SAN_HNDWSH,Kazakhstan,Urban,99.2196
2016,SH_SAN_HNDWSH,Kazakhstan,Rural,98.72555
2017,SH_SAN_HNDWSH,Kazakhstan,Urban,99.2196
2017,SH_SAN_HNDWSH,Kazakhstan,All areas,99.00882
2017,SH_SAN_HNDWSH,Kazakhstan,Rural,98.72555
2018,SH_SAN_HNDWSH,Kazakhstan,Rural,98.72555
2018,SH_SAN_HNDWSH,Kazakhstan,Urban,99.2196
2018,SH_SAN_HNDWSH,Kazakhstan,All areas,99.00927
2019,SH_SAN_HNDWSH,Kazakhstan,All areas,99.00983
2019,SH_SAN_HNDWSH,Kazakhstan,Rural,98.72555
2019,SH_SAN_HNDWSH,Kazakhstan,Urban,99.2196
2006,SH_SAN_HNDWSH,Kyrgyzstan,All areas,83.6237
2006,SH_SAN_HNDWSH,Kyrgyzstan,Rural,79.98237
2006,SH_SAN_HNDWSH,Kyrgyzstan,Urban,90.30096
2007,SH_SAN_HNDWSH,Kyrgyzstan,All areas,83.62349
2007,SH_SAN_HNDWSH,Kyrgyzstan,Rural,79.98237
2007,SH_SAN_HNDWSH,Kyrgyzstan,Urban,90.30096
2008,SH_SAN_HNDWSH,Kyrgyzstan,All areas,83.62328
2008,SH_SAN_HNDWSH,Kyrgyzstan,Rural,79.98237
2008,SH_SAN_HNDWSH,Kyrgyzstan,Urban,90.30096
2009,SH_SAN_HNDWSH,Kyrgyzstan,All areas,83.62318
2009,SH_SAN_HNDWSH,Kyrgyzstan,Rural,79.98237
2009,SH_SAN_HNDWSH,Kyrgyzstan,Urban,90.30096
2010,SH_SAN_HNDWSH,Kyrgyzstan,Urban,90.30096
2010,SH_SAN_HNDWSH,Kyrgyzstan,Rural,79.98237
2010,SH_SAN_HNDWSH,Kyrgyzstan,All areas,83.62545
2011,SH_SAN_HNDWSH,Kyrgyzstan,All areas,85.25761
2011,SH_SAN_HNDWSH,Kyrgyzstan,Urban,91.22995
2011,SH_SAN_HNDWSH,Kyrgyzstan,Rural,81.9917
2012,SH_SAN_HNDWSH,Kyrgyzstan,All areas,86.89081
