Year,SeriesCode,Country,Activity,Value
2002,ER_H2O_WUEYST,Cyprus,TOTAL,69.52
2019,ER_H2O_WUEYST,Armenia,INDUSTRIES,23.65
2019,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.18
2019,ER_H2O_WUEYST,Armenia,TOTAL,3.68
2020,ER_H2O_WUEYST,Armenia,TOTAL,3.5
2020,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.17
2020,ER_H2O_WUEYST,Armenia,INDUSTRIES,14.83
2020,ER_H2O_WUEYST,Armenia,ISIC4_GTT,10.42
2000,ER_H2O_WUEYST,Belgium,ISIC4_GTT,321.2
2000,ER_H2O_WUEYST,Belgium,INDUSTRIES,12.06
2011,ER_H2O_WUEYST,Albania,ISIC4_GTT,12.77
2011,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,1.41
2011,ER_H2O_WUEYST,Albania,TOTAL,7.11
2011,ER_H2O_WUEYST,Albania,INDUSTRIES,13.65
2012,ER_H2O_WUEYST,Albania,INDUSTRIES,13.83
2012,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,1.44
2012,ER_H2O_WUEYST,Albania,TOTAL,7.31
2012,ER_H2O_WUEYST,Albania,ISIC4_GTT,14.08
2013,ER_H2O_WUEYST,Albania,ISIC4_GTT,15.43
2013,ER_H2O_WUEYST,Albania,TOTAL,7.57
2013,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,1.49
2000,ER_H2O_WUEYST,Ireland,TOTAL,136.82
2000,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.09
2000,ER_H2O_WUEYST,Ireland,ISIC4_GTT,162.46
2000,ER_H2O_WUEYST,Ireland,INDUSTRIES,154.29
2001,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.06
2001,ER_H2O_WUEYST,Ireland,INDUSTRIES,199.35
2001,ER_H2O_WUEYST,Ireland,ISIC4_GTT,161.24
2001,ER_H2O_WUEYST,Ireland,TOTAL,149.19
2002,ER_H2O_WUEYST,Ireland,TOTAL,162.46
2002,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.05
2002,ER_H2O_WUEYST,Ireland,INDUSTRIES,252.88
2002,ER_H2O_WUEYST,Cyprus,ISIC4_A01_A0210_A0322,1.54
2003,ER_H2O_WUEYST,Cyprus,ISIC4_A01_A0210_A0322,1.25
2003,ER_H2O_WUEYST,Cyprus,INDUSTRIES,506.94
2003,ER_H2O_WUEYST,Cyprus,TOTAL,63.29
2003,ER_H2O_WUEYST,Cyprus,ISIC4_GTT,242.68
2004,ER_H2O_WUEYST,Cyprus,ISIC4_A01_A0210_A0322,1.08
2004,ER_H2O_WUEYST,Cyprus,INDUSTRIES,480.45
2004,ER_H2O_WUEYST,Cyprus,ISIC4_GTT,238.04
2004,ER_H2O_WUEYST,Cyprus,TOTAL,59.3
2005,ER_H2O_WUEYST,Cyprus,TOTAL,71.39
2005,ER_H2O_WUEYST,Cyprus,INDUSTRIES,454.99
2013,ER_H2O_WUEYST,Albania,INDUSTRIES,14.73
2014,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,1.54
2014,ER_H2O_WUEYST,Albania,ISIC4_GTT,17.48
2014,ER_H2O_WUEYST,Albania,INDUSTRIES,15.02
2014,ER_H2O_WUEYST,Albania,TOTAL,7.87
2015,ER_H2O_WUEYST,Albania,ISIC4_GTT,20.42
2015,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,1.62
2015,ER_H2O_WUEYST,Albania,TOTAL,9.55
2015,ER_H2O_WUEYST,Albania,INDUSTRIES,15.59
2016,ER_H2O_WUEYST,Albania,INDUSTRIES,16.68
2016,ER_H2O_WUEYST,Albania,TOTAL,9.99
2002,ER_H2O_WUEYST,Ireland,ISIC4_GTT,162.6
2003,ER_H2O_WUEYST,Ireland,ISIC4_GTT,157.4
2003,ER_H2O_WUEYST,Ireland,TOTAL,162.47
2003,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.03
2003,ER_H2O_WUEYST,Ireland,INDUSTRIES,281.9
2004,ER_H2O_WUEYST,Ireland,TOTAL,166.81
2004,ER_H2O_WUEYST,Ireland,ISIC4_GTT,153.3
2004,ER_H2O_WUEYST,Ireland,INDUSTRIES,350.92
2004,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.02
2005,ER_H2O_WUEYST,Ireland,ISIC4_A01_A0210_A0322,0.0
2005,ER_H2O_WUEYST,Ireland,INDUSTRIES,471.33
2005,ER_H2O_WUEYST,Cyprus,ISIC4_A01_A0210_A0322,1.26
2005,ER_H2O_WUEYST,Cyprus,ISIC4_GTT,235.16
2006,ER_H2O_WUEYST,Cyprus,ISIC4_GTT,225.66
