Year,SeriesCode,Country,Age,Sex,Value
2018,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,30
2018,VC_HTF_DETVSX,Cyprus,18+,Male,30
2006,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,30
2008,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,28
2009,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,34
2012,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,42
2014,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,8
2015,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,20
2015,VC_HTF_DETVSX,Serbia,<18Y,Female,17
2016,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,26
2016,VC_HTF_DETVSX,Serbia,18+,Male,23
2017,VC_HTF_DETVSX,Serbia,18+,Male,5
2017,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,6
2019,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,20
2019,VC_HTF_DETVSX,Australia,18+,Male,20
2019,VC_HTF_DETVSX,Australia,18+,Both sexes,20
2017,VC_HTF_DETVSX,Serbia,18+,Both sexes,5
2018,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,16
2018,VC_HTF_DETVSX,Serbia,18+,Male,13
2018,VC_HTF_DETVSX,Serbia,<18Y,Both sexes,13
2019,VC_HTF_DETVSX,Cyprus,18+,Male,23
2019,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,23
2020,VC_HTF_DETVSX,Cyprus,18+,Male,7
2020,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,9
2020,VC_HTF_DETVSX,Australia,18+,Both sexes,17
2020,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,17
2020,VC_HTF_DETVSX,Australia,18+,Male,17
2007,VC_HTF_DETVSX,Austria,ALLAGE,Both sexes,103
2008,VC_HTF_DETVSX,Austria,ALLAGE,Both sexes,120
2019,VC_HTF_DETVSX,Serbia,18+,Both sexes,9
2019,VC_HTF_DETVSX,Serbia,18+,Male,9
2019,VC_HTF_DETVSX,Serbia,<18Y,Male,6
2019,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,16
2019,VC_HTF_DETVSX,Serbia,<18Y,Both sexes,6
2020,VC_HTF_DETVSX,Serbia,18+,Both sexes,14
2020,VC_HTF_DETVSX,Serbia,<18Y,Male,5
2009,VC_HTF_DETVSX,Austria,ALLAGE,Both sexes,120
2018,VC_HTF_DETVSX,Austria,18+,Male,6
2019,VC_HTF_DETVSX,Austria,18+,Male,6
2020,VC_HTF_DETVSX,Serbia,18+,Male,14
2020,VC_HTF_DETVSX,Serbia,ALLAGE,Both sexes,19
2020,VC_HTF_DETVSX,Serbia,<18Y,Both sexes,5
2008,VC_HTF_DETVSX,Slovakia,ALLAGE,Both sexes,17
2009,VC_HTF_DETVSX,Slovakia,ALLAGE,Both sexes,17
2010,VC_HTF_DETVSX,Slovakia,ALLAGE,Both sexes,11
2011,VC_HTF_DETVSX,Slovakia,ALLAGE,Both sexes,12
2005,VC_HTF_DETVSX,Czechia,ALLAGE,Both sexes,17
