Year,SeriesCode,Country,Cities,Custom Breakdown,Value
2020,EN_URB_OPENSP,Colombia,CO_CUN_GIRARDOT,,46.0
2020,EN_URB_OPENSP,Colombia,CO_CAQ_FLORENCIA,,49.9
2020,EN_URB_OPENSP,Colombia,CO_NSA_CUCUTA,,51.7
2020,EN_URB_OPENSP,Colombia,CO_VAC_CARTAGO,,50.1
2020,EN_URB_OPENSP,Colombia,CO_BOL_CARTAGENA_DE_INDIAS,,43.6
2020,EN_URB_OPENSP,Colombia,CO_VAC_CALI,,70.3
2020,EN_URB_OPENSP,Colombia,CO_CES_VALLEDUPAR,,35.4
2020,EN_URB_OPENSP,Colombia,CO_MET_VILLAVICENCIO,,52.4
2020,EN_URB_OPENSP,Colombia,CO_ATL_BARRANQUILLA,,43.1
2020,EN_URB_OPENSP,Colombia,CO_ARA_ARAUCA,,64.1
2020,EN_URB_OPENSP,Colombia,CO_SAN_BUCARAMANGA,,78.7
2020,EN_URB_OPENSP,Colombia,CO_BOGOTA,,87.5
2020,EN_URB_OPENSP,Colombia,CO_CUN_ZIPAQUIRA,,70.4
2020,EN_URB_OPENSP,Colombia,CO_HUI_NEIVA,,78.7
2020,EN_URB_OPENSP,Costa Rica,CR_SAN_JOSE,,59.1
2020,EN_URB_OPENSP,Costa Rica,CR_PUNTARENAS,,76.3
2020,EN_URB_OPENSP,Costa Rica,CR_LIMON,,55.7
2020,EN_URB_OPENSP,Costa Rica,CR_CARTAGO,,50.6
2020,EN_URB_OPENSP,Costa Rica,CR_LIBERIA,,70.9
2020,EN_URB_OPENSP,Denmark,DK_HERNING,,97.7
2020,EN_URB_OPENSP,Denmark,DK_SVENDBORG,,98.7
2020,EN_URB_OPENSP,Denmark,DK_SLAGELSE,,97.8
2020,EN_URB_OPENSP,Denmark,DK_ODENSE,,98.1
2020,EN_URB_OPENSP,Denmark,DK_HJORRING,,98.4
2020,EN_URB_OPENSP,Denmark,DK_AALBORG,,96.5
2020,EN_URB_OPENSP,Denmark,DK_HORSHOLM,,99.8
2020,EN_URB_OPENSP,France,FR_BESANCON,,91.1
2020,EN_URB_OPENSP,France,FR_NICE,,60.6
2020,EN_URB_OPENSP,France,FR_PARIS,,51.6
2020,EN_URB_OPENSP,France,FR_NIMES,,34.4
2020,EN_URB_OPENSP,France,FR_NANTES,,67.6
2020,EN_URB_OPENSP,France,FR_STRASBOURG,,73.2
2020,EN_URB_OPENSP,France,FR_METZ,,39.0
2020,EN_URB_OPENSP,France,FR_MARSEILLE,,46.5
2020,EN_URB_OPENSP,France,FR_LYON,,66.5
2020,EN_URB_OPENSP,France,FR_LILLE,,67.0
2020,EN_URB_OPENSP,France,FR_LE_MANS,,81.2
2020,EN_URB_OPENSP,France,FR_GRENOBLE,,75.5
2020,EN_URB_OPENSP,France,FR_TOULOUSE,,47.2
2020,EN_URB_OPENSP,Germany,DE_HALLE,,76.4
2020,EN_URB_OPENSP,Germany,DE_BERLIN,,68.2
2020,EN_URB_OPENSP,Germany,DE_OLDENBURG,,90.6
2020,EN_URB_OPENSP,Greece,GR_THESSALONIKI,,65.7
2020,EN_URB_OPENSP,Hungary,HU_BUDAPEST,,58.8
2020,EN_URB_OPENSP,India,IN_TUMKUR,,60.4
2020,EN_URB_OPENSP,India,IN_BELGAUM,,39.7
2020,EN_URB_OPENSP,India,IN_BAREILLY,,22.3
2020,EN_URB_OPENSP,India,IN_AHMADABAD,,29.4
2020,EN_URB_OPENSP,India,IN_BERHAMPORE,,27.9
2020,EN_URB_OPENSP,India,IN_BENGALURU,,34.6
2020,EN_URB_OPENSP,India,IN_CHANDIGARH,,54.8
2020,EN_URB_OPENSP,India,IN_SURAT,,45.0
2020,EN_URB_OPENSP,India,IN_THOOTHUKKUDI,,24.2
2020,EN_URB_OPENSP,India,IN_MUMBAI,,35.3
2020,EN_URB_OPENSP,India,IN_COIMBATORE,,18.8
2020,EN_URB_OPENSP,India,IN_BHOPAL,,30.4
2020,EN_URB_OPENSP,India,IN_BHIWANDI,,29.7
2020,EN_URB_OPENSP,India,IN_KOLKATA,,27.7
2020,EN_URB_OPENSP,India,IN_KOZHIKODE,,7.1
2020,EN_URB_OPENSP,India,IN_MALEGAON,,25.0
2020,EN_URB_OPENSP,India,IN_MORENA,,39.8
2020,EN_URB_OPENSP,India,IN_NELLORE,,35.3
2020,EN_URB_OPENSP,India,IN_PALI,,23.3
2020,EN_URB_OPENSP,India,IN_PARBHANI,,10.2
2020,EN_URB_OPENSP,India,IN_PATNA,,36.8
2020,EN_URB_OPENSP,India,IN_PUNE,,30.8
2020,EN_URB_OPENSP,India,IN_JALNA,,20.1
2020,EN_URB_OPENSP,India,IN_SITAPUR,,28.6
2020,EN_URB_OPENSP,India,IN_HINDUPUR,,24.2
2020,EN_URB_OPENSP,India,IN_HYDERABAD,,52.3
2020,EN_URB_OPENSP,India,IN_JAIPUR,,18.5
2020,EN_URB_OPENSP,India,IN_KANCHIPURAM,,34.3
2020,EN_URB_OPENSP,India,IN_KANPUR,,19.2
2020,EN_URB_OPENSP,India,IN_VIJAYAWADA,,45.7
2020,EN_URB_OPENSP,India,IN_SINGRAULI,,28.0
2020,EN_URB_OPENSP,Israel,IL_TEL_AVIV_YAFO,,75.8
2020,EN_URB_OPENSP,Italy,IT_MILANO,,76.2
2020,EN_URB_OPENSP,Italy,IT_PALERMO,,42.2
2020,EN_URB_OPENSP,Japan,JP_FUKUOKA,,70.1
2020,EN_URB_OPENSP,Japan,JP_OSAKA,,72.2
2020,EN_URB_OPENSP,Japan,JP_YAMAGUCHI,,35.9
2020,EN_URB_OPENSP,Japan,JP_TOKYO,,74.8
2020,EN_URB_OPENSP,Japan,JP_OKAYAMA,,64.0
2020,EN_URB_OPENSP,Kazakhstan,KZ_QASKELEN,,20.3
2020,EN_URB_OPENSP,Kazakhstan,KZ_PAVLODAR,,38.9
2020,EN_URB_OPENSP,Kazakhstan,KZ_OSKEMEN,,29.5
