Year,SeriesCode,Country,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,SG_DMK_JDC,Kazakhstan,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.42
2021,SG_DMK_JDC,Kazakhstan,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.01
2021,SG_DMK_JDC,Kazakhstan,ALLAGE,Persons with disability,TOTAL,Both sexes,REGISTRARS,0.21
2021,SG_DMK_JDC,Kazakhstan,ALLAGE,Persons with disability,TOTAL,Both sexes,JUDGES,0.1
2021,SG_DMK_JDC,Kazakhstan,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.33
2021,SG_DMK_JDC,Kazakhstan,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.67
2022,SG_DMK_JDC,Kazakhstan,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.74
2022,SG_DMK_JDC,Kazakhstan,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.45
2022,SG_DMK_JDC,Kazakhstan,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.06
2022,SG_DMK_JDC,Kazakhstan,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.4
2020,SG_DMK_JDC,Latvia,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.34
2020,SG_DMK_JDC,Latvia,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.44
2020,SG_DMK_JDC,Latvia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.9
2020,SG_DMK_JDC,Latvia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.63
2021,SG_DMK_JDC,Latvia,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.4
2021,SG_DMK_JDC,Latvia,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.44
2021,SG_DMK_JDC,Latvia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.92
2021,SG_DMK_JDC,Latvia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.61
2020,SG_DMK_JDC,Liechtenstein,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.59
2020,SG_DMK_JDC,Lithuania,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.18
2020,SG_DMK_JDC,Lithuania,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.29
2020,SG_DMK_JDC,Lithuania,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.07
2020,SG_DMK_JDC,Lithuania,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.61
2021,SG_DMK_JDC,Lithuania,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.33
2021,SG_DMK_JDC,Lithuania,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.58
2021,SG_DMK_JDC,Lithuania,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.01
2021,SG_DMK_JDC,Lithuania,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.31
2020,SG_DMK_JDC,Malta,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.14
2020,SG_DMK_JDC,Malta,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.29
2021,SG_DMK_JDC,Malta,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.11
2021,SG_DMK_JDC,Malta,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.24
