Year,SeriesCode,Страна ,Age,Sex,Value
2017,VC_HTF_DETVOPR,Australia,ALLAGE,BOTHSEX,0.16
2017,VC_HTF_DETVOPR,Australia,18+,MALE,0.15
2018,VC_HTF_DETVOPR,Australia,18+,FEMALE,0.12
2018,VC_HTF_DETVOPR,Australia,<18Y,BOTHSEX,0.49
2018,VC_HTF_DETVOPR,Australia,<18Y,MALE,0.77
2018,VC_HTF_DETVOPR,Australia,18+,MALE,0.27
2018,VC_HTF_DETVOPR,Australia,18+,BOTHSEX,0.2
2018,VC_HTF_DETVOPR,Australia,ALLAGE,BOTHSEX,0.25
2019,VC_HTF_DETVOPR,Australia,<18Y,BOTHSEX,0.48
2019,VC_HTF_DETVOPR,Australia,ALLAGE,BOTHSEX,0.35
2019,VC_HTF_DETVOPR,Australia,18+,MALE,0.45
2019,VC_HTF_DETVOPR,Australia,<18Y,MALE,0.76
2019,VC_HTF_DETVOPR,Australia,18+,FEMALE,0.2
2019,VC_HTF_DETVOPR,Australia,18+,BOTHSEX,0.32
2020,VC_HTF_DETVOPR,Australia,ALLAGE,BOTHSEX,0.33
2020,VC_HTF_DETVOPR,Australia,<18Y,FEMALE,0.22
2020,VC_HTF_DETVOPR,Australia,<18Y,BOTHSEX,0.32
2020,VC_HTF_DETVOPR,Australia,18+,FEMALE,0.23
2020,VC_HTF_DETVOPR,Australia,18+,MALE,0.44
2020,VC_HTF_DETVOPR,Australia,18+,BOTHSEX,0.33
2020,VC_HTF_DETVOPR,Australia,<18Y,MALE,0.59
2017,VC_HTF_DETVOPR,Austria,ALLAGE,BOTHSEX,0.06
2017,VC_HTF_DETVOPR,Austria,18+,MALE,0.28
2018,VC_HTF_DETVOPR,Austria,18+,MALE,0.14
2019,VC_HTF_DETVOPR,Austria,18+,MALE,0.48
2019,VC_HTF_DETVOPR,Austria,ALLAGE,BOTHSEX,0.11
2020,VC_HTF_DETVOPR,Austria,18+,MALE,2.03
2020,VC_HTF_DETVOPR,Austria,18+,FEMALE,0.56
2020,VC_HTF_DETVOPR,Austria,ALLAGE,BOTHSEX,1.08
2009,VC_HTF_DETVOPR,Armenia,ALLAGE,BOTHSEX,0.17
2006,VC_HTF_DETVOPR,Belgium,ALLAGE,BOTHSEX,0.16
2007,VC_HTF_DETVOPR,Belgium,ALLAGE,BOTHSEX,0.38
2008,VC_HTF_DETVOPR,Belgium,ALLAGE,BOTHSEX,0.38
2009,VC_HTF_DETVOPR,Belgium,ALLAGE,BOTHSEX,0.36
2012,VC_HTF_DETVOPR,Belgium,ALLAGE,BOTHSEX,0.09
2014,VC_HTF_DETVOPR,Belgium,18+,FEMALE,0.11
2014,VC_HTF_DETVOPR,Belgium,ALLAGE,BOTHSEX,0.08
2015,VC_HTF_DETVOPR,Belgium,<18Y,FEMALE,0.54
2015,VC_HTF_DETVOPR,Belgium,ALLAGE,BOTHSEX,0.12
2016,VC_HTF_DETVOPR,Belgium,18+,FEMALE,0.17
2016,VC_HTF_DETVOPR,Belgium,ALLAGE,BOTHSEX,0.08
2018,VC_HTF_DETVOPR,Belgium,ALLAGE,BOTHSEX,0.06
2014,VC_HTF_DETVOPR,Bosnia and Herzegovina,<18Y,FEMALE,3.89
2014,VC_HTF_DETVOPR,Bosnia and Herzegovina,ALLAGE,BOTHSEX,1.01
2014,VC_HTF_DETVOPR,Bosnia and Herzegovina,<18Y,MALE,5.16
2015,VC_HTF_DETVOPR,Bosnia and Herzegovina,18+,MALE,0.43
2015,VC_HTF_DETVOPR,Bosnia and Herzegovina,<18Y,MALE,2.96
2015,VC_HTF_DETVOPR,Bosnia and Herzegovina,18+,FEMALE,0.34
2015,VC_HTF_DETVOPR,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.79
2016,VC_HTF_DETVOPR,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.66
2017,VC_HTF_DETVOPR,Bosnia and Herzegovina,ALLAGE,BOTHSEX,1.66
2018,VC_HTF_DETVOPR,Bosnia and Herzegovina,ALLAGE,BOTHSEX,0.5
2019,VC_HTF_DETVOPR,Bosnia and Herzegovina,ALLAGE,BOTHSEX,1.37
2010,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,0.42
2011,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,0.73
2012,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,0.71
2013,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,0.86
2014,VC_HTF_DETVOPR,Bulgaria,18+,MALE,2.04
2014,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,0.87
2015,VC_HTF_DETVOPR,Bulgaria,18+,MALE,2.19
2015,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,0.89
2016,VC_HTF_DETVOPR,Bulgaria,18+,MALE,2.91
2016,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,1.17
2017,VC_HTF_DETVOPR,Bulgaria,18+,MALE,3.84
2017,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,1.59
2018,VC_HTF_DETVOPR,Bulgaria,18+,MALE,2.36
2018,VC_HTF_DETVOPR,Bulgaria,18+,FEMALE,0.16
2018,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,1.01
2019,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,1.02
2020,VC_HTF_DETVOPR,Bulgaria,18+,FEMALE,1.29
2020,VC_HTF_DETVOPR,Bulgaria,18+,BOTHSEX,0.79
2020,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,1.23
2020,VC_HTF_DETVOPR,Bulgaria,18+,MALE,1.4
2021,VC_HTF_DETVOPR,Bulgaria,ALLAGE,BOTHSEX,1.0
2008,VC_HTF_DETVOPR,Chile,ALLAGE,BOTHSEX,0.06
2007,VC_HTF_DETVOPR,Colombia,ALLAGE,BOTHSEX,0.01
2008,VC_HTF_DETVOPR,Colombia,ALLAGE,BOTHSEX,0.02
2009,VC_HTF_DETVOPR,Colombia,ALLAGE,BOTHSEX,0.02
2015,VC_HTF_DETVOPR,Colombia,ALLAGE,BOTHSEX,0.01
2016,VC_HTF_DETVOPR,Colombia,18+,MALE,0.09
2016,VC_HTF_DETVOPR,Colombia,ALLAGE,BOTHSEX,0.03
2017,VC_HTF_DETVOPR,Colombia,<18Y,MALE,0.07
2017,VC_HTF_DETVOPR,Colombia,ALLAGE,BOTHSEX,0.04
2017,VC_HTF_DETVOPR,Colombia,18+,MALE,0.06
2018,VC_HTF_DETVOPR,Colombia,ALLAGE,BOTHSEX,0.04
2012,VC_HTF_DETVOPR,Costa Rica,ALLAGE,BOTHSEX,0.21
2016,VC_HTF_DETVOPR,Costa Rica,ALLAGE,BOTHSEX,0.1
2017,VC_HTF_DETVOPR,Costa Rica,18+,FEMALE,0.38
2017,VC_HTF_DETVOPR,Costa Rica,ALLAGE,BOTHSEX,0.96
2017,VC_HTF_DETVOPR,Costa Rica,<18Y,BOTHSEX,0.38
2018,VC_HTF_DETVOPR,Costa Rica,<18Y,FEMALE,1.09
2018,VC_HTF_DETVOPR,Costa Rica,<18Y,MALE,0.89
2018,VC_HTF_DETVOPR,Costa Rica,ALLAGE,BOTHSEX,0.95
2018,VC_HTF_DETVOPR,Costa Rica,18+,FEMALE,0.27
2019,VC_HTF_DETVOPR,Costa Rica,ALLAGE,BOTHSEX,1.32
2019,VC_HTF_DETVOPR,Costa Rica,<18Y,MALE,2.1
