Year,SeriesCode,Страна ,Level_of_government,Value
2019,GB_XPD_CULNAT_PB,Poland,LOCAL,46.25414
2020,GB_XPD_CULNAT_PB,Poland,_T,67.20789
2020,GB_XPD_CULNAT_PB,Poland,NAT,24.94803
2020,GB_XPD_CULNAT_PB,Poland,LOCAL,42.25986
2021,GB_XPD_CULNAT_PB,Poland,LOCAL,42.43641
2021,GB_XPD_CULNAT_PB,Poland,_T,68.91623
2021,GB_XPD_CULNAT_PB,Poland,NAT,26.47982
2018,GB_XPD_CULNAT_PB,Portugal,_T,31.83045
2019,GB_XPD_CULNAT_PB,Portugal,_T,31.51734
2020,GB_XPD_CULNAT_PB,Portugal,_T,34.35163
2021,GB_XPD_CULNAT_PB,Serbia,_T,28.8082
2021,GB_XPD_CULNAT_PB,Serbia,LOCAL,15.5662
2021,GB_XPD_CULNAT_PB,Serbia,NAT,10.65303
2021,GB_XPD_CULNAT_PB,Serbia,REG,2.58896
2018,GB_XPD_CULNAT_PB,Slovakia,_T,44.46041
2018,GB_XPD_CULNAT_PB,Slovakia,NAT,44.46041
2017,GB_XPD_CULNAT_PB,Spain,REG,14.40673
2017,GB_XPD_CULNAT_PB,Spain,NAT,10.98613
2017,GB_XPD_CULNAT_PB,Spain,_T,43.5299
2017,GB_XPD_CULNAT_PB,Spain,LOCAL,18.13704
2018,GB_XPD_CULNAT_PB,Spain,LOCAL,19.29941
2018,GB_XPD_CULNAT_PB,Spain,NAT,10.61919
2018,GB_XPD_CULNAT_PB,Spain,REG,13.8743
2018,GB_XPD_CULNAT_PB,Spain,_T,43.79289
2019,GB_XPD_CULNAT_PB,Spain,_T,46.92368
2019,GB_XPD_CULNAT_PB,Spain,NAT,10.95379
2019,GB_XPD_CULNAT_PB,Spain,REG,15.45703
2019,GB_XPD_CULNAT_PB,Spain,LOCAL,20.51286
2020,GB_XPD_CULNAT_PB,Spain,LOCAL,19.86437
2020,GB_XPD_CULNAT_PB,Spain,NAT,10.58184
2020,GB_XPD_CULNAT_PB,Spain,REG,16.49164
2020,GB_XPD_CULNAT_PB,Spain,_T,46.93786
2018,GB_XPD_CULNAT_PB,Sweden,REG,5.10598
2018,GB_XPD_CULNAT_PB,Sweden,NAT,76.5784
2018,GB_XPD_CULNAT_PB,Sweden,_T,85.20775
2018,GB_XPD_CULNAT_PB,Sweden,LOCAL,3.52337
2019,GB_XPD_CULNAT_PB,Sweden,LOCAL,3.33776
2019,GB_XPD_CULNAT_PB,Sweden,_T,72.7702
2019,GB_XPD_CULNAT_PB,Sweden,NAT,64.52333
2019,GB_XPD_CULNAT_PB,Sweden,REG,4.90911
2020,GB_XPD_CULNAT_PB,Sweden,REG,5.20498
2020,GB_XPD_CULNAT_PB,Sweden,NAT,72.24547
2020,GB_XPD_CULNAT_PB,Sweden,_T,81.045
2020,GB_XPD_CULNAT_PB,Sweden,LOCAL,3.59455
2021,GB_XPD_CULNAT_PB,Sweden,LOCAL,4.10829
2021,GB_XPD_CULNAT_PB,Sweden,NAT,99.40747
2021,GB_XPD_CULNAT_PB,Sweden,_T,109.01685
2021,GB_XPD_CULNAT_PB,Sweden,REG,5.50108
2018,GB_XPD_CULNAT_PB,Switzerland,REG,65.76945
2018,GB_XPD_CULNAT_PB,Switzerland,NAT,60.84669
2018,GB_XPD_CULNAT_PB,Switzerland,LOCAL,34.86553
2018,GB_XPD_CULNAT_PB,Switzerland,_T,161.48167
2019,GB_XPD_CULNAT_PB,Switzerland,LOCAL,38.24844
2019,GB_XPD_CULNAT_PB,Switzerland,_T,170.97678
2019,GB_XPD_CULNAT_PB,Switzerland,NAT,63.34367
2019,GB_XPD_CULNAT_PB,Switzerland,REG,69.38467
2020,GB_XPD_CULNAT_PB,Switzerland,NAT,69.6069
2020,GB_XPD_CULNAT_PB,Switzerland,REG,74.61817
2020,GB_XPD_CULNAT_PB,Switzerland,LOCAL,37.68556
2020,GB_XPD_CULNAT_PB,Switzerland,_T,181.91063
2018,GB_XPD_CULNAT_PB,Türkiye,NAT,15.47776
2018,GB_XPD_CULNAT_PB,Türkiye,_T,29.26733
2018,GB_XPD_CULNAT_PB,Türkiye,LOCAL,13.78957
2019,GB_XPD_CULNAT_PB,Türkiye,LOCAL,5.91631
2019,GB_XPD_CULNAT_PB,Türkiye,_T,15.95836
2019,GB_XPD_CULNAT_PB,Türkiye,NAT,10.04205
2020,GB_XPD_CULNAT_PB,Türkiye,NAT,8.61042
2020,GB_XPD_CULNAT_PB,Türkiye,_T,12.44147
2020,GB_XPD_CULNAT_PB,Türkiye,LOCAL,3.83104
2019,GB_XPD_CULNAT_PB,United Kingdom of Great Britain and Northern Ireland,LOCAL,55.15823
2019,GB_XPD_CULNAT_PB,United Kingdom of Great Britain and Northern Ireland,_T,113.51135
2019,GB_XPD_CULNAT_PB,United Kingdom of Great Britain and Northern Ireland,NAT,61.63046
2020,GB_XPD_CULNAT_PB,United Kingdom of Great Britain and Northern Ireland,NAT,68.46961
2020,GB_XPD_CULNAT_PB,United Kingdom of Great Britain and Northern Ireland,_T,116.5547
2020,GB_XPD_CULNAT_PB,United Kingdom of Great Britain and Northern Ireland,LOCAL,50.74897
2020,GB_XPD_CULNAT_PB,Узбекистан,_T,0.01862
2020,GB_XPD_CULNAT_PB,Узбекистан,NAT,0.01862
2020,GB_XPD_CULNAT_PV,Australia,_T,1.06065
2019,GB_XPD_CULNAT_PV,Bosnia and Herzegovina,_T,1.2191
2020,GB_XPD_CULNAT_PV,Bosnia and Herzegovina,_T,3.822
2021,GB_XPD_CULNAT_PV,Bosnia and Herzegovina,_T,0.72073
2019,GB_XPD_CULNAT_PV,Belarus,_T,0.16701
2018,GB_XPD_CULNAT_PV,Colombia,_T,54.5635
2019,GB_XPD_CULNAT_PV,Colombia,_T,111.85204
2020,GB_XPD_CULNAT_PV,Colombia,_T,66.5505
2018,GB_XPD_CULNAT_PV,Czechia,_T,62.83339
2019,GB_XPD_CULNAT_PV,Czechia,_T,58.07425
2020,GB_XPD_CULNAT_PV,Czechia,_T,42.91929
2018,GB_XPD_CULNAT_PV,Denmark,_T,84.10413
2019,GB_XPD_CULNAT_PV,Denmark,_T,97.76358
2020,GB_XPD_CULNAT_PV,Denmark,_T,93.68757
2017,GB_XPD_CULNAT_PV,Finland,_T,34.24417
2018,GB_XPD_CULNAT_PV,Finland,_T,30.07948
2019,GB_XPD_CULNAT_PV,Finland,_T,35.41422
2020,GB_XPD_CULNAT_PV,Finland,_T,30.33862
2018,GB_XPD_CULNAT_PV,France,_T,7.96181
2019,GB_XPD_CULNAT_PV,France,_T,9.75722
2020,GB_XPD_CULNAT_PV,France,_T,13.3126
2020,GB_XPD_CULNAT_PV,Georgia,_T,4.2092
2021,GB_XPD_CULNAT_PV,Georgia,_T,2.10713
2020,GB_XPD_CULNAT_PV,Greece,_T,0.426
2019,GB_XPD_CULNAT_PV,Israel,_T,30.44302
2020,GB_XPD_CULNAT_PV,Israel,_T,23.55967
