Year,SeriesCode,GeoAreaName,Counterpart,Value
2019,SI_RMT_COST_SC,Spain,BR,4.02451
2019,SI_RMT_COST_SC,Spain,HN,3.35619
2019,SI_RMT_COST_SC,Spain,NG,5.61851
2020,SI_RMT_COST_SC,Spain,NG,4.42474
2020,SI_RMT_COST_SC,Spain,PE,3.80661
2020,SI_RMT_COST_SC,Spain,PH,1.10035
2020,SI_RMT_COST_SC,Spain,MA,2.39277
2020,SI_RMT_COST_SC,Spain,HN,1.43326
2020,SI_RMT_COST_SC,Spain,BR,0.98802
2020,SI_RMT_COST_SC,Spain,DO,0.96932
2020,SI_RMT_COST_SC,Spain,EC,1.52285
2020,SI_RMT_COST_SC,Spain,RO,1.032
2020,SI_RMT_COST_SC,Spain,BG,1.39048
2020,SI_RMT_COST_SC,Spain,CO,-0.04905
2020,SI_RMT_COST_SC,Spain,CN,3.21427
2020,SI_RMT_COST_SC,Spain,BO,0.85
2021,SI_RMT_COST_SC,Spain,EC,1.37333
2021,SI_RMT_COST_SC,Spain,RO,1.04
2021,SI_RMT_COST_SC,Spain,BG,1.10667
2021,SI_RMT_COST_SC,Spain,CN,0.36
2021,SI_RMT_COST_SC,Spain,CO,2.95667
2021,SI_RMT_COST_SC,Spain,BO,2.8775
2021,SI_RMT_COST_SC,Spain,DO,3.08
2021,SI_RMT_COST_SC,Spain,BR,2.49
2021,SI_RMT_COST_SC,Spain,HN,3.04
2021,SI_RMT_COST_SC,Spain,MA,3.67
2021,SI_RMT_COST_SC,Spain,PH,1.70667
2021,SI_RMT_COST_SC,Spain,PE,3.35333
2021,SI_RMT_COST_SC,Spain,NG,3.49
2016,SI_RMT_COST_SC,Sweden,CN,6.09551
2016,SI_RMT_COST_SC,Sweden,LB,10.71407
2016,SI_RMT_COST_SC,Sweden,SO,10.41949
2016,SI_RMT_COST_SC,Sweden,IN,7.65417
2017,SI_RMT_COST_SC,Sweden,IN,2.1902
2017,SI_RMT_COST_SC,Sweden,CN,4.24395
2017,SI_RMT_COST_SC,Sweden,SO,6.19635
2018,SI_RMT_COST_SC,Sweden,CN,3.43929
2018,SI_RMT_COST_SC,Sweden,IN,1.84565
2018,SI_RMT_COST_SC,Sweden,SO,7.25625
2018,SI_RMT_COST_SC,Sweden,LB,8.77371
2019,SI_RMT_COST_SC,Sweden,IN,0.52993
2019,SI_RMT_COST_SC,Sweden,CN,2.63147
2019,SI_RMT_COST_SC,Sweden,SO,13.0707
2019,SI_RMT_COST_SC,Sweden,LB,7.36371
2020,SI_RMT_COST_SC,Sweden,SO,6.18827
2020,SI_RMT_COST_SC,Sweden,CN,3.07789
2020,SI_RMT_COST_SC,Sweden,LB,8.29594
2020,SI_RMT_COST_SC,Sweden,IN,0.47401
2021,SI_RMT_COST_SC,Sweden,LB,6.12
2021,SI_RMT_COST_SC,Sweden,CN,1.73667
2021,SI_RMT_COST_SC,Sweden,SO,6.51
2021,SI_RMT_COST_SC,Sweden,IN,0.46667
2016,SI_RMT_COST_SC,Switzerland,LK,14.65857
2016,SI_RMT_COST_SC,Switzerland,XK,18.94587
2016,SI_RMT_COST_SC,Switzerland,AL,19.54427
2016,SI_RMT_COST_SC,Switzerland,HU,11.18695
2016,SI_RMT_COST_SC,Switzerland,RS,16.36717
2017,SI_RMT_COST_SC,Switzerland,LK,4.88512
2017,SI_RMT_COST_SC,Switzerland,RS,15.32955
2017,SI_RMT_COST_SC,Switzerland,HU,4.42525
2017,SI_RMT_COST_SC,Switzerland,XK,2.99262
2017,SI_RMT_COST_SC,Switzerland,AL,10.90106
2018,SI_RMT_COST_SC,Switzerland,XK,5.00746
2018,SI_RMT_COST_SC,Switzerland,AL,4.70031
2018,SI_RMT_COST_SC,Switzerland,HU,1.6018
2018,SI_RMT_COST_SC,Switzerland,LK,4.83881
2018,SI_RMT_COST_SC,Switzerland,RS,9.87003
2019,SI_RMT_COST_SC,Switzerland,XK,4.29215
2019,SI_RMT_COST_SC,Switzerland,AL,6.90688
2019,SI_RMT_COST_SC,Switzerland,RS,4.93643
2019,SI_RMT_COST_SC,Switzerland,HU,1.9489
2019,SI_RMT_COST_SC,Switzerland,LK,2.70865
2020,SI_RMT_COST_SC,Switzerland,HU,2.52477
2020,SI_RMT_COST_SC,Switzerland,RS,4.8652
2020,SI_RMT_COST_SC,Switzerland,AL,8.53034
2020,SI_RMT_COST_SC,Switzerland,XK,3.84595
2020,SI_RMT_COST_SC,Switzerland,LK,1.86463
2021,SI_RMT_COST_SC,Switzerland,HU,2.08667
2021,SI_RMT_COST_SC,Switzerland,LK,0.32
2021,SI_RMT_COST_SC,Switzerland,XK,4.83
2021,SI_RMT_COST_SC,Switzerland,AL,6.70333
2021,SI_RMT_COST_SC,Switzerland,RS,2.02333
2016,SI_RMT_COST_SC,United Arab Emirates,JO,5.49433
2016,SI_RMT_COST_SC,United Arab Emirates,PK,3.77582
2016,SI_RMT_COST_SC,United Arab Emirates,NP,3.12311
2016,SI_RMT_COST_SC,United Arab Emirates,SD,0.26816
2016,SI_RMT_COST_SC,United Arab Emirates,BD,2.96455
2016,SI_RMT_COST_SC,United Arab Emirates,PH,4.19297
2016,SI_RMT_COST_SC,United Arab Emirates,LK,2.82563
2016,SI_RMT_COST_SC,United Arab Emirates,SS,3.64268
2016,SI_RMT_COST_SC,United Arab Emirates,YE,3.82526
2016,SI_RMT_COST_SC,United Arab Emirates,IN,2.78441
2016,SI_RMT_COST_SC,United Arab Emirates,ID,6.50845
2016,SI_RMT_COST_SC,United Arab Emirates,EG,4.39934
2017,SI_RMT_COST_SC,United Arab Emirates,NP,6.05062
2017,SI_RMT_COST_SC,United Arab Emirates,JO,7.47331
2017,SI_RMT_COST_SC,United Arab Emirates,PK,4.56073
2017,SI_RMT_COST_SC,United Arab Emirates,ID,5.32571
2017,SI_RMT_COST_SC,United Arab Emirates,YE,6.21501
2017,SI_RMT_COST_SC,United Arab Emirates,PH,5.5649
2017,SI_RMT_COST_SC,United Arab Emirates,EG,5.96158
2017,SI_RMT_COST_SC,United Arab Emirates,IN,2.56067
2017,SI_RMT_COST_SC,United Arab Emirates,BD,2.79959
2017,SI_RMT_COST_SC,United Arab Emirates,LK,2.25024
2018,SI_RMT_COST_SC,United Arab Emirates,BD,2.37557
2018,SI_RMT_COST_SC,United Arab Emirates,IN,1.85916
2018,SI_RMT_COST_SC,United Arab Emirates,JO,3.64067
2018,SI_RMT_COST_SC,United Arab Emirates,ID,4.02237
2018,SI_RMT_COST_SC,United Arab Emirates,EG,3.57788
2018,SI_RMT_COST_SC,United Arab Emirates,NP,2.95038
2018,SI_RMT_COST_SC,United Arab Emirates,PK,4.17883
2018,SI_RMT_COST_SC,United Arab Emirates,PH,2.82455
2018,SI_RMT_COST_SC,United Arab Emirates,LK,1.95502
2019,SI_RMT_COST_SC,United Arab Emirates,BD,2.01974
2019,SI_RMT_COST_SC,United Arab Emirates,PH,2.85808
2019,SI_RMT_COST_SC,United Arab Emirates,EG,3.62761
2019,SI_RMT_COST_SC,United Arab Emirates,LK,1.81379
2019,SI_RMT_COST_SC,United Arab Emirates,ID,3.60676
2019,SI_RMT_COST_SC,United Arab Emirates,PK,2.18569
2019,SI_RMT_COST_SC,United Arab Emirates,NP,2.94066
2019,SI_RMT_COST_SC,United Arab Emirates,JO,3.76154
2019,SI_RMT_COST_SC,United Arab Emirates,IN,0.63076
2020,SI_RMT_COST_SC,United Arab Emirates,PK,4.28266
2020,SI_RMT_COST_SC,United Arab Emirates,IN,0.81908
2020,SI_RMT_COST_SC,United Arab Emirates,JO,5.37366
2020,SI_RMT_COST_SC,United Arab Emirates,ID,4.92554
2020,SI_RMT_COST_SC,United Arab Emirates,LK,2.14037
2020,SI_RMT_COST_SC,United Arab Emirates,EG,4.88384
2020,SI_RMT_COST_SC,United Arab Emirates,NP,3.0238
2020,SI_RMT_COST_SC,United Arab Emirates,PH,2.85836
2020,SI_RMT_COST_SC,United Arab Emirates,BD,2.21511
2021,SI_RMT_COST_SC,United Arab Emirates,IN,0.54333
2021,SI_RMT_COST_SC,United Arab Emirates,EG,15.2
2021,SI_RMT_COST_SC,United Arab Emirates,PK,0.68333
2021,SI_RMT_COST_SC,United Arab Emirates,BD,2.35667
2021,SI_RMT_COST_SC,United Arab Emirates,ID,4.98333
2021,SI_RMT_COST_SC,United Arab Emirates,LK,1.14333
2021,SI_RMT_COST_SC,United Arab Emirates,JO,3.98333
2021,SI_RMT_COST_SC,United Arab Emirates,NP,2.93333
2021,SI_RMT_COST_SC,United Arab Emirates,PH,2.52333
2016,SI_RMT_COST_SC,Türkiye,BG,10.37941
2017,SI_RMT_COST_SC,Türkiye,BG,12.24832
2018,SI_RMT_COST_SC,Türkiye,BG,9.93984
2019,SI_RMT_COST_SC,Türkiye,BG,10.27673
2020,SI_RMT_COST_SC,Türkiye,BG,8.23776
2021,SI_RMT_COST_SC,Türkiye,BG,13.44
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,VN,10.7631
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,PL,5.95554
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,PH,7.77746
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,BG,10.77386
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,GH,6.55722
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ER,9.66667
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ET,12.08252
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,LB,19.0247
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,LT,7.94171
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,AL,9.27843
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,BR,6.65735
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,IN,4.48001
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,SL,10.05245
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,RO,9.79174
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,SO,7.8052
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ZA,8.53432
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,UG,9.95977
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,SS,11.32167
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,TZ,11.64004
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,KE,6.66103
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,BD,6.07263
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,JM,8.57534
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ZW,8.32198
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,CN,7.44885
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,GM,13.64249
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ZM,9.94294
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,PK,5.26778
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,AF,12.78288
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,RW,14.91966
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,NP,8.14847
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,NG,7.16573
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,TH,13.09609
2016,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,LK,6.14107
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,PK,1.26418
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,JM,5.86408
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,IN,0.11234
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ER,13.63374
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,PL,1.39632
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,NP,5.94243
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,PH,2.48197
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,GH,2.82843
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,KE,2.21451
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,BR,-1.34783
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ZA,3.47013
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,RW,8.65045
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,RO,1.18776
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,TH,3.17313
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,NG,4.83867
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,CN,2.43196
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,AF,14.5117
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,AL,7.23656
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,SO,7.26049
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,TZ,4.75252
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,BD,3.29793
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,LK,1.41164
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,UG,3.35742
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,GM,6.10154
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,BG,1.93778
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,SL,8.71736
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,LT,1.59625
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ET,9.74657
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ZW,5.4459
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,SS,16.03512
2017,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ZM,10.88788
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,GM,6.09887
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,TZ,5.27926
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,UG,3.1589
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,TH,2.7412
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,VN,3.1193
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,AL,8.49355
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,AF,11.20569
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,BR,2.14565
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,BD,2.62472
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ZA,2.90627
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,LK,1.99126
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,SL,10.27892
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,PH,2.52014
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,PL,0.99579
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,LT,1.25433
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,RO,1.20761
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,LB,8.93644
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,RW,6.96817
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ET,5.66472
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,GH,2.6895
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,PK,1.83904
2018,SI_RMT_COST_SC,United Kingdom of Great Britain and Northern Ireland,ZM,7.62098
