Year,SeriesCode,Страна ,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,SG_DMK_JDC,Cyprus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.05
2021,SG_DMK_JDC,Cyprus,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.43
2021,SG_DMK_JDC,Cyprus,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.27
2021,SG_DMK_JDC,Cyprus,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.24
2021,SG_DMK_JDC,Czechia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.73
2021,SG_DMK_JDC,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.2
2022,SG_DMK_JDC,Czechia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.31
2022,SG_DMK_JDC,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.19
2019,SG_DMK_JDC,Denmark,ALLAGE,_T,POP_C,BOTHSEX,JUDGES,0.14
2019,SG_DMK_JDC,Denmark,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.12
2019,SG_DMK_JDC,Denmark,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.58
2019,SG_DMK_JDC,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.86
2019,SG_DMK_JDC,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.2
2019,SG_DMK_JDC,Denmark,ALLAGE,_T,POP_A,BOTHSEX,REGISTRARS,1.12
2019,SG_DMK_JDC,Denmark,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,1.17
2019,SG_DMK_JDC,Denmark,ALLAGE,_T,POP_B,BOTHSEX,REGISTRARS,0.08
2019,SG_DMK_JDC,Denmark,ALLAGE,_T,POP_B,BOTHSEX,JUDGES,0.12
2019,SG_DMK_JDC,Denmark,ALLAGE,_T,POP_C,BOTHSEX,REGISTRARS,0.48
2020,SG_DMK_JDC,Denmark,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.54
2020,SG_DMK_JDC,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.17
2020,SG_DMK_JDC,Denmark,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.67
2020,SG_DMK_JDC,Denmark,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.06
2020,SG_DMK_JDC,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.71
2020,SG_DMK_JDC,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.3
2020,SG_DMK_JDC,Estonia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.21
2020,SG_DMK_JDC,Estonia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.62
2021,SG_DMK_JDC,Estonia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.25
2021,SG_DMK_JDC,Estonia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.57
2021,SG_DMK_JDC,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.72
2021,SG_DMK_JDC,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.32
