Year,SeriesCode,GeoAreaName,Sex,Value
2021,VC_SNS_WALN_DRK,Estonia,FEMALE,63.6
2021,VC_SNS_WALN_DRK,Estonia,BOTHSEX,75.0
2013,VC_SNS_WALN_DRK,Finland,FEMALE,79.9
2013,VC_SNS_WALN_DRK,Finland,MALE,89.9
2013,VC_SNS_WALN_DRK,Finland,BOTHSEX,84.9
2014,VC_SNS_WALN_DRK,Finland,BOTHSEX,86.2
2014,VC_SNS_WALN_DRK,Finland,FEMALE,81.8
2014,VC_SNS_WALN_DRK,Finland,MALE,90.4
2015,VC_SNS_WALN_DRK,Finland,BOTHSEX,84.3
2015,VC_SNS_WALN_DRK,Finland,MALE,88.6
2015,VC_SNS_WALN_DRK,Finland,FEMALE,80.0
2016,VC_SNS_WALN_DRK,Finland,FEMALE,79.9
2016,VC_SNS_WALN_DRK,Finland,MALE,89.0
2016,VC_SNS_WALN_DRK,Finland,BOTHSEX,84.4
2017,VC_SNS_WALN_DRK,Finland,MALE,89.1
2017,VC_SNS_WALN_DRK,Finland,BOTHSEX,84.7
2017,VC_SNS_WALN_DRK,Finland,FEMALE,80.2
2018,VC_SNS_WALN_DRK,Finland,BOTHSEX,86.8
2018,VC_SNS_WALN_DRK,Finland,FEMALE,82.5
2018,VC_SNS_WALN_DRK,Finland,MALE,91.1
2019,VC_SNS_WALN_DRK,Finland,BOTHSEX,88.3
2019,VC_SNS_WALN_DRK,Finland,FEMALE,84.4
2019,VC_SNS_WALN_DRK,Finland,MALE,92.2
2020,VC_SNS_WALN_DRK,Finland,FEMALE,84.2
2020,VC_SNS_WALN_DRK,Finland,BOTHSEX,87.4
2020,VC_SNS_WALN_DRK,Finland,MALE,90.4
2021,VC_SNS_WALN_DRK,Finland,BOTHSEX,85.8
2021,VC_SNS_WALN_DRK,Finland,MALE,90.0
2021,VC_SNS_WALN_DRK,Finland,FEMALE,81.4
2019,VC_SNS_WALN_DRK,France,BOTHSEX,89.0
2012,VC_SNS_WALN_DRK,Germany,FEMALE,73.9
2012,VC_SNS_WALN_DRK,Germany,BOTHSEX,82.8
