Year,Черта бедности,Страна ,Value
2005,"6,85$ в день (ППС 2017) UMIC",Armenia,67.5
2006,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,2.0
2006,"3,65$ в день (ППС 2017) LMIC",Armenia,15.5
2006,"6,85$ в день (ППС 2017) UMIC",Armenia,62.8
2007,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.5
2007,"3,65$ в день (ППС 2017) LMIC",Armenia,13.7
2007,"6,85$ в день (ППС 2017) UMIC",Armenia,56.0
2008,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,0.9
2008,"3,65$ в день (ППС 2017) LMIC",Armenia,9.2
2008,"6,85$ в день (ППС 2017) UMIC",Armenia,52.1
2009,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.2
2009,"3,65$ в день (ППС 2017) LMIC",Armenia,13.8
2009,"6,85$ в день (ППС 2017) UMIC",Armenia,60.7
2010,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.0
2010,"3,65$ в день (ППС 2017) LMIC",Armenia,14.0
2010,"6,85$ в день (ППС 2017) UMIC",Armenia,62.1
2011,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.2
2011,"3,65$ в день (ППС 2017) LMIC",Armenia,13.1
2011,"6,85$ в день (ППС 2017) UMIC",Armenia,59.3
2012,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,0.8
2012,"3,65$ в день (ППС 2017) LMIC",Armenia,11.2
2012,"6,85$ в день (ППС 2017) UMIC",Armenia,55.2
2013,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.7
2013,"3,65$ в день (ППС 2017) LMIC",Armenia,11.3
2013,"6,85$ в день (ППС 2017) UMIC",Armenia,53.1
2014,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.4
2014,"3,65$ в день (ППС 2017) LMIC",Armenia,11.4
2014,"6,85$ в день (ППС 2017) UMIC",Armenia,51.1
2015,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.1
2015,"3,65$ в день (ППС 2017) LMIC",Armenia,9.4
2015,"6,85$ в день (ППС 2017) UMIC",Armenia,46.7
2016,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.1
2016,"3,65$ в день (ППС 2017) LMIC",Armenia,9.5
2016,"6,85$ в день (ППС 2017) UMIC",Armenia,42.4
2017,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,0.8
2017,"3,65$ в день (ППС 2017) LMIC",Armenia,8.1
2017,"6,85$ в день (ППС 2017) UMIC",Armenia,48.7
2018,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.3
2018,"3,65$ в день (ППС 2017) LMIC",Armenia,9.4
2018,"6,85$ в день (ППС 2017) UMIC",Armenia,48.9
2019,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,1.0
2019,"3,65$ в день (ППС 2017) LMIC",Armenia,9.8
2019,"6,85$ в день (ППС 2017) UMIC",Armenia,52.1
2020,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,0.4
2020,"3,65$ в день (ППС 2017) LMIC",Armenia,6.7
2020,"6,85$ в день (ППС 2017) UMIC",Armenia,53.2
2021,"2,15$ в день (ППС 2017) доллар-в-день",Armenia,0.5
2021,"3,65$ в день (ППС 2017) LMIC",Armenia,8.7
2021,"6,85$ в день (ППС 2017) UMIC",Armenia,51.7
2001,"2,15$ в день (ППС 2017) доллар-в-день",Azerbaijan,6.2
2001,"3,65$ в день (ППС 2017) LMIC",Azerbaijan,28.3
2001,"6,85$ в день (ППС 2017) UMIC",Azerbaijan,71.0
2002,"2,15$ в день (ППС 2017) доллар-в-день",Azerbaijan,0.1
2002,"3,65$ в день (ППС 2017) LMIC",Azerbaijan,2.6
2002,"6,85$ в день (ППС 2017) UMIC",Azerbaijan,48.5
2003,"2,15$ в день (ППС 2017) доллар-в-день",Azerbaijan,0.1
2003,"3,65$ в день (ППС 2017) LMIC",Azerbaijan,3.3
2003,"6,85$ в день (ППС 2017) UMIC",Azerbaijan,44.6
2004,"2,15$ в день (ППС 2017) доллар-в-день",Azerbaijan,0.0
2004,"3,65$ в день (ППС 2017) LMIC",Azerbaijan,1.0
2004,"6,85$ в день (ППС 2017) UMIC",Azerbaijan,42.3
2005,"2,15$ в день (ППС 2017) доллар-в-день",Azerbaijan,0.0
2005,"3,65$ в день (ППС 2017) LMIC",Azerbaijan,0.3
2005,"6,85$ в день (ППС 2017) UMIC",Azerbaijan,31.3
1998,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,21.8
1998,"3,65$ в день (ППС 2017) LMIC",Belarus,56.7
1998,"6,85$ в день (ППС 2017) UMIC",Belarus,90.1
1999,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,19.2
1999,"3,65$ в день (ППС 2017) LMIC",Belarus,51.1
1999,"6,85$ в день (ППС 2017) UMIC",Belarus,88.0
2000,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,13.6
2000,"3,65$ в день (ППС 2017) LMIC",Belarus,43.3
2000,"6,85$ в день (ППС 2017) UMIC",Belarus,84.4
2001,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,6.6
2001,"3,65$ в день (ППС 2017) LMIC",Belarus,28.1
2001,"6,85$ в день (ППС 2017) UMIC",Belarus,73.7
2002,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,4.4
2002,"3,65$ в день (ППС 2017) LMIC",Belarus,22.3
2002,"6,85$ в день (ППС 2017) UMIC",Belarus,67.7
2003,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,3.5
2003,"3,65$ в день (ППС 2017) LMIC",Belarus,18.8
2003,"6,85$ в день (ППС 2017) UMIC",Belarus,64.8
2004,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,1.3
2004,"3,65$ в день (ППС 2017) LMIC",Belarus,10.6
2004,"6,85$ в день (ППС 2017) UMIC",Belarus,54.3
2005,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.9
2005,"3,65$ в день (ППС 2017) LMIC",Belarus,6.0
2005,"6,85$ в день (ППС 2017) UMIC",Belarus,36.0
2006,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.4
2006,"3,65$ в день (ППС 2017) LMIC",Belarus,3.5
2006,"6,85$ в день (ППС 2017) UMIC",Belarus,27.9
2007,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.2
2007,"3,65$ в день (ППС 2017) LMIC",Belarus,2.7
2007,"6,85$ в день (ППС 2017) UMIC",Belarus,20.7
