Year,SeriesCode,Country,Hazard type,Value
2010,VC_DSR_MMHN,Bulgaria,,0
2011,VC_DSR_MMHN,Bulgaria,,0
2017,VC_DSR_MMHN,Slovenia,,13
2018,VC_DSR_MMHN,Slovenia,,23
2019,VC_DSR_MMHN,Slovenia,,19
2020,VC_DSR_MMHN,Slovenia,,2907
2021,VC_DSR_MMHN,Slovenia,,3088
2005,VC_DSR_MMHN,Spain,,57
2012,VC_DSR_MMHN,Bulgaria,,10
2013,VC_DSR_MMHN,Bulgaria,,0
2014,VC_DSR_MMHN,Bulgaria,,21
2015,VC_DSR_MMHN,Bulgaria,,0
2016,VC_DSR_MMHN,Bulgaria,,7
2017,VC_DSR_MMHN,Bulgaria,,4
2006,VC_DSR_MMHN,Spain,,59
2007,VC_DSR_MMHN,Spain,,35
2008,VC_DSR_MMHN,Spain,,29
2009,VC_DSR_MMHN,Spain,,44
2010,VC_DSR_MMHN,Spain,,66
2011,VC_DSR_MMHN,Spain,,52
2012,VC_DSR_MMHN,Spain,,40
2013,VC_DSR_MMHN,Spain,,34
2014,VC_DSR_MMHN,Spain,,30
2015,VC_DSR_MMHN,Spain,,59
2016,VC_DSR_MMHN,Spain,,33
2017,VC_DSR_MMHN,Spain,,42
2018,VC_DSR_MMHN,Bulgaria,,1
2019,VC_DSR_MMHN,Bulgaria,,0
2020,VC_DSR_MMHN,Bulgaria,,0
2021,VC_DSR_MMHN,Bulgaria,,9
2015,VC_DSR_MMHN,Belarus,,0
2016,VC_DSR_MMHN,Belarus,,0
2017,VC_DSR_MMHN,Belarus,,0
2018,VC_DSR_MMHN,Belarus,,0
2019,VC_DSR_MMHN,Belarus,,0
2020,VC_DSR_MMHN,Belarus,,0
2021,VC_DSR_MMHN,Belarus,,0
2005,VC_DSR_MMHN,Chile,,24
2006,VC_DSR_MMHN,Chile,,22
2007,VC_DSR_MMHN,Chile,,14
2008,VC_DSR_MMHN,Chile,,7
2009,VC_DSR_MMHN,Chile,,0
2010,VC_DSR_MMHN,Chile,,577
2011,VC_DSR_MMHN,Chile,,2
2018,VC_DSR_MMHN,Spain,,57
2019,VC_DSR_MMHN,Spain,,52
2005,VC_DSR_MMHN,Sweden,,7
2006,VC_DSR_MMHN,Sweden,,0
2007,VC_DSR_MMHN,Sweden,,3
2008,VC_DSR_MMHN,Sweden,,0
2012,VC_DSR_MMHN,Chile,,7
2013,VC_DSR_MMHN,Chile,,0
2014,VC_DSR_MMHN,Chile,,22
2015,VC_DSR_MMHN,Chile,,65
2016,VC_DSR_MMHN,Chile,,2
2017,VC_DSR_MMHN,Chile,,46
2009,VC_DSR_MMHN,Sweden,,0
2010,VC_DSR_MMHN,Sweden,,0
2011,VC_DSR_MMHN,Sweden,,0
2012,VC_DSR_MMHN,Sweden,,0
2013,VC_DSR_MMHN,Sweden,,0
2014,VC_DSR_MMHN,Sweden,,1
2018,VC_DSR_MMHN,Chile,,0
2019,VC_DSR_MMHN,Chile,,0
2020,VC_DSR_MMHN,Chile,,22213
2021,VC_DSR_MMHN,Chile,,27976
2015,VC_DSR_MMHN,China,,967
2016,VC_DSR_MMHN,China,,1706
2015,VC_DSR_MMHN,Sweden,,0
2016,VC_DSR_MMHN,Sweden,,0
2017,VC_DSR_MMHN,Sweden,,0
2018,VC_DSR_MMHN,Sweden,,0
2019,VC_DSR_MMHN,Sweden,,0
2020,VC_DSR_MMHN,Sweden,,9265
2005,VC_DSR_MMHN,Switzerland,,502
2006,VC_DSR_MMHN,Switzerland,,436
2007,VC_DSR_MMHN,Switzerland,,444
2008,VC_DSR_MMHN,Switzerland,,440
2009,VC_DSR_MMHN,Switzerland,,418
2010,VC_DSR_MMHN,Switzerland,,376
2011,VC_DSR_MMHN,Switzerland,,392
2012,VC_DSR_MMHN,Switzerland,,430
2013,VC_DSR_MMHN,Switzerland,,337
2014,VC_DSR_MMHN,Switzerland,,309
2015,VC_DSR_MMHN,Switzerland,,1116
2016,VC_DSR_MMHN,Switzerland,,268
2017,VC_DSR_MMHN,Switzerland,,296
2018,VC_DSR_MMHN,Switzerland,,501
2019,VC_DSR_MMHN,Switzerland,,773
2020,VC_DSR_MMHN,Switzerland,,7923
2015,VC_DSR_MMHN,Tajikistan,,35
2016,VC_DSR_MMHN,Tajikistan,,20
2017,VC_DSR_MMHN,China,,979
2018,VC_DSR_MMHN,China,,635
2019,VC_DSR_MMHN,China,,909
2020,VC_DSR_MMHN,China,,591
2021,VC_DSR_MMHN,China,,867
2005,VC_DSR_MMHN,Colombia,,276
2017,VC_DSR_MMHN,Tajikistan,,31
2018,VC_DSR_MMHN,Tajikistan,,12
2019,VC_DSR_MMHN,Tajikistan,,24
2020,VC_DSR_MMHN,Tajikistan,,8
2007,VC_DSR_MMHN,United Arab Emirates,,21
2008,VC_DSR_MMHN,United Arab Emirates,,172
2009,VC_DSR_MMHN,United Arab Emirates,,98
2010,VC_DSR_MMHN,United Arab Emirates,,110
2011,VC_DSR_MMHN,United Arab Emirates,,90
2012,VC_DSR_MMHN,United Arab Emirates,,107
2013,VC_DSR_MMHN,United Arab Emirates,,244
2014,VC_DSR_MMHN,United Arab Emirates,,164
2015,VC_DSR_MMHN,United Arab Emirates,,43
2016,VC_DSR_MMHN,United Arab Emirates,,16
2017,VC_DSR_MMHN,United Arab Emirates,,28
2018,VC_DSR_MMHN,United Arab Emirates,,30
2019,VC_DSR_MMHN,United Arab Emirates,,41
2020,VC_DSR_MMHN,United Arab Emirates,,700
2015,VC_DSR_MMHN,Türkiye,,19
2016,VC_DSR_MMHN,Türkiye,,36
2017,VC_DSR_MMHN,Türkiye,,10
2018,VC_DSR_MMHN,Türkiye,,7
2019,VC_DSR_MMHN,Türkiye,,57
2020,VC_DSR_MMHN,Türkiye,,252
2021,VC_DSR_MMHN,Türkiye,,121
2019,VC_DSR_MMHN,Turkmenistan,,0
2005,VC_DSR_MMHN,Ukraine,,1
2006,VC_DSR_MMHN,Ukraine,,5
2007,VC_DSR_MMHN,Ukraine,,33
2008,VC_DSR_MMHN,Ukraine,,44
2009,VC_DSR_MMHN,Ukraine,,1
2010,VC_DSR_MMHN,Ukraine,,5
2011,VC_DSR_MMHN,Ukraine,,0
2012,VC_DSR_MMHN,Ukraine,,3
2013,VC_DSR_MMHN,Ukraine,,3
2014,VC_DSR_MMHN,Ukraine,,3
2015,VC_DSR_MMHN,Ukraine,,0
2016,VC_DSR_MMHN,Ukraine,,4
2017,VC_DSR_MMHN,Ukraine,,1
2018,VC_DSR_MMHN,Ukraine,,0
2019,VC_DSR_MMHN,Ukraine,,7
2020,VC_DSR_MMHN,Ukraine,,19809
2006,VC_DSR_MMHN,Colombia,,249
2007,VC_DSR_MMHN,Colombia,,236
2008,VC_DSR_MMHN,Colombia,,292
2009,VC_DSR_MMHN,Colombia,,274
2010,VC_DSR_MMHN,Colombia,,528
2011,VC_DSR_MMHN,Colombia,,543
2021,VC_DSR_MMHN,Ukraine,,77410
2005,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,63
2006,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,50
2007,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,46
2008,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,48
2009,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,70
2012,VC_DSR_MMHN,Colombia,,275
2013,VC_DSR_MMHN,Colombia,,517
2014,VC_DSR_MMHN,Colombia,,689
2015,VC_DSR_MMHN,Colombia,,541
2016,VC_DSR_MMHN,Colombia,,525
2017,VC_DSR_MMHN,Colombia,,999
2010,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,49
2011,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,49
2012,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,45
2013,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,58
