Year,SeriesCode,GeoAreaName,Age,Freq,Location,Sex,Value
2022,ER_PTD_MTN,Albania,,,,,40.29851
2000,ER_PTD_MTN,Azerbaijan,,,,,32.89862
2000,ER_PTD_MTN,Hungary,,,,,51.12369
2001,ER_PTD_MTN,Hungary,,,,,51.12371
2002,ER_PTD_MTN,Hungary,,,,,51.12371
2003,ER_PTD_MTN,Hungary,,,,,51.12371
2004,ER_PTD_MTN,Hungary,,,,,78.46425
2005,ER_PTD_MTN,Hungary,,,,,78.46425
2018,ER_PTD_MTN,Chile,,,,,45.45157
2019,ER_PTD_MTN,Chile,,,,,45.46143
2020,ER_PTD_MTN,Chile,,,,,45.5006
2021,ER_PTD_MTN,Chile,,,,,45.50254
2022,ER_PTD_MTN,Chile,,,,,45.50269
2000,ER_PTD_MTN,China,,,,,3.63786
2001,ER_PTD_MTN,China,,,,,3.63786
2002,ER_PTD_MTN,China,,,,,3.63786
2003,ER_PTD_MTN,China,,,,,6.69163
2004,ER_PTD_MTN,China,,,,,7.09924
2005,ER_PTD_MTN,China,,,,,7.09924
2006,ER_PTD_MTN,China,,,,,9.9039
2007,ER_PTD_MTN,China,,,,,10.09408
2008,ER_PTD_MTN,China,,,,,10.09408
2009,ER_PTD_MTN,China,,,,,10.09408
2010,ER_PTD_MTN,China,,,,,10.19723
2011,ER_PTD_MTN,China,,,,,10.64637
2012,ER_PTD_MTN,China,,,,,10.64637
2006,ER_PTD_MTN,Hungary,,,,,78.46425
2007,ER_PTD_MTN,Hungary,,,,,78.46427
2008,ER_PTD_MTN,Hungary,,,,,78.46427
2009,ER_PTD_MTN,Hungary,,,,,78.46427
2010,ER_PTD_MTN,Hungary,,,,,81.0612
2011,ER_PTD_MTN,Hungary,,,,,81.0612
2012,ER_PTD_MTN,Hungary,,,,,81.0612
2013,ER_PTD_MTN,Hungary,,,,,81.0612
2014,ER_PTD_MTN,Hungary,,,,,81.06239
2015,ER_PTD_MTN,Hungary,,,,,81.06254
2016,ER_PTD_MTN,Hungary,,,,,81.06254
2017,ER_PTD_MTN,Hungary,,,,,81.06254
2000,ER_PTD_MTN,New Zealand,,,,,27.84178
2018,ER_PTD_MTN,Hungary,,,,,81.06254
2019,ER_PTD_MTN,Hungary,,,,,81.06254
2020,ER_PTD_MTN,Hungary,,,,,81.06254
2021,ER_PTD_MTN,Hungary,,,,,81.06254
2022,ER_PTD_MTN,Hungary,,,,,81.06254
2000,ER_PTD_MTN,Iceland,,,,,23.14508
2001,ER_PTD_MTN,New Zealand,,,,,27.84181
2002,ER_PTD_MTN,New Zealand,,,,,27.97234
2003,ER_PTD_MTN,New Zealand,,,,,27.9993
2004,ER_PTD_MTN,New Zealand,,,,,28.05325
2005,ER_PTD_MTN,New Zealand,,,,,28.62737
2006,ER_PTD_MTN,New Zealand,,,,,30.09448
2001,ER_PTD_MTN,Iceland,,,,,23.14508
2002,ER_PTD_MTN,Iceland,,,,,23.14508
2003,ER_PTD_MTN,Iceland,,,,,23.14508
2004,ER_PTD_MTN,Iceland,,,,,23.16985
2005,ER_PTD_MTN,Iceland,,,,,32.48418
2006,ER_PTD_MTN,Iceland,,,,,32.48418
2007,ER_PTD_MTN,New Zealand,,,,,30.49454
2008,ER_PTD_MTN,New Zealand,,,,,31.49461
2009,ER_PTD_MTN,New Zealand,,,,,32.82399
2010,ER_PTD_MTN,New Zealand,,,,,32.82481
2011,ER_PTD_MTN,New Zealand,,,,,32.82498
2012,ER_PTD_MTN,New Zealand,,,,,32.97984
2013,ER_PTD_MTN,New Zealand,,,,,33.2607
2014,ER_PTD_MTN,New Zealand,,,,,33.35879
2015,ER_PTD_MTN,New Zealand,,,,,33.82677
2016,ER_PTD_MTN,New Zealand,,,,,33.92836
2017,ER_PTD_MTN,New Zealand,,,,,33.93042
2018,ER_PTD_MTN,New Zealand,,,,,34.01366
2007,ER_PTD_MTN,Iceland,,,,,32.48418
2008,ER_PTD_MTN,Iceland,,,,,32.48418
2009,ER_PTD_MTN,Iceland,,,,,32.48418
2010,ER_PTD_MTN,Iceland,,,,,32.48418
2011,ER_PTD_MTN,Iceland,,,,,32.48418
2012,ER_PTD_MTN,Iceland,,,,,32.48418
2013,ER_PTD_MTN,China,,,,,11.03056
2014,ER_PTD_MTN,China,,,,,11.03056
2015,ER_PTD_MTN,China,,,,,11.03056
2016,ER_PTD_MTN,China,,,,,11.19294
