Value,Disaggregation combinations using this value,Number of indicators
EN_HAZ_GENGDP,47,1
EN_HAZ_GENV,47,1
EN_HAZ_IMP,16,1
EN_HAZ_PCAP,47,1
EN_HAZ_TREATV,216,1
EN_HAZ_TRTDISR,12,1
EN_HAZ_TRTDISV,46,1
EN_LKRV_PWAC,59,1
EN_LKRV_PWAN,59,1
EN_LKRV_PWAP,59,1
EN_LKRV_SWAC,59,1
EN_LKRV_SWAN,59,1
EN_LKRV_SWAP,59,1
EN_LKW_QLTRB,204,1
EN_LKW_QLTRST,204,1
EN_LND_CNSPOP,721,1
EN_LND_SLUM,23,1
EN_MAR_BEALIT_BP,43,1
EN_MAR_BEALIT_BV,1044,1
EN_MAR_BEALIT_EXP,43,1
EN_MAR_BEALIT_OP,43,1
EN_MAR_BEALIT_OV,43,1
EN_MAR_BEALITSQ,50,1
EN_MAR_CHLANM,144,1
EN_MAR_CHLDEV,47,1
EN_MAT_DOMCMPC,1736,2
EN_MAT_DOMCMPG,1738,2
EN_MAT_DOMCMPT,1738,2
EN_MWT_COLLV,16,1
EN_MWT_EXP,7,1
EN_MWT_GENV,41,1
EN_MWT_IMP,7,1
EN_MWT_RCYR,39,1
EN_MWT_RCYV,46,1
EN_MWT_TREATR,83,1
EN_MWT_TREATV,142,1
EN_REF_WASCOL,3849,1
EN_RSRV_MNWAN,59,1
EN_RSRV_MNWAP,59,1
EN_RSRV_MXWAN,59,1
EN_RSRV_MXWAP,59,1
EN_SCP_ECSYBA,15,1
EN_SCP_FRMN,428,1
EN_SCP_FSHGDP,35,1
EN_TWT_GENV,354,1
EN_URB_OPENSP,368,1
EN_WBE_HMWTL,19,1
EN_WBE_INWTL,44,1
EN_WBE_MANGC,9,1
EN_WBE_MANGN,9,1
EN_WBE_NDQTGRW,4,1
EN_WBE_NDQTRVR,8,1
EN_WBE_WTLN,59,1
EN_WBE_WTLP,57,1
EN_WWT_GEN,202,1
EN_WWT_TREAT,38,1
EN_WWT_TREATR,34,1
EN_WWT_WWDS,61,1
ER_BDY_ABT2NP,126,1
ER_BDY_SEEA,106,1
ER_CBD_ABSCLRHS,63,1
ER_CBD_NAGOYA,63,1
ER_CBD_ORSPGRFA,63,1
ER_CBD_PTYPGRFA,63,1
ER_CBD_SMTA,63,1
ER_FFS_CMPT_CD,61,1
ER_FFS_CMPT_GDP,62,1
ER_FFS_CMPT_PC_CD,61,1
ER_GRF_ANIMKPT,61,1
ER_GRF_ANIMKPT_TRB,61,1
ER_GRF_ANIMRCNTN,44,1
ER_GRF_ANIMRCNTN_TRB,42,1
ER_GRF_PLNTSTOR,55,1
ER_H2O_FWTL,27,1
ER_H2O_IWRMD,63,1
ER_H2O_IWRMD_EE,63,1
ER_H2O_IWRMD_FI,63,1
ER_H2O_IWRMD_IP,63,1
ER_H2O_IWRMD_MI,63,1
ER_H2O_PRDU,33,1
ER_H2O_RURP,33,1
ER_H2O_STRESS,241,1
ER_H2O_WUEYST,247,1
ER_IAS_GLOFUN,56,1
ER_IAS_LEGIS,63,1
ER_IAS_NATBUD,57,1
ER_IAS_NBSAP,63,1
ER_MRN_MPA,44,1
ER_MTN_DGRDA,173,1
ER_MTN_DGRDP,173,1
ER_MTN_GRNCOV,1562,1
ER_MTN_GRNCVI,1903,1
ER_MTN_TOTL,173,1
ER_OAW_MNACD,345,1
ER_PTD_FRHWTR,60,1
ER_PTD_MTN,55,1
ER_PTD_TERR,63,1
ER_RDE_OSEX,22,1
ER_REG_SSFRAR,55,1
ER_REG_UNFCIM,52,1
ER_RSK_LBREDS,59,1
ER_RSK_LST,63,1
ER_UNCLOS_IMPLE,28,1
ER_UNCLOS_RATACC,30,1
ER_WAT_PART,31,1
ER_WAT_PRDU,31,1
FB_ATM_TOTL,61,1
FB_BNK_ACCSS,580,1
FB_BNK_ACCSS_ILF,62,1
FB_BNK_ACCSS_OLF,62,1
FB_BNK_CAPA_ZS,56,1
FB_CBK_BRCH,60,1
FC_ACC_SSID,51,1
FI_FSI_FSANL,57,1
FI_FSI_FSERA,57,1
FI_FSI_FSKA,56,1
FI_FSI_FSKNL,57,1
FI_FSI_FSKRTC,57,1
FI_FSI_FSLS,56,1
FI_FSI_FSSNO,51,1
FI_RES_TOTL_MO,60,1
FM_LBL_BMNY_IR_ZS,42,1
FM_LBL_BMNY_ZG,42,1
FP_CPI_TOTL_ZG,61,1
GB_POP_SCIERD,57,1
GB_XPD_CUL_PBPV,18,1
GB_XPD_CULNAT_PB,103,1
GB_XPD_CULNAT_PBPV,20,1
GB_XPD_CULNAT_PV,20,1
GB_XPD_NAT_PBPV,13,1
GB_XPD_RSDV,61,1
GC_BAL_CASH_GD_ZS,57,1
GC_GOB_TAXD,61,1
GC_TAX_TOTL_GD_ZS,58,1
GF_COM_PPPI,24,1
GF_COM_PPPI_KD,24,1
GF_FRN_FDI,62,1
GF_XPD_GBPC,53,1
GR_G14_GDP,61,1
GR_G14_XDC,61,1
IC_FRM_BRIB,51,1
IC_GEN_MGTL,60,1
IC_GEN_MGTL_19ICLS,46,1
IC_GEN_MGTN,50,1
IC_GEN_MGTN_19ICLS,40,1
IQ_SPI_PIL4,62,1
IQ_SPI_PIL5,62,1
IS_RDP_FRGVOL,61,1
IS_RDP_PFVOL,61,1
IS_RDP_PORFVOL,46,1
IT_MOB_2GNTWK,63,1
IT_MOB_3GNTWK,63,1
IT_MOB_4GNTWK,63,1
IT_MOB_OWN,103,1
IT_NET_BBND,246,1
IT_NET_BBNDN,246,1
IT_USE_ii99,179,1
IU_COR_BRIB,73,1
IU_DMK_ICRS,12,1
IU_DMK_INCL,32,1
IU_DMK_RESP,17,1
NE_CON_GOVT_KD_ZG,60,1
NE_CON_PRVT_KD_ZG,61,1
NE_EXP_GNFS_KD_ZG,61,1
NE_GDI_TOTL_KD_ZG,59,1
NE_IMP_GNFS_KD_ZG,61,1
NV_IND_MANF,63,1
NV_IND_MANF_CD,63,1
NV_IND_MANFPC,63,1
NV_IND_SSIS,83,1
NV_IND_TECH,61,1
NY_GDP_MKTP_KD_ZG,63,1
NY_GDP_PCAP,63,1
PA_NUS_ATLS,63,1
PD_AGR_LSFP,90,1
PD_AGR_SSFP,87,1
SD_CPA_UPRDP,63,1
SD_MDP_ANDI,9,1
SD_MDP_CSMP,3,1
SD_MDP_MUHC,247,1
SD_MDP_MUHHC,8,1
SD_XPD_MNPO,1,1
SE_ACC_HNDWSH,110,1
SE_ACS_CMPTR,186,1
SE_ACS_ELECT,115,1
SE_ACS_H2O,104,1
SE_ACS_INTNT,168,1
SE_ACS_SANIT,96,1
SE_ADT_ACTS,5962,1
SE_ADT_EDUCTRN,599,1
SE_ADT_FUNS,196,1
SE_AGP_CPRA,1308,1
SE_ALP_CPLR,1273,1
SE_AWP_CPRA,610,1
SE_DEV_ONTRK,48,1
SE_GCEDESD_CUR,96,3
SE_GCEDESD_NEP,111,3
SE_GCEDESD_SAS,102,3
SE_GCEDESD_TED,99,3
SE_GPI_ICTS,456,1
SE_GPI_PART,198,1
SE_GPI_PTNPRE,59,1
SE_GPI_TCAQ,107,1
SE_IMP_FPOF,56,1
SE_INF_DSBL,39,1
SE_LGP_ACHI,204,1
SE_NAP_ACHI,176,1
SE_PRE_PARTN,178,1
SE_TOT_CPLR,5071,1
SE_TOT_GPI,206,1
SE_TOT_GPI_FS,64,1
SE_TOT_PRFL,646,1
SE_TOT_RUPI,197,1
SE_TOT_SESPI,197,1
SE_TOT_SESPI_FS,64,1
SE_TRA_GRDL,336,1
SG_CPA_MIGRS,392,1
SG_CPA_SDEVP,23,1
SG_DMK_JDC,103,1
SG_DMK_JDC_CNS,47,1
SG_DMK_JDC_HGR,57,1
SG_DMK_JDC_LWR,67,1
SG_DMK_PARLCC_JC,16,1
SG_DMK_PARLCC_LC,406,1
SG_DMK_PARLCC_UC,139,1
SG_DMK_PARLMP_LC,63,1
SG_DMK_PARLMP_UC,27,1
SG_DMK_PARLSP_LC,90,1
SG_DMK_PARLSP_UC,38,1
SG_DMK_PARLYN_LC,63,1
SG_DMK_PARLYN_UC,26,1
SG_DMK_PARLYP_LC,63,1
SG_DMK_PARLYP_UC,26,1
SG_DMK_PARLYR_LC,63,1
SG_DMK_PARLYR_UC,26,1
SG_DMK_PSRVC,150,1
SG_DSR_LGRGSR,141,3
SG_DSR_SILN,132,3
SG_DSR_SILS,132,3
SG_GEN_EQPWN,32,1
SG_GEN_LOCGELS,56,1
SG_GEN_PARL,63,1
SG_GOV_LOGV,90,2
SG_HAZ_CMRBASEL,63,1
SG_HAZ_CMRMNMT,38,1
SG_HAZ_CMRMNTRL,63,1
SG_HAZ_CMRROTDAM,58,1
SG_HAZ_CMRSTHOLM,62,1
SG_INF_ACCSS,61,1
SG_INT_MBRDEV,974,2
SG_INT_VRTDEV,974,2
SG_LGL_GENEQEMP,60,1
SG_LGL_GENEQLFP,60,1
SG_LGL_GENEQMAR,60,1
SG_LGL_GENEQVAW,60,1
SG_LGL_LNDFEMOD,24,1
SG_NHR_IMPLN,38,1
SG_NHR_INTEXSTN,19,1
SG_NHR_NOAPPLN,48,1
SG_NHR_NOSTUSN,3,1
SG_PLN_MSTKSDG_P,26,1
SG_PLN_MSTKSDG_R,5,1
SG_PLN_PRPOLRES,28,1
SG_PLN_PRVNDI,28,1
SG_PLN_PRVRICTRY,28,1
SG_PLN_PRVRIMON,28,1
SG_PLN_RECNDI,13,1
SG_PLN_RECRICTRY,13,1
SG_PLN_RECRIMON,13,1
SG_PLN_REPOLRES,13,1
SG_REG_BRTH,156,1
SG_REG_BRTH90N,60,1
SG_REG_CENSUSN,50,1
SG_REG_DETH75N,60,1
SG_SCP_CNTRY,32,1
SG_SCP_POLINS,70,1
SG_SCP_PROCN,47,1
SG_SCP_PROCN_HS,13,1
SG_SCP_PROCN_LS,6,1
SG_SCP_TOTLN,32,1
SG_STT_CAPTY,30,1
SG_STT_FPOS,61,1
SG_STT_NSDSFDDNR,16,1
SG_STT_NSDSFDGVT,60,1
SG_STT_NSDSFDOTHR,16,1
SG_STT_NSDSFND,59,1
SG_STT_NSDSIMPL,62,1
SG_STT_ODIN,63,1
SH_AAP_ASMORT,62,1
SH_ACS_DTP3,62,1
SH_ACS_HPV,41,1
SH_ACS_MCV2,61,1
SH_ACS_PCV3,52,1
SH_ACS_UNHC,62,1
SH_ALC_CONSPT,186,1
SH_BLD_ECOLI,35,1
SH_BLD_MRSA,35,1
SH_DTH_NCOM,186,1
SH_DYN_IMRT,186,1
SH_DYN_IMRTN,186,1
SH_DYN_NMRT,62,1
SH_FPL_INFM,12,1
SH_FPL_INFMCU,12,1
SH_FPL_INFMRH,12,1
SH_FPL_INFMSR,12,1
SH_FPL_MTMM,28,1
SH_H2O_SAFE,106,1
SH_HAP_ASMORT,61,1
SH_HAP_HBSAG,62,1
SH_HIV_INCD,493,1
SH_HLF_EMED,6,1
SH_IHR_CAPS,2568,1
SH_LGR_ACSRHE,41,1
SH_LGR_ACSRHEC1,51,1
SH_LGR_ACSRHEC10,52,1
SH_LGR_ACSRHEC11,52,1
SH_LGR_ACSRHEC12,52,1
SH_LGR_ACSRHEC13,52,1
SH_LGR_ACSRHEC2,48,1
SH_LGR_ACSRHEC3,49,1
SH_LGR_ACSRHEC4,52,1
SH_LGR_ACSRHEC5,52,1
SH_LGR_ACSRHEC6,52,1
SH_LGR_ACSRHEC7,50,1
SH_LGR_ACSRHEC8,50,1
SH_LGR_ACSRHEC9,47,1
SH_LGR_ACSRHES1,45,1
SH_LGR_ACSRHES2,50,1
SH_LGR_ACSRHES3,46,1
SH_LGR_ACSRHES4,52,1
SH_MED_DEN,247,1
SH_MED_HWRKDIS,170,1
SH_PRV_SMOK,177,1
SH_SAN_DEFECT,179,1
SH_SAN_HNDWSH,57,1
SH_SAN_SAFE,131,1
SH_STA_ANEM,60,1
SH_STA_ANEM_NPRG,60,1
SH_STA_ANEM_PREG,60,1
SH_STA_BRTC,56,1
SH_STA_MALR,17,1
SH_STA_MORT,62,1
SH_STA_POISN,186,1
SH_STA_SCIDE,186,1
SH_STA_STNT,39,1
SH_STA_TRAF,186,1
SH_STA_WASHARI,62,1
SH_STA_WAST,40,1
SH_SUD_ALCOL,186,1
SH_SUD_TREAT,38,1
SH_TBS_INCD,62,1
SH_TRP_INTVN,62,1
SH_XPD_EARN10,54,1
SH_XPD_EARN25,54,1
SI_AGR_LSFP,30,1
SI_AGR_SSFP,30,1
SI_COV_BENFTS,77,1
SI_COV_CHLD,96,1
SI_COV_DISAB,157,1
SI_COV_LMKT,50,1
SI_COV_MATNL,58,1
SI_COV_PENSN,175,1
SI_COV_POOR,43,1
SI_COV_SOCAST,60,1
SI_COV_SOCINS,58,1
SI_COV_UEMP,151,1
SI_COV_VULN,69,1
SI_COV_WKINJRY,68,1
SI_DST_FISP,111,1
SI_HEI_TOTL,112,1
SI_POV_50MI,58,1
SI_POV_DAY1,403,1
SI_POV_EMP1,234,1
SI_POV_NAHC,54,1
SI_RMT_COST,29,1
SI_RMT_COST_BC,207,1
SI_RMT_COST_SC,204,1
SI_RMT_COST_SND,24,1
SL_CPA_YEMP,58,1
SL_DOM_TSPD,1048,1
SL_DOM_TSPDCW,1024,1
SL_DOM_TSPDDC,1050,1
SL_EMP_EARN,2589,1
SL_EMP_FTLINJUR,269,1
SL_EMP_GTOTL,62,1
SL_EMP_INJUR,266,1
SL_EMP_PCAP,62,1
SL_ISV_IFEM,425,1
SL_ISV_IFEM_19ICLS,359,1
SL_LBR_NTLCPL,62,1
SL_TLF_CHLDEA,54,1
SL_TLF_CHLDEC,51,1
SL_TLF_MANF,61,1
SL_TLF_MANF_19ICLS,46,1
SL_TLF_NEET,172,1
SL_TLF_NEET_19ICLS,138,1
SL_TLF_UEM,550,1
SL_TLF_UEM_19ICLS,417,1
SL_TLF_UEMDIS,386,1
SL_TLF_UEMDIS_19ICLS,331,1
SM_DTH_MIGR,43,1
SM_POP_REFG_OR,63,1
SN_ITK_DEFC,62,1
SP_ACS_BSRVH2O,179,1
SP_ACS_BSRVSAN,179,1
SP_DISP_RESOL,4,1
SP_DYN_ADKL,125,1
SP_DYN_MRBF15,25,1
SP_DYN_MRBF18,29,1
SP_GNP_WNOWNS,4,1
SP_LGL_LNDAGSEC,12,1
SP_LGL_LNDDOC,13,1
SP_LGL_LNDSEC,6,1
SP_LGL_LNDSTR,9,1
SP_PSR_OSATIS_GOV,26,1
SP_PSR_OSATIS_HLTH,15,1
SP_PSR_OSATIS_PRM,19,1
SP_PSR_OSATIS_SEC,9,1
SP_PSR_SATIS_GOV,131,1
SP_PSR_SATIS_HLTH,87,1
SP_PSR_SATIS_PRM,82,1
SP_PSR_SATIS_SEC,42,1
SP_ROD_R2KM,2,1
SP_TRN_PUBL,1047,1
ST_EEV_ACCSEEA,61,1
ST_EEV_ACCTSA,61,1
ST_EEV_STDACCT,61,1
ST_GDP_ZS,47,1
TG_VAL_TOTL_GD_ZS,62,1
TM_TAX_DMFN,395,1
TM_TAX_DPRF,395,1
TM_TAX_WMFN,232,1
TM_TAX_WMPS,232,1
TM_TRF_ZERO,436,1
TX_EXP_GBMRCH,62,1
TX_EXP_GBSVR,61,1
TX_IMP_GBMRCH,62,1
TX_IMP_GBSVR,61,1
VC_ARM_SZTRACE,13,1
VC_DSR_AFFCT,141,3
VC_DSR_AGLH,74,2
VC_DSR_BSDN,37,1
VC_DSR_CDAN,36,1
VC_DSR_CDYN,28,1
VC_DSR_CHLN,66,2
VC_DSR_CILN,78,2
VC_DSR_DAFF,141,3
VC_DSR_DDPA,76,2
VC_DSR_EFDN,34,1
VC_DSR_ESDN,35,1
VC_DSR_GDPLS,86,2
VC_DSR_HFDN,36,1
VC_DSR_HSDN,37,1
VC_DSR_IJILN,132,3
VC_DSR_LSGP,86,2
VC_DSR_MISS,138,3
VC_DSR_MMHN,153,3
VC_DSR_MORT,150,3
VC_DSR_MTMP,153,3
VC_DSR_OBDN,27,1
VC_DSR_PDAN,126,3
VC_DSR_PDLN,105,3
VC_DSR_PDYN,117,3
VC_HTF_DETV,498,1
VC_HTF_DETVFL,205,1
VC_HTF_DETVFLR,203,1
VC_HTF_DETVOG,13,1
VC_HTF_DETVOGR,13,1
VC_HTF_DETVOP,181,1
VC_HTF_DETVOPR,179,1
VC_HTF_DETVR,486,1
VC_HTF_DETVSX,232,1
VC_HTF_DETVSXR,229,1
VC_IHR_PSRC,182,1
VC_IHR_PSRCN,182,1
VC_PRR_PHYV,41,1
VC_PRR_ROBB,42,1
VC_PRR_SEXV,24,1
VC_PRS_UNSNT,153,1
VC_SNS_WALN_DRK,67,1
VC_VAW_MARR,116,1
VC_VAW_PHYPYV,20,1
VC_VAW_SXVLN,13,1
VC_VOH_SXPH,13,1
VC_VOV_GDSD,2366,2
VC_VOV_PHYL,38,1
VC_VOV_ROBB,62,1
VC_VOV_SEXL,26,1
