Indicator,Disaggregation combinations using this value
#17-13-1-NE_EXP_GNFS_KD_ZG,1
#17-13-1-NE_GDI_TOTL_KD_ZG,1
#17-13-1-NE_IMP_GNFS_KD_ZG,1
#17-13-1-NY_GDP_MKTP_KD_ZG,1
#17-13-1-PA_NUS_ATLS,1
#17-13-1-TG_VAL_TOTL_GD_ZS,1
#17-18-1-IQ_SPI_PIL4,1
#17-18-1-IQ_SPI_PIL5,1
#17-18-1-SG_STT_ODIN,1
#17-18-3-SG_STT_NSDSIMPL,1
#17-19-1,1
#17-3-1-DC_OSSD_GRT,1
#17-3-1-DC_OSSD_MPF,1
#17-3-1-DC_OSSD_OFFCL,1
#17-3-1-DC_OSSD_OFFNL,1
#17-3-1-GF_FRN_FDI,1
#17-3-2,1
#17-6-1-IT_NET_BBND,1
#17-6-1-IT_NET_BBNDN,1
#17-8-1,1
#2-1-1,1
#2-2-1,1
#2-2-2,1
#2-2-3,3
#2-5-1-ER_GRF_ANIMKPT,1
#2-5-1-ER_GRF_ANIMKPT_TRB,1
#2-5-2,1
#2-a-2,1
#3-1-1-SH_STA_MORT,1
#3-1-2-SH_STA_BRTC,1
#3-2-1-a,3
#3-2-1-b,3
#3-2-2,1
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,1
#3-4-1,3
#3-4-1-a,3
#3-4-2,3
#3-5-1-SH_SUD_ALCOL,3
#3-5-2,3
#3-6-1,3
#3-7-1,1
#3-7-2,2
#3-8-1,1
#3-9-1,2
#3-9-2,1
#3-9-3,3
#3-a-1,3
#3-b-1,4
#3-b-2-DC_TOF_HLTHL,1
#3-b-2-DC_TOF_HLTHNT,1
#3-c-1-SH_MED_DEN,4
#3-c-1-SH_MED_HWRKDIS,2
#3-d-1,41
#4-1-2,162
#4-2-1,3
#4-5-1-SE_AGP_CPRA,54
#4-5-1-SE_ALP_CPLR,54
#4-5-1-SE_AWP_CPRA,27
#4-7-1,4
#4-a-1-SE_ACC_HNDWSH,3
#4-a-1-SE_ACS_CMPTR,4
#4-a-1-SE_ACS_ELECT,3
#4-a-1-SE_ACS_H2O,3
#4-a-1-SE_ACS_INTNT,4
#4-a-1-SE_ACS_SANIT,3
#4-a-1-SE_INF_DSBL,3
#4-b-1,1
#4-c-1,2
#5-1-1,4
#5-3-1,2
#5-5-1-SG_GEN_LOCGELS,1
#5-5-1-SG_GEN_PARL,1
#5-6-1-SH_FPL_INFM,1
#5-6-1-SH_FPL_INFMCU,1
#5-6-1-SH_FPL_INFMRH,1
#5-6-1-SH_FPL_INFMSR,1
#5-6-2-SH_LGR_ACSRHE,1
#5-6-2-SH_LGR_ACSRHEC1,1
#5-6-2-SH_LGR_ACSRHEC10,1
#5-6-2-SH_LGR_ACSRHEC11,1
#5-6-2-SH_LGR_ACSRHEC12,1
#5-6-2-SH_LGR_ACSRHEC13,1
#5-6-2-SH_LGR_ACSRHEC2,1
#5-6-2-SH_LGR_ACSRHEC3,1
#5-6-2-SH_LGR_ACSRHEC4,1
#5-6-2-SH_LGR_ACSRHEC5,1
#5-6-2-SH_LGR_ACSRHEC6,1
#5-6-2-SH_LGR_ACSRHEC7,1
#5-6-2-SH_LGR_ACSRHEC8,1
#5-6-2-SH_LGR_ACSRHEC9,1
#5-6-2-SH_LGR_ACSRHES1,1
#5-6-2-SH_LGR_ACSRHES2,1
#5-6-2-SH_LGR_ACSRHES3,1
#5-6-2-SH_LGR_ACSRHES4,1
#6-1-1,3
#6-2-1-SH_SAN_DEFECT,3
#6-2-1-SH_SAN_HNDWSH,3
#6-4-1,4
#6-4-2-ER_H2O_STRESS,4
#6-5-1-ER_H2O_IWRMD,1
#6-5-1-ER_H2O_IWRMD_EE,1
#6-5-1-ER_H2O_IWRMD_FI,1
#6-5-1-ER_H2O_IWRMD_IP,1
#6-5-1-ER_H2O_IWRMD_MI,1
#6-5-2-EG_TBA_H2CORL,1
#6-6-1-EN_LKRV_PWAC,1
#6-6-1-EN_LKRV_PWAN,1
#6-6-1-EN_LKRV_PWAP,1
#6-6-1-EN_LKRV_SWAC,1
#6-6-1-EN_LKRV_SWAN,1
#6-6-1-EN_LKRV_SWAP,1
#6-6-1-EN_LKW_QLTRB,4
#6-6-1-EN_LKW_QLTRST,4
#6-6-1-EN_RSRV_MNWAN,1
#6-6-1-EN_RSRV_MNWAP,1
#6-6-1-EN_RSRV_MXWAN,1
#6-6-1-EN_RSRV_MXWAP,1
#6-6-1-EN_WBE_WTLN,1
#6-6-1-EN_WBE_WTLP,1
#6-a-1,1
#6-b-1-ER_H2O_PRDU,1
#6-b-1-ER_H2O_RURP,1
#6-b-1-ER_WAT_PART,1
#6-b-1-ER_WAT_PRDU,1
#7-1-1,3
#7-1-2,3
#7-2-1,1
#7-3-1,1
#7-a-1,8
#7-b-1,2
#8-1-1,1
#8-10-2-FB_BNK_ACCSS,9
#8-10-2-FB_BNK_ACCSS_ILF,1
#8-10-2-FB_BNK_ACCSS_OLF,1
#8-2-1,1
#8-4-2-EN_MAT_DOMCMPC,18
#8-4-2-EN_MAT_DOMCMPG,18
#8-4-2-EN_MAT_DOMCMPT,18
#8-5-2-SL_TLF_UEM,3
#8-7-1-SL_TLF_CHLDEA,3
#8-7-1-SL_TLF_CHLDEC,3
#8-8-2,1
#8-a-1-DC_TOF_TRDCML,1
#8-a-1-DC_TOF_TRDDBML,1
#8-b-1,1
#9-1-2-IS_RDP_FRGVOL,1
#9-1-2-IS_RDP_PFVOL,1
#9-2-1-NV_IND_MANF,1
#9-2-1-NV_IND_MANFPC,1
#9-2-1-NV_IND_MANF_CD,1
#9-4-1-EN_ATM_CO2,2
#9-4-1-EN_ATM_CO2GDP,1
#9-4-1-EN_ATM_CO2MVA,1
#9-a-1,1
#9-c-1,3
