Indicator,Disaggregation combinations using this value
#12-5-1-EN_EWT_RCYR,1
#12-5-1-EN_EWT_RCYV,1
#12-5-1-EN_MWT_RCYR,1
#12-5-1-EN_MWT_RCYV,1
#12-6-1-EN_SCP_FRMN,9
#12-7-1-SG_SCP_PROCN,1
#12-7-1-SG_SCP_PROCN_HS,2
#12-8-1,4
#12-b-1-ST_EEV_ACCSEEA,1
#12-b-1-ST_EEV_ACCTSA,1
#12-b-1-ST_EEV_STDACCT,1
#12-c-1-ER_FFS_CMPT_CD,1
#12-c-1-ER_FFS_CMPT_GDP,1
#12-c-1-ER_FFS_CMPT_PC_CD,1
#13-2-2-EN_ATM_GHGT_AIP,1
#13-3-1,4
#14-1-1-EN_MAR_BEALITSQ,1
#14-1-1-EN_MAR_BEALIT_BP,1
#14-1-1-EN_MAR_BEALIT_BV,14
#14-1-1-EN_MAR_BEALIT_EXP,1
#14-1-1-EN_MAR_BEALIT_OP,1
#14-1-1-EN_MAR_BEALIT_OV,1
#14-1-1-EN_MAR_CHLANM,3
#14-1-1-EN_MAR_CHLDEV,1
#14-3-1,15
#14-4-1,1
#14-5-1,1
#14-6-1,1
#14-7-1,1
#14-a-1,1
#14-b-1,1
#15-1-1,1
#15-1-2-ER_PTD_FRHWTR,1
#15-1-2-ER_PTD_TERR,1
#15-2-1-AG_LND_FRSTBIOPHA,1
#15-2-1-AG_LND_FRSTCERT,1
#15-2-1-AG_LND_FRSTCHG,1
#15-2-1-AG_LND_FRSTMGT,1
#15-2-1-AG_LND_FRSTPRCT,1
#15-4-1,1
#15-4-2-ER_MTN_DGRDA,2
#15-4-2-ER_MTN_DGRDP,2
#15-4-2-ER_MTN_GRNCOV,14
#15-4-2-ER_MTN_GRNCVI,22
#15-4-2-ER_MTN_TOTL,2
#15-5-1,1
#15-6-1-ER_CBD_ABSCLRHS,1
#15-6-1-ER_CBD_NAGOYA,1
#15-6-1-ER_CBD_ORSPGRFA,1
#15-6-1-ER_CBD_PTYPGRFA,1
#15-6-1-ER_CBD_SMTA,1
#15-8-1-ER_IAS_GLOFUN,1
#15-8-1-ER_IAS_LEGIS,1
#15-8-1-ER_IAS_NATBUD,1
#15-8-1-ER_IAS_NBSAP,1
#15-9-1-ER_BDY_ABT2NP,2
#15-9-1-ER_BDY_SEEA,2
#15-a-1-DC_ODA_BDVDL,1
#15-b-1-DC_ODA_BDVDL,1
#16-1-1-VC_IHR_PSRC,3
#16-1-1-VC_IHR_PSRCN,3
#16-1-3-VC_VOV_PHYL,3
#16-1-3-VC_VOV_ROBB,3
#16-1-4,3
#16-10-2,1
#16-2-2-VC_HTF_DETV,8
#16-2-2-VC_HTF_DETVFL,4
#16-2-2-VC_HTF_DETVFLR,4
#16-2-2-VC_HTF_DETVOP,3
#16-2-2-VC_HTF_DETVOPR,3
#16-2-2-VC_HTF_DETVR,8
#16-2-2-VC_HTF_DETVSX,5
#16-2-2-VC_HTF_DETVSXR,5
#16-3-1-VC_PRR_ROBB,3
#16-3-1-VC_PRR_SEXV,1
#16-3-2,1
#16-5-1,1
#16-5-2,1
#16-6-1,1
#16-7-1-SG_DMK_PARLCC_LC,7
#16-7-1-SG_DMK_PARLCC_UC,5
#16-7-1-SG_DMK_PARLMP_LC,1
#16-7-1-SG_DMK_PARLMP_UC,1
#16-7-1-SG_DMK_PARLSP_LC,1
#16-7-1-SG_DMK_PARLSP_UC,1
#16-7-1-SG_DMK_PARLYN_LC,1
#16-7-1-SG_DMK_PARLYN_UC,1
#16-7-1-SG_DMK_PARLYP_LC,1
#16-7-1-SG_DMK_PARLYP_UC,1
#16-7-1-SG_DMK_PARLYR_LC,1
#16-7-1-SG_DMK_PARLYR_UC,1
#16-8-1-SG_INT_MBRDEV,10
#16-8-1-SG_INT_VRTDEV,10
#16-9-1,1
#16-a-1-SG_NHR_INTEXSTN,1
#16-a-1-SG_NHR_NOAPPLN,1
#17-1-1-GR_G14_GDP,1
#17-1-1-GR_G14_XDC,1
#17-1-2,1
#17-11-1-TX_EXP_GBMRCH,1
#17-11-1-TX_EXP_GBSVR,1
#17-11-1-TX_IMP_GBMRCH,1
#17-11-1-TX_IMP_GBSVR,1
#17-12-1-TM_TAX_DMFN,6
#17-12-1-TM_TAX_DPRF,6
#17-13-1-BN_CAB_XOKA_GD_ZS,1
#17-13-1-BN_KLT_PTXL_CD,1
#17-13-1-BX_KLT_DINV_WD_GD_ZS,1
#17-13-1-DP_DOD_DLD2_CR_CG_Z1,1
#17-13-1-FB_BNK_CAPA_ZS,1
#17-13-1-FI_RES_TOTL_MO,1
#17-13-1-FP_CPI_TOTL_ZG,1
#17-13-1-GC_BAL_CASH_GD_ZS,1
#17-13-1-GC_TAX_TOTL_GD_ZS,1
#17-13-1-NE_CON_GOVT_KD_ZG,1
#17-13-1-NE_CON_PRVT_KD_ZG,1
#17-13-1-NE_EXP_GNFS_KD_ZG,1
#17-13-1-NE_GDI_TOTL_KD_ZG,1
#17-13-1-NE_IMP_GNFS_KD_ZG,1
#17-13-1-NY_GDP_MKTP_KD_ZG,1
#17-13-1-PA_NUS_ATLS,1
#17-13-1-TG_VAL_TOTL_GD_ZS,1
#17-15-1-SG_PLN_PRPOLRES,1
#17-15-1-SG_PLN_PRVNDI,1
#17-15-1-SG_PLN_PRVRICTRY,1
#17-15-1-SG_PLN_PRVRIMON,1
#17-16-1-SG_PLN_MSTKSDG_P,1
#17-18-1-IQ_SPI_PIL4,1
#17-18-1-IQ_SPI_PIL5,1
#17-18-1-SG_STT_ODIN,1
#17-18-2,1
#17-18-3-SG_STT_NSDSFDGVT,1
#17-18-3-SG_STT_NSDSFND,1
#17-18-3-SG_STT_NSDSIMPL,1
#17-19-2-SG_REG_BRTH90N,1
#17-19-2-SG_REG_CENSUSN,1
#17-19-2-SG_REG_DETH75N,1
#17-2-1-DC_ODA_LDCG,1
#17-2-1-DC_ODA_LDCS,1
#17-2-1-DC_ODA_LLDC,1
#17-2-1-DC_ODA_LLDCG,1
#17-2-1-DC_ODA_SIDS,1
#17-2-1-DC_ODA_SIDSG,1
#17-2-1-DC_ODA_TOTG,1
#17-2-1-DC_ODA_TOTGGE,1
#17-2-1-DC_ODA_TOTL,1
#17-2-1-DC_ODA_TOTLGE,1
#17-3-1-GF_FRN_FDI,1
#17-3-2,1
#17-6-1-IT_NET_BBND,4
#17-6-1-IT_NET_BBNDN,4
#17-7-1-DC_ENVTECH_EXP,1
#17-7-1-DC_ENVTECH_IMP,1
#17-7-1-DC_ENVTECH_TT,1
#17-8-1,3
#2-1-1,1
#2-1-2,3
#2-2-1,1
#2-2-2,1
#2-2-3,3
#2-3-1,6
#2-5-1-ER_GRF_ANIMKPT,1
#2-5-1-ER_GRF_ANIMKPT_TRB,1
#2-5-1-ER_GRF_ANIMRCNTN,1
#2-5-1-ER_GRF_PLNTSTOR,1
#2-5-2,1
#2-a-1-AG_PRD_AGVAS,1
#2-a-1-AG_PRD_ORTIND,1
#2-a-1-AG_XPD_AGSGB,1
#2-c-1-AG_FPA_CFPI,1
#3-1-1-SH_STA_MORT,1
#3-2-1-a,3
#3-2-1-b,3
#3-2-2,1
#3-3-2,1
#3-3-4,1
#3-3-5,1
#3-4-1,3
#3-4-1-a,3
#3-4-2,3
#3-5-1-SH_SUD_ALCOL,3
#3-5-2,3
#3-6-1,3
#3-7-2,2
#3-8-1,1
#3-8-2,2
#3-9-1,2
#3-9-2,1
#3-9-3,3
#3-a-1,3
#3-b-1,4
#3-c-1-SH_MED_DEN,4
#3-c-1-SH_MED_HWRKDIS,2
#3-d-1,41
#3-d-2-SH_BLD_ECOLI,1
#3-d-2-SH_BLD_MRSA,1
#4-1-1,10
#4-1-2,27
#4-2-2,3
#4-3-1,12
#4-4-1,136
#4-5-1-SE_AGP_CPRA,3
#4-5-1-SE_ALP_CPLR,3
#4-5-1-SE_GPI_ICTS,10
#4-5-1-SE_GPI_PART,4
#4-5-1-SE_GPI_PTNPRE,1
#4-5-1-SE_IMP_FPOF,2
#4-5-1-SE_LGP_ACHI,3
#4-5-1-SE_NAP_ACHI,3
#4-5-1-SE_TOT_GPI,3
#4-5-1-SE_TOT_GPI_FS,2
#4-5-1-SE_TOT_RUPI,3
#4-5-1-SE_TOT_SESPI,3
#4-5-1-SE_TOT_SESPI_FS,2
#4-6-1,6
#4-7-1,4
#4-a-1-SE_ACC_HNDWSH,3
#4-a-1-SE_ACS_CMPTR,4
#4-a-1-SE_ACS_ELECT,3
#4-a-1-SE_ACS_H2O,3
#4-a-1-SE_ACS_INTNT,4
#5-2-1,2
#5-3-1,2
#5-4-1-SL_DOM_TSPD,14
#5-4-1-SL_DOM_TSPDCW,14
#5-4-1-SL_DOM_TSPDDC,14
#5-5-1-SG_GEN_LOCGELS,1
#5-5-1-SG_GEN_PARL,1
#5-5-2-IC_GEN_MGTL,1
#5-5-2-IC_GEN_MGTL_19ICLS,1
#5-5-2-IC_GEN_MGTN,1
#5-5-2-IC_GEN_MGTN_19ICLS,1
#5-6-2-SH_LGR_ACSRHEC10,1
#5-6-2-SH_LGR_ACSRHEC11,1
#5-6-2-SH_LGR_ACSRHEC12,1
#5-6-2-SH_LGR_ACSRHEC13,1
#5-6-2-SH_LGR_ACSRHEC3,1
#5-6-2-SH_LGR_ACSRHEC4,1
#5-6-2-SH_LGR_ACSRHEC5,1
#5-6-2-SH_LGR_ACSRHEC6,1
#5-6-2-SH_LGR_ACSRHEC7,1
#5-6-2-SH_LGR_ACSRHEC8,1
#5-6-2-SH_LGR_ACSRHEC9,1
#5-6-2-SH_LGR_ACSRHES2,1
#5-6-2-SH_LGR_ACSRHES3,1
#5-6-2-SH_LGR_ACSRHES4,1
#5-b-1,3
#5-c-1,1
#6-1-1,1
#6-2-1-SH_SAN_DEFECT,3
#6-2-1-SH_SAN_SAFE,1
#6-3-1,10
#6-4-1,4
#6-4-2-ER_H2O_STRESS,4
#6-5-1-ER_H2O_IWRMD,1
#6-5-1-ER_H2O_IWRMD_EE,1
#6-5-1-ER_H2O_IWRMD_FI,1
#6-5-1-ER_H2O_IWRMD_IP,1
#6-5-1-ER_H2O_IWRMD_MI,1
#6-5-2-EG_TBA_H2CO,1
#6-5-2-EG_TBA_H2COAQ,1
#6-5-2-EG_TBA_H2CORL,1
#6-6-1-EN_LKRV_PWAC,1
#6-6-1-EN_LKRV_PWAN,1
#6-6-1-EN_LKRV_PWAP,1
#6-6-1-EN_LKRV_SWAC,1
#6-6-1-EN_LKRV_SWAN,1
#6-6-1-EN_LKRV_SWAP,1
#6-6-1-EN_RSRV_MNWAN,1
#6-6-1-EN_RSRV_MNWAP,1
#6-6-1-EN_RSRV_MXWAN,1
#6-6-1-EN_RSRV_MXWAP,1
#6-6-1-EN_WBE_INWTL,1
#6-6-1-EN_WBE_WTLN,1
#6-6-1-EN_WBE_WTLP,1
#7-1-1,3
#7-1-2,3
#7-2-1,1
#7-3-1,1
#8-1-1,1
#8-10-1-FB_ATM_TOTL,1
#8-10-1-FB_CBK_BRCH,1
#8-10-2-FB_BNK_ACCSS,9
#8-10-2-FB_BNK_ACCSS_ILF,1
#8-10-2-FB_BNK_ACCSS_OLF,1
#8-2-1,1
#8-3-1-SL_ISV_IFEM,9
#8-3-1-SL_ISV_IFEM_19ICLS,9
#8-4-2-EN_MAT_DOMCMPC,18
#8-4-2-EN_MAT_DOMCMPG,18
#8-4-2-EN_MAT_DOMCMPT,18
#8-5-1-SL_EMP_EARN,54
#8-5-2-SL_TLF_UEM,9
#8-5-2-SL_TLF_UEMDIS,9
#8-5-2-SL_TLF_UEMDIS_19ICLS,9
#8-5-2-SL_TLF_UEM_19ICLS,9
#8-6-1-SL_TLF_NEET,3
#8-6-1-SL_TLF_NEET_19ICLS,3
#8-8-1-SL_EMP_FTLINJUR,6
#8-8-1-SL_EMP_INJUR,6
#8-8-2,1
#8-9-1,1
#8-a-1-DC_TOF_TRDCMDL,1
#8-a-1-DC_TOF_TRDDBMDL,1
#8-b-1,1
#9-1-2-IS_RDP_FRGVOL,1
#9-1-2-IS_RDP_PFVOL,1
#9-1-2-IS_RDP_PORFVOL,1
#9-2-1-NV_IND_MANF,1
#9-2-1-NV_IND_MANFPC,1
#9-2-1-NV_IND_MANF_CD,1
#9-2-2-SL_TLF_MANF,1
#9-2-2-SL_TLF_MANF_19ICLS,1
#9-3-1,2
#9-3-2,1
#9-4-1-EN_ATM_CO2,2
#9-4-1-EN_ATM_CO2GDP,1
#9-4-1-EN_ATM_CO2MVA,1
#9-5-1,1
#9-5-2,1
#9-b-1,1
#9-c-1,3
