Value,Disaggregation combinations using this value,Number of indicators
CE16011A,1,1
CE16011B,1,1
CE16018,1,1
CE17001,1,1
CE17013A,1,1
CE17013B,1,1
CE18002,1,1
CE19002,1,1
CE19009,1,1
CE19016_NORTHSEASUM,1,1
CE20002,1,1
CE20017A,1,1
CE20017B,1,1
CE21001,1,1
CEND_04_19,1,1
CEND_19_18,1,1
CHATHAMISLANDS,1,1
CHILE,1,1
CHO_OFF_5,1,1
CLIM-EPARSES,1,1
COLOMBIA,1,1
CONSTANTA,1,1
CORALLREEF,1,1
CORDILLERA_BEATA,1,1
CS2,1,1
CUENCA_PACIFICO_NORTE,1,1
CV,1,1
CV18001,1,1
CV19001,1,1
CVI,1,1
DOC_CAPE_FOULWIND_CF_WESTPORT,1,1
DOC_HIKURANGI_KK_KAIKOURA,1,1
DOC_KAPITI_KM_WELLINGTON,1,1
DOC_POOR_KNIGHTS_PK_WHANGAREI,1,1
DOC_TAPUAE_NP_NEW_PLYMOUTH,1,1
DOC_TAPUTERANGA_TM_WELLINGTON,1,1
DOC_TE_ANGIANGI_TA_NAPIER,1,1
DOC_TE_WHANGANUI_A_HEI_CC_WHITIANGA,1,1
DOC_TUHUA_MI_TAURANGA,1,1
DOCTAPUTERANGAMR/WELLINGTON,1,1
DOCTEANGIANGIMR/NAPIER,1,1
DOCTUHUA(MAYORISLAND)MR/TAURANGA,1,1
DUNEDINPYLON,1,1
EFUSHANHAI,1,1
ESSA,1,1
ESSA1,1,1
ESSA2,1,1
ESSA3,1,1
ESTACION_AO_EN_GORGONILLA,1,1
ESTOC,1,1
F15,1,1
F18,1,1
F26,1,1
F3,1,1
F33,1,1
F3_A5,1,1
F62,1,1
F64,1,1
F64SOLOVJEVA,1,1
F69,1,1
F9,1,1
F9_A13,1,1
FE,1,1
FI-F13,1,1
FI-F16,1,1
FI-F2,1,1
FI-SR5,1,1
FI-US5B,1,1
FLADEN,1,1
FRENTE_A_JUANCHACO,1,1
FRENTE_PLAYA_BLANCA,1,1
FRENTE_PLAYA_BOCAGRANDE,1,1
FRENTE_PLAYA_MANZANILLO,1,1
FX9,1,1
GARRONPOINTSCOTLAND,1,1
GF1,1,1
GF2,1,1
GN,1,1
GOERE2,1,1
GOERE6,1,1
GOLDENBAY,1,1
GS,1,1
GUAOFF13,1,1
HAAPSALU_LAHT__HL1,1,1
HAAPSALU_LAHT__HL4,1,1
HAAPSALU_LAHT__HL6,1,1
HAAPSALU_LAHT__HL8,1,1
HANOBUKTEN,1,1
HAV,1,1
HAV_64369,1,1
HAV_64370,1,1
HAV_64371,1,1
HAV_64372,1,1
HAV_64374,1,1
HAV_64375,1,1
HAV_64376,1,1
HAV_64377,1,1
HAV_64378,1,1
HAV_64379,1,1
HAV_64382,1,1
HAV_82217,1,1
HAV_82218,1,1
HAV_82219,1,1
HAV_82220,1,1
HAV_82224,1,1
HCB,1,1
HORNO_GORGONA,1,1
IMR_NORWEGIAN_SEA,1,1
IU1,1,1
IU3,1,1
IU5,1,1
IU7,1,1
J02,1,1
J04,1,1
J06,1,1
JML,1,1
K2,1,1
KC10,1,1
L4,1,1
LIIVI_LAHT__K2,1,1
LIIVI_LAHT__K21,1,1
LL11,1,1
LL12,1,1
LL15,1,1
LL17,1,1
LL19,1,1
LL3A,1,1
LL5,1,1
LL6A,1,1
LL7,1,1
LL7S,1,1
LL9,1,1
LN6,1,1
MARLBOROUGHSOUNDS-CANNONHILL,1,1
MARLBOROUGHSOUNDS,1,1
MEDSEA,1,1
MOSJ,1,1
MOW1,1,1
MS2,1,1
MS3,1,1
MS4/C14,1,1
MS6,1,1
MS9,1,1
MUELLE_MANAURE_SALINA,1,1
MUTSU-SEKINEHAMAPORT,1,1
MUUGA_TALLINNA_KAKUMAE_LAHT__2,1,1
MUUGA_TALLINNA_KAKUMAE_LAHT__3,1,1
MUUGA_TALLINNA_KAKUMAE_LAHT__57A,1,1
N14FALKENBERG,1,1
NARVA_KUNDA_LAHT__12C,1,1
NARVA_KUNDA_LAHT__38,1,1
NARVA_KUNDA_LAHT__N8,1,1
NOORDWK10,1,1
NOORDWK2,1,1
NOORDWK20,1,1
NOORDWK70,1,1
NRSDAR,1,1
NRSKAI,1,1
NRSMAI,1,1
NRSNSI,1,1
NRSPHB,1,1
NRSROT,1,1
NRSYON,1,1
OISO-18,1,1
OISO-19,1,1
OISO-21,1,1
OISO-22,1,1
OISO-24,1,1
OISO-26,1,1
OISO-27,1,1
OISO-28,1,1
OISO_29,1,1
ON,1,1
OS,1,1
OSHORO,1,1
OSLO-KIEL,1,1
OVIDE-2010,1,1
OVIDE-2012,1,1
OVIDE-2014,1,1
OVIDE_2018,1,1
PARNU_LAHT__K4,1,1
PARNU_LAHT__K5,1,1
PARNU_LAHT__K7,1,1
PLAYA_MAYAPO,1,1
POSEIDON_HERAKLION_COASTAL_BUOY,1,1
PUERTO_BOLIVAR,1,1
QU39,1,1
R-VBELGICA,1,1
RADIALVIGO,1,1
REDCAM,1,1
REFM1V1,1,1
ROTTMPT50,1,1
ROTTMPT70,1,1
RR3,1,1
RR6,1,1
RR7,1,1
S01,1,1
S03,1,1
SCHOUWN10,1,1
SE-F13,1,1
SE-F16,1,1
SE-F2,1,1
SE-SR5,1,1
SE-US5B,1,1
SJA,1,1
SJA2,1,1
SLAGGO,1,1
SR1A,1,1
SR3,1,1
SR3/C24,1,1
SR7,1,1
SR8,1,1
SS29,1,1
ST5,1,1
STEWARTISLAND,1,1
SURATLANT,1,1
TASMANBAY,1,1
TERSLG10,1,1
TERSLG100,1,1
TERSLG135,1,1
TERSLG175,1,1
TERSLG235,1,1
TERSLG50,1,1
TRANSECTO4,1,1
TROMSO-LONGYEARBYEN,1,1
TROSKAH,1,1
US2_ULVODJUPET_C5,1,1
US3,1,1
US5B_C1,1,1
US6B,1,1
US7,1,1
UUS-23LANGDEN,1,1
VIETNAM1_18,1,1
VIETNAM2_19,1,1
VIETNAM2_20,1,1
VLIZLWSTATION,1,1
VR54,1,1
VT29,1,1
VT3,1,1
VT5,1,1
VT71,1,1
W01,1,1
W02,1,1
W03,1,1
W04,1,1
W05,1,1
W06,1,1
W07,1,1
W08,1,1
W09,1,1
W10,1,1
WAIQRUA,1,1
WAIQTAHI,1,1
WALCRN2,1,1
WALCRN20,1,1
WALCRN70,1,1
WCOE1,1,1
WCOL4,1,1
WELLINGTON,1,1
WESTCOAST-JACKSONBAY,1,1
WESTCOAST,1,1
WESTERN_CHANNEL_OBSERVATORY_E1,1,1
WLANDSKRONA,1,1
WRC_128,1,1
XII3,1,1
XIV3,1,1
XV1,1,1
