Year,SeriesCode,GeoAreaName,Education level,Sex,Type of skill,Value
2012,SE_TOT_PRFL,United Arab Emirates,LOWSEC,MALE,SKILL_READ,51.41
2012,SE_TOT_PRFL,United Arab Emirates,LOWSEC,BOTHSEX,SKILL_READ,64.47188
2015,SE_TOT_PRFL,United Arab Emirates,LOWSEC,BOTHSEX,SKILL_MATH,46.44213
2015,SE_TOT_PRFL,United Arab Emirates,LOWSEC,MALE,SKILL_MATH,44.79534
2015,SE_TOT_PRFL,United Arab Emirates,LOWSEC,MALE,SKILL_READ,48.38833
2015,SE_TOT_PRFL,United Arab Emirates,PRIMAR,BOTHSEX,SKILL_MATH,42.4798
2015,SE_TOT_PRFL,United Arab Emirates,LOWSEC,BOTHSEX,SKILL_READ,59.59488
2019,SE_TOT_PRFL,Denmark,GRAD23,MALE,SKILL_MATH,75.54785
2006,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_READ,86.35941
2006,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,87.92123
2009,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,87.3623
2009,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_READ,86.66734
2012,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_READ,90.87593
2012,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,89.45551
2015,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,88.78235
2015,SE_TOT_PRFL,Estonia,LOWSEC,FEMALE,SKILL_MATH,89.64921
2015,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_READ,89.36135
2015,SE_TOT_PRFL,Estonia,LOWSEC,MALE,SKILL_MATH,87.94978
2015,SE_TOT_PRFL,Estonia,LOWSEC,MALE,SKILL_READ,85.77631
2015,SE_TOT_PRFL,Estonia,LOWSEC,FEMALE,SKILL_READ,93.09679
2018,SE_TOT_PRFL,Estonia,LOWSEC,MALE,SKILL_MATH,89.87685
2018,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_READ,88.94572
2018,SE_TOT_PRFL,Estonia,LOWSEC,FEMALE,SKILL_MATH,89.69022
2018,SE_TOT_PRFL,Estonia,LOWSEC,BOTHSEX,SKILL_MATH,89.78358
2018,SE_TOT_PRFL,Estonia,LOWSEC,FEMALE,SKILL_READ,92.3565
2018,SE_TOT_PRFL,Estonia,LOWSEC,MALE,SKILL_READ,85.53826
2000,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_MATH,92.0814
2000,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_MATH,92.4
2000,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_READ,93.1
2000,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_MATH,91.74
2000,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_READ,89.03
2000,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_READ,96.84
2003,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_MATH,92.69
2003,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_READ,94.2972
2003,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_MATH,93.79
2015,SE_TOT_PRFL,United Arab Emirates,PRIMAR,MALE,SKILL_MATH,42.3955
2015,SE_TOT_PRFL,United Arab Emirates,PRIMAR,FEMALE,SKILL_MATH,42.58305
2015,SE_TOT_PRFL,United Arab Emirates,LOWSEC,FEMALE,SKILL_MATH,48.28089
2015,SE_TOT_PRFL,United Arab Emirates,LOWSEC,FEMALE,SKILL_READ,70.49645
2016,SE_TOT_PRFL,United Arab Emirates,PRIMAR,BOTHSEX,SKILL_READ,67.57123
2016,SE_TOT_PRFL,United Arab Emirates,PRIMAR,FEMALE,SKILL_READ,73.96694
2016,SE_TOT_PRFL,United Arab Emirates,PRIMAR,MALE,SKILL_READ,61.63219
2003,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_READ,97.6
2003,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_READ,90.98
2003,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_MATH,93.24083
2006,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_READ,91.88
2006,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_READ,98.45
2006,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_MATH,94.04778
2006,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_MATH,94.06
2012,SE_TOT_PRFL,Albania,LOWSEC,MALE,SKILL_MATH,38.99
2012,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_READ,47.66456
2012,SE_TOT_PRFL,Albania,LOWSEC,FEMALE,SKILL_READ,50.72
2012,SE_TOT_PRFL,Albania,LOWSEC,MALE,SKILL_READ,44.8
2015,SE_TOT_PRFL,Albania,LOWSEC,FEMALE,SKILL_MATH,48.80595
2015,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_MATH,46.71703
2015,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_READ,49.72273
2018,SE_TOT_PRFL,United Arab Emirates,LOWSEC,FEMALE,SKILL_READ,68.0858
2018,SE_TOT_PRFL,United Arab Emirates,LOWSEC,BOTHSEX,SKILL_READ,57.05975
2018,SE_TOT_PRFL,United Arab Emirates,LOWSEC,MALE,SKILL_READ,45.72908
