Year,SeriesCode,Страна ,Age,Sex,Value
2009,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,FEMALE,5
2009,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,27
2009,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,69
2008,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,55
2009,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,78
2010,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,57
2011,VC_HTF_DETV,Estonia,18+,FEMALE,17
2011,VC_HTF_DETV,Estonia,ALLAGE,FEMALE,18
2011,VC_HTF_DETV,Estonia,18+,BOTHSEX,56
2011,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,61
2011,VC_HTF_DETV,Estonia,18+,MALE,39
2011,VC_HTF_DETV,Estonia,<18Y,BOTHSEX,5
2011,VC_HTF_DETV,Estonia,ALLAGE,MALE,43
2012,VC_HTF_DETV,Estonia,18+,FEMALE,14
2012,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,23
2012,VC_HTF_DETV,Estonia,ALLAGE,MALE,9
2012,VC_HTF_DETV,Estonia,18+,BOTHSEX,22
2012,VC_HTF_DETV,Estonia,18+,MALE,8
2012,VC_HTF_DETV,Estonia,ALLAGE,FEMALE,14
2013,VC_HTF_DETV,Estonia,18+,MALE,13
2013,VC_HTF_DETV,Estonia,ALLAGE,MALE,14
2013,VC_HTF_DETV,Estonia,18+,FEMALE,10
2013,VC_HTF_DETV,Estonia,ALLAGE,FEMALE,10
2013,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,24
2013,VC_HTF_DETV,Estonia,18+,BOTHSEX,24
2015,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,13
2015,VC_HTF_DETV,Estonia,ALLAGE,MALE,9
2015,VC_HTF_DETV,Estonia,<18Y,MALE,7
2015,VC_HTF_DETV,Estonia,<18Y,BOTHSEX,11
2016,VC_HTF_DETV,Estonia,<18Y,MALE,8
2016,VC_HTF_DETV,Estonia,ALLAGE,MALE,8
2016,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,10
2016,VC_HTF_DETV,Estonia,<18Y,BOTHSEX,8
2017,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,10
2017,VC_HTF_DETV,Estonia,18+,MALE,6
2017,VC_HTF_DETV,Estonia,18+,BOTHSEX,6
2017,VC_HTF_DETV,Estonia,ALLAGE,MALE,10
2007,VC_HTF_DETV,Japan,ALLAGE,BOTHSEX,43
2007,VC_HTF_DETV,Japan,18+,MALE,43
2007,VC_HTF_DETV,Japan,18+,BOTHSEX,43
2007,VC_HTF_DETV,Japan,ALLAGE,MALE,43
2018,VC_HTF_DETV,Estonia,<18Y,FEMALE,5
2018,VC_HTF_DETV,Estonia,ALLAGE,MALE,5
2018,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,10
2018,VC_HTF_DETV,Estonia,<18Y,BOTHSEX,7
2014,VC_HTF_DETV,Albania,<18Y,MALE,45
2014,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,125
2015,VC_HTF_DETV,Albania,<18Y,MALE,31
2015,VC_HTF_DETV,Albania,18+,MALE,56
2015,VC_HTF_DETV,Albania,ALLAGE,MALE,87
2015,VC_HTF_DETV,Albania,ALLAGE,FEMALE,22
2015,VC_HTF_DETV,Albania,18+,FEMALE,5
2015,VC_HTF_DETV,Albania,18+,BOTHSEX,61
2015,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,109
2015,VC_HTF_DETV,Albania,<18Y,FEMALE,17
2010,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,20
2010,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,MALE,18
2010,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,25
2010,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,5
2010,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,MALE,21
2011,VC_HTF_DETV,Bosnia and Herzegovina,18+,MALE,16
2011,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,FEMALE,7
2011,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,FEMALE,7
2011,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,35
2011,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,MALE,12
2011,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,MALE,28
2011,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,16
2011,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,19
2018,VC_HTF_DETV,Estonia,ALLAGE,FEMALE,5
2019,VC_HTF_DETV,Estonia,ALLAGE,MALE,10
2019,VC_HTF_DETV,Estonia,18+,MALE,10
2019,VC_HTF_DETV,Estonia,18+,BOTHSEX,12
2019,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,12
2020,VC_HTF_DETV,Estonia,ALLAGE,BOTHSEX,5
2020,VC_HTF_DETV,Estonia,18+,BOTHSEX,5
2015,VC_HTF_DETV,Albania,<18Y,BOTHSEX,48
2016,VC_HTF_DETV,Albania,18+,MALE,44
2016,VC_HTF_DETV,Albania,<18Y,BOTHSEX,44
2016,VC_HTF_DETV,Albania,18+,FEMALE,7
2016,VC_HTF_DETV,Albania,18+,BOTHSEX,51
2016,VC_HTF_DETV,Albania,ALLAGE,MALE,84
2016,VC_HTF_DETV,Albania,ALLAGE,FEMALE,11
2016,VC_HTF_DETV,Albania,<18Y,MALE,40
2012,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,19
2012,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,MALE,19
2012,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,MALE,39
2012,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,20
2012,VC_HTF_DETV,Bosnia and Herzegovina,18+,MALE,20
2012,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,39
2016,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,95
2017,VC_HTF_DETV,Albania,<18Y,BOTHSEX,56
2017,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,105
2017,VC_HTF_DETV,Albania,<18Y,FEMALE,24
2017,VC_HTF_DETV,Albania,18+,BOTHSEX,49
2017,VC_HTF_DETV,Albania,ALLAGE,MALE,80
2017,VC_HTF_DETV,Albania,ALLAGE,FEMALE,25
2017,VC_HTF_DETV,Albania,<18Y,MALE,32
2014,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,49
2014,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,37
2014,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,FEMALE,13
2014,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,12
2014,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,FEMALE,14
2014,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,MALE,35
2014,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,MALE,24
2017,VC_HTF_DETV,Albania,18+,MALE,48
2018,VC_HTF_DETV,Albania,<18Y,FEMALE,31
2018,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,95
2018,VC_HTF_DETV,Albania,18+,MALE,24
2018,VC_HTF_DETV,Albania,ALLAGE,FEMALE,35
2018,VC_HTF_DETV,Albania,ALLAGE,MALE,60
2018,VC_HTF_DETV,Albania,<18Y,MALE,36
2018,VC_HTF_DETV,Albania,<18Y,BOTHSEX,67
2007,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,5
2014,VC_HTF_DETV,Bosnia and Herzegovina,18+,MALE,11
2015,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,18
2015,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,35
2015,VC_HTF_DETV,Bosnia and Herzegovina,18+,MALE,13
2015,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,MALE,14
2015,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,MALE,27
2015,VC_HTF_DETV,Bosnia and Herzegovina,18+,FEMALE,5
2015,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,FEMALE,8
2015,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,17
2016,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,38
2016,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,10
2016,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,48
2017,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,FEMALE,58
2017,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,MALE,25
2017,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,47
2017,VC_HTF_DETV,Bosnia and Herzegovina,18+,MALE,25
2017,VC_HTF_DETV,Bosnia and Herzegovina,18+,FEMALE,58
2008,VC_HTF_DETV,Finland,18+,FEMALE,6
2008,VC_HTF_DETV,Finland,ALLAGE,FEMALE,6
2008,VC_HTF_DETV,Finland,18+,MALE,7
2008,VC_HTF_DETV,Finland,ALLAGE,MALE,10
2008,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,16
2017,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,83
2017,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,36
2018,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,12
2018,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,36
2018,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,24
2019,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,36
2019,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,61
2019,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,25
2020,VC_HTF_DETV,Bosnia and Herzegovina,18+,MALE,27
2008,VC_HTF_DETV,Finland,18+,BOTHSEX,13
2009,VC_HTF_DETV,Finland,18+,BOTHSEX,17
2009,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,17
2009,VC_HTF_DETV,Finland,18+,MALE,13
2009,VC_HTF_DETV,Finland,ALLAGE,MALE,13
2010,VC_HTF_DETV,Finland,18+,BOTHSEX,49
2010,VC_HTF_DETV,Finland,18+,MALE,30
2010,VC_HTF_DETV,Finland,18+,FEMALE,14
2010,VC_HTF_DETV,Finland,ALLAGE,MALE,31
2008,VC_HTF_DETV,Japan,ALLAGE,MALE,36
2008,VC_HTF_DETV,Japan,18+,MALE,34
2008,VC_HTF_DETV,Japan,ALLAGE,BOTHSEX,36
2008,VC_HTF_DETV,Japan,18+,BOTHSEX,34
2010,VC_HTF_DETV,Finland,ALLAGE,FEMALE,17
2010,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,49
2011,VC_HTF_DETV,Finland,18+,MALE,28
2011,VC_HTF_DETV,Finland,18+,BOTHSEX,54
2011,VC_HTF_DETV,Finland,18+,FEMALE,23
2011,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,54
2011,VC_HTF_DETV,Finland,ALLAGE,FEMALE,23
2011,VC_HTF_DETV,Finland,ALLAGE,MALE,28
2012,VC_HTF_DETV,Finland,ALLAGE,MALE,28
