Year,SeriesCode,Страна ,Sex,Value
2000,SH_STA_SCIDE,Georgia,BOTHSEX,7.4
2000,SH_STA_SCIDE,Georgia,FEMALE,2.8
2000,SH_STA_SCIDE,Georgia,MALE,12.5
2005,SH_STA_SCIDE,Georgia,BOTHSEX,6.2
2005,SH_STA_SCIDE,Georgia,FEMALE,2.5
2005,SH_STA_SCIDE,Georgia,MALE,10.2
2010,SH_STA_SCIDE,Georgia,BOTHSEX,8.3
2010,SH_STA_SCIDE,Georgia,FEMALE,2.9
2010,SH_STA_SCIDE,Georgia,MALE,14.2
2015,SH_STA_SCIDE,Georgia,BOTHSEX,10.5
2015,SH_STA_SCIDE,Georgia,FEMALE,3.6
2015,SH_STA_SCIDE,Georgia,MALE,18.1
2019,SH_STA_SCIDE,Georgia,BOTHSEX,9.2
2019,SH_STA_SCIDE,Georgia,FEMALE,3.0
2019,SH_STA_SCIDE,Georgia,MALE,16.0
2000,SH_STA_SCIDE,Germany,MALE,21.7
2000,SH_STA_SCIDE,Germany,BOTHSEX,14.5
2000,SH_STA_SCIDE,Germany,FEMALE,7.6
2005,SH_STA_SCIDE,Germany,BOTHSEX,13.3
2005,SH_STA_SCIDE,Germany,FEMALE,7.0
2005,SH_STA_SCIDE,Germany,MALE,19.9
2010,SH_STA_SCIDE,Germany,BOTHSEX,13.2
2010,SH_STA_SCIDE,Germany,FEMALE,6.8
2010,SH_STA_SCIDE,Germany,MALE,20.0
2015,SH_STA_SCIDE,Germany,BOTHSEX,13.3
2015,SH_STA_SCIDE,Germany,FEMALE,7.3
2015,SH_STA_SCIDE,Germany,MALE,19.5
2019,SH_STA_SCIDE,Germany,MALE,18.6
2019,SH_STA_SCIDE,Germany,BOTHSEX,12.3
2019,SH_STA_SCIDE,Germany,FEMALE,6.2
2000,SH_STA_SCIDE,Greece,BOTHSEX,3.5
2000,SH_STA_SCIDE,Greece,FEMALE,1.5
2000,SH_STA_SCIDE,Greece,MALE,5.4
2005,SH_STA_SCIDE,Greece,BOTHSEX,3.6
2005,SH_STA_SCIDE,Greece,FEMALE,1.4
2005,SH_STA_SCIDE,Greece,MALE,5.9
2010,SH_STA_SCIDE,Greece,MALE,6.3
2010,SH_STA_SCIDE,Greece,FEMALE,0.7
2010,SH_STA_SCIDE,Greece,BOTHSEX,3.5
2015,SH_STA_SCIDE,Greece,FEMALE,2.0
2015,SH_STA_SCIDE,Greece,MALE,8.2
2015,SH_STA_SCIDE,Greece,BOTHSEX,5.0
2019,SH_STA_SCIDE,Greece,BOTHSEX,5.1
2019,SH_STA_SCIDE,Greece,FEMALE,1.9
2019,SH_STA_SCIDE,Greece,MALE,8.4
2000,SH_STA_SCIDE,Hungary,MALE,52.6
2000,SH_STA_SCIDE,Hungary,BOTHSEX,33.4
2000,SH_STA_SCIDE,Hungary,FEMALE,15.9
2005,SH_STA_SCIDE,Hungary,BOTHSEX,26.4
