Year,Пол,Страна ,Value
2010,Женщины,Georgia,76.572
2011,Женщины,Georgia,76.854
2012,Женщины,Georgia,77.205
2013,Женщины,Georgia,77.436
2014,Женщины,Georgia,77.934
2015,Женщины,Georgia,78.131
2016,Женщины,Georgia,78.43
2017,Женщины,Georgia,78.224
2018,Женщины,Georgia,78.153
2019,Женщины,Georgia,78.429
2020,Женщины,Georgia,77.874
2021,Женщины,Georgia,76.681
1998,Всего,Georgia,69.102
1999,Всего,Georgia,69.319
2000,Всего,Georgia,69.575
2001,Всего,Georgia,69.606
2002,Всего,Georgia,70.024
2003,Всего,Georgia,70.333
2004,Всего,Georgia,70.567
2005,Всего,Georgia,71.13
2006,Всего,Georgia,71.394
2007,Всего,Georgia,71.568
2008,Всего,Georgia,71.332
2009,Всего,Georgia,71.95
2010,Всего,Georgia,72.128
2011,Всего,Georgia,72.39
2012,Всего,Georgia,72.412
2013,Всего,Georgia,72.628
2014,Всего,Georgia,73.099
2015,Всего,Georgia,73.297
2016,Всего,Georgia,73.569
2017,Всего,Georgia,73.57
2018,Всего,Georgia,73.341
2019,Всего,Georgia,73.47
2020,Всего,Georgia,72.765
2021,Всего,Georgia,71.694
1998,Мужчины,Georgia,64.879
1999,Мужчины,Georgia,65.09
2000,Мужчины,Georgia,65.348
2001,Мужчины,Georgia,65.225
2002,Мужчины,Georgia,65.537
2003,Мужчины,Georgia,65.853
2004,Мужчины,Georgia,66.166
2005,Мужчины,Georgia,66.529
2006,Мужчины,Georgia,66.731
2007,Мужчины,Georgia,67.193
2008,Мужчины,Georgia,66.705
2009,Мужчины,Georgia,67.391
2010,Мужчины,Georgia,67.603
2011,Мужчины,Georgia,67.856
2012,Мужчины,Georgia,67.651
2013,Мужчины,Georgia,67.866
2014,Мужчины,Georgia,68.309
2015,Мужчины,Georgia,68.477
2016,Мужчины,Georgia,68.696
2017,Мужчины,Georgia,68.836
2018,Мужчины,Georgia,68.495
2019,Мужчины,Georgia,68.493
2020,Мужчины,Georgia,67.74
2021,Мужчины,Georgia,66.803
1998,Женщины,Montenegro,77.463
1999,Женщины,Montenegro,75.969
2000,Женщины,Montenegro,76.717
2001,Женщины,Montenegro,77.013
2002,Женщины,Montenegro,77.057
2003,Женщины,Montenegro,76.841
2004,Женщины,Montenegro,77.8
2005,Женщины,Montenegro,76.8
2006,Женщины,Montenegro,76.4
2007,Женщины,Montenegro,76.9
2008,Женщины,Montenegro,77.8
2009,Женщины,Montenegro,77.5
2010,Женщины,Montenegro,78.5
2011,Женщины,Montenegro,78.8
2012,Женщины,Montenegro,78.3
2013,Женщины,Montenegro,79.0
2014,Женщины,Montenegro,78.9
2015,Женщины,Montenegro,78.6
2016,Женщины,Montenegro,78.9
2017,Женщины,Montenegro,79.2
2018,Женщины,Montenegro,79.3
2019,Женщины,Montenegro,79.5
2020,Женщины,Montenegro,78.8
2021,Женщины,Montenegro,77.0
1998,Всего,Montenegro,73.31421951
1999,Всего,Montenegro,72.6407561
2000,Всего,Montenegro,73.8184878
2001,Всего,Montenegro,74.06941463
2002,Всего,Montenegro,73.9064878
2003,Всего,Montenegro,73.93173171
2004,Всего,Montenegro,74.56395122
2005,Всего,Montenegro,73.98292683
2006,Всего,Montenegro,73.83902439
2007,Всего,Montenegro,74.33902439
2008,Всего,Montenegro,75.13658537
2009,Всего,Montenegro,75.14390244
2010,Всего,Montenegro,75.9902439
2011,Всего,Montenegro,75.98292683
2012,Всего,Montenegro,76.2
2013,Всего,Montenegro,76.4902439
2014,Всего,Montenegro,76.44146341
2015,Всего,Montenegro,76.44878049
2016,Всего,Montenegro,76.44146341
2017,Всего,Montenegro,76.48536585
2018,Всего,Montenegro,76.84146341
2019,Всего,Montenegro,76.68292683
2020,Всего,Montenegro,75.93170732
2021,Всего,Montenegro,73.82439024
1998,Мужчины,Montenegro,69.363
1999,Мужчины,Montenegro,69.471
2000,Мужчины,Montenegro,71.058
2001,Мужчины,Montenegro,71.266
2002,Мужчины,Montenegro,70.906
2003,Мужчины,Montenegro,71.161
2004,Мужчины,Montenegro,71.482
2005,Мужчины,Montenegro,71.3
2006,Мужчины,Montenegro,71.4
2007,Мужчины,Montenegro,71.9
2008,Мужчины,Montenegro,72.6
2009,Мужчины,Montenegro,72.9
2010,Мужчины,Montenegro,73.6
2011,Мужчины,Montenegro,73.3
2012,Мужчины,Montenegro,74.2
2013,Мужчины,Montenegro,74.1
2014,Мужчины,Montenegro,74.1
2015,Мужчины,Montenegro,74.4
2016,Мужчины,Montenegro,74.1
2017,Мужчины,Montenegro,73.9
2018,Мужчины,Montenegro,74.5
2019,Мужчины,Montenegro,74.0
2020,Мужчины,Montenegro,73.2
2021,Мужчины,Montenegro,70.8
1998,Женщины,North Macedonia,74.5
1999,Женщины,North Macedonia,75.3
2000,Женщины,North Macedonia,75.2
2001,Женщины,North Macedonia,76.1
2002,Женщины,North Macedonia,75.6
2003,Женщины,North Macedonia,75.7
2004,Женщины,North Macedonia,75.8
2005,Женщины,North Macedonia,75.9
2006,Женщины,North Macedonia,76.2
2007,Женщины,North Macedonia,75.9
2008,Женщины,North Macedonia,76.5
2009,Женщины,North Macedonia,76.7
2010,Женщины,North Macedonia,77.2
2011,Женщины,North Macedonia,77.2
2012,Женщины,North Macedonia,76.9
2013,Женщины,North Macedonia,77.5
2014,Женщины,North Macedonia,77.5
2015,Женщины,North Macedonia,77.4
2016,Женщины,North Macedonia,77.5
2017,Женщины,North Macedonia,77.9
2018,Женщины,North Macedonia,78.8
2019,Женщины,North Macedonia,78.6
2020,Женщины,North Macedonia,76.7
2021,Женщины,North Macedonia,76.77
1998,Всего,North Macedonia,72.29756098
1999,Всего,North Macedonia,72.7902439
2000,Всего,North Macedonia,72.94634146
2001,Всего,North Macedonia,73.43658537
2002,Всего,North Macedonia,73.03902439
2003,Всего,North Macedonia,73.24146341
2004,Всего,North Macedonia,73.59756098
2005,Всего,North Macedonia,73.69756098
2006,Всего,North Macedonia,73.89512195
2007,Всего,North Macedonia,73.8
2008,Всего,North Macedonia,74.4
2009,Всего,North Macedonia,74.44634146
2010,Всего,North Macedonia,74.99756098
2011,Всего,North Macedonia,75.1
2012,Всего,North Macedonia,74.90243902
2013,Всего,North Macedonia,75.4
2014,Всего,North Macedonia,75.45121951
2015,Всего,North Macedonia,75.40243902
2016,Всего,North Macedonia,75.4
2017,Всего,North Macedonia,75.95365854
2018,Всего,North Macedonia,76.64878049
2019,Всего,North Macedonia,76.60243902
2020,Всего,North Macedonia,74.39512195
2021,Всего,North Macedonia,74.53682927
1998,Мужчины,North Macedonia,70.2
1999,Мужчины,North Macedonia,70.4
2000,Мужчины,North Macedonia,70.8
2001,Мужчины,North Macedonia,70.9
2002,Мужчины,North Macedonia,70.6
2003,Мужчины,North Macedonia,70.9
2004,Мужчины,North Macedonia,71.5
2005,Мужчины,North Macedonia,71.6
2006,Мужчины,North Macedonia,71.7
2007,Мужчины,North Macedonia,71.8
2008,Мужчины,North Macedonia,72.4
2009,Мужчины,North Macedonia,72.3
2010,Мужчины,North Macedonia,72.9
2011,Мужчины,North Macedonia,73.1
2012,Мужчины,North Macedonia,73.0
2013,Мужчины,North Macedonia,73.4
2014,Мужчины,North Macedonia,73.5
2015,Мужчины,North Macedonia,73.5
2016,Мужчины,North Macedonia,73.4
2017,Мужчины,North Macedonia,74.1
2018,Мужчины,North Macedonia,74.6
2019,Мужчины,North Macedonia,74.7
2020,Мужчины,North Macedonia,72.2
2021,Мужчины,North Macedonia,72.41
1998,Женщины,Moldova,68.895
1999,Женщины,Moldova,69.044
2000,Женщины,Moldova,70.035
2001,Женщины,Moldova,70.466
2002,Женщины,Moldova,70.505
2003,Женщины,Moldova,70.997
2004,Женщины,Moldova,71.621
2005,Женщины,Moldova,72.045
2006,Женщины,Moldova,72.564
2007,Женщины,Moldova,72.996
2008,Женщины,Moldova,73.477
2009,Женщины,Moldova,73.876
2010,Женщины,Moldova,73.778
2011,Женщины,Moldova,73.679
2012,Женщины,Moldova,73.625
2013,Женщины,Moldova,73.586
2014,Женщины,Moldova,73.524
2015,Женщины,Moldova,73.838
2016,Женщины,Moldova,74.51
2017,Женщины,Moldova,75.059
2018,Женщины,Moldova,75.232
2019,Женщины,Moldova,75.617
2020,Женщины,Moldova,74.852
2021,Женщины,Moldova,73.547
1998,Всего,Moldova,65.505
1999,Всего,Moldova,65.561
2000,Всего,Moldova,66.417
2001,Всего,Moldova,66.787
2002,Всего,Moldova,66.938
2003,Всего,Moldova,67.419
2004,Всего,Moldova,67.861
2005,Всего,Moldova,68.169
2006,Всего,Moldova,68.479
2007,Всего,Moldova,68.947
2008,Всего,Moldova,69.394
2009,Всего,Moldova,69.573
2010,Всего,Moldova,69.357
2011,Всего,Moldova,69.192
2012,Всего,Moldova,69.143
2013,Всего,Moldova,69.099
2014,Всего,Moldova,69.031
2015,Всего,Moldova,69.24
2016,Всего,Moldova,69.917
2017,Всего,Moldova,70.516
2018,Всего,Moldova,70.492
2019,Всего,Moldova,70.935
2020,Всего,Moldova,70.166
2021,Всего,Moldova,68.846
1998,Мужчины,Moldova,62.011
1999,Мужчины,Moldova,61.996
2000,Мужчины,Moldova,62.719
2001,Мужчины,Moldova,63.035
2002,Мужчины,Moldova,63.289
2003,Мужчины,Moldova,63.754
2004,Мужчины,Moldova,64.03
2005,Мужчины,Moldova,64.229
2006,Мужчины,Moldova,64.367
2007,Мужчины,Moldova,64.853
2008,Мужчины,Moldova,65.265
2009,Мужчины,Moldova,65.275
2010,Мужчины,Moldova,64.993
2011,Мужчины,Moldova,64.805
2012,Мужчины,Moldova,64.781
2013,Мужчины,Moldova,64.75
2014,Мужчины,Moldova,64.695
2015,Мужчины,Moldova,64.827
2016,Мужчины,Moldova,65.474
2017,Мужчины,Moldova,66.077
2018,Мужчины,Moldova,65.921
2019,Мужчины,Moldova,66.378
2020,Мужчины,Moldova,65.692
2021,Мужчины,Moldova,64.443
1998,Женщины,Serbia,74.388
1999,Женщины,Serbia,72.973
2000,Женщины,Serbia,74.4
2001,Женщины,Serbia,75.0
2002,Женщины,Serbia,75.0
2003,Женщины,Serbia,75.1
2004,Женщины,Serbia,75.5
2005,Женщины,Serbia,75.6
2006,Женщины,Serbia,76.1
2007,Женщины,Serbia,76.5
2008,Женщины,Serbia,76.6
2009,Женщины,Serbia,76.7
2010,Женщины,Serbia,77.0
2011,Женщины,Serbia,77.2
2012,Женщины,Serbia,77.5
2013,Женщины,Serbia,77.9
2014,Женщины,Serbia,78.0
2015,Женщины,Serbia,77.9
2016,Женщины,Serbia,78.3
2017,Женщины,Serbia,78.1
2018,Женщины,Serbia,78.4
2019,Женщины,Serbia,78.6
2020,Женщины,Serbia,77.5
2021,Женщины,Serbia,75.64
1998,Всего,Serbia,71.18729268
1999,Всего,Serbia,69.71543902
2000,Всего,Serbia,71.58292683
2001,Всего,Serbia,72.23414634
2002,Всего,Serbia,72.28536585
2003,Всего,Serbia,72.43658537
2004,Всего,Serbia,72.68292683
2005,Всего,Serbia,72.83414634
2006,Всего,Serbia,73.38536585
2007,Всего,Serbia,73.63170732
2008,Всего,Serbia,73.88536585
2009,Всего,Serbia,73.98536585
2010,Всего,Serbia,74.33658537
2011,Всего,Serbia,74.53658537
2012,Всего,Serbia,74.83658537
2013,Всего,Serbia,75.18536585
2014,Всего,Serbia,75.33658537
2015,Всего,Serbia,75.28780488
2016,Всего,Serbia,75.68780488
2017,Всего,Serbia,75.53902439
2018,Всего,Serbia,75.8902439
2019,Всего,Serbia,75.93658537
2020,Всего,Serbia,74.47804878
2021,Всего,Serbia,72.73073171
1998,Мужчины,Serbia,68.139
1999,Мужчины,Serbia,66.613
2000,Мужчины,Serbia,68.9
2001,Мужчины,Serbia,69.6
2002,Мужчины,Serbia,69.7
2003,Мужчины,Serbia,69.9
2004,Мужчины,Serbia,70.0
2005,Мужчины,Serbia,70.2
2006,Мужчины,Serbia,70.8
2007,Мужчины,Serbia,70.9
2008,Мужчины,Serbia,71.3
2009,Мужчины,Serbia,71.4
2010,Мужчины,Serbia,71.8
2011,Мужчины,Serbia,72.0
2012,Мужчины,Serbia,72.3
2013,Мужчины,Serbia,72.6
2014,Мужчины,Serbia,72.8
2015,Мужчины,Serbia,72.8
2016,Мужчины,Serbia,73.2
2017,Мужчины,Serbia,73.1
2018,Мужчины,Serbia,73.5
2019,Мужчины,Serbia,73.4
2020,Мужчины,Serbia,71.6
2021,Мужчины,Serbia,69.96
1998,Женщины,Turkiye,74.578
1999,Женщины,Turkiye,73.993
2000,Женщины,Turkiye,75.274
2001,Женщины,Turkiye,75.623
2002,Женщины,Turkiye,75.944
2003,Женщины,Turkiye,76.252
2004,Женщины,Turkiye,76.564
2005,Женщины,Turkiye,76.867
2006,Женщины,Turkiye,77.124
2007,Женщины,Turkiye,77.442
2008,Женщины,Turkiye,77.69
2009,Женщины,Turkiye,77.988
2010,Женщины,Turkiye,78.221
2011,Женщины,Turkiye,78.144
2012,Женщины,Turkiye,78.838
2013,Женщины,Turkiye,79.398
2014,Женщины,Turkiye,79.623
2015,Женщины,Turkiye,79.787
2016,Женщины,Turkiye,79.894
2017,Женщины,Turkiye,80.293
2018,Женщины,Turkiye,80.684
2019,Женщины,Turkiye,80.953
2020,Женщины,Turkiye,79.061
2021,Женщины,Turkiye,79.121
1998,Всего,Turkiye,71.039
1999,Всего,Turkiye,70.695
2000,Всего,Turkiye,71.861
2001,Всего,Turkiye,72.231
2002,Всего,Turkiye,72.579
2003,Всего,Turkiye,72.89
2004,Всего,Turkiye,73.24
2005,Всего,Turkiye,73.534
2006,Всего,Turkiye,73.845
2007,Всего,Turkiye,74.193
2008,Всего,Turkiye,74.45
2009,Всего,Turkiye,74.765
2010,Всего,Turkiye,75.069
2011,Всего,Turkiye,74.941
2012,Всего,Turkiye,75.678
2013,Всего,Turkiye,76.297
2014,Всего,Turkiye,76.565
2015,Всего,Turkiye,76.646
2016,Всего,Turkiye,76.66
2017,Всего,Turkiye,77.141
2018,Всего,Turkiye,77.563
2019,Всего,Turkiye,77.832
2020,Всего,Turkiye,75.85
2021,Всего,Turkiye,76.032
1998,Мужчины,Turkiye,67.683
1999,Мужчины,Turkiye,67.534
2000,Мужчины,Turkiye,68.582
2001,Мужчины,Turkiye,68.957
2002,Мужчины,Turkiye,69.318
2003,Мужчины,Turkiye,69.624
2004,Мужчины,Turkiye,69.996
2005,Мужчины,Turkiye,70.278
2006,Мужчины,Turkiye,70.624
2007,Мужчины,Turkiye,70.987
2008,Мужчины,Turkiye,71.248
2009,Мужчины,Turkiye,71.57
2010,Мужчины,Turkiye,71.927
2011,Мужчины,Turkiye,71.779
2012,Мужчины,Turkiye,72.517
2013,Мужчины,Turkiye,73.162
2014,Мужчины,Turkiye,73.468
2015,Мужчины,Turkiye,73.498
2016,Мужчины,Turkiye,73.448
2017,Мужчины,Turkiye,73.985
2018,Мужчины,Turkiye,74.417
2019,Мужчины,Turkiye,74.68
2020,Мужчины,Turkiye,72.772
2021,Мужчины,Turkiye,73.04
1998,Женщины,Ukraine,73.84
1999,Женщины,Ukraine,73.61
2000,Женщины,Ukraine,73.53
2001,Женщины,Ukraine,73.63
2002,Женщины,Ukraine,74.13
2003,Женщины,Ukraine,74.06
2004,Женщины,Ukraine,74.05
2005,Женщины,Ukraine,73.97
2006,Женщины,Ukraine,74.06
2007,Женщины,Ukraine,74.22
2008,Женщины,Ukraine,74.28
2009,Женщины,Ukraine,74.86
2010,Женщины,Ukraine,75.5
2011,Женщины,Ukraine,75.88
2012,Женщины,Ukraine,76.02
2013,Женщины,Ukraine,76.22
2014,Женщины,Ukraine,76.37
2015,Женщины,Ukraine,76.25
2016,Женщины,Ukraine,76.46
2017,Женщины,Ukraine,76.78
2018,Женщины,Ukraine,76.72
2019,Женщины,Ukraine,76.98
2020,Женщины,Ukraine,76.22
2021,Женщины,Ukraine,74.36
1998,Всего,Ukraine,68.37487805
1999,Всего,Ukraine,67.98097561
2000,Всего,Ukraine,67.67560976
2001,Всего,Ukraine,67.83707317
2002,Всего,Ukraine,68.27560976
2003,Всего,Ukraine,68.21073171
2004,Всего,Ukraine,68.18536585
2005,Всего,Ukraine,67.95682927
2006,Всего,Ukraine,68.07756098
2007,Всего,Ukraine,68.22219512
2008,Всего,Ukraine,68.25146341
2009,Всего,Ukraine,69.19
2010,Всего,Ukraine,70.26536585
2011,Всего,Ukraine,70.80926829
2012,Всего,Ukraine,70.94414634
2013,Всего,Ukraine,71.1595122
2014,Всего,Ukraine,71.18658537
2015,Всего,Ukraine,71.1895122
2016,Всего,Ukraine,71.47634146
2017,Всего,Ukraine,71.78097561
2018,Всего,Ukraine,71.58268293
2019,Всего,Ukraine,71.82731707
2020,Всего,Ukraine,71.18512195
2021,Всего,Ukraine,69.64780488
1998,Мужчины,Ukraine,63.17
1999,Мужчины,Ukraine,62.62
2000,Мужчины,Ukraine,62.1
2001,Мужчины,Ukraine,62.32
2002,Мужчины,Ukraine,62.7
2003,Мужчины,Ukraine,62.64
2004,Мужчины,Ukraine,62.6
2005,Мужчины,Ukraine,62.23
2006,Мужчины,Ukraine,62.38
2007,Мужчины,Ukraine,62.51
2008,Мужчины,Ukraine,62.51
2009,Мужчины,Ukraine,63.79
2010,Мужчины,Ukraine,65.28
2011,Мужчины,Ukraine,65.98
2012,Мужчины,Ukraine,66.11
2013,Мужчины,Ukraine,66.34
2014,Мужчины,Ukraine,66.25
2015,Мужчины,Ukraine,66.37
2016,Мужчины,Ukraine,66.73
2017,Мужчины,Ukraine,67.02
2018,Мужчины,Ukraine,66.69
2019,Мужчины,Ukraine,66.92
2020,Мужчины,Ukraine,66.39
2021,Мужчины,Ukraine,65.16
1998,Женщины,Australia,81.5
1999,Женщины,Australia,81.8
2000,Женщины,Australia,82.0
2001,Женщины,Australia,82.4
2002,Женщины,Australia,82.6
2003,Женщины,Australia,82.8
2004,Женщины,Australia,83.0
2005,Женщины,Australia,83.3
2006,Женщины,Australia,83.5
2007,Женщины,Australia,83.7
2008,Женщины,Australia,83.7
2009,Женщины,Australia,83.9
2010,Женщины,Australia,84.0
2011,Женщины,Australia,84.2
2012,Женщины,Australia,84.3
2013,Женщины,Australia,84.3
2014,Женщины,Australia,84.4
2015,Женщины,Australia,84.5
2016,Женщины,Australia,84.6
2017,Женщины,Australia,84.6
2018,Женщины,Australia,84.9
2019,Женщины,Australia,85.0
2020,Женщины,Australia,85.3
2021,Женщины,Australia,85.4
1998,Всего,Australia,78.63170732
1999,Всего,Australia,78.93170732
2000,Всего,Australia,79.23414634
2001,Всего,Australia,79.63414634
2002,Всего,Australia,79.93658537
2003,Всего,Australia,80.23902439
2004,Всего,Australia,80.4902439
2005,Всего,Australia,80.84146341
2006,Всего,Australia,81.04146341
2007,Всего,Australia,81.29268293
2008,Всего,Australia,81.39512195
2009,Всего,Australia,81.54390244
2010,Всего,Australia,81.69512195
2011,Всего,Australia,81.89512195
2012,Всего,Australia,82.04634146
2013,Всего,Australia,82.14878049
2014,Всего,Australia,82.3
2015,Всего,Australia,82.4
2016,Всего,Australia,82.44878049
2017,Всего,Australia,82.5
2018,Всего,Australia,82.74878049
2019,Всего,Australia,82.9
2020,Всего,Australia,83.2
2021,Всего,Australia,83.3
1998,Мужчины,Australia,75.9
1999,Мужчины,Australia,76.2
2000,Мужчины,Australia,76.6
2001,Мужчины,Australia,77.0
2002,Мужчины,Australia,77.4
2003,Мужчины,Australia,77.8
2004,Мужчины,Australia,78.1
2005,Мужчины,Australia,78.5
2006,Мужчины,Australia,78.7
2007,Мужчины,Australia,79.0
2008,Мужчины,Australia,79.2
2009,Мужчины,Australia,79.3
2010,Мужчины,Australia,79.5
2011,Мужчины,Australia,79.7
2012,Мужчины,Australia,79.9
2013,Мужчины,Australia,80.1
2014,Мужчины,Australia,80.3
2015,Мужчины,Australia,80.4
2016,Мужчины,Australia,80.4
2017,Мужчины,Australia,80.5
2018,Мужчины,Australia,80.7
2019,Мужчины,Australia,80.9
2020,Мужчины,Australia,81.2
2021,Мужчины,Australia,81.3
1998,Женщины,Canada,81.41
1999,Женщины,Canada,81.61
2000,Женщины,Canada,81.82
2001,Женщины,Canada,82.0
2002,Женщины,Canada,82.02
2003,Женщины,Canada,82.23
2004,Женщины,Canada,82.42
2005,Женщины,Canada,82.52
2006,Женщины,Canada,82.91
2007,Женщины,Canada,82.91
2008,Женщины,Canada,83.05
2009,Женщины,Canada,83.33
2010,Женщины,Canada,83.54
2011,Женщины,Canada,83.68
2012,Женщины,Canada,83.82
2013,Женщины,Canada,83.85
2014,Женщины,Canada,83.91
2015,Женщины,Canada,83.89
2016,Женщины,Canada,84.03
2017,Женщины,Canada,84.02
2018,Женщины,Canada,83.99
2019,Женщины,Canada,84.38
2020,Женщины,Canada,83.96
2021,Женщины,Canada,84.671
1998,Всего,Canada,78.62365854
1999,Всего,Canada,78.83902439
2000,Всего,Canada,79.16682927
2001,Всего,Canada,79.39804878
2002,Всего,Canada,79.53073171
2003,Всего,Canada,79.71512195
2004,Всего,Canada,79.99219512
2005,Всего,Canada,80.11268293
2006,Всего,Canada,80.54365854
2007,Всего,Canada,80.54365854
2008,Всего,Canada,80.72463415
2009,Всего,Canada,81.06609756
2010,Всего,Canada,81.32219512
2011,Всего,Canada,81.48268293
2012,Всего,Canada,81.66365854
2013,Всего,Canada,81.74487805
2014,Всего,Canada,81.78439024
2015,Всего,Canada,81.81560976
2016,Всего,Canada,81.92487805
2017,Всего,Canada,81.83292683
2018,Всего,Canada,81.84390244
2019,Всего,Canada,82.22878049
2020,Всего,Canada,81.6704878
2021,Всего,Canada,82.59660976
1998,Мужчины,Canada,75.97
1999,Мужчины,Canada,76.2
2000,Мужчины,Canada,76.64
2001,Мужчины,Canada,76.92
2002,Мужчины,Canada,77.16
2003,Мужчины,Canada,77.32
2004,Мужчины,Canada,77.68
2005,Мужчины,Canada,77.82
2006,Мужчины,Canada,78.29
2007,Мужчины,Canada,78.29
2008,Мужчины,Canada,78.51
2009,Мужчины,Canada,78.91
2010,Мужчины,Canada,79.21
2011,Мужчины,Canada,79.39
2012,Мужчины,Canada,79.61
2013,Мужчины,Canada,79.74
2014,Мужчины,Canada,79.76
2015,Мужчины,Canada,79.84
2016,Мужчины,Canada,79.92
2017,Мужчины,Canada,79.75
2018,Мужчины,Canada,79.8
2019,Мужчины,Canada,80.18
2020,Мужчины,Canada,79.49
2021,Мужчины,Canada,80.621
1998,Женщины,Chile,78.72
1999,Женщины,Chile,79.09
2000,Женщины,Chile,79.977
2001,Женщины,Chile,79.921
2002,Женщины,Chile,80.582
2003,Женщины,Chile,80.433
2004,Женщины,Chile,80.72
2005,Женщины,Chile,81.078
2006,Женщины,Chile,80.917
2007,Женщины,Chile,80.549
2008,Женщины,Chile,81.25
2009,Женщины,Chile,81.481
2010,Женщины,Chile,81.213
2011,Женщины,Chile,81.684
2012,Женщины,Chile,81.596
2013,Женщины,Chile,82.034
2014,Женщины,Chile,82.145
2015,Женщины,Chile,82.384
2016,Женщины,Chile,82.57
2017,Женщины,Chile,82.601
2018,Женщины,Chile,82.527
2019,Женщины,Chile,82.711
2020,Женщины,Chile,82.041
2021,Женщины,Chile,81.437
1998,Всего,Chile,75.669
1999,Всего,Chile,76.018
2000,Всего,Chile,76.87
2001,Всего,Chile,76.773
2002,Всего,Chile,77.445
2003,Всего,Chile,77.387
2004,Всего,Chile,77.616
2005,Всего,Chile,78.016
2006,Всего,Chile,78.261
2007,Всего,Chile,77.826
2008,Всего,Chile,78.484
2009,Всего,Chile,78.741
2010,Всего,Chile,78.501
2011,Всего,Chile,79.11
2012,Всего,Chile,79.023
2013,Всего,Chile,79.339
2014,Всего,Chile,79.473
2015,Всего,Chile,79.746
2016,Всего,Chile,80.079
2017,Всего,Chile,80.35
2018,Всего,Chile,80.133
2019,Всего,Chile,80.326
2020,Всего,Chile,79.377
2021,Всего,Chile,78.944
1998,Мужчины,Chile,72.611
1999,Мужчины,Chile,72.93
2000,Мужчины,Chile,73.714
2001,Мужчины,Chile,73.6
2002,Мужчины,Chile,74.252
2003,Мужчины,Chile,74.306
2004,Мужчины,Chile,74.479
2005,Мужчины,Chile,74.912
2006,Мужчины,Chile,75.512
2007,Мужчины,Chile,75.043
2008,Мужчины,Chile,75.674
2009,Мужчины,Chile,75.941
2010,Мужчины,Chile,75.734
2011,Мужчины,Chile,76.451
2012,Мужчины,Chile,76.379
2013,Мужчины,Chile,76.579
2014,Мужчины,Chile,76.736
2015,Мужчины,Chile,77.035
2016,Мужчины,Chile,77.496
2017,Мужчины,Chile,78.015
2018,Мужчины,Chile,77.684
2019,Мужчины,Chile,77.894
2020,Мужчины,Chile,76.745
2021,Мужчины,Chile,76.472
1998,Женщины,China,73.587
1999,Женщины,China,73.582
2000,Женщины,China,74.189
2001,Женщины,China,75.258
2002,Женщины,China,75.64
2003,Женщины,China,76.044
2004,Женщины,China,76.433
2005,Женщины,China,76.819
2006,Женщины,China,77.167
2007,Женщины,China,77.492
2008,Женщины,China,77.562
2009,Женщины,China,78.066
2010,Женщины,China,78.326
2011,Женщины,China,78.644
2012,Женщины,China,78.983
2013,Женщины,China,79.223
2014,Женщины,China,79.499
2015,Женщины,China,79.772
2016,Женщины,China,80.053
2017,Женщины,China,80.321
2018,Женщины,China,80.637
2019,Женщины,China,80.816
2020,Женщины,China,81.058
2021,Женщины,China,81.155
1998,Всего,China,71.172
1999,Всего,China,71.419
2000,Всего,China,71.881
2001,Всего,China,72.606
2002,Всего,China,72.985
2003,Всего,China,73.371
2004,Всего,China,73.748
2005,Всего,China,74.111
2006,Всего,China,74.504
2007,Всего,China,74.762
2008,Всего,China,74.872
2009,Всего,China,75.343
2010,Всего,China,75.599
2011,Всего,China,75.903
2012,Всего,China,76.192
2013,Всего,China,76.452
2014,Всего,China,76.717
2015,Всего,China,76.977
2016,Всего,China,77.218
2017,Всего,China,77.248
2018,Всего,China,77.744
2019,Всего,China,77.968
2020,Всего,China,78.077
2021,Всего,China,78.211
1998,Мужчины,China,68.916
1999,Мужчины,China,69.38
2000,Мужчины,China,69.723
2001,Мужчины,China,70.162
2002,Мужчины,China,70.538
2003,Мужчины,China,70.91
2004,Мужчины,China,71.275
2005,Мужчины,China,71.619
2006,Мужчины,China,72.043
2007,Мужчины,China,72.248
2008,Мужчины,China,72.389
2009,Мужчины,China,72.831
2010,Мужчины,China,73.08
2011,Мужчины,China,73.368
2012,Мужчины,China,73.613
2013,Мужчины,China,73.884
2014,Мужчины,China,74.134
2015,Мужчины,China,74.379
2016,Мужчины,China,74.582
2017,Мужчины,China,74.433
2018,Мужчины,China,75.046
2019,Мужчины,China,75.298
2020,Мужчины,China,75.305
2021,Мужчины,China,75.463
1998,Женщины,Colombia,75.053
1999,Женщины,Colombia,75.195
2000,Женщины,Colombia,75.542
2001,Женщины,Colombia,75.66
2002,Женщины,Colombia,75.981
2003,Женщины,Colombia,76.252
2004,Женщины,Colombia,76.495
2005,Женщины,Colombia,76.766
2006,Женщины,Colombia,77.075
2007,Женщины,Colombia,77.391
2008,Женщины,Colombia,77.731
2009,Женщины,Colombia,78.054
2010,Женщины,Colombia,78.301
2011,Женщины,Colombia,78.548
2012,Женщины,Colombia,78.787
2013,Женщины,Colombia,78.972
2014,Женщины,Colombia,79.139
2015,Женщины,Colombia,79.292
2016,Женщины,Colombia,79.44
2017,Женщины,Colombia,79.535
2018,Женщины,Colombia,79.66
2019,Женщины,Colombia,79.721
2020,Женщины,Colombia,78.136
2021,Женщины,Colombia,76.442
1998,Всего,Colombia,70.738
1999,Всего,Colombia,70.926
2000,Всего,Colombia,71.32
2001,Всего,Colombia,71.502
2002,Всего,Colombia,71.939
2003,Всего,Colombia,72.361
2004,Всего,Colombia,72.695
