Year,SeriesCode,Страна ,Education level,Type of skill,Value
2011,SE_TOT_SESPI,Australia,GRAD23,SKILL_READ,0.85939
2011,SE_TOT_SESPI,Australia,GRAD23,SKILL_MATH,0.60307
2011,SE_TOT_SESPI,Australia,PRIMAR,SKILL_MATH,0.53759
2012,SE_TOT_SESPI,Australia,LOWSEC,SKILL_READ,0.78716
2012,SE_TOT_SESPI,Australia,LOWSEC,SKILL_MATH,0.69917
2015,SE_TOT_SESPI,Australia,GRAD23,SKILL_MATH,0.54698
2015,SE_TOT_SESPI,Australia,PRIMAR,SKILL_MATH,0.52346
2015,SE_TOT_SESPI,Australia,LOWSEC,SKILL_MATH,0.70889
2015,SE_TOT_SESPI,Australia,LOWSEC,SKILL_READ,0.76018
2016,SE_TOT_SESPI,Australia,GRAD23,SKILL_READ,0.89103
2018,SE_TOT_SESPI,Australia,LOWSEC,SKILL_READ,0.76186
2018,SE_TOT_SESPI,Australia,LOWSEC,SKILL_MATH,0.71435
2019,SE_TOT_SESPI,Australia,GRAD23,SKILL_MATH,0.57235
2019,SE_TOT_SESPI,Australia,PRIMAR,SKILL_MATH,0.53977
2000,SE_TOT_SESPI,Austria,LOWSEC,SKILL_READ,0.71508
2000,SE_TOT_SESPI,Austria,LOWSEC,SKILL_MATH,0.71906
2003,SE_TOT_SESPI,Austria,LOWSEC,SKILL_MATH,0.69172
2003,SE_TOT_SESPI,Austria,LOWSEC,SKILL_READ,0.63342
2006,SE_TOT_SESPI,Austria,LOWSEC,SKILL_READ,0.66346
2006,SE_TOT_SESPI,Austria,LOWSEC,SKILL_MATH,0.66862
2006,SE_TOT_SESPI,Austria,PRIMAR,SKILL_READ,0.91625
2009,SE_TOT_SESPI,Austria,LOWSEC,SKILL_MATH,0.62775
2009,SE_TOT_SESPI,Austria,LOWSEC,SKILL_READ,0.55399
2011,SE_TOT_SESPI,Austria,PRIMAR,SKILL_READ,0.92638
2015,SE_TOT_SESPI,Austria,LOWSEC,SKILL_READ,0.6978
2015,SE_TOT_SESPI,Austria,LOWSEC,SKILL_MATH,0.69739
2016,SE_TOT_SESPI,Austria,PRIMAR,SKILL_READ,0.92086
2018,SE_TOT_SESPI,Austria,LOWSEC,SKILL_MATH,0.70036
2018,SE_TOT_SESPI,Austria,LOWSEC,SKILL_READ,0.70467
2019,SE_TOT_SESPI,Austria,PRIMAR,SKILL_MATH,0.77291
2003,SE_TOT_SESPI,Armenia,LOWSEC,SKILL_MATH,0.9055
2003,SE_TOT_SESPI,Armenia,PRIMAR,SKILL_MATH,0.9933
2007,SE_TOT_SESPI,Armenia,LOWSEC,SKILL_MATH,1.02896
2007,SE_TOT_SESPI,Armenia,PRIMAR,SKILL_MATH,1.07182
2011,SE_TOT_SESPI,Armenia,PRIMAR,SKILL_MATH,0.93304
2011,SE_TOT_SESPI,Armenia,LOWSEC,SKILL_MATH,0.78614
2015,SE_TOT_SESPI,Armenia,LOWSEC,SKILL_MATH,0.98864
2015,SE_TOT_SESPI,Armenia,PRIMAR,SKILL_MATH,0.93835
2019,SE_TOT_SESPI,Armenia,PRIMAR,SKILL_MATH,0.93136
2000,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_READ,0.68019
2000,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_MATH,0.65963
2003,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_MATH,0.63753
2003,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_READ,0.6333
2006,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_READ,0.67515
2006,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_MATH,0.68995
2009,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_READ,0.69317
2009,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_MATH,0.65052
2012,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_MATH,0.66563
2012,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_READ,0.72243
2015,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_READ,0.70719
2015,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_MATH,0.68822
2018,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_MATH,0.66628
