Year,SeriesCode,Страна ,Migratory status,Sex,Value
2000,SL_EMP_INJUR,Australia,_T,BOTHSEX,1620.0
2000,SL_EMP_INJUR,Australia,_T,FEMALE,1010.0
2000,SL_EMP_INJUR,Australia,_T,MALE,2141.0
2001,SL_EMP_INJUR,Australia,_T,BOTHSEX,1450.0
2011,SL_EMP_INJUR,Finland,NONMIG,FEMALE,1331.68
2012,SL_EMP_INJUR,Finland,NONMIG,FEMALE,1227.06
2012,SL_EMP_INJUR,Finland,_T,FEMALE,1209.85
2012,SL_EMP_INJUR,Finland,_T,MALE,2531.6
2012,SL_EMP_INJUR,Finland,_T,BOTHSEX,1889.63
2012,SL_EMP_INJUR,Finland,NONMIG,BOTHSEX,1916.47
2020,SL_EMP_INJUR,Poland,_T,MALE,529.13
2000,SL_EMP_INJUR,Portugal,_T,BOTHSEX,4260.2
2000,SL_EMP_INJUR,Portugal,_T,FEMALE,1868.8
2000,SL_EMP_INJUR,Portugal,_T,MALE,6034.8
2001,SL_EMP_INJUR,Portugal,_T,MALE,5990.0
2001,SL_EMP_INJUR,Portugal,_T,FEMALE,1933.0
2001,SL_EMP_INJUR,Portugal,_T,BOTHSEX,4276.0
2002,SL_EMP_INJUR,Portugal,_T,MALE,5583.0
2001,SL_EMP_INJUR,Australia,_T,MALE,1908.7
2001,SL_EMP_INJUR,Australia,_T,FEMALE,930.0
2002,SL_EMP_INJUR,Australia,_T,BOTHSEX,1390.0
2002,SL_EMP_INJUR,Australia,_T,MALE,1837.6
2002,SL_EMP_INJUR,Australia,_T,FEMALE,900.0
2003,SL_EMP_INJUR,Australia,_T,MALE,1686.6
2003,SL_EMP_INJUR,Australia,_T,BOTHSEX,1270.0
2003,SL_EMP_INJUR,Australia,_T,FEMALE,800.0
2004,SL_EMP_INJUR,Australia,_T,BOTHSEX,1230.0
2004,SL_EMP_INJUR,Australia,_T,MALE,1619.3
2004,SL_EMP_INJUR,Australia,_T,FEMALE,790.0
2005,SL_EMP_INJUR,Australia,_T,MALE,1562.4
2005,SL_EMP_INJUR,Australia,_T,FEMALE,760.0
2005,SL_EMP_INJUR,Australia,_T,BOTHSEX,1180.0
2006,SL_EMP_INJUR,Australia,_T,FEMALE,670.0
2006,SL_EMP_INJUR,Australia,_T,MALE,1388.0
2006,SL_EMP_INJUR,Australia,_T,BOTHSEX,1050.0
2007,SL_EMP_INJUR,Australia,_T,BOTHSEX,1030.0
2007,SL_EMP_INJUR,Australia,_T,FEMALE,670.0
2007,SL_EMP_INJUR,Australia,_T,MALE,1361.0
2008,SL_EMP_INJUR,Australia,_T,MALE,1327.4
2008,SL_EMP_INJUR,Australia,_T,FEMALE,670.0
2008,SL_EMP_INJUR,Australia,_T,BOTHSEX,1020.0
2009,SL_EMP_INJUR,Australia,_T,BOTHSEX,986.14
2009,SL_EMP_INJUR,Australia,_T,MALE,1278.49
2009,SL_EMP_INJUR,Australia,_T,FEMALE,668.1
2010,SL_EMP_INJUR,Australia,_T,FEMALE,634.79
2012,SL_EMP_INJUR,Finland,NONMIG,MALE,2571.75
2013,SL_EMP_INJUR,Finland,_T,BOTHSEX,1930.67
2013,SL_EMP_INJUR,Finland,NONMIG,BOTHSEX,1969.41
2013,SL_EMP_INJUR,Finland,_T,MALE,2586.97
2013,SL_EMP_INJUR,Finland,NONMIG,MALE,2643.76
2013,SL_EMP_INJUR,Finland,_T,FEMALE,1238.22
2010,SL_EMP_INJUR,Australia,_T,MALE,1166.47
2010,SL_EMP_INJUR,Australia,_T,BOTHSEX,912.5
2011,SL_EMP_INJUR,Australia,_T,BOTHSEX,907.49
2011,SL_EMP_INJUR,Australia,_T,MALE,1148.93
2011,SL_EMP_INJUR,Australia,_T,FEMALE,641.6
2012,SL_EMP_INJUR,Australia,_T,FEMALE,757.42
2013,SL_EMP_INJUR,Finland,NONMIG,FEMALE,1262.68
