Year,SeriesCode,Страна ,Type of waste treatment,Value
2014,EN_HAZ_TREATV,Austria,OTHERWM,0.0
2014,EN_HAZ_TREATV,Austria,LANDFIL,60260.0
2016,EN_HAZ_TREATV,Austria,LANDFIL,66429.0
2016,EN_HAZ_TREATV,Austria,OTHERWM,0.0
2016,EN_HAZ_TREATV,Austria,RECYCL,926403.0
2018,EN_HAZ_TREATV,Austria,RECYCL,1728815.0
2016,EN_HAZ_TREATV,Norway,RECYCL,751742.0
2016,EN_HAZ_TREATV,Norway,INCINRT_EGY,34174.0
2016,EN_HAZ_TREATV,Norway,OTHERWM,0.0
2018,EN_HAZ_TREATV,Norway,INCINRT,51143.0
2018,EN_HAZ_TREATV,Norway,LANDFIL,701237.0
2018,EN_HAZ_TREATV,Norway,RECYCL,876809.0
2018,EN_HAZ_TREATV,Norway,OTHERWM,0.0
2018,EN_HAZ_TREATV,Norway,INCINRT_EGY,22624.0
2020,EN_HAZ_TREATV,Norway,OTHERWM,1022.0
2020,EN_HAZ_TREATV,Norway,LANDFIL,775025.0
2020,EN_HAZ_TREATV,Norway,INCINRT,41000.0
2004,EN_HAZ_TREATV,Poland,INCINRT_EGY,19526.0
2004,EN_HAZ_TREATV,Poland,LANDFIL,617880.0
2018,EN_HAZ_TREATV,Austria,OTHERWM,0.0
2018,EN_HAZ_TREATV,Austria,LANDFIL,73286.0
2020,EN_HAZ_TREATV,Austria,RECYCL,1153284.0
2020,EN_HAZ_TREATV,Austria,LANDFIL,80681.0
2020,EN_HAZ_TREATV,Austria,OTHERWM,0.0
2000,EN_HAZ_TREATV,Armenia,LANDFIL,381578.0
2000,EN_HAZ_TREATV,Armenia,INCINRT,0.0
2000,EN_HAZ_TREATV,Armenia,RECYCL,0.0
2001,EN_HAZ_TREATV,Armenia,RECYCL,0.0
2001,EN_HAZ_TREATV,Armenia,LANDFIL,375500.0
2001,EN_HAZ_TREATV,Armenia,INCINRT,0.0
2002,EN_HAZ_TREATV,Armenia,LANDFIL,377900.0
2002,EN_HAZ_TREATV,Armenia,INCINRT,0.0
2002,EN_HAZ_TREATV,Armenia,RECYCL,0.0
2003,EN_HAZ_TREATV,Armenia,LANDFIL,344095.0
2003,EN_HAZ_TREATV,Armenia,RECYCL,0.0
2003,EN_HAZ_TREATV,Armenia,INCINRT,0.0
2004,EN_HAZ_TREATV,Armenia,INCINRT,0.0
2004,EN_HAZ_TREATV,Armenia,LANDFIL,351400.0
2004,EN_HAZ_TREATV,Armenia,RECYCL,0.0
2005,EN_HAZ_TREATV,Armenia,INCINRT,0.0
2005,EN_HAZ_TREATV,Armenia,RECYCL,0.0
2005,EN_HAZ_TREATV,Armenia,LANDFIL,346325.0
2004,EN_HAZ_TREATV,Poland,OTHERWM,8406.0
2004,EN_HAZ_TREATV,Poland,INCINRT,66303.0
2006,EN_HAZ_TREATV,Poland,LANDFIL,767157.0
2006,EN_HAZ_TREATV,Poland,OTHERWM,9206.0
2006,EN_HAZ_TREATV,Poland,INCINRT,103648.0
2006,EN_HAZ_TREATV,Poland,INCINRT_EGY,56172.0
2008,EN_HAZ_TREATV,Poland,OTHERWM,28329.0
2008,EN_HAZ_TREATV,Poland,LANDFIL,617609.0
2008,EN_HAZ_TREATV,Poland,INCINRT,138859.0
2008,EN_HAZ_TREATV,Poland,INCINRT_EGY,5852.0
2010,EN_HAZ_TREATV,Poland,INCINRT_EGY,5814.0
2006,EN_HAZ_TREATV,Armenia,INCINRT,0.0
2006,EN_HAZ_TREATV,Armenia,LANDFIL,352279.0
2006,EN_HAZ_TREATV,Armenia,RECYCL,0.0
2007,EN_HAZ_TREATV,Armenia,INCINRT,0.0
2007,EN_HAZ_TREATV,Armenia,LANDFIL,362275.0
2007,EN_HAZ_TREATV,Armenia,RECYCL,0.0
2008,EN_HAZ_TREATV,Armenia,INCINRT,1359.0
2008,EN_HAZ_TREATV,Armenia,RECYCL,2362.0
2008,EN_HAZ_TREATV,Armenia,LANDFIL,433537.53125
2009,EN_HAZ_TREATV,Armenia,INCINRT,456.0
2009,EN_HAZ_TREATV,Armenia,RECYCL,2340.0
2009,EN_HAZ_TREATV,Armenia,LANDFIL,438227.5625
2010,EN_HAZ_TREATV,Poland,INCINRT,145489.0
2010,EN_HAZ_TREATV,Poland,LANDFIL,308822.0
2010,EN_HAZ_TREATV,Poland,RECYCL,202065.0
2010,EN_HAZ_TREATV,Poland,OTHERWM,1912.0
2012,EN_HAZ_TREATV,Poland,RECYCL,190131.0
2012,EN_HAZ_TREATV,Poland,LANDFIL,132213.0
2012,EN_HAZ_TREATV,Poland,OTHERWM,1221.0
2012,EN_HAZ_TREATV,Poland,INCINRT,142805.0
2012,EN_HAZ_TREATV,Poland,INCINRT_EGY,1902.0
2014,EN_HAZ_TREATV,Poland,OTHERWM,1426.0
2014,EN_HAZ_TREATV,Poland,LANDFIL,246212.0
2014,EN_HAZ_TREATV,Poland,INCINRT,135443.0
2014,EN_HAZ_TREATV,Poland,RECYCL,216024.0
2014,EN_HAZ_TREATV,Poland,INCINRT_EGY,2492.0
2016,EN_HAZ_TREATV,Poland,LANDFIL,303888.0
2016,EN_HAZ_TREATV,Poland,OTHERWM,1676.0
2016,EN_HAZ_TREATV,Poland,INCINRT,155729.0
2016,EN_HAZ_TREATV,Poland,RECYCL,196077.0
2016,EN_HAZ_TREATV,Poland,INCINRT_EGY,5408.0
2018,EN_HAZ_TREATV,Poland,INCINRT_EGY,4321.0
2018,EN_HAZ_TREATV,Poland,RECYCL,244438.0
2018,EN_HAZ_TREATV,Poland,OTHERWM,167.0
2010,EN_HAZ_TREATV,Armenia,LANDFIL,432811.78125
2010,EN_HAZ_TREATV,Armenia,RECYCL,2286.0
2010,EN_HAZ_TREATV,Armenia,INCINRT,300.0
2011,EN_HAZ_TREATV,Armenia,RECYCL,5154.0
2011,EN_HAZ_TREATV,Armenia,INCINRT,12.0
2011,EN_HAZ_TREATV,Armenia,LANDFIL,457729.8125
2012,EN_HAZ_TREATV,Armenia,LANDFIL,460844.6875
